time_s,BUS2 A_v_pu,BUS1 A_v_pu,BUS2 B_v_pu,BUS1 B_v_pu,BUS2 C_v_pu,BUS1 C_v_pu,BUSC A_v_pu,BUSC B_v_pu,BUSC C_v_pu,BUS0 A_v_pu,BUS0 B_v_pu,BUS0 C_v_pu,GEN1 A_v_pu,GEN1 B_v_pu,GEN1 C_v_pu,WNDG1_saturated_transformer_internal_top_v_pu,WNDG2_saturated_transformer_internal_top_v_pu,WNDG3_saturated_transformer_internal_top_v_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase1_history_i_pu_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase2_history_i_pu_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase3_history_i_pu_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase1_history_i_pu_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase2_history_i_pu_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase3_history_i_pu_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,branch_voltage_branch_fixed_1_pu,branch_voltage_branch_fixed_2_pu,branch_voltage_branch_fixed_3_pu,synchronous_machine_1_d_axis_current_pu,synchronous_machine_1_q_axis_current_pu,synchronous_machine_1_zero_sequence_current_pu,synchronous_machine_1_field_current_pu,synchronous_machine_1_d_axis_damper_current_pu,synchronous_machine_1_generator_field_current_pu,synchronous_machine_1_q_axis_damper_current_pu,synchronous_machine_1_phase_a_current_pu,synchronous_machine_1_phase_b_current_pu,synchronous_machine_1_phase_c_current_pu,synchronous_machine_1_electromagnetic_torque_pu,synchronous_machine_1_mechanical_angle_2_pu,synchronous_machine_1_mechanical_speed_2_pu,synchronous_machine_1_shaft_torque_1_pu,synchronous_machine_1_shaft_torque_2_pu,synchronous_machine_1_shaft_torque_3_pu
0,408241.029495,408241.029495,-204120.514748,-204120.514748,-204120.514748,-204120.514748,408241.029495,-204120.514748,-204120.514748,408248.29,-204124.145,-204124.145,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,-2.08018491321e-10,-8.50198776099e-13,2.91007061524e-11,1.00519954414e-10,-2.96363926979e-12,2.48570835096e-11,9.03792670653e-11,15556.3492031,-15556.3492031,1.09991191798e-12,408241.029495,-204120.514748,-204120.514748,-5.82076609135e-11,2.91038304567e-11,0,82.9380461398,0.00114050559568,9.55015306885e-13,1960.1150313,-8.0035533756e-11,-3.58397972758e-11,-1.98265359859e-10,33.8593155558,33.8593155526,-67.7186311084,6.62344530506e-08,60.0007878897,0,-0.000663405594097,-0.00066347182841,-0.000331735914214
0.0002,191926.123661,7.35883073962e-08,-83408.8797929,-3.18040372758e-08,-108517.243868,-4.17842701296e-08,0.396566198661,-0.172343096023,-0.224223102666,1.49315490865e-12,-8.2550030148e-13,-6.67654598128e-13,11593.9125572,-10624.9972507,-968.915306527,7797.9991551,-8975.3370657,1177.3379106,-77.7941708692,33.8084494328,43.9857214366,-71.8522987134,31.2261803235,40.62611839,11593.9125572,-10624.9972507,-968.915306527,191926.123661,-83408.8797929,-108517.243868,0.396566125073,-0.172343064219,-0.224223060882,82.9572903315,1471.40981191,-2.66634732945e-13,1960.11396773,-0.000951840584094,-23.5481018158,-130.267837387,1112.09533053,-954.039317403,-158.056013124,0.0858144829999,60.0007812693,-0.0011554701685,-0.000662718307762,-0.000678823846106,-0.000331736710883
0.0004,124934.721532,1.97851265608e-07,-39564.4791414,-8.0142065177e-08,-85370.2423902,-1.17709200435e-07,1.84165082144,-0.769922965625,-1.07172785584,6.69345329589e-13,-3.70051869285e-13,-2.99293456249e-13,8091.30057997,-6325.71114357,-1765.5894364,5643.51269384,-5553.27462731,-90.2380665351,-127.904476538,49.6149537241,78.2895228136,-118.124733101,45.82084047,72.3038926313,8091.30057997,-6325.71114357,-1765.5894364,124934.721532,-39564.4791414,-85370.2423902,1.84165062359,-0.769922885483,-1.07172773813,-184.897641613,5639.18025092,2.33404272087e-13,1974.91760262,13.2474746363,-90.4402912359,-498.99442335,4233.13526837,-3690.6371593,-542.498109071,0.32888500564,60.0007360406,-0.00673843207198,-0.000658030848417,-0.000783699014187,-0.000331745338826
0.0006,197093.44454,3.22831288523e-07,-62416.6815575,-1.19686983393e-07,-134676.762982,-2.03144305132e-07,4.59677709551,-1.82815406939,-2.76862302615,3.00051380502e-13,-1.65885328896e-13,-1.34166049788e-13,12761.7551283,-9978.99240671,-2782.76272162,8901.75075873,-8759.29882064,-142.45193809,-206.92178242,74.5765485544,132.345233866,-191.088999278,68.868975838,122.22002344,12761.7551283,-9978.99240671,-2782.76272162,197093.44454,-62416.6815575,-134676.762982,4.59677677267,-1.8281539497,-2.768622823,-764.26606574,9578.20406412,2.24354413123e-12,2006.99456911,41.8417548368,-154.215092776,-846.740790896,7294.41822542,-6148.53774388,-1145.88048153,0.558621234354,60.0005903889,-0.0186825852901,-0.000642966435281,-0.00112139733439,-0.000331790991252
0.0008,175735.424264,4.66622360856e-07,-46176.2762251,-1.61434707684e-07,-129559.148039,-3.05187653173e-07,8.76846093759,-3.31411269482,-5.45434824281,1.34505821009e-13,-7.43623974528e-14,-6.01434227415e-14,11713.5770668,-8507.3851934,-3206.19187342,8299.54781696,-7616.33726048,-683.21055648,-276.743648653,92.7853039074,183.958344746,-255.548674281,85.6763574645,169.872316817,11713.5770668,-8507.3851934,-3206.19187342,175735.424264,-46176.2762251,-129559.148039,8.76846047097,-3.31411253338,-5.45434793762,-1459.11708096,12430.0837332,2.75553559561e-13,2045.57650667,76.0142196511,-201.103012932,-1097.55303812,9637.7324372,-7760.56423788,-1877.16819931,0.724967786502,60.0002773905,-0.0359459363528,-0.000610679548285,-0.00184697188155,-0.000331951744486
0.001,119550.094609,5.78997362858e-07,-6934.27468109,-1.81140053636e-07,-112615.819928,-3.97857309223e-07,14.2915657993,-5.12383520873,-9.16773059062,6.02957361162e-14,-3.33348719007e-14,-2.69608638503e-14,8867.38987689,-4807.35976992,-4060.03010697,6585.42474677,-4697.87588328,-1887.54886349,-323.316029275,94.9638963356,228.352132939,-298.523866993,87.6750028785,210.848864114,8867.38987689,-4807.35976992,-4060.03010697,119550.094609,-6934.27468109,-112615.819928,14.2915652203,-5.12383502759,-9.16773019276,-2671.3429578,16521.2836791,3.51372324932e-12,2112.89877905,135.616918605,-268.192437423,-1457.59191658,13026.2130574,-10088.407053,-2937.80600441,0.963631299169,59.9997354771,-0.0586357980193,-0.000554971322908,-0.00310289983578,-0.000332385363846
0.0012,191805.733574,6.96843357073e-07,-25359.6434977,-1.92543320267e-07,-166446.090077,-5.04300036806e-07,21.0296353009,-7.09740407837,-13.9322312226,2.70291474685e-14,-1.49432207975e-14,-1.20859265072e-14,13714.8107433,-8296.93852107,-5417.87222223,10017.6924794,-7823.70253823,-2193.98994119,-398.858795723,104.596074237,294.262721487,-368.248599498,96.5570261477,271.691573351,13714.8107433,-8296.93852107,-5417.87222223,191805.733574,-25359.6434977,-166446.090077,21.0296346041,-7.09740388583,-13.9322307183,-4085.27021163,19984.4772092,1.04590879911e-11,2191.6238681,204.917401899,-325.759512952,-1761.32255231,16038.4918207,-11906.3355802,-4132.15624045,1.16572285816,59.9988998048,-0.0872165377863,-0.000469424510242,-0.0050390388099,-0.000333359677643
0.0014,150668.465096,8.26031350606e-07,-5130.02959078,-2.03151544591e-07,-145538.435506,-6.22879806016e-07,29.0716729584,-9.18692400949,-19.884748949,1.2116541111e-14,-6.69868737991e-15,-5.41785365768e-15,11292.3307749,-5911.83640394,-5380.49437093,8431.37965907,-5841.58651632,-2589.79314275,-457.212592494,105.962883454,351.249709041,-422.084940118,97.803063471,324.281876647,11292.3307749,-5911.83640394,-5380.49437093,150668.465096,-5130.02959078,-145538.435506,29.0716721324,-9.18692380634,-19.8847483261,-5445.35037579,22625.9929445,2.27890567887e-12,2267.66968669,271.230733089,-370.620805916,-1991.71088644,18492.3329141,-13030.2008472,-5462.13206693,1.31994767335,59.9977095053,-0.120529902505,-0.000348173286523,-0.00779575134779,-0.000335282406721
0.0016,108195.570996,9.21611035086e-07,28245.6939029,-1.92711104842e-07,-136441.264899,-7.28899930245e-07,38.3000887403,-11.2770821469,-27.0230065934,5.43157268693e-15,-3.00285769987e-15,-2.42871495416e-15,9279.24836736,-2972.94867664,-6306.29969072,7275.77354981,-3563.22835706,-3712.54519275,-497.953145894,93.7920678903,404.161078003,-459.642845035,86.5446035284,373.098241507,9279.24836736,-2972.94867664,-6306.29969072,108195.570996,28245.6939029,-136441.264899,38.3000878187,-11.2770819542,-27.0230058645,-7515.13797404,26400.6390253,6.69921602657e-12,2383.22288439,372.337378013,-433.951704388,-2321.96717001,21975.3367828,-14801.976955,-7173.35982771,1.54039810468,59.9961090727,-0.158798284972,-0.000186069985093,-0.0115006331563,-0.000338729519199
0.0018,176202.710289,1.02651496397e-06,13299.8338621,-1.75129944661e-07,-189502.544151,-8.51385019313e-07,48.586561995,-13.2190145208,-35.3675474742,2.43486463289e-15,-1.3461049866e-15,-1.08875963154e-15,13932.4744119,-6168.30268283,-7764.17172906,10596.1663861,-6459.37612558,-4136.79026049,-565.981753639,87.7622308594,478.21952278,-522.396077619,80.9590284917,441.437049128,13932.4744119,-6168.30268283,-7764.17172906,176202.710289,13299.8338621,-189502.544151,48.5865609685,-13.2190143457,-35.3675466228,-9591.1881455,29228.9175283,8.53876610897e-12,2499.55488661,473.281542042,-482.619068452,-2567.7908777,24787.6983095,-15906.3645423,-8881.33376718,1.70577476303,59.9940410293,-0.202143387024,2.20443153779e-05,-0.0162854675259,-0.000344471732389
0.002,118902.279919,1.13488006455e-06,34666.9149524,-1.55156141534e-07,-153569.194871,-9.79723923017e-07,59.9985367492,-14.9623868732,-45.036149876,1.09151346269e-15,-6.03422240792e-16,-4.88091215291e-16,10306.2719911,-3120.17301392,-7186.09897721,8123.59687955,-3832.06409707,-4291.53278248,-610.321104273,73.1126693369,537.208434936,-563.257016769,67.4123084497,495.844708319,10306.2719911,-3120.17301392,-7186.09897721,118902.279919,34666.9149524,-153569.194871,59.9985356143,-14.9623867181,-45.0361488963,-11556.958018,31553.4246135,-5.40364798003e-12,2610.22368919,568.299902406,-523.580756387,-2768.53398283,27236.844831,-16483.1483142,-10753.6965167,1.84187797558,59.9914538916,-0.249397314247,0.000280506178804,-0.0222677002733,-0.000353499750714
0.0022,91398.3318172,1.2093190819e-06,63433.0404726,-1.15706610533e-07,-154831.37229,-1.09361247137e-06,72.374992479,-16.3917095628,-55.9832829163,4.89314539625e-16,-2.7049146321e-16,-2.1882307345e-16,9272.94325817,-942.767468228,-8330.17578994,7647.54210808,-2219.24601415,-5428.29609393,-643.210107414,46.9030218252,596.307085589,-593.532529317,43.1898704326,550.342658885,9272.94325817,-942.767468228,-8330.17578994,91398.3318172,63433.0404726,-154831.37229,72.3749912697,-16.391709447,-55.9832818227,-14386.0867597,34790.2646302,2.15425472396e-11,2769.01407977,705.577789225,-579.432688859,-3049.65779662,30623.9425219,-17612.3214428,-13011.6210791,2.03149596073,59.9883011984,-0.300851456985,0.000592912287272,-0.0295526470252,-0.000367047273399
0.0024,151357.330293,1.295937355e-06,51141.4671839,-7.00829560558e-08,-202498.797477,-1.22585439894e-06,85.60095725,-17.3715256057,-68.2294316444,2.19365818096e-16,-1.21245354476e-16,-9.81204622907e-17,13407.7456213,-3729.46470251,-9678.28091877,10606.3736487,-4755.04620516,-5851.32744354,-700.178469386,25.854120581,674.324348805,-646.039855305,23.7370784024,622.302776903,13407.7456213,-3729.46470251,-9678.28091877,151357.330293,51141.4671839,-202498.797477,85.600955954,-17.3715255356,-68.2294304185,-16944.5794906,36878.5686046,1.10000729836e-11,2913.43404182,828.829044513,-617.311201565,-3228.54951612,33096.5001308,-17976.5558936,-15119.9442372,2.15428258676,59.984536064,-0.356288465981,0.000962656802878,-0.038246080283,-0.000386611658334
0.0026,82181.1780222,1.37834878795e-06,71530.1923111,-2.16051657996e-08,-153711.370333,-1.35674362215e-06,99.7184327285,-17.8541798902,-81.8642528384,9.83534518565e-17,-5.43413359119e-17,-4.40121153486e-17,8828.61276531,-265.99176962,-8562.62099569,7412.48077924,-1688.5593916,-5723.92138763,-728.719289626,-3.31562617468,732.034915801,-672.279105194,-3.21373556599,675.49284076,8828.61276531,-265.99176962,-8562.62099569,82181.1780222,71530.1923111,-153711.370333,99.7184313501,-17.8541798686,-81.8642514816,-19442.4397661,38785.534003,-2.50214084911e-11,3055.02939369,948.506665642,-652.543637971,-3391.04057058,35423.0813283,-17970.4574234,-17452.6239049,2.26666732672,59.9801190407,-0.414627522113,0.00139212191303,-0.0484359554047,-0.000413972683946
0.0028,69766.9475553,1.4282696801e-06,97029.2159453,4.44905648903e-08,-166796.163501,-1.472760245e-06,114.533475639,-17.7315777735,-96.8018978655,4.4099806879e-17,-2.43462342233e-17,-1.97535723889e-17,8837.1754789,1197.01064402,-10034.1861229,7675.18897302,-721.192166356,-6953.99680666,-752.033765254,-42.6222721864,794.656037441,-693.682858996,-39.52340367,733.206262666,8837.1754789,1197.01064402,-10034.1861229,69766.9475553,97029.2159453,-166796.163501,114.533474211,-17.731577818,-96.8018963928,-22875.7639851,41293.6675355,1.74206481449e-11,3248.83609616,1113.89579932,-697.628430394,-3606.44127088,38531.3883082,-18409.6191014,-20121.7692068,2.41462686744,59.9750151775,-0.476164663041,0.00188296806772,-0.0601991966854,-0.000451208489503
0.003,118805.941528,1.492209754e-06,86095.6592027,558.982127595,-204817.123459,-1.60792489974e-06,129.948423378,542.098174564,-113.064797288,1.97821079265e-17,1.15651463752e-10,-8.88301479224e-18,12179.5020289,-1127.76375765,-11051.7382712,10052.6319516,-2809.01394417,-7240.39897097,-795.108124728,-77.0443702241,872.220188461,-733.330558665,-71.3173480943,804.707124765,12179.5020289,-1127.76375765,-11051.7382712,118805.941528,86095.6592027,-204817.123459,129.948421886,-16.8839530311,-113.06479568,-25727.4198374,42591.7644594,2.22524920872e-11,3411.20186203,1249.74377362,-723.657075981,-3714.29648589,40546.3082414,-18042.2503525,-22504.0578889,2.4921187387,59.9691907773,-0.540384940653,0.00243645065867,-0.0736091853592,-0.000500708814412
0.0032,42168.3069041,1.54499636552e-06,104595.604215,1221.38902327,-146579.75651,-1.73415592455e-06,145.978323415,1206.11541703,-130.706736828,8.87876285228e-18,1.88893462167e-10,-4.00815787783e-18,6950.59059214,2536.59743337,-9487.18802551,6349.97502108,510.379966789,-6853.33767101,-806.874471711,-118.51139322,925.601081154,-744.052258633,-109.614469826,853.85498484,6950.59059214,2536.59743337,-9487.18802551,42168.3069041,104595.604215,-146579.75651,145.97832187,-15.2736062402,-130.706735094,-28671.5962701,43984.1834446,-1.39082726936e-11,3579.26022412,1389.53539081,-751.345108299,-3830.29779034,42635.7448907,-17447.5551207,-25188.18977,2.57538778569,59.9626203533,-0.606370384011,0.00305271873715,-0.0887196010063,-0.000565185807756
0.0034,43889.5655776,1.56822259874e-06,128342.6796,2154.09504963,-171908.071119,-1.84652166003e-06,162.408046849,2141.28740352,-149.607117512,3.98494049918e-18,2.77650040217e-10,-1.82000851088e-18,7981.2704158,3368.42917841,-11349.6995942,7346.81402397,899.921169935,-8234.38229884,-819.327742403,-169.012756168,988.815341358,-755.403630062,-156.251583597,912.070546071,7981.2704158,3368.42917841,-11349.6995942,43889.5655776,128342.6796,-171908.071119,162.408045281,-12.8076461074,-149.607115666,-32513.7763511,45612.598767,2.86189302626e-11,3797.54463748,1573.0927054,-782.971601895,-3966.97214054,45300.3740985,-17197.2530363,-28103.1210621,2.67313496253,59.9552823906,-0.674345702996,0.00373124221466,-0.105574228246,-0.000647681611958
0.0036,80266.0033033,1.60634099089e-06,116906.04245,3340.5446642,-196670.217286,-1.97754822241e-06,179.160052209,3331.15912846,-169.79108842,1.79423920155e-18,3.69936145181e-10,-8.42974828445e-19,10325.3232866,1500.21340032,-11825.536687,8970.88647104,-707.941116501,-8243.82272137,-846.529093268,-214.141824744,1061.54757541,-780.372203603,-197.92142675,979.060370834,10325.3232866,1500.21340032,-11825.536687,80266.0033033,116906.04245,-196670.217286,179.160050602,-9.38553574016,-169.791086443,-35481.8995071,46111.6988011,3.04824543308e-11,3968.30520005,1712.56314601,-796.716612191,-4003.40415961,46765.6460439,-16146.958039,-30618.6880048,2.70496195897,59.9471583379,-0.743568984401,0.00447090891177,-0.124209279373,-0.000751573009252
0.0038,569.137584489,1.62743482907e-06,133177.126894,4775.1233215,-133030.186413,-2.09226570723e-06,196.223020243,4770.13685444,-191.270878992,8.08678367121e-19,4.62642821763e-10,-4.01619919641e-19,4773.96580438,5181.13983789,-9955.10564228,4998.72374558,2687.73611996,-7659.17293748,-841.348117449,-265.084016614,1107.88202544,-775.425810344,-244.955951167,1021.64978411,4773.96580438,5181.13983789,-9955.10564228,569.137584489,133177.126894,-133030.186413,196.223018616,-4.98646705369,-191.270876899,-38768.5878712,46891.4606492,-2.39197515982e-11,4157.26547438,1867.14192184,-814.996941296,-4064.62147844,48512.2752136,-14991.9264222,-33520.3487914,2.75359504783,59.9382379695,-0.813329005425,0.00526950183648,-0.144640945868,-0.000880573227875
0.004,14887.0242227,1.62303279123e-06,155841.96229,6522.55307228,-169752.468279,-2.19542369193e-06,213.372315656,6523.0165221,-213.899089427,3.61600225803e-19,5.68928799574e-10,-2.01379547335e-19,6735.1768203,5469.10209076,-12204.2789111,6668.91140365,2570.76592632,-9202.46589739,-842.136129803,-324.287863844,1168.65543958,-775.991334089,-299.616198524,1077.55895682,6735.1768203,5469.10209076,-12204.2789111,14887.0242227,155841.96229,-169752.468279,213.372314033,0.463449813023,-213.899087231,-42785.4906075,47541.1978492,1.45840141716e-11,4387.24060511,2057.11937983,-831.276526584,-4114.21597325,50594.7453117,-14094.2186415,-36500.5266702,2.79547962579,59.9285146455,-0.883711177947,0.0061241808005,-0.166876385495,-0.00103873030387
0.0042,37918.1109309,1.63354151404e-06,141991.768637,8560.71044349,-178630.308672,-2.31542617237e-06,230.552002195,8567.75429961,-237.703431203,1.64270871363e-19,6.76724780058e-10,-1.15101689268e-19,7954.06185559,4007.44021765,-11961.5020732,7425.14578585,1433.51104323,-8809.89700445,-852.405935442,-376.800174801,1232.46144117,-785.313100244,-348.09020697,1136.24996093,7954.06185559,4007.44021765,-11961.5020732,37918.1109309,141991.768637,-178630.308672,230.552000562,7.04385612364,-237.703428887,-45702.1951781,47269.3489219,6.46737760781e-12,4557.21981773,2191.79596804,-832.87011071,-4082.13165187,51446.3402497,-12437.9696377,-39008.370612,2.78329311906,59.9179862159,-0.953846434733,0.0070313965446,-0.190911623853,-0.00123042238641
0.0044,-40868.2528258,1.62247764945e-06,156532.486057,10877.3337109,-114041.066529,-2.41248213737e-06,247.726876376,10892.0865531,-262.651459289,7.13495911363e-20,7.82660749845e-10,-7.16778537812e-20,2406.33600418,7569.97278652,-9976.3087907,3430.30793822,4761.43038535,-8129.88505256,-830.843690647,-434.082283194,1269.47984968,-765.232077526,-400.964948154,1170.17896798,2406.33600418,7569.97278652,-9976.3087907,-40868.2528258,156532.486057,-114041.066529,247.726874753,14.7528421667,-262.651456877,-49194.7710413,47347.7480037,-2.77643981515e-11,4759.59744523,2354.33124469,-840.011286543,-4081.12905615,52758.9027932,-10780.0603361,-41978.8424571,2.79220328117,59.9066583383,-1.0232411769,0.00798659081181,-0.216723864812,-0.00146034994734
