time_s,S1_v_pu,R1_v_pu,S2_v_pu,R2_v_pu,S3_v_pu,R3_v_pu,S4_v_pu,R4_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu
0,104.999192771,100,-50,-50,-50,-50,100,100,104.999192771,-50,-50,100,-50,-50,100,100
5e-05,104.988300289,99.9822352381,-48.3587948575,-48.3587948575,-51.6234403806,-51.6234403806,99.9822352381,99.9822352381,104.988300289,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806,99.9822352381,99.9822352381
0.0001,104.940105964,99.9289472641,-46.7004080655,-46.7004080655,-53.2285391986,-53.2285391986,99.9289472641,99.9289472641,104.940105964,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986,99.9289472641,99.9289472641
0.00015,104.85462692,99.8401550109,-45.0254288408,-45.0254288408,-54.8147261701,-54.8147261701,99.8401550109,99.8401550109,104.85462692,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701,99.8401550109,99.8401550109
0.0002,104.731893526,99.7158900261,-43.3344522957,-43.3344522957,-56.3814377303,-56.3814377303,99.7158900261,99.7158900261,104.731893526,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303,99.7158900261,99.7158900261
0.00025,104.571949388,99.5561964603,-41.628079226,-41.628079226,-57.9281172343,-57.9281172343,99.5561964603,99.5561964603,104.571949388,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343,99.5561964603,99.5561964603
0.0003,104.374851335,99.361131052,-39.906915898,-39.906915898,-59.454215154,-59.454215154,99.361131052,99.361131052,104.374851335,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154,99.361131052,99.361131052
0.00035,104.140669395,99.130763107,-38.1715738328,-38.1715738328,-60.9591892741,-60.9591892741,99.130763107,99.130763107,104.140669395,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741,99.130763107,99.130763107
0.0004,103.86948677,98.8651744738,-36.4226695892,-36.4226695892,-62.4425048846,-62.4425048846,98.8651744738,98.8651744738,103.86948677,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846,98.8651744738,98.8651744738
0.00045,103.561399811,98.5644595149,-34.6608245445,-34.6608245445,-63.9036349704,-63.9036349704,98.5644595149,98.5644595149,103.561399811,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704,98.5644595149,98.5644595149
0.0005,103.21651798,98.2287250729,-32.8866646739,-32.8866646739,-65.342060399,-65.342060399,98.2287250729,98.2287250729,103.21651798,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399,98.2287250729,98.2287250729
0.00055,102.834963812,97.8580904325,-31.1008203279,-31.1008203279,-66.7572701047,-66.7572701047,97.8580904325,97.8580904325,102.834963812,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047,97.8580904325,97.8580904325
0.0006,102.41687287,97.4526872787,-29.3039260085,-29.3039260085,-68.1487612701,-68.1487612701,97.4526872787,97.4526872787,102.41687287,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701,97.4526872787,97.4526872787
0.00065,101.962393702,97.012659649,-27.4966201438,-27.4966201438,-69.5160395052,-69.5160395052,97.012659649,97.012659649,101.962393702,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052,97.012659649,97.012659649
0.0007,101.47168778,96.5381638833,-25.6795448608,-25.6795448608,-70.8586190225,-70.8586190225,96.5381638833,96.5381638833,101.47168778,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225,96.5381638833,96.5381638833
0.00075,100.944929451,96.0293685677,-23.8533457579,-23.8533457579,-72.1760228098,-72.1760228098,96.0293685677,96.0293685677,100.944929451,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098,96.0293685677,96.0293685677
0.0008,100.38230587,95.4864544747,-22.0186716747,-22.0186716747,-73.4677827999,-73.4677827999,95.4864544747,95.4864544747,100.38230587,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999,95.4864544747,95.4864544747
0.00085,99.7840169324,94.909614499,-20.1761744624,-20.1761744624,-74.7334400366,-74.7334400366,94.909614499,94.909614499,99.7840169324,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366,94.909614499,94.909614499
0.0009,99.1502752092,94.2990535893,-18.3265087514,-18.3265087514,-75.9725448379,-75.9725448379,94.2990535893,94.2990535893,99.1502752092,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379,94.2990535893,94.2990535893
0.00095,98.4813058653,93.6549886748,-16.470331719,-16.470331719,-77.1846569558,-77.1846569558,93.6549886748,93.6549886748,98.4813058653,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558,93.6549886748,93.6549886748
0.001,97.7773465824,92.9776485888,-14.6083028563,-14.6083028563,-78.3693457326,-78.3693457326,92.9776485888,92.9776485888,97.7773465824,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326,92.9776485888,92.9776485888
0.00105,97.0386474739,92.267273987,-12.741083733,-12.741083733,-79.526190254,-79.526190254,92.267273987,92.267273987,97.0386474739,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254,92.267273987,92.267273987
0.0011,96.2654709959,91.5241172621,-10.8693377634,-10.8693377634,-80.6547794987,-80.6547794987,91.5241172621,91.5241172621,96.2654709959,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987,91.5241172621,91.5241172621
0.00115,95.4580918545,90.7484424541,-8.99372996987,-8.99372996987,-81.7547124842,-81.7547124842,90.7484424541,90.7484424541,95.4580918545,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842,90.7484424541,90.7484424541
0.0012,94.6167969076,89.9405251566,-7.11492674688,-7.11492674688,-82.8255984098,-82.8255984098,89.9405251566,89.9405251566,94.6167969076,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098,89.9405251566,89.9405251566
