case,input,runner,samples,timestep_s,duration_s,nodes,output_channels,maximum_abs_voltage,maximum_abs_plotted_response,plotted_channels
c307_automatic_direct_machine_type10,c307_automatic_direct_machine_type10.deck,universal_machine_emt,4,2e-05,6e-05,8,15,46.6401445766,51.276625193,branch_current_branch_fixed_1;branch_current_branch_fixed_4;branch_current_branch_fixed_6;branch_current_branch_fixed_7;power_zero_axis_current_A;orthogonal_dummy_current_A
c307_automatic_direct_machine_type11,c307_automatic_direct_machine_type11.deck,universal_machine_emt,4,2e-05,6e-05,8,15,46.6401445754,51.275388472,branch_current_branch_fixed_1;branch_current_branch_fixed_4;branch_current_branch_fixed_6;branch_current_branch_fixed_7;power_zero_axis_current_A;orthogonal_dummy_current_A
c307_automatic_direct_machine_type12,c307_automatic_direct_machine_type12.deck,universal_machine_emt,4,2e-05,6e-05,8,15,46.6403671019,273.801863763,branch_current_branch_fixed_1;branch_current_branch_fixed_4;branch_current_branch_fixed_6;branch_current_branch_fixed_7;power_zero_axis_current_A;orthogonal_dummy_current_A
c307_automatic_direct_machine_type9,c307_automatic_direct_machine_type9.deck,universal_machine_emt,4,2e-05,6e-05,8,15,46.6401325257,94.9437210019,branch_current_branch_fixed_1;branch_current_branch_fixed_4;branch_current_branch_fixed_6;branch_current_branch_fixed_7;power_zero_axis_current_A;orthogonal_dummy_current_A
detailed_synchronous_machine_universal_section,detailed_synchronous_machine_universal_section.deck,synchronous_machine,101,0.0002,0.02,18,35,408248.29,1.07490522614,synchronous_machine_1_phase_a_current;synchronous_machine_1_phase_b_current;synchronous_machine_1_phase_c_current
synchronous_machine_saturated_delta_fleet,synchronous_machine_saturated_delta_fleet.deck,synchronous_machine_fleet,1001,0.0002,0.2,30,74,27625519.6963,212421.066822,synchronous_machine_1_phase_a_current;synchronous_machine_1_phase_b_current;synchronous_machine_1_phase_c_current;synchronous_machine_2_phase_a_current;synchronous_machine_2_phase_b_current;synchronous_machine_2_phase_c_current
universal_machine_direct_coupled_fleet,universal_machine_direct_coupled_fleet.deck,universal_machine_emt,11,2e-05,0.0002,10,12,12.00000216,1.07628770692e-06,branch_current_branch_fixed_6;branch_current_branch_fixed_8;branch_current_branch_fixed_9;branch_current_branch_fixed_11;branch_current_branch_fixed_12;branch_current_branch_fixed_13
universal_machine_direct_electromechanical_fleet,universal_machine_direct_electromechanical_fleet.deck,universal_machine_emt,11,2e-05,0.0002,10,13,12.00000216,1.05294482131e-06,branch_current_branch_fixed_6;branch_current_branch_fixed_8;branch_current_branch_fixed_9;branch_current_branch_fixed_11;branch_current_branch_fixed_12;branch_current_branch_fixed_13
universal_machine_direct_fleet,universal_machine_direct_fleet.deck,universal_machine_emt,50,2e-05,0.00098,10,12,12,1.07628770692e-06,branch_current_branch_fixed_5;branch_current_branch_fixed_7;branch_current_branch_fixed_8;branch_current_branch_fixed_10;branch_current_branch_fixed_11;branch_current_branch_fixed_12
universal_machine_direct_tacs_fleet,universal_machine_direct_tacs_fleet.deck,universal_machine_emt,11,2e-05,0.0002,10,26,12,1.07628770692e-06,branch_current_branch_fixed_5;branch_current_branch_fixed_7;branch_current_branch_fixed_8;branch_current_branch_fixed_10;branch_current_branch_fixed_11;branch_current_branch_fixed_12
universal_machine_type1,universal_machine_type1.deck,universal_machine_emt,501,0.0002,0.1,14,16,3000,163.913521258,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type10,universal_machine_type10.deck,universal_machine_emt,50,2e-05,0.00098,5,14,3537.13790512,20.8080433383,branch_current_branch_fixed_3;branch_current_branch_fixed_5;branch_current_branch_fixed_6;power_zero_axis_current_A;orthogonal_dummy_current_A;armature_current_A
universal_machine_type11,universal_machine_type11.deck,universal_machine_emt,50,2e-05,0.00098,5,14,10,0.00067799909162,branch_current_branch_fixed_3;branch_current_branch_fixed_5;branch_current_branch_fixed_6;power_zero_axis_current_A;orthogonal_dummy_current_A;armature_current_A
universal_machine_type12,universal_machine_type12.deck,universal_machine_emt,50,2e-05,0.00098,5,14,10,0.00427260513554,branch_current_branch_fixed_3;branch_current_branch_fixed_5;branch_current_branch_fixed_6;power_zero_axis_current_A;orthogonal_dummy_current_A;armature_current_A
universal_machine_type2,universal_machine_type2.deck,universal_machine_emt,501,0.0002,0.1,14,16,3000,207.320510341,branch_current_branch_fixed_1;branch_current_branch_fixed_8;branch_current_branch_fixed_10;branch_current_branch_fixed_11;power_zero_axis_current_A;armature_axis_1_current_A
universal_machine_type3,universal_machine_type3.deck,universal_machine_emt,501,0.0002,0.1,13,15,3000,376.278146662,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type3_manual,universal_machine_type3_manual.deck,universal_machine_emt,51,0.0002,0.01,9,15,3103.23268611,1039.43816213,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type3_normalized,universal_machine_type3_normalized.deck,universal_machine_emt,51,0.0002,0.01,13,15,3000,703.002216793,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type3_normalized_predicted_current,universal_machine_type3_normalized_predicted_current.deck,universal_machine_emt,51,0.0002,0.01,13,15,3000,703.002144714,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type3_predicted_current,universal_machine_type3_predicted_current.deck,universal_machine_emt,51,0.0002,0.01,13,15,3000,376.274652795,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type3_remanent,universal_machine_type3_remanent.deck,universal_machine_emt,51,0.0002,0.01,13,15,3000,376.274652795,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type4,universal_machine_type4.deck,universal_machine_emt,501,0.0002,0.1,13,16,3000,376.278146662,phase_a_current_A;phase_b_current_A;phase_c_current_A
universal_machine_type5,universal_machine_type5.deck,universal_machine_emt,501,0.0002,0.1,13,15,3000,2575.6856854,branch_current_branch_fixed_1;branch_current_branch_fixed_7;branch_current_branch_fixed_9;branch_current_branch_fixed_10;power_zero_axis_current_A;armature_axis_1_current_A
