time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,field_current_A,q_axis_damper_current_A
0,3000,3000,-1500,-1500,-1500,-1500,45.4657803938,188.495559215,94.2477796077,188.495766444,3000,-1500,-1500,188.495559215,3000,3000,45.4657803938,188.495559215,1.46587931827e-18,207.229066859,0,207.229066518,0,188.495559215,0,0,0,0,-413.325276311,-0
0.0002,2991.46784254,2991.47670078,-1299.9594095,-1300.03356887,-1691.50843304,-1691.44313191,45.336607577,188.495559216,94.247779608,188.495766445,2991.46677955,-1299.95051039,-1691.51626916,188.495559216,2991.47670078,2991.46784254,45.336607577,188.495559216,-8.85823571731e-05,207.22906686,0.000660747289658,207.229066518,-0.000660797240924,188.495559215,0,-8.85823571762e-05,0.000741592955772,-0.000653010598595,-413.323812193,-3.22442858566e-05
0.0004,2965.88922863,2965.95523421,-1092.37315912,-1092.68008768,-1873.51606951,-1873.27514654,44.9498231122,188.495559219,94.2477796097,188.495766448,2965.88130797,-1092.33632775,-1873.54498022,188.495559219,2965.95523421,2965.88922863,44.9498231122,188.495559219,-0.000837219693133,207.229066864,0.00264123082161,207.22906649,-0.00264124010165,188.495559215,0,-0.000837219693139,0.00455246691863,-0.00371524722549,-413.316510295,-0.000128854243912
0.0006,2923.3630633,2923.58061836,-878.410599347,-879.117780255,-2044.95246395,-2044.4628381,44.307624786,188.495559228,94.2477796141,188.495766457,2923.33695674,-878.325737815,-2045.01121892,188.495559228,2923.58061836,2923.3630633,44.307624786,188.495559228,-0.00367282159355,207.229066874,0.00596117973328,207.229066518,-0.00596122011852,188.495559215,0,-0.00367282159354,0.0146935423119,-0.0110207207184,-413.297595623,-0.000290747532475
0.0008,2864.08799081,2864.59363424,-659.286410908,-660.560150242,-2204.8015799,-2204.033484,43.4136616973,188.495559245,94.2477796226,188.495766474,2864.02731373,-659.133562602,-2204.89375112,188.495559245,2864.59363424,2864.08799081,43.4136616973,188.495559245,-0.0109047919338,207.229066892,0.0107069313526,207.229066518,-0.0107070010983,188.495559215,0,-0.0109047919338,0.0345026955371,-0.0235979036033,-413.261398257,-0.000522086425422
0.001,2788.36263589,2789.32945766,-436.253819251,-438.249085688,-2352.10881664,-2351.08037198,42.2730135227,188.495559274,94.2477796368,188.495766503,2788.24661758,-436.014388085,-2352.2322295,188.495559274,2789.32945766,2788.36263589,42.2730135227,188.495559274,-0.0256294074921,207.229066923,0.0170672535896,207.22906649,-0.0170672976447,188.495559215,-2.22044604925e-16,-0.0256294074921,0.0671926515439,-0.0415632440518,-413.202384904,-0.000832039744442
0.0012,2696.58514894,2698.2157547,-210.59732016,-213.447802406,-2485.98782878,-2484.76795229,40.8921616527,188.495559317,94.2477796584,188.495766546,2696.38947687,-210.255263678,-2486.13421319,188.495559317,2698.2157547,2696.58514894,40.8921616527,188.495559317,-0.0516036056034,207.229066971,0.0253676176071,207.22906649,-0.025367714998,188.495559215,0,-0.0516036056034,0.115649955527,-0.0640463499237,-413.115189554,-0.00123646522313
0.0014,2589.2520424,2591.77025158,16.3749785866,12.5663338662,-2605.62702098,-2604.33658544,39.2789523631,188.49555938,94.2477796898,188.495766609,2588.94985841,16.8320137662,-2605.78187218,188.49555938,2591.77025158,2589.2520424,39.2789523631,188.49555938,-0.0930916102908,207.22906704,0.0361024141312,207.229066518,-0.0361026218082,188.495559215,0,-0.0930916102908,0.182240927306,-0.0891493170153,-412.994643055,-0.00175946855782
0.0016,2466.95627893,2470.59779289,243.339409038,238.509065723,-2710.29568797,-2709.10685861,37.4425522309,188.495559467,94.2477797337,188.495766696,2466.51929912,243.919047012,-2710.43834613,188.495559467,2470.59779289,2466.95627893,37.4425522309,188.495559467,-0.154688593837,207.229067137,0.0499642789364,207.229066518,-0.0499645815199,188.495559215,4.4408920985e-16,-0.154688593837,0.268630356789,-0.113941762952,-412.83580146,-0.00243484717217
0.0018,2330.38462293,2335.3869047,468.965066269,463.096541491,-2799.3496892,-2798.48344619,35.3933960478,188.495559588,94.2477797938,188.495766817,2329.78435202,469.669284736,-2799.45363675,188.495559588,2335.3869047,2330.38462293,35.3933960478,188.495559588,-0.241126155208,207.229067269,0.0678699910641,207.229066518,-0.0678704542512,188.495559215,4.4408920985e-16,-0.241126155208,0.375618393478,-0.13449223827,-412.633972986,-0.00330737741958
