time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0,361.168262939,3000,-402.385360654,-1500,41.2170977143,-1500,0.49,0.245,0.489950541106,44.5092699512,-270.679285964,226.170016013,0.49,3000,361.168262939,0.49,-67.9549154433,0.538698328936,0,-49.4588938371,-0.397868196789,184.725648031,0.785398163397,-67.9549154433,640.169307824,-572.214392381,-0.340252393562,-3.67694645906
0.0002,379.425275271,2991.47670078,-387.323990888,-1300.03356887,7.89871561743,-1691.44313191,0.489999655014,0.244999827507,0.48995019612,65.9805497721,-277.806764785,211.826215013,0.489999655014,2991.47670078,379.425275271,0.489999655014,-120.463558651,0.538697949664,-0.338086000585,-49.458893837,-0.395177790861,184.725648031,0.822343293004,-120.463558651,660.271249557,-539.807690907,-0.344283963085,-3.65149195879
0.0004,395.525233193,2965.95523421,-370.062213631,-1092.68008768,-25.4630195629,-1873.27514654,0.489998723465,0.244999361733,0.489949264572,87.075700528,-283.356188223,196.280487695,0.489998723465,2965.95523421,395.525233193,0.489998723465,-172.288080164,0.538696925534,-0.574831943668,-49.4588938369,-0.393293818356,184.725648031,0.85928842261,-172.288080164,676.623187183,-504.335107019,-0.35055625125,-3.63333354162
0.0006,409.377634479,2923.58061836,-350.698482019,-879.117780255,-58.6791524608,-2044.4628381,0.489997384569,0.244998692284,0.489947925675,107.675954022,-287.296435817,179.620481795,0.489997384569,2923.58061836,409.377634479,0.489997384569,-223.134014591,0.538695453572,-0.737286573392,-49.458893837,-0.392001033775,184.725648031,0.896233552216,-223.134014591,689.13219315,-465.998178559,-0.358399611388,-3.6205241233
0.0008,420.904527357,2864.59363424,-329.342909841,-660.560150241,-91.5616175164,-2204.033484,0.489995769938,0.244997884969,0.489946311044,127.66510708,-289.605213719,161.940106638,0.489995769938,2864.59363424,420.904527357,0.489995769938,-272.712439652,0.538693678472,-0.845051788434,-49.4588938369,-0.391143451315,184.725648031,0.933178681822,-272.712439652,697.727171677,-425.014732025,-0.367322852218,-3.61165399281
0.001,430.040260108,2789.32945766,-306.116741079,-438.249085687,-123.923519029,-2351.08037198,0.489993976744,0.244996988372,0.48994451785,146.929405301,-290.269288037,143.339882737,0.489993976744,2789.32945766,430.040260108,0.489993976744,-320.741629243,0.538691707063,-0.912278008298,-49.4588938368,-0.390608466367,184.725648031,0.970123811429,-320.741629243,702.359267441,-381.617638198,-0.376965919746,-3.60570662973
0.0012,436.732810121,2698.2157547,-281.15188353,-213.447802406,-155.580926592,-2484.76795229,0.489992077369,0.244996038685,0.489942618475,165.359260156,-289.28480929,123.925549134,0.489992077369,2698.2157547,436.732810121,0.489992077369,-366.948662974,0.538689618919,-0.949109651381,-49.4588938368,-0.390315352847,184.725648031,1.00706894103,-366.948662974,703.002144714,-336.053481741,-0.387064426784,-3.60195441018
0.0014,440.944068894,2591.77025158,-254.590147773,12.5663338669,-186.353921121,-2604.33658545,0.489990126391,0.244995063196,0.489940667497,182.849859824,-286.657321395,103.807461571,0.489990126391,2591.77025158,440.944068894,0.489990126391,-411.070976227,0.538687474045,-0.962848692259,-49.4588938367,-0.390206003965,184.725648031,1.04401407064,-411.070976227,699.652136433,-288.581160206,-0.397422379043,-3.5998746024
0.0016,442.650050115,2470.59779288,-226.582433423,238.509065724,-216.067616692,-2709.10685861,0.489988165543,0.244994082772,0.48993870665,199.301755277,-282.40172126,83.0999659833,0.489988165543,2470.59779288,442.650050115,0.489988165543,-452.857851552,0.53868531832,-0.958782069618,-49.4588938367,-0.390238347964,184.725648031,1.08095920025,-452.857851552,692.328264644,-239.470413092,-0.407892833996,-3.59908964594
0.0018,441.841019498,2335.3869047,-197.287866332,463.096541491,-244.553153166,-2798.48344619,0.489986227225,0.244993113613,0.489936768331,214.621418135,-276.542168136,61.9207500011,0.489986227225,2335.3869047,441.841019498,0.489986227225,-492.071842902,0.538683187363,-0.940769736015,-49.4588938367,-0.390381668603,184.725648031,1.11790432985,-492.071842902,681.072132174,-189.000289272,-0.418364196371,-3.59932471607
0.002,438.521545382,2186.90588226,-166.872890833,685.052610332,-271.648654549,-2871.9584926,0.489984336989,0.244992168494,0.489934878095,228.721766838,-269.111942345,40.3901755078,0.489984336989,2186.90588226,438.521545382,0.489984336989,-528.490124561,0.538681109266,-0.911662340863,-49.4588938366,-0.390613281357,184.725648031,1.15484945946,-528.490124561,665.947686064,-137.457561503,-0.428750515453,-3.6003775869
0.0022,432.710469361,2025.99842436,-135.51032162,903.116073588,-297.200147741,-2929.11449795,0.489982515295,0.244991257647,0.489933056401,241.52265763,-260.153253535,18.6305959051,0.489982515295,2025.99842436,432.710469361,0.489982515295,-561.905757084,0.538679106524,-0.873597687227,-49.4588938366,-0.390916174309,184.725648031,1.19179458907,-561.905757084,647.040854112,-85.135097028,-0.438984621611,-3.60209724293
0.0024,424.44079676,1853.57883927,-103.378360242,1116.04785116,-321.062436518,-2969.62669043,0.489980778755,0.244990389378,0.489931319861,252.951337205,-249.716999119,-3.23433808595,0.489980778755,1853.57883927,424.44079676,0.489980778755,-592.128863025,0.5386771974,-0.828210929059,-49.4588938366,-0.391277335461,184.725648031,1.22873971867,-592.128863025,624.459056546,-32.3301935215,-0.44901327614,-3.60436871382
0.0026,413.759507326,1670.62684946,-70.6595815416,1322.63802222,-343.099925785,-2993.26487168,0.489979141006,0.244989570503,0.489929682112,262.942854122,-237.86247396,-25.0803801627,0.489979141006,1670.62684946,413.759507326,0.489979141006,-618.987705755,0.538675396884,-0.776783386653,-49.4588938364,-0.391686568512,184.725648031,1.26568484828,-618.987705755,598.330595605,20.6571101497,-0.458793747606,-3.60710233627
0.0028,400.72728703,1478.18202464,-37.5398956058,1521.71270019,-363.187391424,-2999.89472484,0.489977613321,0.244988806661,0.489928154427,271.440426472,-224.657032748,-46.7833937235,0.489977613321,1478.18202464,400.72728703,0.489977613321,-642.329665235,0.538673717372,-0.720347684051,-49.4588938365,-0.392135656198,184.725648031,1.30262997788,-642.329665235,568.803926475,73.5257387599,-0.468291397855,-3.61022616545
0.003,385.418182338,1277.33787469,-4.20749100211,1712.14070305,-381.210691336,-2989.47857775,0.489976205046,0.244988102523,0.489926746152,278.39576352,-210.175706851,-68.2200566696,0.489976205046,1277.33787469,385.418182338,0.489976205046,-662.022105183,0.538672169136,-0.659761808696,-49.4588938364,-0.392617770956,184.725648031,1.33957510749,-662.022105183,536.046813726,125.975291457,-0.477477981483,-3.61368062712
0.0032,367.919178842,1069.23563614,29.1482347768,1892.83998091,-397.067413619,-2962.07561705,0.4899749239,0.24498746195,0.489925465007,283.769339404,-194.500777703,-89.2685617007,0.4899749239,1069.23563614,367.919178842,0.4899749239,-677.953126704,0.538670760664,-0.595761058386,-49.4588938364,-0.393127061535,184.725648031,1.3765202371,-677.953126704,500.245378032,177.707748672,-0.486330448384,-3.6174147637
0.0034,348.329706549,855.057787409,62.3377516401,2062.78376441,-410.667458189,-2917.84155181,0.489973776191,0.244986888095,0.489924317297,287.530617232,-177.721309128,-109.809308104,0.489973776191,855.057787409,348.329706549,0.489973776191,-690.0322041,0.538669498891,-0.528994262975,-49.4588938364,-0.39365836477,184.725648031,1.4134653667,-690.0322041,461.603038594,228.429165506,-0.494830099917,-3.62138361435
0.0036,326.761074591,636.021329766,95.1724739186,2221.00639907,-421.933548509,-2857.02772884,0.489972766963,0.244986383482,0.489923308069,289.658222258,-159.932641172,-129.725581086,0.489972766963,636.021329766,326.761074591,0.489972766963,-698.190699238,0.538668389361,-0.460048820649,-49.4588938363,-0.394207006338,184.725648031,1.45041049631,-698.190699238,420.339357273,277.851341965,-0.502961992536,-3.62554640132
0.0038,303.335838531,413.370872053,127.46583198,2366.60883234,-430.801670512,-2779.97970439,0.48997190011,0.244985950055,0.489922441216,290.140063096,-141.235848328,-148.904214767,0.48997190011,413.370872053,303.335838531,0.48997190011,-702.382251552,0.538667436356,-0.38946779212,-49.4588938363,-0.394768664733,184.725648031,1.48735562592,-702.382251552,376.688790989,325.693460562,-0.510714513543,-3.62986528953
0.004,278.187103837,188.371558587,159.034332369,2498.76372213,-437.221436206,-2687.13528072,0.489971178447,0.244985589224,0.489921719553,288.973400263,-121.737165195,-167.236235068,0.489971178447,188.371558587,278.187103837,0.489971178447,-702.583041469,0.538666642972,-0.317761356244,-49.4588938362,-0.395339280105,184.725648031,1.52430075552,-702.583041469,330.8993595,371.683681969,-0.518079075454,-3.63430455324
0.0042,251.45776944,-37.6981196506,189.698600452,2616.720138,-441.156369892,-2579.02201835,0.489970603778,0.244985301889,0.489921144884,286.164861634,-101.547382829,-184.617478806,0.489970603778,-37.6981196506,251.45776944,0.489970603778,-698.791925751,0.53866601119,-0.245414273173,-49.4588938362,-0.395914994872,184.725648031,1.56124588513,-698.791925751,283.231236096,415.560689655,-0.525049891102,-3.63883003143
0.0044,223.299715696,-263.553589653,219.284399656,2719.80782807,-442.584115353,-2456.25423842,0.489970176936,0.244985088468,0.489920718043,281.730404703,-80.7812192164,-200.949185487,0.489970176936,-263.553589653,223.299715696,0.489970176936,-691.030443984,0.538665541927,-0.17289052991,-49.4588938361,-0.396492116749,184.725648031,1.59819101473,-691.030443984,233.95526925,457.075174734,-0.531623802624,-3.64340878739
