time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0,1784.37467538,3000,-1525.70274703,-1500,-258.671928347,-1500,184.725648031,92.3628240155,184.72168296,1638.50196503,-1528.79159197,-109.710373058,184.725648031,3000,1784.37467538,184.725648031,-194.05041483,203.084485522,0,-3965.07077073,-4168.15525597,184.725648031,0.785398163397,-194.05041483,376.274652795,-182.224237965,180.188543074,-332.23902815
0.0002,1834.30220228,2991.47670078,-1432.52746276,-1300.03356887,-401.774739515,-1691.44313191,184.725647945,92.3628239724,184.721682874,1695.44387579,-1448.43122633,-247.01264946,184.725647945,2991.47670078,1834.30220228,184.725647945,-217.778001233,203.084485427,-0.0845327675343,-3965.07077076,-4168.07072311,184.725648031,0.822343293004,-217.778001233,374.691935419,-156.913934186,179.694143816,-332.497965073
0.0004,1874.01081745,2965.95523421,-1331.1916648,-1092.68008768,-542.819152649,-1873.27514654,184.725647678,92.3628238391,184.721682607,1742.98037066,-1359.81750583,-383.162864833,184.725647678,2965.95523421,1874.01081745,184.725647678,-240.268732339,203.084485134,-0.176775872707,-3965.07077076,-4167.9784797,184.725648031,0.85928842261,-240.268732339,370.981135036,-130.712402697,179.198449407,-332.75585009
0.0006,1902.8774953,2923.58061836,-1222.32979204,-879.117780255,-680.547703262,-2044.4628381,184.725647214,92.3628236071,184.721682143,1780.39625727,-1263.51961541,-516.876641859,184.725647214,2923.58061836,1902.8774953,184.725647214,-261.394706073,203.084484624,-0.277905285358,-3965.07077076,-4167.87734978,184.725648031,0.896233552216,-261.394706073,365.163163002,-103.768456929,178.701277051,-333.012658199
0.0008,1921.11481164,2864.59363424,-1106.46889696,-660.560150242,-814.645914683,-2204.033484,184.725646537,92.3628232687,184.721681467,1807.90072536,-1159.98223382,-647.918491542,184.725646537,2864.59363424,1921.11481164,184.725646537,-281.035983099,203.08448388,-0.385400354862,-3965.07077076,-4167.76985396,184.725648031,0.933178681822,-281.035983099,357.271232983,-76.2352498837,178.202785678,-333.268560852
0.001,1928.26504046,2789.32945766,-984.391302821,-438.249085687,-943.873737642,-2351.08037198,184.725645634,92.3628228168,184.721680563,1824.94089937,-1049.93253708,-775.008362291,184.725645634,2789.32945766,1928.26504046,184.725645634,-299.08083538,203.084482886,-0.500349968672,-3965.07077076,-4167.65490333,184.725648031,0.970123811429,-299.08083538,347.350018723,-48.2691833428,177.702802305,-333.523535923
0.0012,1924.61757294,2698.2157547,-856.6347725,-213.447802406,-1067.98280044,-2484.76795229,184.72564449,92.3628222451,184.721679419,1831.78957625,-933.821234384,-897.968341868,184.72564449,2698.2157547,1924.61757294,184.72564449,-315.426846862,203.084481629,-0.620193392038,-3965.0707707,-4167.53505869,184.725648031,1.00706894103,-315.426846862,335.456044045,-20.0291971825,177.201498259,-333.777752304
0.0014,1909.88869022,2591.77025158,-724.11234604,12.5663338665,-1185.77634418,-2604.33658544,184.725643096,92.3628215481,184.721678025,1828.06686262,-812.517647509,-1015.54921511,184.725643096,2591.77025158,1909.88869022,184.725643096,-329.980998886,203.084480097,-0.745950013399,-3965.07077073,-4167.40930054,184.725648031,1.04401407064,-329.980998886,321.656730432,8.32426845361,176.698710217,-334.031189133
0.0016,1884.43959737,2470.59779288,-587.359551724,238.509065723,-1297.08004564,-2709.10685861,184.725641442,92.362820721,184.721676371,1814.10472583,-686.467458185,-1127.63726765,184.725641442,2470.59779288,1884.43959737,184.725641442,-342.660723813,203.084478278,-0.875037848949,-3965.07077079,-4167.28021083,184.725648031,1.08095920025,-342.660723813,306.030629771,36.6300940416,176.194621572,-334.284011122
0.0018,1848.16557663,2335.3869047,-447.400311682,463.096541491,-1400.76526494,-2798.48344619,184.72563952,92.3628197601,184.721674449,1789.70325798,-556.66339806,-1233.03985992,184.72563952,2335.3869047,1848.16557663,184.72563952,-353.393822994,203.084476166,-1.00842538476,-3965.07077073,-4167.14682118,184.725648031,1.11790432985,-353.393822994,288.666380368,64.7274426262,175.689078273,-334.536197131
