frequency_hz,relative_spectral_error
1,2.06068571681e-05
1.1220184543,2.06064624006e-05
1.25892541179,2.06060284831e-05
1.41253754462,2.06057250614e-05
1.58489319246,2.06058357579e-05
1.77827941004,2.06059938291e-05
1.99526231497,2.06061835905e-05
2.23872113857,2.06063892557e-05
2.51188643151,2.06065953954e-05
2.81838293126,2.0606786266e-05
3.16227766017,2.0606947231e-05
3.54813389234,2.06070651954e-05
3.98107170553,2.06071301941e-05
4.46683592151,2.06071988167e-05
5.01187233627,2.06070725186e-05
5.6234132519,2.06069670071e-05
6.3095734448,2.06068458679e-05
7.07945784384,2.0606740536e-05
7.94328234724,2.06066860172e-05
8.91250938134,2.06067151445e-05
10,2.06068514405e-05
11.220184543,2.06071014915e-05
12.5892541179,2.06074498277e-05
14.1253754462,2.06078579016e-05
15.8489319246,2.06082693348e-05
17.7827941004,2.06086878451e-05
19.9526231497,2.06090890545e-05
22.3872113857,2.06088363406e-05
25.1188643151,2.06086657895e-05
28.1838293126,2.06083970956e-05
31.6227766017,2.06081184095e-05
35.4813389234,2.06079437912e-05
39.8107170553,2.06079831849e-05
44.6683592151,2.06083102401e-05
50.1187233627,2.06089337461e-05
56.234132519,2.06097839255e-05
63.095734448,2.06107199996e-05
70.7945784384,2.06116953769e-05
79.4328234724,2.06126521524e-05
89.1250938134,2.06120602211e-05
100,2.06116308385e-05
112.20184543,2.06109565679e-05
125.892541179,2.06103036127e-05
141.253754462,2.06099771726e-05
158.489319246,2.06102347307e-05
177.827941004,2.06111850277e-05
199.526231497,2.06127210391e-05
223.872113857,2.06145219778e-05
251.188643151,2.06166001265e-05
281.838293126,2.06185594453e-05
316.227766017,2.06169722518e-05
354.813389234,2.0615150285e-05
398.107170553,2.06133212117e-05
446.683592151,2.06117763685e-05
501.187233627,2.06112449811e-05
562.34132519,2.06121615957e-05
630.95734448,2.0614386968e-05
707.945784384,2.06171485855e-05
794.328234724,2.06226888641e-05
891.250938134,2.06257134877e-05
1000,2.06206154277e-05
1122.0184543,2.06105325002e-05
1258.92541179,2.06049459018e-05
1412.53754462,2.06010912821e-05
1584.89319246,2.06002793192e-05
1778.27941004,2.06020096129e-05
1995.26231497,2.06116509237e-05
2238.72113857,2.06245944251e-05
2511.88643151,2.06220670208e-05
2818.38293126,2.06038189909e-05
3162.27766017,2.05834011777e-05
3548.13389234,2.05695904361e-05
3981.07170553,2.05735323757e-05
4466.83592151,2.05958421959e-05
5011.87233627,2.06245604121e-05
5623.4132519,2.06313165689e-05
6309.5734448,2.06038494038e-05
7079.45784384,2.05828019397e-05
7943.28234724,2.0678925432e-05
8912.50938134,2.07707003459e-05
10000,2.05599241898e-05
