time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0,99653.8095296,99653.8141552,1993.08993873,1993.09033756,-1993.0762831,-1993.07619059,-50626.4538406,-50626.4498987,-1012.23128987,-1012.2312144,1012.52899797,1012.52907681,-49114.8782816,-49114.8748898,-982.628313539,-982.628229237,982.297497796,982.297565632,927552.780413,927596.859044,0,0,0
1e-05,99656.5748977,99656.579505,1993.14396275,1993.14436121,-1993.1315901,-1993.13149795,-50302.0911062,-50302.0871858,-1005.74320235,-1005.74312745,1006.04174372,1006.04182212,-49442.2146627,-49442.2112953,-989.174632895,-989.174547102,988.844225906,988.844293254,926831.610987,926875.676388,9.271921957,9.27236267716,2.16004991671e-12
2e-05,99657.9239252,99657.9285142,1993.16965977,1993.17005787,-1993.15857028,-1993.1584785,-49977.0134677,-49977.009569,-999.240821001,-999.24074667,999.54019138,999.540269354,-49768.8483604,-49768.8450176,-995.706893891,-995.706806608,995.376900351,995.376967209,926100.280694,926144.332879,18.5365814154,18.5374627235,2.16004991671e-12
3e-05,99657.856593,99657.8611637,1993.16702944,1993.16742717,-1993.15722327,-1993.15713186,-49651.2255452,-49651.2216682,-992.724238224,-992.724164463,993.024433365,993.024510904,-50094.7747327,-50094.7714144,-1002.22500369,-1002.22491492,1001.89542829,1001.89549465,925358.831106,925402.870091,27.7938769744,27.7951987383,2.72848410532e-12
4e-05,99656.3729021,99656.3774544,1993.1360718,1993.13646914,-1993.12754909,-1993.12745804,-49324.7319689,-49324.7281137,-986.193546639,-986.193473447,986.494562274,986.494639378,-50419.9891473,-50419.9858536,-1008.72886965,-1008.72877939,1008.39971707,1008.39978295,924607.30437,924651.330173,37.0437076518,37.0454697397,2.72848410532e-12
5e-05,99653.4728735,99653.4774074,1993.07678728,1993.07718424,-1993.06954815,-1993.06945747,-48997.537379,-48997.5335456,-979.648839061,-979.64876644,979.950670913,979.950747579,-50744.4869823,-50744.4837132,-1015.21839934,-1015.21830759,1014.88967426,1014.88973965,923845.74321,923889.755852,46.2859728897,46.2881751698,2.72848410532e-12
6e-05,99649.1565485,99649.1610639,1992.98917673,1992.9895733,-1992.98322128,-1992.98313097,-48669.6464256,-48669.6426141,-973.090208504,-973.090136455,973.392852283,973.392928511,-51068.2636258,-51068.2603813,-1021.69350053,-1021.6934073,1021.36520763,1021.36527252,923074.190923,923118.190421,55.5205725604,55.5232149012,2.72848410532e-12
7e-05,99643.4239884,99643.4284852,1992.87324139,1992.87363757,-1992.8685697,-1992.86847977,-48341.0637688,-48341.0599793,-966.517748181,-966.517676705,966.821199586,966.821275375,-51391.3144762,-51391.3112565,-1028.15408119,-1028.15398648,1027.82622513,1027.82628952,922292.691367,922336.677743,64.7474069718,64.750489242,2.72848410532e-12
8e-05,99636.2752747,99636.2797528,1992.72898291,1992.72937869,-1992.72559506,-1992.72550549,-48011.7940784,-48011.790311,-959.931551501,-959.9314806,960.235806219,960.235881569,-51713.6349423,-51713.6317474,-1034.60004951,-1034.59995332,1034.27263495,1034.27269885,921501.288971,921545.262245,73.9663768735,73.9698989419,2.72848410532e-12
9e-05,99627.710509,99627.7149684,1992.55640334,1992.55679871,-1992.55429937,-1992.55421018,-47681.8420343,-47681.8382888,-953.33171207,-953.331641743,953.636765777,953.636840685,-52035.2204431,-52035.217273,-1041.03131388,-1041.0312162,1040.70434546,1040.70440886,920700.028726,920743.988919,83.177383462,83.1813451977,2.72848410532e-12
0.0001,99617.729813,99617.7342536,1992.35550514,1992.35590009,-1992.35468507,-1992.35459626,-47351.2123255,-47351.2086022,-946.718323684,-946.718253934,947.024172045,947.024246511,-52356.0664083,-52356.0632631,-1047.44778288,-1047.44768372,1047.12126526,1047.12132817,919888.956181,919932.903316,92.3803283865,92.3847296589,3.18323145621e-12
0.00011,99606.3333285,99606.3377503,1992.12629115,1992.12668569,-1992.12675501,-1992.12666657,-47019.9096513,-47019.9059502,-940.091480336,-940.091411163,940.398119003,940.398193026,-52676.1682779,-52676.1651576,-1053.84936533,-1053.84926469,1053.52330315,1053.52336556,919068.117445,919112.051544,101.575113755,101.579954433,3.18323145621e-12
0.00012,99593.5212176,99593.5256205,1991.86876464,1991.86915875,-1991.87051241,-1991.87042435,-46687.9387201,-46687.9350411,-933.451276207,-933.451207612,933.758700823,933.758774401,-52995.5215026,-52995.5184072,-1060.23597025,-1060.23586814,1059.91036814,1059.91043005,918237.559181,918281.480269,110.761642138,110.766922092,3.18323145621e-12
0.00013,99579.2936622,99579.2980462,1991.58292926,1991.58332295,-1991.58596092,-1991.58587324,-46355.3042499,-46355.3005932,-926.797805669,-926.797737653,927.106011864,927.106084997,-53314.1215436,-53314.1184732,-1066.60750687,-1066.60740328,1066.28236946,1066.28243087,917397.328606,917441.236707,119.939816577,119.945535677,3.18323145621e-12
0.00014,99563.6508647,99563.6552297,1991.26878908,1991.26918234,-1991.27310459,-1991.27301729,-46022.0109682,-46022.0073339,-920.131163282,-920.131095846,920.440146677,920.440219364,-53631.9638729,-53631.9608276,-1072.96388463,-1072.96377957,1072.63921655,1072.63927746,916547.473486,916591.368625,129.109540587,129.115698704,3.18323145621e-12
0.00015,99546.5930474,99546.5973932,1990.92634857,1990.92674138,-1990.93194786,-1990.93186095,-45688.0636119,-45688.0599999,-913.451443796,-913.451376941,913.761199998,913.761272237,-53949.0439733,-53949.0409531,-1079.30501321,-1079.30490667,1078.98081906,1078.98087947,915688.042133,915731.924337,138.270718165,138.277315169,3.18323145621e-12
0.00016,99528.1204526,99528.1247792,1990.55561258,1990.55600495,-1990.56249558,-1990.56240905,-45353.466927,-45353.4633375,-906.758742142,-906.758675869,907.06926675,907.069338541,-54265.3573384,-54265.3543432,-1085.63080247,-1085.63069446,1085.30708686,1085.30714677,914819.083406,914862.9527,147.423253793,147.430289554,3.18323145621e-12
0.00017,99508.2333429,99508.2376503,1990.1565864,1990.15697831,-1990.16475301,-1990.16466686,-45018.225669,-45018.222102,-900.053153439,-900.053087749,900.36444204,900.364513381,-54580.8994726,-54580.8965026,-1091.94116251,-1091.94105304,1091.61793005,1091.61798945,913940.646703,913984.503116,156.567052444,156.574526833,3.18323145621e-12
0.00018,99486.9320009,99486.9362891,1989.72927568,1989.72966714,-1989.73872578,-1989.73864002,-44682.3446024,-44682.3410579,-893.334772989,-893.334707882,893.646821158,893.646892048,-54895.6658914,-54895.6629467,-1098.23600365,-1098.23589271,1097.91325893,1097.91331783,913052.781962,913096.625522,165.702019587,165.709932476,3.18323145621e-12
0.00019,99464.2167294,99464.2209983,1989.2736865,1989.2740775,-1989.28441997,-1989.28433459,-44345.8285008,-44345.8249788,-886.603696274,-886.603631752,886.916499576,886.916570015,-55209.6521213,-55209.6492018,-1104.51523643,-1104.51512402,1104.19298404,1104.19304243,912155.539658,912199.370394,174.828061195,174.836412456,3.18323145621e-12
0.0002,99440.0878513,99440.0921007,1988.78982535,1988.79021588,-1988.80184201,-1988.80175703,-44008.6821467,-44008.6786474,-879.860018958,-879.859955022,880.173572948,880.173642935,-55522.8536998,-55522.8508056,-1110.7787716,-1110.77865773,1110.45701611,1110.457074,911248.970797,911292.788737,183.945083747,183.953873251,3.18323145621e-12
0.00021,99414.5457094,99414.5499394,1988.27769909,1988.27808914,-1988.29099879,-1988.29091419,-43670.9103319,-43670.9068553,-873.103836884,-873.103773535,873.418137105,873.418206639,-55835.2661757,-55835.2633069,-1117.02652015,-1117.02640481,1116.70526614,1116.70532351,910333.126916,910376.932093,193.052994236,193.062221855,3.18323145621e-12
0.00022,99387.5906667,99387.5948772,1987.737315,1987.73770457,-1987.75189754,-1987.75181333,-43332.5178568,-43332.5144029,-866.335246072,-866.33518331,866.650288057,866.650357136,-56146.8851089,-56146.8822654,-1123.25839328,-1123.25827648,1122.93764531,1122.93770218,909408.060081,909451.852523,202.151700171,202.161365779,3.18323145621e-12
0.00023,99359.2231064,99359.2272973,1987.16868076,1987.16906985,-1987.18454595,-1987.18446213,-42993.5095307,-42993.5060995,-859.554342718,-859.554280544,859.870121991,859.870190614,-56457.7060705,-56457.7032524,-1129.47430242,-1129.47418416,1129.15406505,1129.15412141,908473.822879,908517.60262,211.241109586,211.251213054,3.18323145621e-12
0.00024,99329.4434315,99329.4476028,1986.57180446,1986.57219306,-1986.58895206,-1986.58886863,-42653.8901716,-42653.8867633,-852.761223194,-852.76116161,853.077735266,853.077803433,-56767.7246432,-56767.7218506,-1135.67415923,-1135.67403951,1135.35443701,1135.35449286,907530.468421,907574.235493,220.321131042,220.331672245,3.18323145621e-12
0.00025,99298.2520655,99298.256217,1985.94669457,1985.94708268,-1985.96512434,-1985.96504131,-42313.6646064,-42313.6612209,-845.955984046,-845.955923052,846.273224419,846.273292128,-57076.9364208,-57076.9336537,-1141.85787559,-1141.85775442,1141.53867307,1141.53872842,906578.050335,906621.804772,229.391673636,229.402652446,3.18323145621e-12
0.00026,99265.6494514,99265.6535832,1985.29335999,1985.2937476,-1985.31307166,-1985.31298903,-41972.8376703,-41972.8343078,-839.138721991,-839.138661587,839.456686155,839.456753406,-57385.3370089,-57385.3342673,-1148.02536363,-1148.025241,1147.70668535,1147.70674018,905616.622765,905660.3646,238.452647001,238.464063293,3.18323145621e-12
0.00027,99231.6360528,99231.6401648,1984.61180999,1984.61219709,-1984.6328033,-1984.63272106,-41631.4142073,-41631.4108677,-832.309533917,-832.309474105,832.628217354,832.628284146,-57692.9220242,-57692.9193082,-1154.17653569,-1154.17641161,1153.85838616,1153.85844048,904646.240368,904689.969636,247.503961317,247.515814964,3.18323145621e-12
0.00028,99196.2123529,99196.2164451,1983.90205427,1983.90244086,-1983.9243289,-1983.92424706,-41289.3990698,-41289.3957532,-825.468516882,-825.468457663,825.787915064,825.787981395,-57999.6870955,-57999.6844051,-1160.31130434,-1160.31117881,1159.9936881,1159.99374191,903666.958306,903710.675043,256.54552731,256.557818188,3.18323145621e-12
0.00029,99159.3788554,99159.3829276,1983.16410291,1983.16448898,-1983.18765855,-1983.18757711,-40946.7971184,-40946.7938249,-818.615768112,-818.615709487,818.935876499,818.935942369,-58305.6278628,-58305.6251981,-1166.4295824,-1166.42945542,1166.11250396,1166.11255726,902678.832253,902722.536494,265.577256263,265.589984245,3.18323145621e-12
0.0003,99121.1360835,99121.1401357,1982.39796639,1982.39835194,-1982.42280271,-1982.42272167,-40603.6132225,-40603.6099521,-811.751385001,-811.75132697,812.072199042,812.07226445,-58610.7399781,-58610.737339,-1172.53128291,-1172.53115449,1172.21474678,1172.21479956,901681.918381,901725.610164,274.599060016,274.612224979,3.18323145621e-12
0.00031,99081.4845809,99081.4886131,1981.60365562,1981.60404063,-1981.62977226,-1981.62969162,-40259.8522593,-40259.8490121,-804.875465105,-804.875407669,805.196980242,805.197045187,-58915.019105,-58915.0164917,-1178.61631916,-1178.61618929,1178.30032983,1178.3003821,900676.273363,900719.952725,283.610850975,283.624452793,3.18323145621e-12
0.00032,99040.4249111,99040.4289232,1980.78118186,1980.78156635,-1980.80857846,-1980.80849822,-39915.5191146,-39915.5158905,-797.988106148,-797.988049308,798.310317811,798.310382291,-59218.4609191,-59218.4583316,-1184.68460467,-1184.68447335,1184.36916663,1184.36921838,899661.954369,899705.621349,292.612542114,292.626580663,3.18323145621e-12
0.00033,98997.9576576,98997.9616495,1979.93055683,1979.93094077,-1979.95923299,-1979.95915315,-39570.6186819,-39570.6154811,-791.089406013,-791.08934977,791.412309622,791.412373638,-59521.0611078,-59521.0585461,-1190.73605318,-1190.73592042,1190.42117092,1190.42122216,898639.019063,898682.673698,301.604046981,301.618522139,3.18323145621e-12
0.00034,98954.083424,98954.0873957,1979.05179259,1979.052176,-1979.08174791,-1979.08166848,-39225.1558632,-39225.1526857,-784.179462746,-784.179407101,784.503053714,784.503117264,-59822.8153705,-59822.8128346,-1196.7705787,-1196.7704445,1196.45625669,1196.45630741,897607.525595,897651.167927,310.585279704,310.600191347,3.18323145621e-12
0.00035,98908.8028339,98908.8067853,1978.14490166,1978.14528451,-1978.17613571,-1978.17605668,-38879.1355682,-38879.132414,-777.258374554,-777.258319507,777.58264828,777.582711363,-60123.7194185,-60123.7169085,-1202.78809546,-1202.78795982,1202.47433817,1202.47438837,896567.532606,896611.162674,319.556154995,319.571503,3.18323145621e-12
0.00036,98862.1165307,98862.1204618,1977.2098969,1977.21027919,-1977.24240924,-1977.24233061,-38532.5627146,-38532.5595838,-770.326239799,-770.326185351,770.651191676,770.651254291,-60423.7689754,-60423.7664913,-1208.78851793,-1208.78838086,1208.47532983,1208.47537951,895519.099217,895562.717062,328.516588154,328.532372398,3.18323145621e-12
0.00037,98814.025178,98814.0290887,1976.24679161,1976.24717335,-1976.28058177,-1976.28050356,-38185.442228,-38185.4391206,-763.383157004,-763.383103156,763.708782412,763.708844559,-60722.9597768,-60722.9573186,-1214.77176085,-1214.77162234,1214.45914637,1214.45919554,894462.285031,894505.890695,337.466495076,337.482715437,3.18323145621e-12
0.00038,98764.5294593,98764.5333496,1975.25559948,1975.25598065,-1975.29066699,-1975.29058919,-37837.7790417,-37837.7759578,-756.429224844,-756.429171597,756.755519156,756.755580834,-61021.2875705,-61021.2851383,-1220.73773917,-1220.73759923,1220.42570277,1220.42575141,893397.150125,893440.743651,346.405792251,346.422448609,3.18323145621e-12
0.00039,98713.630078,98713.6339478,1974.2363346,1974.2367152,-1974.27267896,-1974.27260156,-37489.5780968,-37489.5750365,-749.464542151,-749.464489505,749.791500729,749.791561937,-61318.7481167,-61318.7457105,-1226.68636811,-1226.68622674,1226.37491421,1226.37496233,892323.755052,892367.336483,355.334396777,355.35148901,3.18323145621e-12
0.0004,98661.3277576,98661.3316068,1973.18901145,1973.18939147,-1973.22663214,-1973.22655515,-37140.8443421,-37140.8413053,-742.489207907,-742.489155863,742.816826106,742.816886842,-61615.3371877,-61615.3348076,-1232.61756311,-1232.61742032,1232.30669615,1232.30674375,891242.160833,891285.730212,364.252226357,364.269754343,3.18323145621e-12
0.00041,98607.6232412,98607.6270699,1972.11364492,1972.11402435,-1972.1525414,-1972.15246482,-36791.5827337,-36791.5797205,-735.503321248,-735.503269808,735.83159441,735.831654675,-61911.0505684,-61911.0482143,-1238.5312399,-1238.53109567,1238.22096429,1238.22101137,890152.428954,890195.986326,373.159199306,373.177162926,3.18323145621e-12
0.00042,98552.5172923,98552.5211003,1971.01025029,1971.01062913,-1971.05042201,-1971.05034585,-36441.7982355,-36441.795246,-728.506981459,-728.506930623,728.83590492,728.835964711,-62205.884056,-62205.8817281,-1244.42731441,-1244.42716876,1244.11763456,1244.11768112,889054.621366,889098.166775,382.055234557,382.073633691,3.18323145621e-12
0.00043,98496.010694,98496.0144812,1969.87884323,1969.87922149,-1969.92028962,-1969.92021388,-36091.4958187,-36091.4928529,-721.500287974,-721.500237741,721.829857057,721.829916375,-62499.8334603,-62499.8311585,-1250.30570285,-1250.30555578,1249.99662317,1249.99666921,887948.800476,887992.33397,390.940251666,390.959086195,3.18323145621e-12
