time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0,99653.8095296,1993.08993873,-1993.07619059,-50626.4538406,-1012.2312144,1012.52907681,-49114.8782816,-982.628229237,982.297565632
1e-05,99656.5748977,1993.14396275,-1993.13149795,-50302.0911062,-1005.74312745,1006.04182212,-49442.2146627,-989.174547102,988.844293254
2e-05,99657.9239252,1993.16965977,-1993.1584785,-49977.0134677,-999.24074667,999.540269354,-49768.8483604,-995.706806608,995.376967209
3e-05,99657.856593,1993.16702944,-1993.15713186,-49651.2255452,-992.724164463,993.024510904,-50094.7747327,-1002.22491492,1001.89549465
4e-05,99656.3729021,1993.1360718,-1993.12745804,-49324.7319689,-986.193473447,986.494639378,-50419.9891473,-1008.72877939,1008.39978295
5e-05,99653.4728735,1993.07678728,-1993.06945747,-48997.537379,-979.64876644,979.950747579,-50744.4869823,-1015.21830759,1014.88973965
6e-05,99649.1565485,1992.98917673,-1992.98313097,-48669.6464256,-973.090136455,973.392928511,-51068.2636258,-1021.6934073,1021.36527252
7e-05,99643.4239884,1992.87324139,-1992.86847977,-48341.0637688,-966.517676705,966.821275375,-51391.3144762,-1028.15398648,1027.82628952
8e-05,99636.2752747,1992.72898291,-1992.72550549,-48011.7940784,-959.9314806,960.235881569,-51713.6349423,-1034.59995332,1034.27269885
9e-05,99627.710509,1992.55640334,-1992.55421018,-47681.8420343,-953.331641743,953.636840685,-52035.2204431,-1041.0312162,1040.70440886
0.0001,99617.729813,1992.35550514,-1992.35459626,-47351.2123255,-946.718253934,947.024246511,-52356.0664083,-1047.44768372,1047.12132817
0.00011,99606.3333285,1992.12629115,-1992.12666657,-47019.9096513,-940.091411163,940.398193026,-52676.1682779,-1053.84926469,1053.52336556
0.00012,99593.5212176,1991.86876464,-1991.87042435,-46687.9387201,-933.451207612,933.758774401,-52995.5215026,-1060.23586814,1059.91043005
0.00013,99579.2936622,1991.58292926,-1991.58587324,-46355.3042499,-926.797737653,927.106084997,-53314.1215436,-1066.60740328,1066.28243087
0.00014,99563.6508647,1991.26878908,-1991.27301729,-46022.0109682,-920.131095846,920.440219364,-53631.9638729,-1072.96377957,1072.63927746
0.00015,99546.5930474,1990.92634857,-1990.93186095,-45688.0636119,-913.451376941,913.761272237,-53949.0439733,-1079.30490667,1078.98087947
0.00016,99528.1204526,1990.55561258,-1990.56240905,-45353.466927,-906.758675869,907.069338541,-54265.3573384,-1085.63069446,1085.30714677
0.00017,99508.2333429,1990.1565864,-1990.16466686,-45018.225669,-900.053087749,900.364513381,-54580.8994726,-1091.94105304,1091.61798945
0.00018,99486.9320009,1989.72927568,-1989.73864002,-44682.3446024,-893.334707882,893.646892048,-54895.6658914,-1098.23589271,1097.91331783
0.00019,99464.2167294,1989.2736865,-1989.28433459,-44345.8285008,-886.603631752,886.916570015,-55209.6521213,-1104.51512402,1104.19304243
0.0002,99440.0878513,1988.78982535,-1988.80175703,-44008.6821467,-879.859955022,880.173642935,-55522.8536998,-1110.77865773,1110.457074
0.00021,99414.5457094,1988.27769909,-1988.29091419,-43670.9103319,-873.103773535,873.418206639,-55835.2661757,-1117.02640481,1116.70532351
0.00022,99387.5906667,1987.737315,-1987.75181333,-43332.5178568,-866.33518331,866.650357136,-56146.8851089,-1123.25827648,1122.93770218
0.00023,99359.2231064,1987.16868076,-1987.18446213,-42993.5095307,-859.554280544,859.870190614,-56457.7060705,-1129.47418416,1129.15412141
0.00024,99329.4434315,1986.57180446,-1986.58886863,-42653.8901716,-852.76116161,853.077803433,-56767.7246432,-1135.67403951,1135.35449286
0.00025,99298.2520655,1985.94669457,-1985.96504131,-42313.6646064,-845.955923052,846.273292128,-57076.9364208,-1141.85775442,1141.53872842
0.00026,99265.6494514,1985.29335999,-1985.31298903,-41972.8376703,-839.138661587,839.456753406,-57385.3370089,-1148.025241,1147.70674018
0.00027,99231.6360528,1984.61180999,-1984.63272106,-41631.4142073,-832.309474105,832.628284146,-57692.9220242,-1154.17641161,1153.85844048
0.00028,99196.2123529,1983.90205427,-1983.92424706,-41289.3990698,-825.468457663,825.787981395,-57999.6870955,-1160.31117881,1159.99374191
0.00029,99159.3788554,1983.16410291,-1983.18757711,-40946.7971184,-818.615709487,818.935942369,-58305.6278628,-1166.42945542,1166.11255726
0.0003,99121.1360835,1982.39796639,-1982.42272167,-40603.6132225,-811.75132697,812.07226445,-58610.7399781,-1172.53115449,1172.21479956
0.00031,99081.4845809,1981.60365562,-1981.62969162,-40259.8522593,-804.875407669,805.197045187,-58915.019105,-1178.61618929,1178.3003821
0.00032,99040.4249111,1980.78118186,-1980.80849822,-39915.5191146,-797.988049308,798.310382291,-59218.4609191,-1184.68447335,1184.36921838
0.00033,98997.9576576,1979.93055683,-1979.95915315,-39570.6186819,-791.08934977,791.412373638,-59521.0611078,-1190.73592042,1190.42122216
0.00034,98954.083424,1979.05179259,-1979.08166848,-39225.1558632,-784.179407101,784.503117264,-59822.8153705,-1196.7704445,1196.45630741
0.00035,98908.8028339,1978.14490166,-1978.17605668,-38879.1355682,-777.258319507,777.582711363,-60123.7194185,-1202.78795982,1202.47438837
0.00036,98862.1165307,1977.2098969,-1977.24233061,-38532.5627146,-770.326185351,770.651254291,-60423.7689754,-1208.78838086,1208.47537951
0.00037,98814.025178,1976.24679161,-1976.28050356,-38185.442228,-763.383103156,763.708844559,-60722.9597768,-1214.77162234,1214.45919554
0.00038,98764.5294593,1975.25559948,-1975.29058919,-37837.7790417,-756.429171597,756.755580834,-61021.2875705,-1220.73759923,1220.42575141
0.00039,98713.630078,1974.2363346,-1974.27260156,-37489.5780968,-749.464489505,749.791561937,-61318.7481167,-1226.68622674,1226.37496233
0.0004,98661.3277576,1973.18901145,-1973.22655515,-37140.8443421,-742.489155863,742.816886842,-61615.3371877,-1232.61742032,1232.30674375
0.00041,98607.6232412,1972.11364492,-1972.15246482,-36791.5827337,-735.503269808,735.831654675,-61911.0505684,-1238.53109567,1238.22101137
0.00042,98552.5172923,1971.01025029,-1971.05034585,-36441.7982355,-728.506930623,728.835964711,-62205.884056,-1244.42716876,1244.11768112
0.00043,98496.010694,1969.87884323,-1969.92021388,-36091.4958187,-721.500237741,721.829916375,-62499.8334603,-1250.30555578,1249.99666921
0.00044,98438.1042493,1968.71943984,-1968.76208499,-35740.6804619,-714.483290745,714.813609238,-62792.8946037,-1256.1661732,1255.85789207
0.00045,98378.7987813,1967.53205659,-1967.57597563,-35389.3571509,-707.456189359,707.787143017,-63085.063321,-1262.00893771,1261.70126642
0.00046,98318.0951328,1966.31671035,-1966.36190266,-35037.5308787,-700.419033455,700.750617575,-63376.3354599,-1267.83376628,1267.5267092
0.00047,98255.9941665,1965.0734184,-1965.11988333,-34685.2066457,-693.371923046,693.704132915,-63666.7068808,-1273.64057613,1273.33413762
0.00048,98192.496765,1963.80219841,-1963.8499353,-34332.3894592,-686.314958287,686.647789184,-63956.1734569,-1279.42928473,1279.12346914
0.00049,98127.6038309,1962.50306844,-1962.55207662,-33979.0843334,-679.248239473,679.581686668,-64244.7310742,-1285.1998098,1284.89462148
0.0005,98061.3162862,1961.17604696,-1961.22632572,-33625.2962896,-672.171867039,672.505925791,-64532.3756316,-1290.95206934,1290.64751263
0.00051,97993.6350733,1959.82115282,-1959.87270147,-33271.0303559,-665.085941554,665.420607117,-64819.1030412,-1296.68598159,1296.38206082
0.00052,97924.5611538,1958.43840529,-1958.49122308,-32916.2915672,-657.990563726,658.325831344,-65104.9092278,-1302.40146507,1302.09818456
0.00053,97854.0955096,1957.02782401,-1957.08191019,-32561.0849651,-650.885834395,651.221699303,-65389.7901296,-1308.09843854,1307.79580259
0.00054,97782.239142,1955.58942904,-1955.64478284,-32205.415598,-643.771854537,644.10831196,-65673.7416977,-1313.77682103,1313.47483395
0.00055,97708.9930725,1954.12324081,-1954.17986145,-31849.2885206,-636.648725255,636.985770412,-65956.7598965,-1319.43653185,1319.13519793
0.00056,97634.3583418,1952.62928017,-1952.68716684,-31492.7087943,-629.516547785,629.854175887,-66238.8407038,-1325.07749055,1324.77681408
0.00057,97558.3360108,1951.10756834,-1951.16672022,-31135.681487,-622.375423492,622.713629739,-66519.9801106,-1330.69961697,1330.39960221
0.00058,97480.9271599,1949.55812695,-1949.6185432,-30778.2116726,-615.225453867,615.564233453,-66800.1741212,-1336.3028312,1336.00348242
0.00059,97402.1328892,1947.98097803,-1948.04265778,-30420.3044318,-608.066740526,608.406088636,-67079.4187535,-1341.88705361,1341.58837507
0.0006,97321.9543187,1946.37614399,-1946.43908637,-30061.9648511,-600.89938521,601.239297022,-67357.7100387,-1347.45220484,1347.15420077
0.00061,97240.3925877,1944.74364763,-1944.80785175,-29703.1980233,-593.723489784,594.063960466,-67635.0440218,-1352.99820578,1352.70088044
0.00062,97157.4488556,1943.08351216,-1943.14897711,-29344.0090474,-586.539156234,586.880180947,-67911.4167612,-1358.52497763,1358.22833522
0.00063,97073.124301,1941.39576117,-1941.46248602,-28984.4030281,-579.346486663,579.688060561,-68186.824329,-1364.03244183,1363.73648658
0.00064,96987.4201224,1939.68041865,-1939.74840245,-28624.3850763,-572.145583297,572.487701525,-68461.2628112,-1369.52052011,1369.22525622
0.00065,96900.337538,1937.93750898,-1938.00675076,-28263.9603086,-564.936548475,565.279206172,-68734.7283072,-1374.98913447,1374.69456614
0.00066,96811.8777852,1936.16705693,-1936.2375557,-27903.1338475,-557.719484655,558.062676949,-69007.2169306,-1380.4382072,1380.14433861
0.00067,96722.0421214,1934.36908766,-1934.44084243,-27541.9108211,-550.494494406,550.838216421,-69278.7248088,-1385.86766084,1385.57449618
0.00068,96630.8318232,1932.54362672,-1932.61663646,-27180.2963631,-543.261680412,543.605927263,-69549.2480828,-1391.27741823,1390.98496166
0.00069,96538.2481871,1930.69070006,-1930.76496374,-26818.295613,-536.021145467,536.365912261,-69818.7829082,-1396.66740249,1396.37565816
0.0007,96444.2925287,1928.81033401,-1928.88585057,-26455.9137156,-528.772992475,529.118274312,-70087.325454,-1402.03753702,1401.74650908
0.00071,96348.9661835,1926.9025553,-1926.97932367,-26093.155821,-521.517324448,521.863116421,-70354.8719039,-1407.38774549,1407.09743808
0.00072,96252.2705062,1924.96739103,-1925.04541012,-25730.027085,-514.254244506,514.6005417,-70621.4184553,-1412.71795186,1412.42836911
0.00073,96154.206871,1923.00486872,-1923.08413742,-25366.5326683,-506.983855872,507.330653366,-70886.96132,-1418.02808039,1417.7392264
0.00074,96054.7766718,1921.01501625,-1921.09553344,-25002.6777371,-499.706261876,500.053554741,-71151.4967241,-1423.31805559,1423.02993448
0.00075,22.7925209496,2208.81409849,-2279.70794538,-28879.7343864,-563.513249865,577.594687727,-73949.3262755,-1472.15239972,1478.98652551
0.00076,27.9689694665,2861.93734167,-2797.45632604,-34556.0685272,-707.535491849,691.121370545,-78278.3082528,-1574.49510199,1565.56616506
0.00077,34.5572550897,3404.58006048,-3456.41665407,-40711.0492774,-803.362820419,814.220985548,-83144.1441448,-1657.95436141,1662.8828829
0.00078,39.5536133479,3998.30224388,-3956.15240706,-44066.6596125,-892.168427753,881.33319225,-86623.518396,-1738.75787155,1732.47036792
0.00079,45.4976839603,4517.8258246,-4550.67834971,-47766.5534182,-947.958280883,955.331068363,-90197.8259629,-1800.96395274,1803.95651926
0.0008,50.4366207653,5071.35045128,-5044.67080894,-49753.670955,-1002.05924751,995.073419101,-92795.5358273,-1860.18126171,1855.91071655
0.00081,55.9445101649,5574.75608349,-5595.5699067,-51985.401199,-1034.70546544,1039.70802398,-95377.3329391,-1905.76668272,1907.54665878
0.00082,60.8194821684,6100.03792157,-6083.16460649,-53155.5762785,-1067.58396318,1063.11152557,-97297.3869161,-1948.86353748,1945.94773832
0.00083,66.0318136677,6591.3052592,-6604.50200305,-54488.84484,-1086.36669111,1089.7768968,-99171.9871142,-1982.42954853,1983.43974228
0.00084,70.840889132,7096.17811598,-7085.50573098,-55155.1111934,-1105.92987615,1103.10222387,-100605.705488,-2014.13302444,2012.11410976
0.00085,75.8465674158,7577.79665539,-7586.17367293,-55924.4962197,-1116.14033479,1118.48992439,-101991.147927,-2039.30224979,2039.82295853
0.00086,80.5914002338,8067.49839934,-8060.75185139,-56269.4463766,-1127.13696607,1125.38892753,-103084.322228,-2063.11484087,2061.68644456
0.00087,85.4473684727,8541.11805257,-8546.44579463,-56676.4715253,-1131.8813915,1133.52943051,-104134.603257,-2082.48175731,2082.69206514
0.00088,90.1313126362,9019.19232535,-9014.93388988,-56810.2712231,-1137.24351686,1136.20542446,-104990.804796,-2100.85680527,2099.81609592
0.00089,94.8745787029,9485.95689649,-9489.35536187,-56979.3668098,-1138.40066201,1139.5873362,-105811.175512,-2116.20899118,2116.22351024
0.0009,99.5015543122,9954.82557492,-9952.1454623,-56970.6137157,-1139.98294569,1139.41227431,-106501.839699,-2130.82318369,2130.03679397
0.00091,104.156531307,10415.5585258,-10417.7362613,-56980.2842085,-1138.7207908,1139.60568417,-107163.240226,-2143.37275091,2143.26480452
0.00092,108.730419407,10876.8945477,-10875.2165491,-56872.8653439,-1137.71988877,1137.45730688,-107737.054012,-2155.3604128,2154.74108023
0.00093,113.313469489,11332.2078128,-11333.6132183,-56773.5572526,-1134.78255587,1135.47114505,-108287.09735,-2165.92554274,2165.74194699
0.00094,117.83782829,11787.1806411,-11786.1395855,-56596.2026523,-1131.98327518,1131.92405305,-108777.160243,-2176.05239019,2175.54320485
0.00095,122.36010795,12237.5410419,-12238.4579972,-56420.8559281,-1127.85543136,1128.41711856,-109247.854672,-2185.18655216,2184.95709345
0.00096,126.838068507,12686.9792857,-12686.343612,-56192.752847,-1123.77976827,1123.85505694,-109676.74207,-2193.97092693,2193.53484139
0.00097,131.307327974,13132.7506535,-13133.3589439,-55963.1944061,-1118.78362699,1119.26388812,-110089.725427,-2202.05097366,2201.79450854
0.00098,135.741582765,13577.2503241,-13576.8731082,-55697.3918426,-1113.78330108,1113.94783685,-110472.944563,-2209.84598104,2209.45889126
0.00099,140.163314641,14018.7212145,-14019.1347304,-55428.291834,-1108.13732566,1108.56583668,-110842.968717,-2217.13098659,2216.85937435
0.001,144.556149642,14458.7181271,-14458.5060872,-55133.8188359,-1102.45235732,1102.67637672,-111191.277675,-2224.17934013,2223.8255535
0.00101,148.934329025,14896.1206904,-14896.4115891,-54835.1801909,-1096.30756012,1096.70360382,-111528.509047,-2230.84954401,2230.57018094
0.00102,153.287672514,15331.9391347,-15331.8330049,-54518.3914355,-1090.10390644,1090.36782871,-111849.461567,-2237.31994976,2236.98923135
0.00103,157.625238601,15765.4623662,-15765.6763649,-54197.1379487,-1083.56671153,1083.94275897,-112160.996113,-2243.50247289,2243.21992227
0.00104,161.940713024,16197.3480199,-16197.3101167,-53862.583068,-1076.96073032,1077.25166136,-112459.969131,-2249.51372856,2249.19938262
0.00105,166.239885805,16627.1473183,-16627.3133782,-53523.5841363,-1070.10760915,1070.47168273,-112750.831141,-2255.29958561,2255.01662283
0.00106,170.518856272,17055.2896633,-17055.2960043,-53174.5774913,-1063.18211469,1063.49154983,-113031.709767,-2260.93656869,2260.63419534
0.00107,174.781347192,17481.4938851,-17481.6303461,-52821.3161239,-1056.06909545,1056.42632248,-113305.512764,-2266.39197529,2266.11025529
0.00108,179.024964083,17906.0416013,-17906.0769076,-52460.3150725,-1048.88398578,1049.20630145,-113571.149099,-2271.71629139,2271.42298197
0.00109,183.252117941,18328.7583675,-18328.8768365,-52095.3275391,-1041.55292,1041.90655078,-113830.535569,-2276.89022976,2276.61071138
0.0011,187.461353054,18749.8300077,-18749.8845325,-51724.1866005,-1034.15226799,1034.48373201,-114083.058062,-2281.94734464,2281.66116123
0.00111,191.654244901,19169.1497597,-19169.257575,-51349.3545146,-1026.63501758,1026.98709029,-114329.99409,-2286.87666751,2286.5998818
0.00112,195.829921522,19586.8412352,-19586.9087506,-50969.498156,-1019.05184057,1019.38996312,-114571.017817,-2291.70071765,2291.42035634
0.00113,199.989423828,20002.8403767,-20002.9421713,-50586.2443895,-1011.37311419,1011.72488779,-114806.992135,-2296.41362387,2296.1398427
0.00114,204.132241459,20417.2302723,-20417.3067907,-50198.7858723,-1003.63260929,1003.97571745,-115037.763046,-2301.03068809,2300.75526092
0.00115,208.259071428,20829.9736317,-20830.0723242,-49808.2072839,-995.811910534,996.164145678,-115263.922766,-2305.54911406,2305.27845532
0.00116,212.369626014,21241.1270325,-21241.2099939,-49414.0313825,-987.93366871,988.28062765,-115485.417651,-2309.97945946,2309.70835303
0.00117,216.464379474,21650.6698116,-21650.767235,-49016.9896933,-979.986653197,980.339793867,-115702.661787,-2314.32074301,2314.05323575
0.00118,220.543179908,22058.6410995,-22058.7288544,-48616.810973,-971.986189255,972.336219461,-115915.658314,-2318.58038279,2318.31316628
0.00119,224.606356038,22465.0304308,-22465.1277309,-48213.995689,-963.925623218,964.279913779,-116124.702942,-2322.75843469,2322.49405885
0.0012,228.653837642,22869.8653606,-22869.956841,-47808.4000741,-955.815444084,956.168001483,-116329.829304,-2326.86022085,2326.59658607
0.00121,232.685857327,23273.1415616,-23273.2394498,-47400.3725762,-947.651891242,948.007451524,-116531.253515,-2330.8863598,2330.62507029
0.00122,236.702392896,23674.8788273,-23674.9733375,-46989.8473775,-939.442250272,939.79694755,-116729.024054,-2334.84075907,2334.58048107
0.00123,240.703612609,24075.0764195,-24075.1753331,-46577.0722074,-931.184570911,931.541444147,-116923.30277,-2338.72431454,2338.4660554
0.00124,244.689521485,24473.7488562,-24473.8459389,-46162.0280906,-922.884006948,923.240561812,-117114.143868,-2342.53996615,2342.28287737
0.00125,1046832.00505,21709.0805794,-20936.640101,526.180510423,-138.948666345,-10.5236102084,-89653.08492,-1871.0107347,1793.0616984
0.00126,824622.115011,15624.802999,-16492.4423002,57077.272999,1356.42163603,-1141.54545998,-51312.7340461,-915.814368104,1026.25468092
0.00127,587938.733601,12298.0365003,-11758.774672,104287.172357,1966.57238762,-2085.74344714,-16859.161385,-396.737108577,337.1832277
0.00128,491792.413132,9343.90738583,-9835.84826264,111215.554145,2343.38277696,-2224.3110829,-5043.72003275,-37.7760897717,100.874400655
0.00129,372999.655425,7764.50228345,-7459.9931085,120160.973536,2327.25462286,-2403.21947072,5044.74713946,64.0518741349,-100.894942789
