time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,STP1 A_v_pu,CAP1 A_v_pu,STP1 B_v_pu,CAP1 B_v_pu,STP1 C_v_pu,CAP1 C_v_pu,STP2 A_v_pu,CAP2 A_v_pu,STP2 B_v_pu,CAP2 B_v_pu,STP2 C_v_pu,CAP2 C_v_pu,CAP1 S_v_pu,CAP2 8_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_voltage_switch_fixed_4_pu,switch_voltage_switch_fixed_5_pu,switch_voltage_switch_fixed_6_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu,switch_current_switch_fixed_4_pu,switch_current_switch_fixed_5_pu,switch_current_switch_fixed_6_pu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e-05,-0.506515403681,-0.506515403681,0.999971575674,0.999971575674,-0.493456171993,-0.493456171993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.506515403681,0.999971575674,-0.493456171993,0,0,0,0,0,0,-0.506515403681,0.999971575674,-0.493456171993,-0.506515403681,0.999971575674,-0.493456171993,-0,0,-0,-0,0,-0
4e-05,-0.513002012644,-0.513002012644,0.999886304312,0.999886304312,-0.486884291668,-0.486884291668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513002012644,0.999886304312,-0.486884291668,0,0,0,0,0,0,-0.513002012644,0.999886304312,-0.486884291668,-0.513002012644,0.999886304312,-0.486884291668,-0,0,-0,-0,0,-0
6e-05,-0.519459458134,-0.519459458134,0.999744190761,0.999744190761,-0.480284732627,-0.480284732627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.519459458134,0.999744190761,-0.480284732627,0,0,0,0,0,0,-0.519459458134,0.999744190761,-0.480284732627,-0.519459458134,0.999744190761,-0.480284732627,-0,0,-0,-0,0,-0
8e-05,-0.525887373054,-0.525887373054,0.999545243101,0.999545243101,-0.473657870047,-0.473657870047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.525887373054,0.999545243101,-0.473657870047,0,0,0,0,0,0,-0.525887373054,0.999545243101,-0.473657870047,-0.525887373054,0.999545243101,-0.473657870047,-0,0,-0,-0,0,-0
0.0001,-0.532285391986,-0.532285391986,0.999289472641,0.999289472641,-0.467004080655,-0.467004080655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.532285391986,0.999289472641,-0.467004080655,0,0,0,0,0,0,-0.532285391986,0.999289472641,-0.467004080655,-0.532285391986,0.999289472641,-0.467004080655,-0,0,-0,-0,0,-0
0.00012,-0.53865315121,-0.53865315121,0.998976893921,0.998976893921,-0.46032374271,-0.46032374271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53865315121,0.998976893921,-0.46032374271,0,0,0,0,0,0,-0.53865315121,0.998976893921,-0.46032374271,-0.53865315121,0.998976893921,-0.46032374271,-0,0,-0,-0,0,-0
0.00014,-0.54499028873,-0.54499028873,0.998607524712,0.998607524712,-0.453617235982,-0.453617235982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54499028873,0.998607524712,-0.453617235982,0,0,0,0,0,0,-0.54499028873,0.998607524712,-0.453617235982,-0.54499028873,0.998607524712,-0.453617235982,-0,0,-0,-0,0,-0
0.00016,-0.551296444286,-0.551296444286,0.99818138601,0.99818138601,-0.446884941725,-0.446884941725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.551296444286,0.99818138601,-0.446884941725,0,0,0,0,0,0,-0.551296444286,0.99818138601,-0.446884941725,-0.551296444286,0.99818138601,-0.446884941725,-0,0,-0,-0,0,-0
0.00018,-0.557571259382,-0.557571259382,0.997698502043,0.997698502043,-0.440127242661,-0.440127242661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.557571259382,0.997698502043,-0.440127242661,0,0,0,0,0,0,-0.557571259382,0.997698502043,-0.440127242661,-0.557571259382,0.997698502043,-0.440127242661,-0,0,-0,-0,0,-0
