time_s,T5-PH_v_pu,T5-GW_v_pu,T1GRND_v_pu,T2GRND_v_pu,T3GRND_v_pu,T4GRND_v_pu,T5GRND_v_pu,T1-GW_v_pu,T2-GW_v_pu,T2GRNO_v_pu,T3-GW_v_pu,T3GRNO_v_pu,T4-GW_v_pu,T4GRNO_v_pu,T1-PH_v_pu,T2-PH_v_pu,T3-PH_v_pu,T4-PH_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,switch_voltage_switch_fixed_1_pu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02e-08,0,0,0,0,0,0,0,-0.901066671227,0,0,0,0,0,0,-0.266507488856,0,0,0,-0.901066671227,-0.266507488856,0,0,0,0,0,0,0,0,-0.634559182372
2.04e-08,0,0,0,0,0,0,0,-1.80213334245,0,0,0,0,0,0,-0.533014977711,0,0,0,-1.80213334245,-0.533014977711,0,0,0,0,0,0,0,0,-1.26911836474
3.06e-08,0,0,0,0,0,0,0,-2.70320001368,0,0,0,0,0,0,-0.799522466567,0,0,0,-2.70320001368,-0.799522466567,0,0,0,0,0,0,0,0,-1.90367754711
4.08e-08,0,0,0,0,0,0,0,-3.60426668491,0,0,0,0,0,0,-1.06602995542,0,0,0,-3.60426668491,-1.06602995542,0,0,0,0,0,0,0,0,-2.53823672949
5.1e-08,0,0,0,0,0,0,0,-4.50533335614,0,0,0,0,0,0,-1.33253744428,0,0,0,-4.50533335614,-1.33253744428,0,0,0,0,0,0,0,0,-3.17279591186
6.12e-08,0,0,0,0,0,0,0,-5.40640002736,0,0,0,0,0,0,-1.59904493313,0,0,0,-5.40640002736,-1.59904493313,0,0,0,0,0,0,0,0,-3.80735509423
7.14e-08,0,0,0,0,0,0,0,-6.30746669859,0,0,0,0,0,0,-1.86555242199,0,0,0,-6.30746669859,-1.86555242199,0,0,0,0,0,0,0,0,-4.4419142766
8.16e-08,0,0,0,0,0,0,0,-7.20853336982,0,0,0,0,0,0,-2.13205991085,0,0,0,-7.20853336982,-2.13205991085,0,0,0,0,0,0,0,0,-5.07647345897
9.18e-08,0,0,0,0,0,0,0,-8.10960004105,0,0,0,0,0,0,-2.3985673997,0,0,0,-8.10960004105,-2.3985673997,0,0,0,0,0,0,0,0,-5.71103264134
