formulation,frequency_hz,reactive_angular_frequency_rad_s,node,voltage_real_v,voltage_imaginary_v,topology,rank,reduced_nodes,condition_estimate,maximum_residual_a,symmetry_error_s,minimum_dissipative_eigenvalue_s,passed
physical_frequency,50,314.159265359,source,0.536617046094,-99.0776232413,unique,3,3,3.39331584884,5.68596440312e-14,0,0,true
physical_frequency,50,314.159265359,mid,-8.5858727375,-81.4246948055,unique,3,3,3.39331584884,5.68596440312e-14,0,0,true
physical_frequency,50,314.159265359,load,-26.8308523047,-46.1188379339,unique,3,3,3.39331584884,5.68596440312e-14,0,0,true
physical_frequency,10,62.8318530718,source,0,0,unique,3,3,3.94730266065,0,0,0,true
physical_frequency,10,62.8318530718,mid,0,0,unique,3,3,3.94730266065,0,0,0,true
physical_frequency,10,62.8318530718,load,0,0,unique,3,3,3.94730266065,0,0,0,true
physical_frequency,70,439.822971503,source,0,0,unique,3,3,3.15352781382,0,0,0,true
physical_frequency,70,439.822971503,mid,0,0,unique,3,3,3.15352781382,0,0,0,true
physical_frequency,70,439.822971503,load,0,0,unique,3,3,3.15352781382,0,0,0,true
timestep_matched,50,314.806827298,source,0.53716259246,-99.0785847867,unique,3,3,3.39197119059,5.68857620577e-14,0,0,true
timestep_matched,50,314.806827298,mid,-8.59460147937,-81.4093100797,unique,3,3,3.39197119059,5.68857620577e-14,0,0,true
timestep_matched,50,314.806827298,load,-26.858129623,-46.0707606658,unique,3,3,3.39197119059,5.68857620577e-14,0,0,true
timestep_matched,10,62.8370212947,source,0,0,unique,3,3,3.94729454679,0,0,0,true
timestep_matched,10,62.8370212947,mid,0,0,unique,3,3,3.94729454679,0,0,0,true
timestep_matched,10,62.8370212947,load,0,0,unique,3,3,3.94729454679,0,0,0,true
timestep_matched,70,441.604111263,source,0,0,unique,3,3,3.15043459831,0,0,0,true
timestep_matched,70,441.604111263,mid,0,0,unique,3,3,3.15043459831,0,0,0,true
timestep_matched,70,441.604111263,load,0,0,unique,3,3,3.15043459831,0,0,0,true
