time_s,rms_value,stored_energy_j,kcl_residual_a,valid
1e-05,0,4.48290826146e-11,2.42338070084e-27,0
2e-05,0,1.79444959175e-10,2.31793068237e-20,0
3e-05,0,4.0364689888e-10,3.32823874279e-20,0
4e-05,0,7.17751678566e-10,5.57269510725e-20,0
5e-05,0,1.12129147045e-09,1.11022302463e-16,0
6e-05,0,1.6148356842e-09,1.36112569796e-21,0
7e-05,0,2.19765017135e-09,1.19285648185e-19,0
8e-05,0,2.87055619827e-09,2.22044604925e-16,0
9e-05,0,3.63255408172e-09,2.22044604925e-16,0
0.0001,0,4.48471616127e-09,2.22044604925e-16,0
0.00011,0,5.42577801442e-09,2.22044604925e-16,0
0.00012,0,6.45706226312e-09,2.22044604925e-16,0
0.00013,0,7.57704055059e-09,5.58843221841e-21,0
0.00014,0,8.78728498305e-09,4.4408920985e-16,0
0.00015,0,1.00860040839e-08,4.4408920985e-16,0
0.00016,0,1.14750186384e-08,4.4408920985e-16,0
0.00017,0,1.2952274874e-08,1.26115264912e-19,0
0.00018,0,1.45198414423e-08,4.4408920985e-16,0
0.00019,0,1.61754031082e-08,4.4408920985e-16,0
0.0002,0,1.79212755702e-08,4.4408920985e-16,0
0.00021,0,1.97548829728e-08,2.57299492618e-19,0
0.00022,0,2.16787872349e-08,4.4408920985e-16,0
0.00023,0,2.36901527324e-08,1.76685778841e-20,0
0.00024,0,2.57917867711e-08,8.95604992823e-20,0
0.00025,0,2.79805948189e-08,2.90744059145e-19,0
0.00026,0,3.0259628728e-08,1.03788005818e-19,0
0.00027,0,3.26255359286e-08,2.70177040395e-19,0
0.00028,0,3.50816119714e-08,5.38130619302e-20,0
0.00029,0,3.7624247128e-08,3.22163687532e-19,0
0.0003,0,4.02569797939e-08,1.30601892555e-19,0
0.00031,0,4.29759439696e-08,8.881784197e-16,0
0.00032,0,4.57849200343e-08,1.97888072302e-19,0
0.00033,0,4.86797866146e-08,8.881784197e-16,0
0.00034,0,5.16645652057e-08,1.50401287697e-19,0
0.00035,0,5.47348799658e-08,1.01220437197e-19,0
