time_s,source_value,secondary_value,held_value
1e-05,0.314044550567,1.64511869611e-10,0
2e-05,0.628314314651,1.26166673392e-09,0
3e-05,0.942349730493,4.50264522807e-09,0
4e-05,1.25660382688,9.97714147668e-09,0
5e-05,1.57061770567,1.54795486923e-08,0
6e-05,1.8848437329,1.81861227249e-08,0
7e-05,2.19882367317,1.77909991042e-08,0
8e-05,2.51300923085,1.70683176864e-08,0
9e-05,2.8269428325,1.89404802402e-08,0
0.0001,3.14107552185,2.36559190836e-08,0
0.00011,3.45495038658,2.91993783225e-08,0
0.00012,3.76901781091,3.36662849998e-08,0
0.00013,4.08282154276,3.64708881879e-08,0
0.00014,4.39681130793,3.78573712686e-08,0
0.00015,4.71053151376,3.85206418528e-08,1.54795486923e-08
0.00016,5.02443122871,3.98599349125e-08,1.54795486923e-08
0.00017,5.33805551868,4.34276602378e-08,1.54795486923e-08
0.00018,5.65185279587,4.92661408982e-08,1.54795486923e-08
0.00019,5.96536878394,5.5246793617e-08,1.54795486923e-08
0.0002,6.27905123989,5.88996459077e-08,2.36559190836e-08
0.00021,6.59244654429,5.99256313197e-08,2.36559190836e-08
0.00022,6.90600180004,6.04201704645e-08,2.36559190836e-08
0.00023,7.21926404379,6.26543894337e-08,2.36559190836e-08
0.00024,7.53267972538,6.71261940153e-08,2.36559190836e-08
0.00025,7.84579653674,7.27337061828e-08,3.85206418528e-08
0.00026,8.15906027574,7.80814828493e-08,3.85206418528e-08
0.00027,8.47201928873,8.22105479035e-08,3.85206418528e-08
0.00028,8.78511872269,8.47220335398e-08,3.85206418528e-08
0.00029,9.09790757756,8.6105959228e-08,3.85206418528e-08
0.0003,9.4108303505,8.7920577758e-08,5.88996459077e-08
0.00031,9.72343669423,9.18119846843e-08,5.88996459077e-08
0.00032,10.0361704571,9.7866537422e-08,5.88996459077e-08
0.00033,10.3485819439,1.04240986486e-07,5.88996459077e-08
0.00034,10.6611143553,1.08828984951e-07,5.88996459077e-08
0.00035,10.973318647,1.11223804092e-07,7.27337061828e-08
0.00036,11.2856373732,1.12871885452e-07,7.27337061828e-08
0.00037,11.5976221399,1.15541238555e-07,7.27337061828e-08
0.00038,11.9097148557,1.1996289131e-07,7.27337061828e-08
0.00039,12.2214677762,1.257160913e-07,7.27337061828e-08
0.0004,12.5333221654,1.31776166919e-07,8.7920577758e-08
0.00041,12.8448309275,1.36981162889e-07,8.7920577758e-08
0.00042,13.1564346833,1.40554749404e-07,8.7920577758e-08
0.00043,13.4676869846,1.42806412768e-07,8.7920577758e-08
0.00044,13.7790278099,1.45247113778e-07,8.7920577758e-08
0.00045,14.0900113582,1.49476859419e-07,1.11223804092e-07
0.00046,14.4010769664,1.55686452784e-07,1.11223804092e-07
0.00047,14.7117794799,1.62409002322e-07,1.11223804092e-07
0.00048,15.0225575953,1.67877551509e-07,1.11223804092e-07
0.00049,15.3329668034,1.7154202524e-07,1.11223804092e-07
0.0005,15.6434451617,1.74286496428e-07,1.31776166919e-07
0.00051,15.9535488054,1.77482523871e-07,1.31776166919e-07
0.00052,16.2637151539,1.82027274808e-07,1.31776166919e-07
0.00053,16.5735009862,1.87981962669e-07,1.31776166919e-07
0.00054,16.8833430847,1.94613445012e-07,1.31776166919e-07
0.00055,17.1927988713,2.00703495654e-07,1.49476859419e-07
0.00056,17.5023044923,2.05281093513e-07,1.49476859419e-07
0.00057,17.8114180119,2.0848202794e-07,1.49476859419e-07
0.00058,18.1205749412,2.11643208036e-07,1.49476859419e-07
0.00059,18.4293339858,2.16244063254e-07,1.49476859419e-07
0.0006,18.7381300231,2.22604850269e-07,1.74286496428e-07
0.00061,19.046522399,2.29651013398e-07,1.74286496428e-07
0.00062,19.3549453579,2.35921382417e-07,1.74286496428e-07
0.00063,19.6629588857,2.40736734074e-07,1.74286496428e-07
0.00064,19.9709965949,2.44525264327e-07,1.74286496428e-07
0.00065,20.2786191102,2.48335776284e-07,2.00703495654e-07
0.00066,20.5862594133,2.53149153888e-07,2.00703495654e-07
0.00067,20.8934787672,2.59348635875e-07,2.00703495654e-07
0.00068,21.2007095238,2.6644517391e-07,2.00703495654e-07
0.00069,21.5075135832,2.73274953601e-07,2.00703495654e-07
0.0007,21.8143226688,2.78794642347e-07,2.22604850269e-07
0.00071,22.1206993172,2.82974266401e-07,2.22604850269e-07
0.00072,22.4270746239,2.86911662874e-07,2.22604850269e-07
0.00073,22.7330117615,2.91928897828e-07,2.22604850269e-07
0.00074,23.0389411987,2.98471300576e-07,2.22604850269e-07
0.00075,23.3444267431,3.0582895367e-07,2.48335776284e-07
0.00076,23.6498982379,3.1281388622e-07,2.48335776284e-07
0.00077,23.9549201245,3.18658107322e-07,2.48335776284e-07
0.00078,24.2599216217,3.23439806485e-07,2.48335776284e-07
0.00079,24.5644678044,3.27936475662e-07,2.48335776284e-07
0.0008,24.8689872677,3.33135255425e-07,2.78794642347e-07
0.00081,25.1730457189,3.39618188817e-07,2.78794642347e-07
0.00082,25.4770711308,3.47107082669e-07,2.78794642347e-07
0.00083,25.7806298424,3.54566289656e-07,2.78794642347e-07
0.00084,26.084149205,3.60960405469e-07,2.78794642347e-07
0.00085,26.3871961886,3.66109667866e-07,3.0582895367e-07
0.00086,26.6901975239,3.70851800726e-07,3.0582895367e-07
0.00087,26.9927208111,3.76335848153e-07,3.0582895367e-07
0.00088,27.2951921616,3.83108027424e-07,3.0582895367e-07
0.00089,27.597179805,3.90773236699e-07,3.0582895367e-07
0.0009,27.8991092342,3.98387931357e-07,3.33135255425e-07
0.00091,28.2005493073,4.05144844121e-07,3.33135255425e-07
0.00092,28.5019248999,4.10867452448e-07,3.33135255425e-07
0.00093,28.8028054979,4.16100405064e-07,3.33135255425e-07
