time_s,phase_a_input_v,phase_b_input_v,phase_c_input_v,phase_a_held_v
1e-05,0.307998773125,-85.0580317516,84.7500329785,0
2e-05,0.615994506427,-85.2107726634,84.594778157,0
3e-05,0.923984160112,-85.3626725793,84.4386884192,0
4e-05,1.23196469445,-85.5137300001,84.2817653056,0
5e-05,1.53993306979,-85.6639434348,84.1240103651,0
6e-05,1.84788624661,-85.8133114011,83.9654251545,0
7e-05,2.15582118554,-85.9618324246,83.806011239,0
8e-05,2.46373484739,-86.1095050395,83.6457701921,0
9e-05,2.77162419316,-86.2563277883,83.4847035952,0
0.0001,3.07948618413,-86.4022992221,83.3228130379,0
0.00011,3.38731778181,-86.5474179,83.1601001182,0
0.00012,3.69511594803,-86.6916823898,82.9965664418,0
0.00013,4.00287764495,-86.8350912677,82.8322136228,0
0.00014,4.31059983508,-86.9776431184,82.6670432833,0
0.00015,4.61827948134,-87.1193365348,82.5010570535,0.22
0.00016,4.92591354704,-87.2601701185,82.3342565715,0.22
0.00017,5.23349899596,-87.4001424796,82.1666434837,0.22
0.00018,5.54103279236,-87.5392522366,81.9982194442,0.22
0.00019,5.848511901,-87.6774980165,81.8289861155,0.22
0.0002,6.15593328719,-87.8148784548,81.6589451677,0.8
0.00021,6.4632939168,-87.9513921958,81.488098279,0.8
0.00022,6.77059075631,-88.0870378921,81.3164471358,0.8
0.00023,7.07782077283,-88.2218142048,81.143993432,0.8
0.00024,7.38498093411,-88.3557198039,80.9707388698,0.8
0.00025,7.69206820861,-88.4887533676,80.796685159,1.62
0.00026,7.99907956551,-88.6209135831,80.6218340176,1.62
0.00027,8.30601197471,-88.752199146,80.4461871713,1.62
0.00028,8.61286240694,-88.8826087605,80.2697463535,1.62
0.00029,8.91962783368,-89.0121411395,80.0925133058,1.62
0.0003,9.22630522731,-89.1407950046,79.9144897773,2.66
0.00031,9.53289156102,-89.2685690861,79.7356775251,2.66
0.00032,9.83938380894,-89.3954621228,79.5560783139,2.66
0.00033,10.1457789461,-89.5214728624,79.3756939163,2.66
0.00034,10.4520739486,-89.6466000612,79.1945261127,2.66
0.00035,10.7582657932,-89.7708424843,79.012576691,3.82
0.00036,11.0643514582,-89.8941989054,78.8298474472,3.82
0.00037,11.3703279224,-90.016668107,78.6463401845,3.82
0.00038,11.6761921662,-90.1382488804,78.4620567143,3.82
0.00039,11.9819411706,-90.2589400258,78.2769988552,3.82
0.0004,12.2875719181,-90.3787403518,78.0911684337,5.08
0.00041,12.5930813922,-90.4976486762,77.904567284,5.08
0.00042,12.8984665777,-90.6156638253,77.7171972476,5.08
0.00043,13.2037244605,-90.7327846343,77.5290601738,5.08
0.00044,13.5088520279,-90.8490099475,77.3401579196,5.08
0.00045,13.8138462684,-90.9643386175,77.1504923492,6.42
0.00046,14.1187041718,-91.0787695063,76.9600653345,6.42
0.00047,14.4234227293,-91.1923014844,76.7688787551,6.42
0.00048,14.7279989334,-91.3049334313,76.5769344979,6.42
0.00049,15.0324297781,-91.4166642354,76.3842344572,6.42
0.0005,15.3367122588,-91.5274927938,76.190780535,7.8
0.00051,15.6408433724,-91.6374180129,75.9965746405,7.8
0.00052,15.9448201171,-91.7464388077,75.8016186905,7.8
0.00053,16.248639493,-91.8545541021,75.6059146092,7.8
0.00054,16.5522985012,-91.9617628292,75.409464328,7.8
0.00055,16.855794145,-92.0680639309,75.2122697858,9.22
0.00056,17.1591234289,-92.1734563578,75.0143329289,9.22
0.00057,17.4622833592,-92.27793907,74.8156557108,9.22
0.00058,17.7652709438,-92.3815110362,74.6162400924,9.22
0.00059,18.0680831924,-92.4841712342,74.4160880418,9.22
0.0006,18.3707171162,-92.5859186507,74.2152015345,10.68
0.00061,18.6731697285,-92.6867522816,74.0135825531,10.68
0.00062,18.9754380442,-92.7866711317,73.8112330875,10.68
0.00063,19.2775190799,-92.8856742148,73.6081551348,10.68
0.00064,19.5794098544,-92.9837605538,73.4043506994,10.68
0.00065,19.8811073879,-93.0809291806,73.1998217927,12.16
0.00066,20.1826087029,-93.1771791362,72.9945704333,12.16
0.00067,20.4839108238,-93.2725094707,72.7885986469,12.16
0.00068,20.7850107767,-93.3669192431,72.5819084664,12.16
0.00069,21.0859055899,-93.4604075218,72.3745019319,12.16
0.0007,21.3865922938,-93.5529733839,72.1663810902,13.64
0.00071,21.6870679206,-93.644615916,71.9575479954,13.64
0.00072,21.9873295048,-93.7353342136,71.7480047087,13.64
0.00073,22.287374083,-93.8251273812,71.5377532982,13.64
0.00074,22.5871986938,-93.9139945327,71.3267958389,13.64
0.00075,22.886800378,-94.001934791,71.115134413,15.12
0.00076,23.1861761788,-94.0889472881,70.9027711093,15.12
0.00077,23.4853231414,-94.1750311654,70.689708024,15.12
0.00078,23.7842383133,-94.260185573,70.4759472598,15.12
0.00079,24.0829187444,-94.3444096708,70.2614909264,15.12
0.0008,24.3813614868,-94.4277026272,70.0463411405,16.62
0.00081,24.679563595,-94.5100636204,69.8305000254,16.62
0.00082,24.9775221258,-94.5914918374,69.6139697116,16.62
0.00083,25.2752341386,-94.6719864745,69.3967523359,16.62
0.00084,25.5726966951,-94.7515467374,69.1788500423,16.62
0.00085,25.8699068594,-94.8301718408,68.9602649814,18.12
0.00086,26.1668616981,-94.9078610086,68.7409993105,18.12
0.00087,26.4635582804,-94.9846134742,68.5210551938,18.12
0.00088,26.7599936782,-95.06042848,68.3004348018,18.12
0.00089,27.0561649656,-95.1353052777,68.0791403122,18.12
0.0009,27.3520692195,-95.2092431284,67.8571739089,19.62
0.00091,27.6477035196,-95.2822413023,67.6345377827,19.62
0.00092,27.943064948,-95.3542990789,67.4112341309,19.62
0.00093,28.2381505897,-95.4254157471,67.1872651574,19.62
0.00094,28.5329575322,-95.495590605,66.9626330728,19.62
0.00095,28.8274828659,-95.5648229599,66.737340094,21.12
0.00096,29.121723684,-95.6331121286,66.5113884446,21.12
0.00097,29.4156770825,-95.7004574372,66.2847803547,21.12
0.00098,29.7093401601,-95.7668582208,66.0575180607,21.12
0.00099,30.0027100185,-95.8323138242,65.8296038057,21.12
0.001,30.2957837622,-95.8968236014,65.6010398391,22.6
0.00101,30.5885584989,-95.9603869156,65.3718284167,22.6
0.00102,30.8810313388,-96.0230031395,65.1419718008,22.6
0.00103,31.1731993953,-96.0846716552,64.9114722599,22.6
0.00104,31.465059785,-96.1453918539,64.6803320689,22.6
0.00105,31.7566096273,-96.2051631365,64.4485535092,24.1
0.00106,32.0478460446,-96.2639849129,64.2161388683,24.1
0.00107,32.3387661626,-96.3218566027,63.9830904401,24.1
0.00108,32.6293671101,-96.3787776346,63.7494105245,24.1
0.00109,32.9196460189,-96.4347474469,63.515101428,24.1
0.0011,33.209600024,-96.4897654872,63.2801654631,25.58
0.00111,33.4992262639,-96.5438312124,63.0446049486,25.58
0.00112,33.7885218799,-96.596944089,62.8084222092,25.58
0.00113,34.0774840168,-96.6491035928,62.571619576,25.58
0.00114,34.3661098227,-96.7003092089,62.3341993862,25.58
0.00115,34.6543964489,-96.750560432,62.0961639831,27.06
0.00116,34.9423410503,-96.7998567662,61.8575157159,27.06
0.00117,35.2299407849,-96.8481977248,61.6182569399,27.06
0.00118,35.5171928142,-96.8955828309,61.3783900167,27.06
0.00119,35.8040943031,-96.9420116166,61.1379173135,27.06
0.0012,36.0906424201,-96.9874836238,60.8968412038,28.54
0.00121,36.376834337,-97.0319984037,60.6551640668,28.54
0.00122,36.6626672292,-97.075555517,60.4128882878,28.54
0.00123,36.9481382757,-97.1181545337,60.170016258,28.54
0.00124,37.233244659,-97.1597950335,59.9265503745,28.54
0.00125,37.5179835652,-97.2004766053,59.6824930401,30
0.00126,37.8023521841,-97.2401988476,59.4378466636,30
0.00127,38.086347709,-97.2789613684,59.1926136595,30
0.00128,38.369967337,-97.3167637852,58.9467964482,30
0.00129,38.6532082689,-97.3536057248,58.7003974559,30
0.0013,38.9360677093,-97.3894868236,58.4534191143,31.46
0.00131,39.2185428664,-97.4244067274,58.205863861,31.46
0.00132,39.5006309523,-97.4583650918,57.9577341394,31.46
0.00133,39.782329183,-97.4913615814,57.7090323984,31.46
0.00134,40.0636347781,-97.5233958706,57.4597610925,31.46
0.00135,40.3445449613,-97.5544676433,57.209922682,32.9
0.00136,40.6250569601,-97.5845765927,56.9595196326,32.9
0.00137,40.9051680061,-97.6137224218,56.7085544158,32.9
0.00138,41.1848753345,-97.6419048429,56.4570295084,32.9
0.00139,41.4641761848,-97.6691235777,56.2049473929,32.9
0.0014,41.7430678005,-97.6953783578,55.9523105573,34.36
0.00141,42.0215474289,-97.7206689239,55.699121495,34.36
0.00142,42.2996123217,-97.7449950265,55.4453827048,34.36
0.00143,42.5772597343,-97.7683564254,55.1910966911,34.36
0.00144,42.8544869266,-97.7907528901,54.9362659635,34.36
0.00145,43.1312911623,-97.8121841996,54.6808930372,35.78
0.00146,43.4076697097,-97.8326501423,54.4249804326,35.78
0.00147,43.6836198409,-97.8521505162,54.1685306753,35.78
0.00148,43.9591388324,-97.8706851289,53.9115462966,35.78
0.00149,44.2342239649,-97.8882537975,53.6540298326,35.78
0.0015,44.5088725235,-97.9048563485,53.395983825,37.22
0.00151,44.7830817975,-97.9204926181,53.1374108206,37.22
0.00152,45.0568490805,-97.935162452,52.8783133714,37.22
0.00153,45.3301716707,-97.9488657053,52.6186940347,37.22
0.00154,45.6030468703,-97.9616022429,52.3585553726,37.22
0.00155,45.8754719863,-97.9733719391,52.0978999528,38.64
0.00156,46.1474443299,-97.9841746776,51.8367303477,38.64
0.00157,46.4189612169,-97.9940103519,51.575049135,38.64
0.00158,46.6900199674,-98.0028788648,51.3128588974,38.64
0.00159,46.9606179063,-98.0107801289,51.0501622225,38.64
0.0016,47.2307523629,-98.0177140662,50.7869617032,40.04
0.00161,47.500420671,-98.0236806082,50.5232599371,40.04
0.00162,47.7696201692,-98.028679696,50.2590595269,40.04
0.00163,48.0383482004,-98.0327112804,49.9943630799,40.04
0.00164,48.3066021126,-98.0357753214,49.7291732088,40.04
0.00165,48.5743792581,-98.037871789,49.4634925309,41.44
0.00166,48.8416769941,-98.0390006623,49.1973236682,41.44
0.00167,49.1084926824,-98.0391619303,48.9306692478,41.44
0.00168,49.3748236898,-98.0383555913,48.6635319015,41.44
0.00169,49.6406673876,-98.0365816533,48.3959142658,41.44
0.0017,49.906021152,-98.0338401339,48.1278189819,42.82
0.00171,50.1708823642,-98.03013106,47.8592486958,42.82
0.00172,50.43524841,-98.0254544683,47.5902060584,42.82
0.00173,50.6991166802,-98.019810405,47.3206937247,42.82
0.00174,50.9624845707,-98.0131989257,47.050714355,42.82
0.00175,51.225349482,-98.0056200956,46.7802706137,44.2
0.00176,51.4877088197,-97.9970739897,46.50936517,44.2
0.00177,51.7495599946,-97.9875606923,46.2380006976,44.2
0.00178,52.0109004222,-97.9770802971,45.9661798749,44.2
0.00179,52.2717275233,-97.9656329078,45.6939053845,44.2
0.0018,52.5320387234,-97.9532186371,45.4211799137,45.58
0.00181,52.7918314536,-97.9398376078,45.1480061542,45.58
0.00182,53.0511031497,-97.9254899518,44.8743868021,45.58
0.00183,53.3098512528,-97.9101758108,44.600324558,45.58
0.00184,53.5680732092,-97.8938953358,44.3258221266,45.58
0.00185,53.8257664704,-97.8766486876,44.0508822172,46.92
0.00186,54.082928493,-97.8584360365,43.7755075435,46.92
0.00187,54.3395567389,-97.839257562,43.4997008231,46.92
0.00188,54.5956486753,-97.8191134536,43.2234647783,46.92
0.00189,54.8512017747,-97.79800391,42.9468021353,46.92
0.0019,55.1062135149,-97.7759291397,42.6697156247,48.28
0.00191,55.360681379,-97.7528893603,42.3922079813,48.28
0.00192,55.6146028556,-97.7288847994,42.1142819439,48.28
0.00193,55.8679754384,-97.7039156939,41.8359402555,48.28
0.00194,56.1207966269,-97.6779822902,41.5571856633,48.28
0.00195,56.3730639258,-97.6510848442,41.2780209184,49.6
0.00196,56.6247748453,-97.6232236214,40.9984487761,49.6
0.00197,56.8759269012,-97.5943988969,40.7184719957,49.6
0.00198,57.1265176146,-97.564610955,40.4380933404,49.6
0.00199,57.3765445123,-97.5338600898,40.1573155775,49.6
0.002,57.6260051267,-97.5021466047,39.876141478,50.92
0.00201,57.8748969957,-97.4694708129,39.5945738172,50.92
0.00202,58.1232176628,-97.4358330367,39.3126153738,50.92
0.00203,58.3709646773,-97.4012336082,39.0302689309,50.92
0.00204,58.6181355939,-97.3656728688,38.7475372749,50.92
0.00205,58.8647279731,-97.3291511696,38.4644231964,52.24
0.00206,59.1107393813,-97.2916688709,38.1809294896,52.24
0.00207,59.3561673903,-97.2532263427,37.8970589524,52.24
0.00208,59.6010095779,-97.2138239644,37.6128143865,52.24
0.00209,59.8452635276,-97.173462125,37.3281985974,52.24
0.0021,60.0889268287,-97.1321412227,37.043214394,53.52
0.00211,60.3319970764,-97.0898616654,36.757864589,53.52
0.00212,60.5744718716,-97.0466238703,36.4721519987,53.52
0.00213,60.8163488212,-97.0024282643,36.186079443,53.52
0.00214,61.0576255381,-96.9572752834,35.8996497454,53.52
0.00215,61.2982996408,-96.9111653734,35.6128657326,54.8
0.00216,61.538368754,-96.8640989893,35.3257302353,54.8
0.00217,61.7778305084,-96.8160765957,35.0382460873,54.8
0.00218,62.0166825405,-96.7670986664,34.7504161259,54.8
0.00219,62.254922493,-96.717165685,34.462243192,54.8
0.0022,62.4925480146,-96.6662781442,34.1737301296,56.08
0.00221,62.7295567599,-96.6144365462,33.8848797863,56.08
0.00222,62.9659463899,-96.5616414028,33.5956950129,56.08
0.00223,63.2017145713,-96.5078932349,33.3061786636,56.08
0.00224,63.4368589774,-96.4531925731,33.0163335957,56.08
0.00225,63.6713772873,-96.3975399573,32.72616267,57.32
0.00226,63.9052671864,-96.3409359366,32.4356687502,57.32
0.00227,64.1385263663,-96.2833810698,32.1448547035,57.32
0.00228,64.3711525248,-96.2248759248,31.8537234,57.32
0.00229,64.6031433661,-96.1654210793,31.5622777132,57.32
0.0023,64.8344966004,-96.1050171198,31.2705205194,58.56
0.00231,65.0652099444,-96.0436646426,30.9784546982,58.56
0.00232,65.295281121,-95.9813642532,30.6860831322,58.56
0.00233,65.5247078596,-95.9181165665,30.3934087069,58.56
0.00234,65.7534878958,-95.8539222067,30.1004343109,58.56
0.00235,65.9816189715,-95.7887818074,29.8071628358,59.8
0.00236,66.2090988354,-95.7226960115,29.5135971761,59.8
0.00237,66.4359252422,-95.6556654712,29.219740229,59.8
0.00238,66.6620959532,-95.5876908481,28.9255948949,59.8
0.00239,66.8876087362,-95.5187728131,28.6311640769,59.8
0.0024,67.1124613656,-95.4489120464,28.3364506808,61
0.00241,67.336651622,-95.3781092374,28.0414576154,61
0.00242,67.5601772929,-95.3063650851,27.7461877922,61
0.00243,67.7830361721,-95.2336802973,27.4506441252,61
0.00244,68.0052260601,-95.1600555916,27.1548295315,61
0.00245,68.226744764,-95.0854916946,26.8587469306,62.2
0.00246,68.4475900974,-95.0099893421,26.5623992447,62.2
0.00247,68.6677598808,-94.9335492794,26.2657893987,62.2
0.00248,68.8872519411,-94.8561722609,25.9689203199,62.2
0.00249,69.106064112,-94.7778590503,25.6717949383,62.2
0.0025,69.324194234,-94.6986104205,25.3744161865,63.38
0.00251,69.5416401541,-94.6184271536,25.0767869995,63.38
0.00252,69.7583997264,-94.5373100411,24.7789103147,63.38
0.00253,69.9744708114,-94.4552598834,24.480789072,63.38
0.00254,70.1898512767,-94.3722774905,24.1824262138,63.38
