category,family,application,fidelity,admitted,disposition,modulations
ac_dc,SinglePhaseDiodeBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,NaturalDiodeCommutation
ac_dc,SinglePhaseDiodeBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,NaturalDiodeCommutation
ac_dc,SinglePhaseDiodeBridge,StandaloneConversion,SwitchingDetailed,true,executable,NaturalDiodeCommutation
ac_dc,ThreePhaseDiodeBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,NaturalDiodeCommutation
ac_dc,ThreePhaseDiodeBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,NaturalDiodeCommutation
ac_dc,ThreePhaseDiodeBridge,StandaloneConversion,SwitchingDetailed,true,executable,NaturalDiodeCommutation
ac_dc,SinglePhaseThyristorBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,PhaseControlledFiring
ac_dc,SinglePhaseThyristorBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,PhaseControlledFiring
ac_dc,SinglePhaseThyristorBridge,StandaloneConversion,SwitchingDetailed,true,executable,PhaseControlledFiring
ac_dc,ThreePhaseThyristorBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,PhaseControlledFiring
ac_dc,ThreePhaseThyristorBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,PhaseControlledFiring
ac_dc,ThreePhaseThyristorBridge,StandaloneConversion,SwitchingDetailed,true,executable,PhaseControlledFiring
ac_dc,SinglePhaseHalfControlledBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,PhaseControlledFiring
ac_dc,SinglePhaseHalfControlledBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,PhaseControlledFiring
ac_dc,SinglePhaseHalfControlledBridge,StandaloneConversion,SwitchingDetailed,true,executable,PhaseControlledFiring
ac_dc,ThreePhaseHalfControlledBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,PhaseControlledFiring
