time_s,input_voltage_v,input_current_a,switch_node_voltage_v,output_voltage_v,inductor_current_a,load_current_a,requested_gate_state,applied_gate_state,controlled_valve_conducting_state,freewheel_diode_conducting_state,stored_energy_j,semiconductor_loss_w,kcl_residual_a,energy_residual_w,controlled_junction_temperature_k,freewheel_junction_temperature_k,freewheel_recovered_charge_c,controlled_turn_off_tail_current_a
0,120,8.78048780488,119.297560976,70.243902439,8.78048780488,8.78048780488,1,1,1,0,0.427904858845,0,0,0,298.15,298.15,0,0
2.5e-07,120,8.77047396407,118.211869174,70.2439090295,8.78839725092,8.78048862869,1,1,1,0,0.428008868053,9.63591834107,1.7446044609e-12,5.44461082161e-11,298.150005947,298.150000017,0,0
5e-07,120,8.81610178851,118.20792744,70.2439287239,8.79621573469,8.78049109049,1,1,1,0,0.428112188561,9.71247219439,2.18491065518e-10,1.25773822523e-08,298.150011944,298.150000035,0,0
7.5e-07,120,8.78620797212,118.210544871,70.2439614434,8.80403394737,8.78049518043,1,1,1,0,0.428215736359,9.64958699957,9.55675330538e-11,1.81410261012e-08,298.150017902,298.150000052,0,0
1e-06,120,8.83160668807,118.206622467,70.2440071849,8.81185188841,8.78050089811,1,1,1,0,0.428319508012,9.72596781305,2.16657386476e-10,1.83912604208e-08,298.15002391,298.15000007,0,0
1.25e-06,120,8.80194059608,118.209220683,70.2440659452,8.81966955403,8.78050824314,1,1,1,0,0.428423506788,9.66343039458,9.38416670759e-11,1.86375587322e-08,298.150029879,298.150000087,0,0
1.5e-06,120,8.8471115347,118.2053175,70.244137721,8.82748694367,8.78051721513,1,1,1,0,0.42852772927,9.73963581694,2.17452857804e-10,1.82539262145e-08,298.150035897,298.150000105,0,0
1.75e-06,120,8.81767181438,118.207896615,70.2442225093,8.83530405359,8.78052781367,1,1,1,0,0.428632178707,9.67744092543,9.2384405681e-11,1.81352255517e-08,298.150041877,298.150000122,0,0
2e-06,120,8.86261629891,118.204012539,70.2443203069,8.8431208832,8.78054003836,1,1,1,0,0.428736851701,9.75346876336,2.13271969529e-10,1.82319966473e-08,298.150047906,298.15000014,0,0
2.25e-06,120,8.83340160552,118.206572666,70.2444311106,8.85093742877,8.78055388882,1,1,1,0,0.428841751483,9.69161132088,9.16548642538e-11,1.78927131086e-08,298.150053898,298.150000157,0,0
