time_s,terminal_voltage_v,drive,terminal,stored_recovery_charge_c,displacement_current_a,junction_temperature_k,cumulative_dissipated_energy_j
1e-06,24.9999375002,10,5.00001249997,1.66666874999e-05,4.99998750003,300.000002503,5.00624996875e-07
2e-06,6.24999479168,10,8.75000104166,2.43055642361e-05,-3.7499885417,300.000393123,7.86254947889e-05
3e-06,4.68749956597,10,9.06250008681,2.806713614e-05,-0.312499045141,300.000612844,0.000122570799151
4e-06,4.5572916305,10,9.0885416739,3.09847661675e-05,-0.0260415870951,300.000820524,0.000164108613162
5e-06,4.54644096921,10,9.09071180616,3.33980400883e-05,-0.00217013225793,300.001027215,0.000205448864135
6e-06,4.54553674743,10,9.09089265051,3.54075946526e-05,-0.000180844354826,300.001233822,0.000246772672779
7e-06,4.54546139562,10,9.09090772088,3.70820978699e-05,-1.50703629025e-05,300.001440419,0.000288095111377
8e-06,4.5454551163,10,9.09090897674,3.84775067521e-05,-1.25586357487e-06,300.001647014,0.000329417435806
9e-06,4.54545459303,10,9.09090908139,3.96403466151e-05,-1.04655297782e-07,300.001853607,0.000370739750721
1e-05,4.54545454942,10,9.09090909012,4.06093797616e-05,-8.72127611218e-09,300.002060198,0.000412062064842
1.1e-05,4.54545454578,10,9.09090909084,4.14169073777e-05,-7.2677152704e-10,300.002266786,0.000453384378898
1.2e-05,4.54545454578,10,9.09090909157,4.20898470577e-05,0,300.002473372,0.000494706692953
1.3e-05,4.54545454578,10,9.09090909157,4.26506301244e-05,0,300.002679957,0.000536029007009
1.4e-05,4.54545454578,10,9.09090909157,4.31179493466e-05,0,300.002886539,0.000577351321065
1.5e-05,4.54545454578,10,9.09090909157,4.35073820318e-05,0,300.003093119,0.00061867363512
1.6e-05,4.54545454578,10,9.09090909157,4.38319092695e-05,0,300.003299697,0.000659995949176
1.7e-05,4.54545454578,10,9.09090909157,4.41023486342e-05,0,300.003506273,0.000701318263231
1.8e-05,4.54545454578,10,9.09090909157,4.43277147715e-05,0,300.003712847,0.000742640577287
1.9e-05,4.54545454578,10,9.09090909157,4.45155198859e-05,0,300.003919419,0.000783962891343
2e-05,4.54545454578,10,9.09090909157,4.46720241479e-05,0,300.004125988,0.000825285205398
2.1e-05,4.54545454578,10,9.09090909157,4.48024443662e-05,0,300.004332556,0.000866607519454
2.2e-05,4.54545454578,10,9.09090909157,4.49111278815e-05,0,300.004539121,0.000907929833509
2.3e-05,4.54545454578,10,9.09090909157,4.50016974775e-05,0,300.004745685,0.000949252147565
2.4e-05,4.54545454578,10,9.09090909157,4.50771721409e-05,0,300.004952246,0.000990574461621
2.5e-05,4.54545454578,10,9.09090909157,4.51400676937e-05,0,300.005158805,0.00103189677568
2.6e-05,4.54545454578,10,9.09090909157,4.51924806544e-05,0,300.005365362,0.00107321908973
2.7e-05,4.54545454578,10,9.09090909157,4.52361581217e-05,0,300.005571917,0.00111454140379
2.8e-05,4.54545454578,10,9.09090909157,4.5272556011e-05,0,300.00577847,0.00115586371784
2.9e-05,4.54545454578,10,9.09090909157,4.53028875855e-05,0,300.00598502,0.0011971860319
3e-05,4.54545454578,10,9.09090909157,4.53281638976e-05,0,300.006191569,0.00123850834595
3.1e-05,-7.97672825171,-20,-18.4046543497,2.44789228284e-05,-2.45119784624,300.006841158,0.00136843996992
3.2e-05,-9.00389295789,-20,-18.1992214084,5.3926140939e-06,-0.191435492579,300.007655531,0.00153133024933
3.3e-05,-51.172225849,-20,-9.76555483019,0,-9.76550365797,300.007900061,0.00158025211441
3.4e-05,-80.117803014,-20,-3.97643939718,0,-3.97635927938,300.007900013,0.00158025853328
3.5e-05,-92.2616576387,-20,-1.54766847225,0,-1.5475762106,300.007899975,0.00158026704549
3.6e-05,-97.0380512812,-20,-0.592389743762,0,-0.592292705711,300.007899942,0.00158027646187
3.7e-05,-98.8732093938,-20,-0.225358120529,0,-0.22525924732,300.00789991,0.00158028623778
3.8e-05,-99.5721710905,-20,-0.0855657818903,0,-0.0854662097192,300.00789988,0.0015802961524
3.9e-05,-99.8375120926,-20,-0.0324975814821,0,-0.03239774397,300.007899849,0.00158030611993
4e-05,-99.9381160759,-20,-0.0123767848149,0,-0.0122768466988,300.007899819,0.00158031610756
4.1e-05,-99.9762420988,-20,-0.00475158023613,0,-0.00465160399403,300.007899788,0.00158032610281
4.2e-05,-99.9906881911,-20,-0.00186236177909,0,-0.0017623710909,300.007899758,0.00158033610094
4.3e-05,-99.9961614996,-20,-0.000767700080188,0,-0.000667703918689,300.007899727,0.00158034610018
4.4e-05,-99.998235161,-20,-0.000352967013969,0,-0.000252968778808,300.007899697,0.00158035609982
4.5e-05,-99.9990208003,-20,-0.000195839821909,0,-9.58408011089e-05,300.007899666,0.00158036609963
4.6e-05,-99.9993184506,-20,-0.000136309865271,0,-3.63105468205e-05,300.007899636,0.00158037609949
4.7e-05,-99.9994312193,-20,-0.000113756145095,0,-1.37567138755e-05,300.007899605,0.00158038609938
4.8e-05,-99.9994739431,-20,-0.000105211378509,0,-5.21190456549e-06,300.007899575,0.00158039609927
4.9e-05,-99.9994901296,-20,-0.000101974085625,0,-1.97459549525e-06,300.007899544,0.00158040609917
5e-05,-99.999496262,-20,-0.000100747596518,0,-7.48100256262e-07,300.007899513,0.00158041609907
5.1e-05,-99.9994985854,-20,-0.000100282925737,0,-2.83427151377e-07,300.007899483,0.00158042609897
5.2e-05,-99.9994994656,-20,-0.000100106879398,0,-1.0737993204e-07,300.007899452,0.00158043609887
5.3e-05,-99.9994997991,-20,-0.000100040182028,0,-4.06822284329e-08,300.007899421,0.00158044609877
5.4e-05,-99.9994999254,-20,-0.000100014912896,0,-1.54129706502e-08,300.00789939,0.00158045609867
5.5e-05,-99.9994999733,-20,-0.000100005339379,0,-5.83940617486e-09,300.007899359,0.00158046609857
5.6e-05,-46.1181795702,-2,7.22363591404,0,7.22368203222,300.007899289,0.00158046822546
5.7e-05,-25.879778693,-2,3.17595573864,0,3.17598161842,300.007899211,0.00158046889522
5.8e-05,-17.3015346381,-2,1.46030692763,0,1.46032422916,300.007899132,0.00158046919456
5.9e-05,-13.431043677,-2,0.686208735395,0,0.686222166438,300.007899052,0.00158046937496
6e-05,-11.6292654844,-2,0.32585309688,0,0.325864726146,300.007898971,0.0015804695102
6.1e-05,-10.7775741899,-2,0.155514839066,0,0.15552561664,300.007898891,0.00158046962635
6.2e-05,-10.3719877248,-2,0.0743975450215,0,0.0744079170093,300.00789881,0.00158046973393
