time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0,362.944738619,-0.0365084914051,0.00360840325816,0.00360840325816,-0.000235656562923,799.997333485,-14.4545116894,2.69744427137e-15,0,0,0,50,0.5,0,0
2e-05,362.802454831,-1.63444324052,0.18876826713,0.256087204368,0.000856062937558,799.9839112,-667.295971441,16.9628392427,354.359516123,354.359516123,19.5959179423,50.0954929659,0.813353125489,0,0
4e-05,362.605708085,-3.54250983273,0.489605127802,0.75575873987,0.00872662900742,799.983958359,-1493.09307979,65.1239817324,354.359516123,354.359516123,19.5959179423,50.0954929659,0.813353125489,0,0
6e-05,362.351455284,-5.79934669685,0.950724646781,1.53878191305,0.0279529129464,799.968069292,-2519.27800724,138.531811221,353.599542711,353.561954622,19.4880661536,50.0957203613,0.8302271504,0,0
8e-05,362.038481236,-8.42098175212,1.60507825408,2.62510314788,0.0665741471262,799.968167538,-3760.0832803,229.497697818,353.599542711,353.561954622,19.4880661536,50.0957203613,0.8302271504,0,0
0.0001,361.66679354,-11.4084202144,2.4765827149,4.02182523722,0.126674022764,799.968447066,-5220.27151284,329.085157158,353.599542711,353.561954622,19.4880661536,50.0957203613,0.8302271504,0,0
0.00012,361.238286248,-14.7393193135,3.57498566826,5.71890283978,0.691265684315,799.952506248,-6890.59367925,427.777313189,353.128110736,353.027149109,19.4115289688,50.0963209314,0.857956866419,0,0
0.00014,360.757662306,-18.356417057,4.86298299662,7.64054942971,9.16315355223,799.973597749,-8730.07352535,511.784261651,353.128110736,353.027149109,19.4115289688,50.0963209314,0.857956866419,0,0
0.00016,360.237696649,-22.1015213902,6.18304750151,9.59395205326,4.68537009988,800.002484657,-10622.3238362,572.632325744,352.652665289,352.462986481,19.3536828882,50.0974302135,0.895450474671,0,0
0.00018,359.701894183,-25.6821713053,7.45773969251,11.4828185342,0.2246989494,800.024931261,-12433.0032404,610.291658124,352.652665289,352.462986481,19.3536828882,50.0974302135,0.895450474671,0,0
0.0002,359.173086781,-28.8146456966,8.64216103521,13.2460797854,-0.716907529163,800.022764992,-14043.1755034,627.689484471,352.652665289,352.462986481,19.3536828882,50.0974302135,0.895450474671,0,0
0.00022,358.658986122,-31.4051504627,9.72143279666,14.8522377236,2.64604830793,800.00819863,-15412.2542143,625.541277566,352.153909741,351.850091577,19.3054770718,50.0990290618,0.921380284297,0,0
0.00024,358.161178735,-33.437000871,10.6350212884,16.1875133427,9.87296216158,800.019555663,-16505.6030826,594.044286545,352.153909741,351.850091577,19.3054770718,50.0990290618,0.921380284297,0,0
0.00026,357.686372619,-34.8295648852,11.2387440516,17.0935497752,5.47634819573,800.039841122,-17245.6577913,539.369010699,351.661703067,351.218161616,19.2720380923,50.1009324778,0.922969141115,0,0
0.00028,357.248175956,-35.4159493457,11.5035886016,17.5481491597,1.09190282519,800.053121441,-17566.0942435,474.79136821,351.661703067,351.218161616,19.2720380923,50.1009324778,0.922969141115,0,0
0.0003,356.857915765,-35.0581432016,11.4361514764,17.5713608035,-1.31244186427,800.052890904,-17423.8553464,415.091616752,351.661703067,351.218161616,19.2720380923,50.1009324778,0.922969141115,0,0
0.00032,356.514003532,-33.7803834703,11.0764668681,17.2152817856,2.72031378583,800.034434409,-16843.8614864,369.498832479,351.209651771,350.600640527,19.2470088246,50.1028543564,0.925356688948,0,0
0.00034,356.203121952,-31.754264473,10.4331504561,16.453745182,9.37742079098,800.037603798,-15883.6680347,329.454109306,351.209651771,350.600640527,19.2470088246,50.1028543564,0.925356688948,0,0
0.00036,355.916362786,-29.0963346784,9.44179601436,15.2408887498,5.03077635906,800.051062711,-14567.3045645,304.82434678,350.821061717,350.02089724,19.232767148,50.1044802382,0.929125172241,0,0
0.00038,355.651845959,-25.8352409401,8.15274367986,13.6656876739,0.686055491662,800.059328313,-12928.8486899,309.656801682,350.821061717,350.02089724,19.232767148,50.1044802382,0.929125172241,0,0
0.0004,355.406494959,-22.01487032,6.64473739125,11.8490053493,-2.14843563707,800.057436397,-11017.7720195,356.451578223,350.821061717,350.02089724,19.232767148,50.1044802382,0.929125172241,0,0
0.00042,355.167525797,-17.8010840733,5.02082029231,9.92743153028,1.63907674611,800.03756478,-8933.09036956,448.17385217,350.500251642,349.483446282,19.2231020188,50.1055690853,0.919203797423,0,0
0.00044,354.911480661,-13.4938281752,3.36376608521,7.93594372741,8.92331293762,800.040598192,-6798.73699171,558.029583646,350.500251642,349.483446282,19.2231020188,50.1055690853,0.919203797423,0,0
0.00046,354.6213901,-9.31188146356,1.65284680844,5.87634076901,4.57298905412,800.053807088,-4690.16299345,684.284553914,350.234213314,348.975680369,19.2185548023,50.1060090783,0.880348531461,0,0
0.00048,354.290756954,-5.34288087842,-0.0396752404488,3.869998059,0.212429532101,800.062533069,-2672.19762561,832.670065846,350.234213314,348.975680369,19.2185548023,50.1060090783,0.880348531461,0,0
0.0005,353.915477957,-1.64462786192,-1.62665228027,2.05147664901,-2.85489235719,800.060560885,-803.857517245,1007.67469957,350.234213314,348.975680369,19.2185548023,50.1060090783,0.880348531461,0,0
0.00052,353.485649411,1.65215139456,-3.01573636996,0.553990003672,-0.943019912592,800.04377377,829.56783704,1206.72371861,349.996162986,348.471114168,19.2132099453,50.1058546796,0.843974906546,0,0
0.00054,352.981941431,4.29834359414,-4.10236060103,-0.579690312658,7.14814871338,800.049246177,2118.3507401,1390.72291227,349.996162986,348.471114168,19.2132099453,50.1058546796,0.843974906546,0,0
0.00056,352.39291865,6.14368969509,-4.90773976032,-1.41901940879,3.58056782193,800.060324884,3026.75140725,1534.06287409,349.754073657,347.938078637,19.2077926925,50.1052953445,0.819459344824,0,0
0.00058,351.721349467,7.21592455605,-5.43212441394,-1.92594642478,-0.81022555209,800.069124569,3557.81089012,1642.42794857,349.754073657,347.938078637,19.2077926925,50.1052953445,0.819459344824,0,0
0.0006,350.975243691,7.60838532737,-5.65535013231,-2.0433016058,-2.74951805793,800.066435852,3731.56880927,1723.75256827,349.754073657,347.938078637,19.2077926925,50.1052953445,0.819459344824,0,0
0.00062,350.154549678,7.31318295086,-5.55288683133,-1.71393011609,-2.24930951398,800.049498504,3532.16787054,1778.89112675,349.476815017,347.345348845,19.1985788901,50.1046134516,0.81254178205,0,0
0.00064,349.252803728,6.2419000391,-5.08916549988,-0.934756044483,3.60912132044,800.052686054,2926.36031816,1785.5477074,349.476815017,347.345348845,19.1985788901,50.1046134516,0.81254178205,0,0
0.00066,348.270834246,4.397475749,-4.28749729348,0.12732997762,2.73817145416,800.061969245,1956.54208767,1701.15437074,349.141980945,346.670498718,19.1866510951,50.1040900223,0.824186443555,0,0
0.00068,347.223918931,1.96398088098,-3.23704032666,1.39307013277,-1.67404601951,800.069034783,716.99383191,1540.19369388,349.141980945,346.670498718,19.1866510951,50.1040900223,0.824186443555,0,0
0.0007,346.132076018,-0.815134053799,-1.99600210364,2.84013711638,-2.27740856938,800.064869952,-693.909288316,1327.71399926,349.141980945,346.670498718,19.1866510951,50.1040900223,0.824186443555,0,0
0.00072,345.002671337,-3.85516304214,-0.60391394864,4.46570053493,-1.83830530416,800.047809312,-2240.11378477,1078.82628414,348.737746532,345.901156036,19.1701479339,50.1039508559,0.850517246759,0,0
0.00074,343.838981436,-7.12273650104,0.912566053506,6.21922242148,3.53086475273,800.047516468,-3894.75203568,789.362727047,348.737746532,345.901156036,19.1701479339,50.1039508559,0.850517246759,0,0
0.00076,342.649104694,-10.5240487435,2.49495105466,7.89041178017,3.38938566804,800.052846024,-5572.55448142,429.997456155,348.265748364,345.038689993,19.1501005118,50.104290643,0.883900597016,0,0
0.00078,341.452684768,-13.8205223479,4.01995315475,9.37244172343,-1.05034146356,800.056615743,-7156.01740192,31.3182873383,348.265748364,345.038689993,19.1501005118,50.104290643,0.883900597016,0,0
0.0008,340.271881659,-16.7420337182,5.4088187768,10.6434571863,-1.70661651413,800.052133856,-8541.81992554,-364.480657551,348.265748364,345.038689993,19.1501005118,50.104290643,0.883900597016,0,0
0.00082,339.11333523,-19.2131082639,6.61952395192,11.7201157576,0.00816906005638,800.033015985,-9706.23820043,-730.556099088,347.737778362,344.094413671,19.1249699468,50.1050728522,0.915099959024,0,0
0.00084,337.977537927,-21.2353585443,7.64496849119,12.5405466098,6.424927321,800.028313197,-10637.8084999,-1076.47035486,347.737778362,344.094413671,19.1249699468,50.1050728522,0.915099959024,0,0
0.00086,336.867860645,-22.7742726586,8.41989691927,12.9376467371,4.84981715669,800.029559251,-11284.3443543,-1415.29638789,347.17335613,343.087936813,19.0957084922,50.1061292788,0.935700012494,0,0
0.00088,335.79680827,-23.680747076,8.85915771291,12.8931266875,0.372812825539,800.029613929,-11587.0604834,-1706.61790878,347.17335613,343.087936813,19.0957084922,50.1061292788,0.935700012494,0,0
0.0009,334.77781116,-23.7940231373,8.93751763455,12.4658402054,-1.67153809291,800.023241309,-11506.5359845,-1908.77648354,347.17335613,343.087936813,19.0957084922,50.1061292788,0.935700012494,0,0
