time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0,353.17562536,-0.0829834720024,0.0414917360012,0.0414917360012,0,799.998000112,-43.9616094285,-1.40434991978e-15,0,0,0,50,0.5,0,0
2e-05,352.880044959,-3.60593079909,1.79451385638,1.81141694271,0,799.987931141,-1908.72011394,-5.39468762766,354.359516123,354.359516123,5.68434188608e-14,50,0.911362066798,0,0
4e-05,352.555332369,-7.12615486884,3.52929567006,3.59685919877,0,799.987966518,-3768.77421602,-21.0909550359,354.359516123,354.359516123,5.68434188608e-14,50,0.911362066798,0,0
6e-05,352.216223681,-10.4593132147,5.15473621628,5.30457699841,0,799.976053361,-5526.66902599,-46.097924501,353.395689165,353.358044086,9.47365769819e-14,50,0.912071800366,0,0
8e-05,351.834212275,-13.9637132564,6.84796659465,7.11574666172,0,799.976127041,-7371.17635122,-81.7308512349,353.395689165,353.358044086,9.47365769819e-14,50,0.912071800366,0,0
0.0001,351.429114885,-17.3919199773,8.48710689453,8.90481308281,0,799.976333155,-9171.56426733,-126.991121087,353.395689165,353.358044086,9.47365769819e-14,50,0.912071800366,0,0
0.00012,351.222583682,-17.9654566657,8.68945645476,9.27600021089,0,799.977165756,-9470.74514013,-136.399439703,352.789195645,352.687804631,1.01048392524e-13,50,0.912989564997,0,0
0.00014,351.178580423,-16.1380226945,7.66663102412,8.47139167041,0,800.011281818,-8510.48353519,-84.9246131661,352.789195645,352.687804631,1.01048392524e-13,50,0.912989564997,0,0
0.00016,351.105701512,-14.3121638563,6.62798525892,7.68417859741,0,800.041637452,-7551.84928712,-12.7335790944,352.453449438,352.262851932,7.5786294393e-14,50,0.916844424443,0,0
0.00018,351.004153686,-12.4876155593,5.57344012178,6.91417543748,0,800.06824784,-6595.10632826,80.0856606804,352.453449438,352.262851932,7.5786294393e-14,50,0.916844424443,0,0
0.0002,350.730623109,-12.4643991993,5.40598939436,7.05840980492,0,800.076276393,-6585.24377689,139.039483099,352.453449438,352.262851932,7.5786294393e-14,50,0.916844424443,0,0
0.00022,350.363210021,-13.26592898,6.29593804562,6.9699909344,0,800.070713913,-6984.32704495,-221.131140146,352.219360495,351.914374447,8.71379574515e-14,50,0.921186114312,0,0
0.00024,350.177850793,-11.4347139011,5.18733913383,6.24737476727,0,800.095130993,-6027.67205985,-78.303381814,352.219360495,351.914374447,8.71379574515e-14,50,0.921186114312,0,0
0.00026,349.964885271,-9.60373697867,4.06254239249,5.54119458617,0,800.115811893,-5073.75082152,84.8464302111,352.001799782,351.556580841,8.52352329734e-14,50,0.924178092125,0,0
