time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0,332.31017497,275.616764405,-137.808382203,-137.808382203,0,799.998000112,137385.382806,-5.20608619329e-11,0,0,0,50,0.5,0,0
2e-05,350.1163258,52.855755486,-24.5249169716,-28.3308385144,0,799.987931141,27764.3741395,-1012.55802889,354.359516123,354.359516123,5.68434188608e-14,50,0.867645435048,0,0
4e-05,349.798650574,56.2744828167,-25.9746964778,-30.299786339,0,799.987966518,29541.0384397,-996.265068525,354.359516123,354.359516123,5.68434188608e-14,50,0.867645435048,0,0
6e-05,349.466473769,59.5068630932,-27.3160433728,-32.1908197204,0,799.976053361,31217.3444874,-970.770189731,352.017719791,351.981433032,8.52627907153e-14,50,0.658161879861,0,0
8e-05,349.091920867,62.9021147058,-28.7217424871,-34.1803722186,0,799.976127041,32973.780684,-934.718406234,352.017719791,351.981433032,8.52627907153e-14,50,0.658161879861,0,0
0.0001,348.690332538,66.2695791007,-30.0976586957,-36.1719204051,0,799.976333231,34711.3802762,-888.731870595,352.017719791,351.981433032,8.52627907153e-14,50,0.658161879861,0,0
0.00012,348.285215697,69.3168307941,-31.3010458002,-38.0157849939,0,799.964374763,36279.5535754,-836.074150809,350.957085823,350.857710569,1.89711661722e-14,50,0.625288808191,0,0
0.00014,347.882457876,71.9719953836,-31.9402759412,-40.0317194426,0,799.969414182,37650.0855738,-998.900881311,350.957085823,350.857710569,1.89711661722e-14,50,0.625288808191,0,0
0.00016,347.812366813,70.1082518146,-30.6183277903,-39.4899240243,0,800.012905175,36693.8912741,-1069.21556122,350.252752854,350.065082628,2.36847587238e-14,50,0.605480464149,0,0
0.00018,347.508770033,70.8050842953,-30.5960913119,-40.2089929834,0,800.020065908,37050.9267477,-1070.64893245,350.252752854,350.065082628,2.36847587238e-14,50,0.605480464149,0,0
0.0002,346.967485497,74.1173953159,-31.8670011652,-42.2503941506,0,800.020112108,38745.9698901,-999.930545771,350.252752854,350.065082628,2.36847587238e-14,50,0.605480464149,0,0
0.00022,346.435742721,76.9577373135,-32.9075792379,-44.0501580756,0,800.007998198,40193.8051828,-921.316402933,349.70387957,349.402480255,4.54529191236e-14,50,0.593011484833,0,0
0.00024,345.839781222,80.2513273206,-34.1110775801,-46.1402497407,0,800.008934491,41869.491681,-848.75184662,349.70387957,349.402480255,4.54529191236e-14,50,0.593011484833,0,0
0.00026,345.585172831,78.9320127092,-32.6830403797,-46.2489723294,0,800.06280923,41207.3175642,-1130.30314264,349.171146379,348.731137114,4.42913601074e-14,50,0.569501316069,0,0
0.00028,345.049763573,80.7804919036,-33.1598647522,-47.6206271515,0,800.060226278,42143.5312048,-1093.45784061,349.171146379,348.731137114,4.42913601074e-14,50,0.569501316069,0,0
0.0003,344.375290908,84.0290927048,-34.3236518281,-49.7054408766,0,800.059692194,43786.304628,-991.962850986,349.171146379,348.731137114,4.42913601074e-14,50,0.569501316069,0,0
0.00032,345.059632221,69.9586594686,-26.857470147,-43.1011893216,0,800.019616339,36637.683199,-1662.74878991,348.657005462,348.053215595,3.52577828348e-14,50,0.553141068205,0,0
0.00034,347.50060491,33.6010448843,-8.18569457716,-25.4153503072,0,800.019125352,17996.359679,-3557.78495044,348.657005462,348.053215595,3.52577828348e-14,50,0.553141068205,0,0
0.00036,348.586429166,13.8583177163,2.54077492193,-16.3990926382,0,799.986207959,7805.9939014,-5008.24620553,348.80513138,348.016377479,1.66401710471e-14,50,0.785816862694,0,0
0.00038,347.81601285,16.9991939363,1.49248446669,-18.491678403,0,799.985134404,9491.78273425,-5101.84356075,348.80513138,348.016377479,1.66401710471e-14,50,0.785816862694,0,0
0.0004,347.000367095,20.3913333434,0.329795826264,-20.7211291697,0,799.984496254,11303.7299879,-5168.31905492,348.80513138,348.016377479,1.66401710471e-14,50,0.785816862694,0,0
