time_s,phase_a_voltage_v,phase_b_voltage_v,phase_c_voltage_v,phase_a_current_a,phase_b_current_a,phase_c_current_a,zero_current_a,d_axis_current_a,q_axis_current_a,electromagnetic_torque_nm,shaft_mass_1_speed_rad_s,terminal_power_w,rotor_port_power_w,magnetic_coenergy_j,kinetic_energy_j,elastic_energy_j,dissipated_energy_j,maximum_energy_residual_j,maximum_energy_quadrature_defect_j,event_count,control_sample_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.49555921538757,0.0,0.0,0.0,31089.25386343147,0.0,0.0,0.0,0.0,0,0
1.0e-5,1.2252182327145844,-282.0688652738847,280.84364704117013,3.0561098122938665e-6,-0.0340116732843126,0.03400861717450033,1.3877787807814457e-17,-0.00017758035399743216,-0.048097280965541334,-0.04617370861668861,188.49555692922775,19.144741911887266,0.0,9.137850581418931e-5,31089.253109302274,0.0,0.0007106135907991333,3.1535664921436557e-12,4.786081060515195e-5,0,0
2.0e-5,2.4504190523660547,-282.6754654948903,280.22504644252433,0.00021756988099598602,-0.08594152810013143,0.08572395821913553,4.85722573273506e-17,-0.0006487588878365397,-0.12138438826101297,-0.11652997572920917,188.49555431012516,48.31609477162273,0.0,0.0005820164211398003,31089.25224534617,0.0,0.001421240424497879,1.47874144190447e-10,4.786081060515195e-5,0,0
3.0000000000000004e-5,3.675585046138776,-283.27804827182763,279.60246322568895,0.0006874153728786267,-0.1379965533158928,0.13730913794301436,1.1102230246251565e-16,-0.0013597701384251704,-0.1946675927184217,-0.18688155797955147,188.49555128900016,77.48589413749308,0.0,0.0014969456761229649,31089.251248776076,0.0,0.002131899262480011,3.336909061785534e-10,4.786081060515195e-5,0,0
4.0e-5,4.900698801712063,-283.8766050406616,278.9759062389495,0.0014125747633790488,-0.1901757286837439,0.188763153920365,8.326672684688674e-17,-0.002310594388960696,-0.26794587621269383,-0.25722621259263356,188.49554786588595,106.65373475278156,0.0,0.0028361202261974203,31089.250119602937,0.0,0.002842609435334601,5.272376483967875e-10,4.786081060515195e-5,0,0
5.0e-5,6.125742907507657,-284.4711272945756,278.34538438706784,0.0023930241370881556,-0.2424780310171624,0.2400850068800744,8.326672684688674e-17,-0.0035012087763516414,-0.34121822072713304,-0.3275616972384166,188.49554404082855,135.81921140386265,0.0,0.004599485748784558,31089.248857841943,0.0,0.0035533902711949216,7.222092350154738e-10,4.786081060515195e-5,0,0
6.000000000000001e-5,7.350699952937171,-285.06160658409226,277.71090663115507,0.0036287334863332795,-0.2949024342232425,0.29127370073690917,-5.551115123125783e-17,-0.004931587291557418,-0.4144836083674106,-0.3978857701402933,188.49553981388672,164.9819189257631,0.0,0.006786979645123277,31089.24746351248,0.0,0.004264261095285459,8.96860524973557e-10,4.786081060515195e-5,0,0
7.000000000000001e-5,8.57555252864954,-285.64803451719405,277.0724819885445,0.005119666712504226,-0.3474479093351025,0.34232824262259826,-2.7755575615628914e-17,-0.006601700779955255,-0.48774102137555464,-0.4681961901834301,188.49553518513213,194.14145220772247,0.0,0.00939853104235972,31089.24593663821,0.0,0.004975241229469054,1.1012623720926817e-9,4.786081060515195e-5,0,0
8.0e-5,9.800283226778445,-286.2304027594419,276.43011953266347,0.0068657816276480495,-0.4001134245444166,0.39324764291676867,8.326672684688674e-17,-0.008511516941720976,-0.5609894421439359,-0.5384907170230565,188.49553015464917,223.29740619875264,0.0,0.0124340607958968,31089.244277246973,0.0,0.005686349991794177,1.2898991440940533e-9,4.786081060515195e-5,0,0
9.0e-5,11.02487464118972,-286.8087030340941,275.78382839290435,0.008867029956325819,-0.4528979452340628,0.4440309152777369,-5.551115123125783e-17,-0.010661000332234077,-0.6342278532292502,-0.6087671111926901,188.49552472253507,252.44937591319558,0.0,0.01589348149200332,31089.24248537085,0.0,0.006397606696042369,1.4816843563712767e-9,4.786081060515195e-5,0,0
