time_s,S50_voltage,L50_voltage,S60_voltage,L60_voltage
0,100,90.3903218443,103.923048454,98.6191420488
5e-05,99.9876632482,90.4867286266,102.773680389,97.7425327587
0.0001,99.9506560366,90.5608099156,101.587797325,96.8311925339
0.00015,99.8889874962,90.6125472912,100.3658206,95.8854458226
0.0002,99.8026728428,90.6419278733,99.1081843766,94.9056291748
0.00025,99.6917333733,90.6489443193,97.8153354874,93.8920911458
0.0003,99.5561964603,90.6335948222,96.4877332753,92.8451921908
0.00035,99.3960955455,90.5958831078,95.125849431,91.7653045522
0.0004,99.2114701314,90.5358184309,93.7301678254,90.6528121399
0.00045,99.0023657716,90.453415571,92.3011843375,89.5081104046
0.0005,98.7688340595,90.3486948267,90.8394066782,88.3316062056
0.00055,98.5109326155,90.2216820096,89.3453542103,87.123717673
0.0006,98.2287250729,90.0724084365,87.8195577635,85.8848740642
0.00065,97.9222810622,89.9009109207,86.262559446,84.615515616
0.0007,97.5916761939,89.7072317623,84.6749124518,83.3160933917
0.00075,97.2369920398,89.4914187372,83.0571808644,81.9870691236
0.0008,96.8583161129,89.2535250844,81.4099394562,80.6289150514
0.00085,96.4557418458,88.9936094931,79.7337734841,79.2421137562
0.0009,96.0293685677,88.7117360872,78.029278482,77.8271579907
0.00095,95.5793014798,88.4079744097,76.2970600488,76.3845505054
0.001,95.1056516295,88.0823994053,74.5377336334,74.9148038709
0.00105,94.6085358827,87.7350914012,72.7519243162,73.4184402965
0.0011,94.0880768954,87.3661360879,70.9402665867,71.8959914458
0.00115,93.544403083,86.9756244973,69.1034041182,70.3479982476
0.0012,92.9776485888,86.5636529805,67.2419895394,68.7750107048
0.00125,92.3879532511,86.1303231839,65.3566842018,67.1775876992
0.0013,91.7754625684,85.675742024,63.4481579455,65.556296793
0.00135,91.1403276635,85.2000216609,61.5170888609,63.9117140276
0.0014,90.4827052466,84.7032794706,59.5641630474,62.2444237189
0.00145,89.8027575761,84.1856380164,57.5900743705,60.5550182503
0.0015,89.1006524188,83.6472250178,55.5955242144,58.8440978617
0.00155,88.3765630089,83.08817332,53.5812212332,57.1122704371
0.0016,87.6306680044,82.5086208601,51.5478810993,55.3601512879
0.00165,86.8631514438,81.9087106338,49.4962262487,53.5883629351
0.0017,86.0742027004,81.2885906597,47.4269856245,51.7975348877
0.00175,85.2640164354,80.6484139431,45.3408944182,49.9883034191
0.0018,84.4327925502,79.9883384377,43.238693808,48.1613113414
0.00185,83.5807361368,79.3085270072,41.1211306958,46.3172077767
0.0019,82.7080574274,78.6091473848,38.9889574417,44.4566479267
0.00195,81.8149717425,77.8903721318,36.8429315966,42.5802928398
0.002,80.9016994375,77.1523785954,34.6838156333,40.6888091764
0.00205,79.9684658487,76.3953488642,32.5123766755,38.7828689717
0.0021,79.0155012376,75.6194697239,30.3293862251,36.8631493975
0.00215,78.0430407338,74.8249326112,28.1356198882,34.9303325212
0.0022,77.0513242776,74.0119335661,25.9318570995,32.9851050635
0.00225,76.04059656,73.180673184,23.7188808455,31.0281581546
