time_s,coarse_voltage_v,medium_voltage_v,fine_voltage_v
0,0,0,0
2e-05,68.8960338172,71.3305813796,71.9337216641
4e-05,128.016536398,129.864657187,130.322691769
6e-05,175.67477488,177.06895748,177.414625993
8e-05,213.961968945,215.005922696,215.264863095
0.0001,244.589020414,245.363759864,245.556007326
0.00012,268.955678199,269.524345378,269.665521166
0.00014,288.207108404,288.618792418,288.721045894
0.00016,303.280184255,303.572943112,303.64569727
0.00018,314.941361229,315.144609587,315.195150369
0.0002,323.817665776,323.954059225,323.988000747
0.00022,330.422049158,330.508969141,330.53062046
0.00024,335.174130848,335.224853129,335.237506961
0.00026,338.417169818,338.441782476,338.447942144
0.00028,340.431949691,340.438073151,340.439630407
0.0003,341.448138997,341.441489331,341.439864255
0.00032,341.653585705,341.63841529,341.634664749
0.00034,341.20192169,341.181362139,341.176264966
0.00036,340.218784513,340.19511344,340.189236511
0.00038,338.806907575,338.781755722,338.775505208
0.0004,337.050285787,337.024796403,337.018457407
0.00042,335.017582294,334.992534574,334.986301781
0.00044,332.764917023,332.740820808,332.734821617
0.00046,330.338147701,330.315315343,330.309628101
0.00048,327.774736235,327.753337552,327.748005079
0.0005,325.105275748,325.085379462,325.080419353
0.00052,322.35473998,322.336344806,322.331757166
0.00054,319.543505519,319.5265633,319.522336499
0.00056,316.688188181,316.672620924,316.668735845
0.00058,313.802327314,313.78803959,313.784472719
0.0006,310.896945688,310.883833506,310.880559151
0.00062,307.981007579,307.968964621,307.965956464
0.00064,305.061793573,305.050715437,305.047947605
0.00066,302.145207209,302.134994197,302.132441954
0.00068,299.236025875,299.226584701,299.224224884
0.0007,296.338106081,296.329350803,296.327162057
0.00072,293.454551404,293.446403808,293.444366686
0.00074,290.587849894,290.580239498,290.578336464
0.00076,287.739986495,287.732850295,287.731065665
0.00078,284.912535021,284.905817073,284.904136916
0.0008,304.850432226,305.913699985,306.489535564
0.00082,297.978464252,298.845785814,299.313743886
0.00084,291.918005672,292.623273691,293.002509322
0.00086,286.52587266,287.097154553,287.403433576
0.00088,281.684870038,282.145405721,282.391703924
0.0009,277.299066862,277.668096236,277.865092788
0.00092,273.2899309,273.583379995,273.739863286
0.00094,269.593165836,269.824215677,269.947418073
0.00096,266.156123489,266.335681636,266.431554614
0.00098,262.935686483,263.072777843,263.146218614
0.001,259.896535865,259.998626537,260.053664596
0.00102,257.009733677,257.082999266,257.122949954
0.00104,254.251563217,254.301111111,254.328702024
0.00106,251.602580159,251.632633631,251.65010866
0.00108,249.046836174,249.060886853,249.070091827
0.0011,246.571243709,246.572177829,246.574631001
0.00112,244.165056245,244.155259174,244.152209234
0.00114,241.819443052,241.800885918,241.793359646
0.00116,239.527141254,239.501452259,239.490294124
0.00118,237.282171145,237.250695175,237.236599344
0.0012,235.079603264,235.043450819,235.026987888
0.00122,232.915367815,232.875455592,232.857094491
0.00124,230.786098732,230.743183201,230.723309213
0.00126,228.68900609,228.643711271,228.622640864
0.00128,226.621771714,226.574612149,226.552605176
0.0013,224.582463761,224.53386351,224.511133255
0.00132,222.569466827,222.519775185,222.496496618
0.00134,220.581424764,220.530929245,220.507245826
0.00136,218.617193882,218.566130965,218.542160233
0.00138,216.675804663,216.624368667,216.600206845
0.0014,214.756430433,214.704780854,214.680506631
0.00142,212.858361717,212.806629298,212.782306947
0.00144,210.980985265,210.929277005,210.904958943
0.00146,209.123766881,209.072170178,209.047899076
0.00148,207.286237374,207.234823449,207.210633963
0.0015,205.467981057,205.416807778,205.392727981
0.00152,203.668626337,203.617740559,203.593793108
0.00154,201.887838012,201.837277502,201.813480606
0.00156,200.125310961,200.075105996,200.051474211
0.00158,198.380764987,198.330939668,198.307484548
0.0016,196.653940588,196.604513924,196.58124456
0.00162,194.944595491,194.895582301,194.872505761
0.00164,193.252501825,193.203913476,193.181035169
0.00166,191.577443791,191.529288812,191.506612786
0.00168,189.919215763,189.871500346,189.849029537
0.0017,188.277620728,188.230349148,188.208085574
0.00172,186.652469001,186.605643959,186.583588897
0.00174,185.043577184,184.99720009,184.975354203
0.00176,183.450767298,183.404838506,183.383201961
0.00178,181.873866077,181.828385077,181.806957636
0.0018,180.312704387,180.267669966,180.246451059
0.00182,178.767116747,178.722527118,178.70151591
0.00184,177.236940933,177.192793846,177.171989285
0.00186,175.722017656,175.678310484,175.657711344
0.00188,174.222190287,174.178920104,174.158525019
0.0019,172.737304643,172.69446828,172.674275774
0.00192,171.267208794,171.224802891,171.2048114
0.00194,169.811752914,169.769773962,169.749981853
0.00196,168.370789152,168.329233525,168.309639111
0.00198,166.944171521,166.903035506,166.883637063
0.002,165.531755905,165.491035632,165.471831403
