step,release_ns,start_ns,completion_ns,jitter_ns,computation_ns,response_ns,slack_ns,overrun
0,145558955660429,145558956060074,145558956061175,399645,1101,400746,9599254,false
1,145558965660429,145558966064722,145558966065825,404293,1103,405396,9594604,false
2,145558975660429,145558976050019,145558976051131,389590,1112,390702,9609298,false
3,145558985660429,145558985750132,145558985751269,89703,1137,90840,9909160,false
4,145558995660429,145558995743158,145558995745875,82729,2717,85446,9914554,false
5,145559005660429,145559005757981,145559005759421,97552,1440,98992,9901008,false
6,145559015660429,145559015795147,145559015796349,134718,1202,135920,9864080,false
7,145559025660429,145559025798836,145559025801363,138407,2527,140934,9859066,false
8,145559035660429,145559035815366,145559035817853,154937,2487,157424,9842576,false
9,145559045660429,145559046047172,145559046049877,386743,2705,389448,9610552,false
10,145559055660429,145559056029656,145559056032379,369227,2723,371950,9628050,false
11,145559065660429,145559065807495,145559065809932,147066,2437,149503,9850497,false
12,145559075660429,145559076018425,145559076020743,357996,2318,360314,9639686,false
13,145559085660429,145559086026152,145559086028843,365723,2691,368414,9631586,false
14,145559095660429,145559095782546,145559095785048,122117,2502,124619,9875381,false
15,145559105660429,145559105780516,145559105783056,120087,2540,122627,9877373,false
16,145559115660429,145559115784652,145559115786219,124223,1567,125790,9874210,false
17,145559125660429,145559125965486,145559125966823,305057,1337,306394,9693606,false
18,145559135660429,145559136040081,145559136041721,379652,1640,381292,9618708,false
19,145559145660429,145559146048481,145559146050381,388052,1900,389952,9610048,false
20,145559155660429,145559156048307,145559156051144,387878,2837,390715,9609285,false
21,145559165660429,145559165984532,145559165987043,324103,2511,326614,9673386,false
22,145559175660429,145559176048547,145559176050974,388118,2427,390545,9609455,false
23,145559185660429,145559186028100,145559186030939,367671,2839,370510,9629490,false
24,145559195660429,145559196036152,145559196038593,375723,2441,378164,9621836,false
25,145559205660429,145559206044406,145559206046951,383977,2545,386522,9613478,false
26,145559215660429,145559216025861,145559216028616,365432,2755,368187,9631813,false
27,145559225660429,145559226068059,145559226070534,407630,2475,410105,9589895,false
28,145559235660429,145559235732714,145559235735679,72285,2965,75250,9924750,false
29,145559245660429,145559245764571,145559245767046,104142,2475,106617,9893383,false
30,145559255660429,145559256055025,145559256057497,394596,2472,397068,9602932,false
31,145559265660429,145559266045515,145559266048067,385086,2552,387638,9612362,false
32,145559275660429,145559275902949,145559275905688,242520,2739,245259,9754741,false
33,145559285660429,145559286025608,145559286028116,365179,2508,367687,9632313,false
34,145559295660429,145559296050610,145559296053107,390181,2497,392678,9607322,false
35,145559305660429,145559306079362,145559306081862,418933,2500,421433,9578567,false
36,145559315660429,145559316051767,145559316054252,391338,2485,393823,9606177,false
37,145559325660429,145559326029809,145559326032290,369380,2481,371861,9628139,false
38,145559335660429,145559336037553,145559336040120,377124,2567,379691,9620309,false
