time_s,source_current_a,terminal_voltage_v,arrester_current_a,absorbed_energy_j
5e-07,19751.3789147,3265.73525572,19751.3756489,16.1043550299
1e-06,26820.9756483,3393.94681125,26820.9722543,54.9872275709
1.5e-06,29227.1609413,3429.80022167,29227.1575115,102.804774346
2e-06,29919.7090833,3440.58692153,29919.7056427,153.60085995
2.5e-06,29983.7621275,3440.77975292,29983.7586867,205.127973445
3e-06,29818.5024538,3439.13173404,29818.4990146,256.557165134
3.5e-06,29570.7621705,3434.81726089,29570.7587356,307.587048821
4e-06,29294.5390969,3431.5287379,29294.5356654,358.11067643
4.5e-06,29009.6794122,3426.59886692,29009.6759856,408.092935307
5e-06,28723.4657929,3423.10551806,28723.4623698,457.524707026
5.5e-06,28438.5592442,3418.08920142,28438.5558261,506.406768022
6e-06,28155.9207334,3414.58798297,28155.9173188,554.743094174
6.5e-06,27875.8859978,3409.55773286,27875.8825883,602.539188105
7e-06,27598.5609424,3406.07591595,27598.5575363,649.80067494
7.5e-06,27323.9670966,3401.04150647,27323.9636955,696.533578033
8e-06,27052.0951233,3397.58301194,27052.0917257,742.743629183
8.5e-06,26782.9245021,3392.54557642,26782.9211096,788.436807339
9e-06,26516.4307683,3389.11111241,26516.4273792,833.6187453
9.5e-06,26252.5881746,3384.0705913,26252.5847906,878.295303876
1e-05,25991.3706684,3380.66042648,25991.3672878,922.471991619
1.05e-05,25732.7522499,3375.61659303,25732.7488743,966.154543741
1.1e-05,25476.7071019,3372.2309386,25476.7037297,1009.34834361
1.15e-05,25223.2096362,3367.18354008,25223.2062691,1052.05900227
1.2e-05,24972.234509,3363.82260241,24972.2311452,1094.29178018
1.25e-05,24723.7566247,3358.77137949,24723.753266,1136.05216682
1.3e-05,24477.7511362,3355.43536743,24477.7477808,1177.34530238
1.35e-05,24234.1934431,3350.38005683,24234.1900927,1218.17655747
1.4e-05,23993.0591894,3347.06918272,23993.0558423,1258.55095468
1.45e-05,23754.3242616,3342.00951754,23754.3209196,1298.47374837
1.5e-05,23517.9647861,3338.72399742,23517.9614473,1337.94984618
1.55e-05,23283.9571266,3333.65970714,23283.9537929,1376.98438878
1.6e-05,23052.2778822,3330.3997608,23052.2745518,1415.5821714
1.65e-05,22822.9038848,3325.33057124,22822.9005594,1453.74822361
1.7e-05,22595.8121968,3322.09642227,22595.8088747,1491.48723068
1.75e-05,22370.9801089,3317.02205553,22370.9767918,1528.80411355
1.8e-05,22148.3851376,3313.81393138,22148.3818238,1565.70345001
1.85e-05,21928.0050233,3308.73410583,21928.0017145,1602.19005477
1.9e-05,21709.8177278,3305.55223782,21709.8144222,1638.26840051
1.95e-05,21493.8014321,3300.46666803,21493.7981316,1673.9431981
2e-05,21279.9345345,3297.31129143,21279.9312372,1709.21881745
2.05e-05,21068.195648,3292.21968812,21068.1923558,1744.0998679
2.1e-05,20858.5635987,3289.09104219,20858.5603097,1778.59061885
2.15e-05,20651.0174232,3283.9931122,20651.0141392,1812.69558038
2.2e-05,20445.5363666,3280.89144021,20445.5330857,1846.41892364
2.25e-05,20242.0998806,3275.78688644,20242.0966049,1879.76506165
2.3e-05,20040.6876216,3272.71243575,20040.6843488,1912.73806947
2.35e-05,19841.2794479,3267.60095713,19841.2761803,1945.34226523
2.4e-05,19643.8554188,3264.55397921,19643.8521543,1977.58163004
2.45e-05,19448.3957916,3259.43527064,19448.3925322,2009.46038928
2.5e-05,19254.8810201,3256.41602113,19254.8777637,2040.98243218
2.55e-05,19063.2917529,3251.28977343,19063.2885016,2072.15189341
2.6e-05,18873.6088306,3248.29851219,18873.6055823,2102.97257237
2.65e-05,18685.813285,3243.16441207,18685.8100418,2133.44851506
2.7e-05,18499.8863363,3240.20140319,18499.8830961,2163.58343305
2.75e-05,18315.8093916,3235.05913319,18315.8061566,2193.38128564
2.8e-05,18133.5640432,3232.12464508,18133.560811,2222.84569849
2.85e-05,17953.1320662,3226.97388355,17953.1288392,2251.98054617
2.9e-05,17774.4954174,3224.06818896,17774.4921934,2280.78937033
2.95e-05,17597.636233,3218.90860997,17597.6330141,2309.27596267
3e-05,17422.5368269,3216.03198605,17422.5336108,2337.44378274
3.05e-05,17249.1796889,3210.86325938,17249.1764781,2365.29654121
3.1e-05,17077.5474833,3208.0159877,17077.5442753,2392.8376173
3.15e-05,16907.6230467,3202.8377788,16907.6198439,2420.0706425
3.2e-05,16739.3893865,3200.02014542,16739.3861865,2446.99891751
3.25e-05,16572.8296792,3194.83211532,16572.8264843,2473.62599636
3.3e-05,16407.9272686,3192.04441082,16407.9240766,2499.95510296
3.35e-05,16244.6656644,3186.84621613,16244.6624776,2525.98971567
3.4e-05,16083.0285404,3184.08873566,16083.0253563,2551.73298327
3.45e-05,15922.9997326,3178.88002853,15922.9965537,2577.18831013
3.5e-05,15764.5632381,3176.15307192,15764.5600619,2602.3587716
3.55e-05,15607.703213,3170.93349988,15607.700042,2627.24769969
3.6e-05,15452.4039712,3168.23737147,15452.400803,2651.85809793
3.65e-05,15298.6499827,3163.00657763,15298.6468197,2676.19322762
3.7e-05,15146.425872,3160.34158654,15146.4227116,2700.25602207
3.75e-05,14995.7164164,3155.09920934,14995.7132613,2724.04967343
3.8e-05,14846.506545,3152.46566941,14846.5033926,2747.57704632
3.85e-05,14698.7813367,3147.21134263,14698.7781895,2770.8412653
3.9e-05,14552.5260187,3144.6095725,14552.5228741,2793.84512785
3.95e-05,14407.7259654,3139.34292523,14407.7228261,2816.59169244
4e-05,14264.3666968,3136.77324835,14264.36356,2839.08369087
4.05e-05,14122.4338767,3131.49390495,14122.4307452,2861.32411703
4.1e-05,13981.9133117,3128.95664962,13981.9101828,2883.31563849
4.15e-05,13842.7909498,3123.66422967,13842.7878261,2905.06118597
4.2e-05,13705.0528785,3121.15972912,13705.0497573,2926.56336426
4.25e-05,13568.6853238,3115.85384739,13568.682208,2947.82504232
4.3e-05,13433.6746491,3113.38243977,13433.6715357,2968.84876354
4.35e-05,13300.007353,3108.06270616,13300.0042449,2989.63733654
4.4e-05,13167.6700687,3105.62473461,13167.666963,3010.19324462
4.45e-05,13036.6495623,3100.29075413,13036.646462,3030.5192374
4.5e-05,12906.9327318,3097.8865668,12906.9296339,3050.61773947
4.55e-05,12778.5066054,3092.53793955,12778.5035128,3070.49144276
4.6e-05,12651.3583402,3090.16788963,12651.35525,3090.14271441
4.65e-05,12525.4752214,3084.80421073,12525.4721366,3109.57418999
4.7e-05,12400.8446606,3082.46865653,12400.8415781,3128.78818046
4.75e-05,12277.4541946,3077.08951609,12277.4511175,3147.78726626
4.8e-05,12155.2914842,3074.788821,12155.2884094,3166.57370342
4.85e-05,12034.3443131,3069.39380412,12034.3412437,3185.15001851
4.9e-05,11914.6005865,3067.12833671,11914.5975193,3203.51841383
4.95e-05,11796.0483298,3061.7170234,11796.0452681,3221.68136328
5e-05,11678.6756878,3059.48715742,11678.6726284,3239.64101664
5.05e-05,11562.4709232,3054.05912259,11562.4678691,3257.39979629
5.1e-05,11447.4224152,3051.86523701,11447.4193633,3274.95980064
5.15e-05,11333.518659,3046.42005044,11333.5156126,3292.32340176
5.2e-05,11220.7482642,3044.26252946,11220.7452199,3309.49264779
5.25e-05,11109.0999535,3038.79975578,11109.0969147,3326.4698616
5.3e-05,10998.562562,3036.6789889,10998.5595254,3343.25704219
5.35e-05,10889.125036,3031.19818753,10889.1220048,3359.85646436
5.4e-05,10780.7764316,3029.11456954,10780.7734025,3376.27007901
5.45e-05,10673.5059138,3023.6152947,10673.5028902,3392.50011395
5.5e-05,10567.3027555,3021.5692257,10567.2997339,3408.54847308
5.55e-05,10462.1563362,3016.05102637,10462.1533202,3424.41733824
5.6e-05,10358.0561413,3014.04291183,10358.0531273,3440.10856737
5.65e-05,10254.9917607,3008.50533173,10254.9887522,3455.6242974
5.7e-05,10152.9528878,3006.53558247,10152.9498812,3470.96634129
5.75e-05,10051.9293186,3000.97816003,10051.9263176,3486.13679209
5.8e-05,9951.91095074,2999.3960464,9951.90795135,3501.13828658
5.85e-05,9852.88778227,2995.85922314,9852.88478641,3515.97786804
5.9e-05,9754.84991078,2994.65972156,9754.84691612,3530.65807324
5.95e-05,9657.78753242,2991.10593796,9657.78454131,3545.18070461
6e-05,9561.69094086,2989.93104505,9561.68795093,3559.54736132
6.05e-05,9466.55052636,2986.35994339,9466.54754,3573.75980965
6.1e-05,9372.3567748,2985.21000681,9372.35378959,3587.81961228
6.15e-05,9279.10026673,2981.62122404,9279.0972851,3601.72850012
6.2e-05,9186.77167641,2980.4965968,9186.76869592,3615.48800014
6.25e-05,9095.36177093,2976.88976448,9095.35879404,3629.09980864
6.3e-05,9004.86140919,2975.79080498,9004.8584334,3642.56541764
6.35e-05,8915.26154111,2972.16554924,8915.25856894,3655.88648957
6.4e-05,8826.5532066,2971.09262136,8826.55023551,3669.06448223
6.45e-05,8738.72753477,2967.44856284,8738.72456733,3682.10102492
6.5e-05,8651.77574298,2966.40203597,8651.77277658,3694.99754194
6.55e-05,8565.68913598,2962.73878976,8565.68617324,3707.7556302
6.6e-05,8480.45910502,2961.71903885,8480.4561433,3720.37668118
6.65e-05,8396.07712704,2958.03621445,8396.07416901,3732.8622601
6.7e-05,8312.53476377,2957.04362008,8312.53180673,3745.21372631
6.75e-05,8229.82366091,2953.34082133,8229.82070757,3757.43261404
6.8e-05,8147.93554727,2952.37576976,8147.93259489,3769.52025118
6.85e-05,8066.86223397,2948.65259481,8066.85928532,3781.47814164
6.9e-05,7986.59561362,2947.71547801,7986.5926659,3793.30758252
6.95e-05,7907.12765949,2943.97151923,7907.12471551,3805.01004807
7e-05,7828.45042471,2943.06273497,7828.44748164,3816.58680522
7.05e-05,7750.55604149,2939.29757895,7750.5531022,3828.03929922
7.1e-05,7673.43672035,2938.4175308,7673.43378193,3839.36876747
7.15e-05,7597.08474926,2934.63075825,7597.08181463,3850.57662686
7.2e-05,7521.49249299,2933.77985568,7521.48955921,3861.66408586
7.25e-05,7446.65239223,2929.97104141,7446.64946226,3872.63253361
7.3e-05,7372.55696291,2929.14969981,7372.55403376,3883.48315027
7.35e-05,7299.19879544,2925.31841269,7299.19587012,3894.21729784
7.4e-05,7226.57055392,2924.5270534,7226.5676294,3904.83612875
7.45e-05,7154.66497549,2920.67285628,7154.66205482,3915.34097846
7.5e-05,7083.47486951,2919.91190669,7083.4719496,3925.73297225
7.55e-05,7012.99311693,2916.03435639,7012.99020089,3936.01341961
7.6e-05,6943.2126695,2915.30424991,6943.2097542,3946.18341924
7.65e-05,6874.12654912,2911.40289715,6874.12363772,3956.24425523
7.7e-05,6805.72784713,2910.70407333,6805.72493643,3966.19700025
7.75e-05,6738.00972359,2906.7784627,6738.00681682,3976.04291357
7.8e-05,6670.96540664,2906.1113672,6670.96250053,3985.78304233
7.85e-05,6604.58819179,2902.16103714,6604.58528963,3995.41862156
7.9e-05,6538.87144127,2901.52612182,6538.86853974,4004.95067339
7.95e-05,6473.80858333,2897.55060453,6473.80568578,4014.38040912
8e-05,6409.39311165,2896.94832747,6409.39021471,4023.70882643
8.05e-05,6345.61858463,2892.94714891,6345.61569168,4032.93711338
8.1e-05,6282.47862474,2892.37797444,6282.47573237,4042.0662437
8.15e-05,6219.96691796,2888.35065429,6219.96402961,4051.09738277
8.2e-05,6158.07721305,2887.81505304,6158.07432524,4060.03148083
8.25e-05,6096.803321,2883.76110466,6096.80043724,4068.86968106
8.3e-05,6036.13911435,2883.25955355,6036.1362311,4077.61291073
8.35e-05,5976.07852665,2879.17848396,5976.07564748,4086.26229132
8.4e-05,5916.61555179,2878.7114663,5916.61267307,4094.81872757
8.45e-05,5857.7442434,2874.60277613,5857.7413688,4103.28331974
8.5e-05,5799.45871433,2874.17078158,5799.45584016,4111.65695053
8.55e-05,5741.75313595,2870.03396506,5741.75026592,4119.94069946
8.6e-05,5684.62173768,2869.63748969,5684.61886804,4128.1354276
8.65e-05,5628.05880632,2865.47203464,5628.05594085,4136.24219419
8.7e-05,5572.05868552,2865.11158093,5572.05582041,4144.26183916
8.75e-05,5516.61577524,2860.91696872,5516.61291433,4152.19540193
8.8e-05,5461.72453114,2860.5930456,5461.72167055,4160.04370166
8.85e-05,5407.37946404,2856.36875111,5407.37660767,4167.80775839
8.9e-05,5353.57513939,2856.08187398,5353.57228331,4175.488371
8.95e-05,5300.30617672,2851.82736562,5300.30332489,4183.08654057
9e-05,5247.56724908,2851.57805634,5247.5643975,4190.60304607
9.05e-05,5195.35308254,2847.29279603,5195.35023524,4198.03887007
9.1e-05,5143.65845563,2847.08158293,5143.65560855,4205.39477202
9.15e-05,5092.47819886,2842.7650261,5092.4753561,4212.67171641
9.2e-05,5041.80719416,2842.592444,5041.80435156,4219.87044359
9.25e-05,4991.64037437,2838.24403956,4991.63753612,4226.99190035
9.3e-05,4941.97272278,2838.11062978,4941.96988467,4234.03680831
9.35e-05,4892.79927258,2833.72982013,4892.79643885,4241.00609698
9.4e-05,4844.11510639,2833.63613047,4844.11227275,4247.90046963
9.45e-05,4795.91535574,2829.2223515,4795.91252652,4254.72083887
9.5e-05,4748.19520063,2829.16893625,4748.19237146,4261.46789001
9.55e-05,4700.94986899,2824.72161735,4700.94704427,4268.14251913
9.6e-05,4654.17463625,2824.70903727,4654.17181155,4274.74539393
9.65e-05,4607.86482486,2820.22760135,4607.86200464,4281.27739435
9.7e-05,4562.01580379,2820.25642365,4562.01298354,4287.73917083
9.75e-05,4516.62298811,2815.74028714,4516.62017237,4294.13158754
9.8e-05,4471.68183848,2815.81108549,4471.67902267,4300.45527799
9.85e-05,4427.18786077,2811.25965835,4427.18504951,4306.71109097
9.9e-05,4383.13660553,2811.37301284,4383.13379416,4312.89964339
9.95e-05,4339.52366761,2806.78569861,4339.52086082,4319.02176897
0.0001,4296.34468566,2806.94219571,4296.34187872,4325.07806839
0.0001005,4253.59534177,2802.31839152,4253.59253945,4331.06936066
0.000101,4211.27136096,2802.51862407,4211.26855844,4336.99623052
0.0001015,4169.36851079,2797.8577207,4169.36571293,4342.85948262
0.000102,4127.88260094,2798.10228785,4127.87980284,4348.65968607
0.0001025,4086.8094828,2793.40366972,4086.8066894,4354.39763151
0.000103,4046.14504901,2793.69317692,4046.14225532,4360.07387271
0.0001035,4005.8852331,2788.95622218,4005.88244414,4365.68918662
0.000104,3966.02600905,2789.2912811,3966.02321976,4371.244112
0.0001045,3926.5633909,2784.51536167,3926.56060639,4376.73941239
0.000105,3887.49343237,2784.89659015,3887.49064747,4382.17561187
0.0001055,3848.81222642,2780.08107177,3848.80944634,4387.55346088
0.000106,3810.5159049,2780.50909377,3810.51312439,4392.87346906
0.0001065,3772.60063814,2775.65333606,3772.59786249,4398.13637411
0.000107,3735.06263459,2776.1287816,3735.05985847,4403.3426715
0.0001075,3697.89814042,2771.23213814,3697.89536919,4408.49308646
0.000108,3661.10343915,2771.75564318,3661.10066739,4413.5881006
0.0001085,3624.67485127,2766.81746159,3624.67208445,4418.62842697
0.000109,3588.60873389,2767.38966801,3588.6059665,4423.61453357
0.0001095,3552.90148038,2762.40929003,3552.89871797,4428.54712155
0.00011,3517.54951998,2763.03084549,3517.54675695,4433.42664559
0.0001105,3482.54931746,2758.00760707,3482.54655945,4438.25379523
0.000111,3447.89737277,2758.67916494,3447.89461409,4443.02901206
0.0001115,3413.5902207,2753.61239633,3413.58746708,4447.75297427
0.000112,3379.62443049,2754.33461557,3379.62167615,4452.42611064
0.0001125,3345.99660554,2749.22364146,3345.99385632,4457.0490883
0.000113,3312.70338304,2749.99718653,3312.70063304,4461.62232343
0.0001135,3279.74143364,2744.84132612,3279.7386888,4466.14647237
0.000114,3247.10746111,2745.66686684,3247.10471545,4470.62193895
0.0001145,3214.79820204,2740.46543401,3214.79546158,4475.04936898
0.000115,3182.81042547,2741.34364543,3182.80768413,4479.42915416
0.0001155,3151.14093259,2736.09594883,3151.1381965,4483.76193002
0.000116,3119.78655643,2737.02751109,3119.7838194,4488.04807639
0.0001165,3088.74416153,2731.73285433,3088.7414298,4492.28821877
0.000117,3058.01064361,2732.71845253,3058.0079109,4496.48272531
0.0001175,3027.58292931,2727.37613429,3027.58020194,4500.63221172
0.000118,2997.45797583,2728.4164583,2997.45524741,4504.73703474
0.0001185,2967.63277064,2723.02577252,2967.63004761,4508.7978005
0.000119,2938.1043312,2724.12151684,2938.10160708,4512.8148545
0.0001195,2908.86970464,2718.68175289,2908.86698596,4516.7887936
0.00012,2879.92596748,2719.83361645,2879.92324765,4520.71995225
0.0001205,2851.27022531,2714.34405928,2851.26751097,4524.60891823
0.000121,2822.89961255,2715.55274527,2822.89689699,4528.45601518
0.0001215,2794.81129209,2710.01267566,2794.80858208,4532.261822
0.000122,2767.00245509,2711.2788913,2766.99974382,4536.02665175
0.0001225,2739.47032065,2705.68758602,2739.46761496,4539.75107467
0.000123,2712.21213552,2707.01204238,2712.20942851,4543.43539339
0.0001235,2685.22517386,2701.36877444,2685.2224725,4547.08016975
0.000124,2658.50673696,2702.75218619,2658.50403421,4550.68569613
0.0001245,2632.05415295,2697.05622503,2632.0514559,4554.25252617
0.000125,2605.86477655,2698.49931023,2605.86207805,4557.78094221
0.0001255,2579.9359888,2692.749922,2579.93329605,4561.27148987
0.000126,2554.26519679,2694.2534018,2554.26250254,4564.72444164
0.0001265,2528.84983343,2688.44984962,2528.84714498,4568.14033534
0.000127,2503.68735717,2690.01444805,2503.68466715,4571.51943379
0.0001275,2478.77525172,2684.15599222,2478.77256757,4574.86226718
0.000128,2454.11102587,2685.7824359,2454.10834009,4578.16908883
0.0001285,2429.69221316,2679.86833425,2429.6895333,4581.44042154
0.000129,2405.51637171,2681.55735208,2405.51369015,4584.67650928
0.0001295,2381.58108389,2675.58686022,2381.5784083,4587.87786762
0.00013,2357.88395616,2677.33918309,2357.88127882,4591.04473139
0.0001305,2334.4226188,2671.31155475,2334.41994749,4594.17760911
0.000131,2311.19472564,2673.12791523,2311.19205251,4597.2767266
0.0001315,2288.19795388,2667.04240256,2288.19528684,4600.34258555
0.000132,2265.43000383,2668.92353454,2265.4273349,4603.3754029
0.0001325,2242.88859866,2662.77938847,2242.88593588,4606.37567371
0.000133,2220.57148422,2664.72602683,2220.5688195,4609.34360621
0.0001335,2198.47642878,2658.52249744,2198.47377026,4612.27968896
0.000134,2176.60122282,2660.53537767,2176.59856228,4615.18412166
0.0001345,2154.94367879,2654.2717145,2154.94102452,4618.05738655
0.000135,2133.50163092,2656.35157234,2133.49897457,4620.89967494
0.0001355,2112.272935,2650.02702487,2112.27028497,4623.71146291
0.000136,2091.25546813,2652.17459588,2091.25281595,4626.49293353
0.0001365,2070.44712855,2645.78841386,2070.44448276,4629.24455689
0.000137,2049.84583541,2648.00443303,2049.8431874,4631.96650796
0.0001375,2029.44952855,2641.55586693,2029.446887,4634.659251
0.000138,2009.25616835,2643.84106823,2009.25352451,4637.32295302
0.0001385,1989.26373543,2637.3293697,1989.2610981,4639.95807263
0.000139,1969.47023055,2639.6844853,1969.46759086,4642.56476898
0.0001395,1949.87367433,2633.10890794,1949.87104122,4645.14349517
0.00014,1930.4721071,2635.5346687,1930.46947157,4647.69440269
0.0001405,1911.26358869,2628.89446759,1911.2609598,4650.21793925
0.000141,1892.24619824,2631.39160164,1892.24356684,4652.71424878
0.0001415,1873.41803398,2624.68603475,1873.41540929,4655.18377379
0.000142,1854.77721308,2627.25526727,1854.77458582,4657.62665076
0.0001425,1836.32187145,2620.48359571,1836.31925097,4660.04331714
0.000143,1818.05016354,2623.12564844,1818.04754041,4662.43390208
0.0001435,1799.96026216,2616.28713695,1799.95764587,4664.79883814
0.000144,1782.05035831,2619.00272758,1782.0477393,4667.13824726
0.0001445,1764.31866098,2612.09664514,1764.31604888,4669.45255722
0.000145,1746.76339698,2614.88648679,1746.76078209,4671.74188287
0.0001455,1729.38281078,2607.91210718,1729.38020287,4674.00664736
0.000146,1712.1751643,2610.77690777,1712.17255352,4676.24695859
0.0001465,1695.13873676,2603.73351014,1695.13613303,4678.46323519
0.000147,1678.27182452,2606.67397181,1678.26921784,4680.65557821
0.0001475,1661.57274085,2599.56084136,1661.57014129,4682.8244019
0.000148,1645.03981584,2602.5776598,1645.03721326,4684.96980059
0.0001485,1628.67139618,2595.39408839,1628.66880079,4687.09218427
0.000149,1612.46584502,2598.48795222,1612.46324653,4689.19164065
0.0001495,1596.42154179,2591.23323902,1596.41895056,4691.26857559
0.00015,1580.53688204,2594.40482907,1580.53428764,4693.32307028
0.0001505,1564.8102773,2587.07828131,1564.80769022,4695.35552659
0.000151,1549.24015489,2590.32826995,1549.23756456,4697.36601927
0.0001515,1533.82495779,2582.92920356,1533.82237486,4699.35494634
0.000152,1518.56314446,2586.25825395,1518.5605582,4701.32237623
0.0001525,1503.45318871,2578.78599438,1503.45060992,4703.26870317
0.000153,1488.49357953,2582.19475971,1488.49099733,4705.19398941
0.0001535,1473.68282095,2574.64864261,1473.6802463,4707.09862552
0.000154,1459.01943188,2578.13776537,1459.01685374,4708.98266762
0.0001545,1444.50194597,2570.51713743,1444.49937545,4710.84650277
0.000155,1430.12891146,2574.08724854,1430.12633737,4712.69018107
0.0001555,1415.89889103,2566.3914683,1415.89632464,4714.51408613
0.000156,1401.81046167,2570.04318634,1401.80789163,4716.31826214
0.0001565,1387.86221452,2562.27162499,1387.85965225,4718.1030894
0.000157,1374.05275475,2566.00555533,1374.05018875,4719.86860625
0.0001575,1360.38070141,2558.15759761,1360.37814325,4721.61518979
0.000158,1346.84468726,2561.97433153,1346.84212529,4723.34287261
0.0001585,1333.44335871,2554.04937659,1333.44080466,4725.05202871
0.000159,1320.17537561,2557.94949039,1320.17281766,4726.74268503
0.0001595,1307.03941114,2549.94695273,1307.03686119,4728.41521253
0.00016,1294.0341517,2553.93100677,1294.03159777,4730.06963261
0.0001605,1281.15829676,2545.85031715,1281.15575091,4731.70631331
0.000161,1268.41055871,2549.91885494,1268.40800879,4733.32527056
0.0001615,1255.78966278,2541.75946136,1255.78712102,4734.92686957
0.000162,1243.29434686,2545.91300855,1243.29180094,4736.51112086
0.0001625,1230.92336141,2537.67437726,1230.92082373,4738.07838695
0.000163,1218.67546932,2541.91344063,1218.67292741,4739.62867303
0.0001635,1206.54944579,2533.5950571,1206.5469122,4741.16233897
0.000164,1194.54407822,2537.92012356,1194.5415403,4742.67938476
0.0001645,1182.65816605,2529.52149358,1182.65563652,4744.18016769
0.000165,1170.89052068,2533.93302907,1170.88798674,4745.66468262
0.0001655,1159.23996533,2525.45367977,1159.23743988,4747.13328438
0.000166,1147.70533495,2529.9521282,1147.702805,4748.58596274
0.0001665,1136.28547606,2521.39160917,1136.28295467,4750.02307017
0.000167,1124.97924667,2525.9773913,1124.97672069,4751.44459144
0.0001675,1113.78551614,2517.33527574,1113.7829988,4752.85087671
0.000168,1102.70316508,2522.00878802,1102.70064307,4754.24190585
0.0001685,1091.73108527,2513.28467384,1091.72857198,4755.6180268
0.000169,1080.86817947,2518.04628728,1080.86566142,4756.97921458
0.0001695,1070.11336138,2509.23979832,1070.11085214,4758.32581499
0.00017,1059.46555553,2514.08985728,1059.46304144,4759.65779829
0.0001705,1048.92369712,2505.20064447,1048.92119192,4760.97550819
0.000171,1038.48673195,2510.13946545,1038.48422181,4762.27891029
0.0001715,1028.15361631,2501.16720806,1028.15111515,4763.56834628
0.000172,1017.9233169,2506.19507845,1017.92081071,4764.84377714
0.0001725,1007.79481067,2496.50071645,1007.79231417,4766.10538845
0.000173,997.767084754,2502.25466378,997.764582499,4767.35328393
0.0001735,987.839136381,2491.58468071,987.836644796,4768.58760651
0.000174,978.009972745,2497.94139342,978.007474803,4769.80840227
0.0001745,968.278610921,2486.67964362,968.276124241,4771.01592812
0.000175,958.644077765,2493.13072831,958.641584634,4772.21008972
0.0001755,949.105409816,2481.78361171,949.102928032,4773.39127242
