sample_index,margin_v,failed
1,120231.502256,0
2,282204.772212,0
3,225252.335267,0
4,49687.5764293,0
5,227690.464641,0
6,165056.90902,0
7,32326.0276431,0
8,42928.4347862,0
9,157465.065683,0
10,340132.869577,0
11,322442.196166,0
12,178775.661686,0
13,176395.909781,0
14,142690.833854,0
15,147353.522698,0
16,263709.662442,0
17,234382.112408,0
18,66716.6825406,0
19,232906.446593,0
20,64141.358608,0
21,56322.1828428,0
22,180160.992581,0
23,165223.882216,0
24,208672.47756,0
25,197891.065205,0
26,332670.214565,0
27,60151.9186391,0
28,340756.508827,0
29,68579.606816,0
30,49783.1441256,0
31,78392.6490494,0
32,266328.353432,0
33,348322.962501,0
34,105623.800412,0
35,334237.734326,0
36,333578.75001,0
37,131251.946657,0
38,226591.938402,0
39,284813.557967,0
40,324104.816033,0
41,204202.799796,0
42,3554.79241494,0
43,171657.232805,0
44,205175.726078,0
45,181372.803021,0
46,123109.98042,0
47,243569.205464,0
48,197701.283684,0
49,223613.119237,0
50,182481.892339,0
51,30474.5663504,0
52,163174.05649,0
53,410492.504483,0
54,100867.02483,0
55,370933.995011,0
56,168007.792673,0
57,108686.898379,0
58,120888.4871,0
59,115068.145798,0
60,31811.9250698,0
61,188762.464012,0
62,239637.743944,0
63,288890.138549,0
64,143746.938565,0
65,185381.064793,0
66,327662.652216,0
67,7199.28006425,0
68,293600.91226,0
69,263361.532091,0
70,340915.711201,0
71,27733.8167227,0
72,279452.262372,0
73,153438.866844,0
74,128467.97928,0
75,162888.348422,0
76,329887.831131,0
77,131770.370526,0
78,-53569.7033701,1
79,169097.210591,0
80,137642.217034,0
81,254765.44831,0
82,35563.6161629,0
83,197999.652912,0
84,227495.730938,0
85,176813.658357,0
86,304050.862635,0
87,57601.3793282,0
88,153297.292685,0
89,261681.366032,0
90,426733.94073,0
91,111380.291248,0
92,187530.677616,0
93,207987.620518,0
94,334956.270272,0
95,371128.255579,0
96,201826.284035,0
97,217189.500971,0
98,221093.759226,0
99,25822.3635362,0
100,235003.793063,0
101,263461.715279,0
102,212057.216934,0
103,123119.099344,0
104,350066.201576,0
105,320496.859637,0
106,-13587.6685834,1
107,66706.4583897,0
108,71738.7500821,0
109,291914.899122,0
110,249742.613305,0
111,164911.243727,0
112,28497.1075813,0
113,188828.619908,0
114,317369.739003,0
115,234422.322058,0
116,79479.3208869,0
117,342199.832298,0
118,305317.416184,0
119,194535.567358,0
120,239263.707124,0
121,313440.192772,0
122,314692.614409,0
123,136276.854276,0
124,333143.914828,0
125,360006.951543,0
126,205801.775264,0
127,178971.929803,0
128,243694.386928,0
129,244343.973948,0
130,254777.092516,0
131,40620.7360195,0
132,381822.634167,0
133,287079.231675,0
134,267423.223869,0
135,232161.61193,0
136,359210.676092,0
137,167984.133245,0
138,243356.360263,0
139,318233.272699,0
140,43134.0568863,0
141,58554.2384737,0
142,286920.017671,0
143,226715.877613,0
144,410640.511497,0
145,426058.888441,0
146,173639.186824,0
147,49569.80997,0
148,113386.911485,0
149,-16162.4926059,1
150,171075.984381,0
151,276088.661223,0
152,311580.985213,0
153,248613.379496,0
154,231367.657255,0
155,316181.735331,0
156,86896.7340424,0
157,100423.141224,0
158,331217.317601,0
159,238858.650393,0
160,-161837.164371,1
161,130569.833799,0
162,248349.934412,0
163,337905.542644,0
164,-48163.1384053,1
165,271280.425032,0
166,156944.231615,0
167,229490.330373,0
168,127837.656625,0
169,357262.601111,0
170,143706.298927,0
171,386653.755199,0
172,122845.78153,0
173,360486.557222,0
174,69671.7145668,0
175,141728.240558,0
176,118839.406508,0
177,191797.64499,0
178,165178.862906,0
179,173314.43243,0
180,217847.107739,0
181,14717.0467819,0
182,241211.994706,0
183,172011.404429,0
184,225579.292081,0
185,224331.164532,0
186,162435.6384,0
187,108148.876227,0
188,177358.380533,0
189,227505.378154,0
190,51352.8854447,0
191,63751.0932654,0
192,198547.584659,0
193,240993.750934,0
194,196507.911539,0
195,149122.154271,0
196,304582.467916,0
197,320069.401976,0
198,214082.507522,0
199,378723.126628,0
200,123273.37627,0
201,337312.323372,0
202,289822.806115,0
203,290831.380873,0
204,186628.029215,0
205,328842.323088,0
206,173599.17386,0
207,47542.6445204,0
208,89262.3951553,0
209,225643.354231,0
210,305786.127242,0
211,162226.653159,0
212,238728.208858,0
213,181977.854707,0
214,166441.324188,0
215,258716.976285,0
216,162594.740471,0
217,124834.793866,0
218,257376.921449,0
219,280786.921913,0
220,211725.504668,0
221,243937.344749,0
222,80802.5382882,0
223,173289.567243,0
224,169796.006999,0
225,163832.441996,0
226,223417.67068,0
227,28417.0388988,0
228,207823.161939,0
229,244479.292772,0
230,223583.312541,0
231,363124.360511,0
232,17257.9858237,0
233,299104.879782,0
234,260498.80364,0
235,-2370.29168481,1
236,220590.360844,0
237,255795.578178,0
238,258587.097008,0
239,401872.215072,0
240,88901.6415773,0
241,439929.379837,0
242,75224.6598383,0
243,256742.280622,0
244,183622.518761,0
245,100714.5989,0
246,329974.189161,0
247,176060.388405,0
248,131461.787066,0
249,365895.043407,0
250,344276.142679,0
251,326881.93711,0
252,111535.019266,0
253,138888.367172,0
254,126987.557314,0
255,103976.236094,0
256,172005.003888,0
257,206618.262321,0
258,294490.340102,0
259,90604.8717273,0
260,284202.278408,0
261,276790.696293,0
262,131363.844787,0
263,91230.6580815,0
264,-15216.2245684,1
265,106249.643926,0
266,245775.644121,0
267,220480.829357,0
268,245074.251248,0
269,180647.459627,0
270,205547.063373,0
271,30592.7966728,0
272,255940.226674,0
273,86121.8039003,0
274,157694.31508,0
275,50239.1188652,0
276,-33261.0811826,1
277,17497.0578415,0
278,370689.319998,0
279,78281.4682675,0
280,160679.434644,0
281,155248.097575,0
282,180740.381866,0
283,355226.569817,0
284,134864.90272,0
285,243046.05341,0
286,219898.001824,0
287,-7488.0556035,1
288,193874.300466,0
289,229273.495146,0
290,122951.853621,0
291,190162.505668,0
292,161757.913194,0
293,251608.229783,0
294,171864.287983,0
295,363460.386025,0
296,203062.746851,0
297,152994.557164,0
298,222763.298766,0
299,122557.712527,0
300,172795.852772,0
301,282385.231304,0
302,167556.538946,0
303,83145.4807044,0
304,175740.502451,0
305,267570.714901,0
306,183888.557699,0
307,285154.64606,0
308,40136.6794242,0
309,283034.180562,0
310,275352.273916,0
311,223358.875101,0
312,153715.250592,0
313,-156236.481799,1
314,280040.130699,0
315,-61480.8415795,1
316,184437.029431,0
317,134270.289003,0
318,-6561.59817544,1
319,231789.334025,0
320,231204.717418,0
321,124764.598609,0
322,66309.2828155,0
323,263319.757349,0
324,77450.3748329,0
325,145583.857674,0
326,127351.710801,0
327,353162.584637,0
328,189281.256584,0
329,220124.654543,0
330,221440.853966,0
331,43526.4336161,0
332,196300.176055,0
333,62141.2962269,0
334,116335.733535,0
