time_s,pole_a_current_a,pole_b_current_a,pole_c_current_a,pole_a_gap_state,pole_b_gap_state,pole_c_gap_state
1e-06,7.89986833544e-10,7.89986833544e-10,7.89986833544e-10,0,0,0
2e-06,7.7998700022e-10,7.7998700022e-10,7.7998700022e-10,0,0,0
3e-06,7.69987166874e-10,7.69987166874e-10,7.69987166874e-10,0,0,0
4e-06,7.59987333542e-10,7.59987333542e-10,7.59987333542e-10,0,0,0
5e-06,7.49987500203e-10,7.49987500203e-10,7.49987500203e-10,0,0,0
6e-06,7.39987666879e-10,7.39987666879e-10,7.39987666879e-10,0,0,0
7e-06,7.29987833533e-10,7.29987833533e-10,7.29987833533e-10,0,0,0
8e-06,7.19988000201e-10,7.19988000201e-10,7.19988000201e-10,0,0,0
9e-06,7.09988166862e-10,7.09988166862e-10,7.09988166862e-10,0,0,0
1e-05,6.9998833353e-10,6.9998833353e-10,6.9998833353e-10,0,0,0
1.1e-05,6.89988500199e-10,6.89988500199e-10,6.89988500199e-10,0,0,0
1.2e-05,6.79988666845e-10,6.79988666845e-10,6.79988666845e-10,0,0,0
1.3e-05,6.69988833521e-10,6.69988833521e-10,6.69988833521e-10,0,0,0
1.4e-05,6.59989000182e-10,6.59989000182e-10,6.59989000182e-10,0,0,0
1.5e-05,6.49989166843e-10,6.49989166843e-10,6.49989166843e-10,0,0,0
1.6e-05,6.39989333511e-10,6.39989333511e-10,6.39989333511e-10,0,0,0
1.7e-05,6.29989500172e-10,6.29989500172e-10,6.29989500172e-10,0,0,0
1.8e-05,6.19989666837e-10,6.19989666837e-10,6.19989666837e-10,0,0,0
1.9e-05,6.09989833501e-10,6.09989833501e-10,6.09989833501e-10,0,0,0
2e-05,599.509211372,599.509211372,599.509211372,1,1,1
2.1e-05,589.675845381,589.675845381,589.675845381,1,1,1
2.2e-05,579.764144594,579.764144594,579.764144594,1,1,1
2.3e-05,569.815871045,569.815871045,569.815871045,1,1,1
2.4e-05,559.848541714,559.848541714,559.848541714,1,1,1
2.5e-05,549.870387324,549.870387324,549.870387324,1,1,1
2.6e-05,539.885643332,539.885643332,539.885643332,1,1,1
2.7e-05,529.896656152,529.896656152,529.896656152,1,1,1
2.8e-05,519.904806618,519.904806618,519.904806618,1,1,1
2.9e-05,509.910949841,509.910949841,509.910949841,1,1,1
3e-05,499.915637928,499.915637928,499.915637928,1,1,1
3.1e-05,489.919240569,489.919240569,489.919240569,1,1,1
3.2e-05,479.922013043,479.922013043,479.922013043,1,1,1
3.3e-05,469.924136362,469.924136362,469.924136362,1,1,1
3.4e-05,459.925741867,459.925741867,459.925741867,1,1,1
3.5e-05,449.926926761,449.926926761,449.926926761,1,1,1
3.6e-05,439.927764239,439.927764239,439.927764239,1,1,1
3.7e-05,429.928310237,429.928310237,429.928310237,1,1,1
3.8e-05,419.928608049,419.928608049,419.928608049,1,1,1
3.9e-05,409.928691504,409.928691504,409.928691504,1,1,1
4e-05,399.928587326,399.928587326,399.928587326,1,1,1
4.1e-05,389.928316705,389.928316705,389.928316705,1,1,1
4.2e-05,379.927896544,379.927896544,379.927896544,1,1,1
4.3e-05,369.92734034,369.92734034,369.92734034,1,1,1
4.4e-05,359.926658707,359.926658707,359.926658707,1,1,1
4.5e-05,349.92586038,349.92586038,349.92586038,1,1,1
4.6e-05,339.92495201,339.92495201,339.92495201,1,1,1
4.7e-05,329.923938817,329.923938817,329.923938817,1,1,1
4.8e-05,319.922824753,319.922824753,319.922824753,1,1,1
4.9e-05,309.92161271,309.92161271,309.92161271,1,1,1
5e-05,299.920304676,299.920304676,299.920304676,1,1,1
5.1e-05,289.918901876,289.918901876,289.918901876,1,1,1
5.2e-05,279.917404891,279.917404891,279.917404891,1,1,1
5.3e-05,269.915813774,269.915813774,269.915813774,1,1,1
5.4e-05,259.914128157,259.914128157,259.914128157,1,1,1
5.5e-05,249.912347371,249.912347371,249.912347371,1,1,1
5.6e-05,239.910470574,239.910470574,239.910470574,1,1,1
5.7e-05,229.908496908,229.908496908,229.908496908,1,1,1
5.8e-05,219.906425696,219.906425696,219.906425696,1,1,1
5.9e-05,209.904256695,209.904256695,209.904256695,1,1,1
6e-05,199.901990426,199.901990426,199.901990426,1,1,1
6.1e-05,189.899628626,189.899628626,189.899628626,1,1,1
6.2e-05,179.897174865,179.897174865,179.897174865,1,1,1
6.3e-05,169.894635389,169.894635389,169.894635389,1,1,1
6.4e-05,159.89202031,159.89202031,159.89202031,1,1,1
6.5e-05,149.889345259,149.889345259,149.889345259,1,1,1
6.6e-05,139.886633763,139.886633763,139.886633763,1,1,1
6.7e-05,129.883920624,129.883920624,129.883920624,1,1,1
6.8e-05,119.881256847,119.881256847,119.881256847,1,1,1
6.9e-05,109.87871685,109.87871685,109.87871685,1,1,1
7e-05,99.8764091894,99.8764091894,99.8764091894,1,1,1
7.1e-05,89.8744927234,89.8744927234,89.8744927234,1,1,1
7.2e-05,79.8732010005,79.8732010005,79.8732010005,1,1,1
7.3e-05,69.8728806589,69.8728806589,69.8728806589,1,1,1
7.4e-05,59.8740504249,59.8740504249,59.8740504249,1,1,1
7.5e-05,49.877494787,49.877494787,49.877494787,1,1,1
7.6e-05,39.8844105319,39.8844105319,39.8844105319,1,1,1
