time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
5e-07,19751.3789147,3449549.15586,0,3449549.15585,0
1e-06,26820.9756483,5348291.1442,0,5348291.14419,0
1.5e-06,29227.1609413,6351649.02488,0,6351649.02487,0
2e-06,29919.7090833,6812244.84397,0,6805.43940457,1
2.5e-06,29983.7621275,713400.660355,713364.990835,0.0356338860965,1
3e-06,29818.5024538,583883.494853,583854.300248,0.0291654400904,1
3.5e-06,29570.7621705,525514.750257,525488.473442,0.0262505636251,1
4e-06,29294.5390969,501278.357061,501253.291489,0.0250405311378,1
4.5e-06,29009.6794122,492811.399715,492786.756913,0.0246181834483,1
5e-06,28723.4657929,491071.8199,491047.263484,0.0245318843552,1
5.5e-06,28438.5592442,491677.200561,491652.61327,0.0245627289724,1
6e-06,28155.9207334,492574.965837,492550.333045,0.0246081831848,1
6.5e-06,27875.8859978,492874.988346,492850.339945,0.0246237770421,1
7e-06,27598.5609424,492262.179067,492237.560708,0.0245937651451,1
7.5e-06,27323.9670966,490699.292363,490674.751564,0.0245162821147,1
8e-06,27052.0951233,488275.757191,488251.337003,0.0243957915857,1
8.5e-06,26782.9245021,485130.624871,485106.361394,0.0242392371975,1
9e-06,26516.4307683,481413.593633,481389.515484,0.0240540954763,1
9.5e-06,26252.5881746,477265.885841,477242.014573,0.0238474203769,1
1e-05,25991.3706684,472811.634238,472787.9852,0.0236254127855,1
1.05e-05,25732.7522499,468154.890085,468131.47342,0.0233932708781,1
1.1e-05,25476.7071019,463379.630363,463356.452017,0.0231551903222,1
1.15e-05,25223.2096362,458551.31443,458528.377074,0.0229144419127,1
1.2e-05,24972.234509,453719.166172,453696.470013,0.0226734854798,1
1.25e-05,24723.7566247,448918.704109,448896.247579,0.0224340962111,1
1.3e-05,24477.7511362,444174.242482,444152.022795,0.0221974895458,1
1.35e-05,24234.1934431,439501.207348,439479.220947,0.0219644368473,1
1.4e-05,23993.0591894,434908.187531,434886.430428,0.021735367844,1
1.45e-05,23754.3242616,430398.688437,430377.156468,0.0215104582375,1
1.5e-05,23517.9647861,425972.587375,425951.276383,0.0212897024056,1
1.55e-05,23283.9571266,421627.307761,421606.213716,0.0210729720682,1
1.6e-05,23052.2778822,417358.740349,417337.859426,0.0208600623168,1
1.65e-05,22822.9038848,413161.944681,413141.273304,0.0206507266669,1
1.7e-05,22595.8121968,409031.665269,409011.200122,0.0204447028539,1
1.75e-05,22370.9801089,404962.695856,404942.433883,0.020241731041,1
1.8e-05,22148.3851376,400950.122322,400930.060714,0.0200415659611,1
1.85e-05,21928.0050233,396989.471314,396969.607485,0.0198439843497,1
1.9e-05,21709.8177278,393076.787757,393057.119319,0.0196487888229,1
1.95e-05,21493.8014321,389208.660536,389189.185271,0.0194558091644,1
2e-05,21279.9345345,385382.212008,385362.927841,0.0192649018054,1
2.05e-05,21068.195648,381595.063725,381575.968701,0.0190759481147,1
