time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,parallel_compound_field_current_A,series_field_current_A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0
2e-05,9.66448845726,10,9.24828144618e-14,4.62414072309e-14,9.99999092484e-13,10,9.66448845726,9.24828144618e-14,1.01674158379e-13,9.06331581725e-07,9.07516278022e-07,1.18459462236e-09,0,0,0,0,-0.000305010493401,-0.00014652191126,0.000305010493401
4e-05,9.90463155506,10,2.59973206716e-13,1.29986603358e-13,9.99999259974e-13,10,9.90463155506,2.59973206716e-13,2.85810473522e-13,7.35074262366e-07,7.40026053258e-07,4.95150508094e-09,0,0,0,0,-0.00064126311977,-0.000317235734484,0.00064126311977
6e-05,9.92997352536,10,3.96076200434e-13,1.98038100217e-13,9.99999396077e-13,10,9.92997352536,3.96076200434e-13,4.35439974092e-13,5.98735076067e-07,6.03923195643e-07,5.18768413568e-09,0,0,0,0,-0.000675028843067,-0.00034336367449,0.000675028843067
8e-05,9.93201906372,10,5.06951223452e-13,2.53475611726e-13,9.99999506952e-13,10,9.93201906372,5.06951223452e-13,5.57334238623e-13,4.87840149508e-07,4.930482835e-07,5.20757665788e-09,0,0,0,0,-0.000677757608797,-0.000345457152501,0.000677757608797
0.0001,9.93218537573,10,5.97291841274e-13,2.98645920637e-13,9.99999597292e-13,10,9.93218537573,5.97291841274e-13,6.56653299553e-13,3.97497905148e-07,4.02707756019e-07,5.20919421688e-09,0,0,0,0,-0.000677979462243,-0.00034562740096,0.000677979462243
0.00012,9.93219889469,10,6.70902551596e-13,3.35451275798e-13,9.99999670903e-13,10,9.93219889469,6.70902551596e-13,7.37579762089e-13,3.2388705601e-07,3.29097119307e-07,5.20932571763e-09,0,0,0,0,-0.000677997496002,-0.000345641239802,0.000677997496002
0.00014,9.93219999361,10,7.308816345e-13,3.6544081725e-13,9.99999730882e-13,10,9.93219999361,7.308816345e-13,8.03519826847e-13,2.63907956455e-07,2.69118096381e-07,5.20933640703e-09,0,0,0,0,-0.000677998961917,-0.000345642364723,0.000677998961917
0.00016,9.93220008293,10,7.79753477758e-13,3.89876738879e-13,9.99999779754e-13,10,9.93220008293,7.79753477758e-13,8.57248766225e-13,2.15036107471e-07,2.20246301996e-07,5.20933727594e-09,0,0,0,0,-0.000677999081077,-0.000345642456165,0.000677999081077
0.00018,9.9322000902,10,8.19574978769e-13,4.09787489384e-13,9.99999819575e-13,10,9.9322000902,8.19574978769e-13,9.01027901021e-13,1.75214602432e-07,1.80424840806e-07,5.20933734657e-09,0,0,0,0,-0.000677999090763,-0.000345642463598,0.000677999090763
0.0002,9.93220009079,10,8.52022127068e-13,4.26011063534e-13,9.99999852022e-13,10,9.93220009079,8.52022127068e-13,9.36699787894e-13,1.42767450902e-07,1.47977724954e-07,5.20933735232e-09,0,0,0,0,-0.00067799909155,-0.000345642464202,0.00067799909155
0.00022,9.93220009083,10,8.78460543658e-13,4.39230271829e-13,9.99999878461e-13,10,9.93220009083,8.78460543658e-13,9.65765769194e-13,1.16329031684e-07,1.21539334802e-07,5.20933735278e-09,0,0,0,0,-0.000677999091614,-0.000345642464252,0.000677999091614
0.00024,9.93220009084,10,9.00002956735e-13,4.50001478367e-13,9.99999900003e-13,10,9.93220009084,9.00002956735e-13,9.89449160878e-13,9.47866164661e-08,9.99969432681e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00026,9.93220009084,10,9.17556033697e-13,4.58778016848e-13,9.99999917556e-13,10,9.93220009084,9.17556033697e-13,1.00874673889e-12,7.72335377598e-08,8.24438838593e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00028,9.93220009084,10,9.31858540558e-13,4.65929270279e-13,9.99999931859e-13,10,9.93220009084,9.31858540558e-13,1.02447069103e-12,6.29310294774e-08,6.81413913009e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0003,9.93220009084,10,9.43512434798e-13,4.71756217399e-13,9.99999943512e-13,10,9.93220009084,9.43512434798e-13,1.03728279991e-12,5.12771340787e-08,5.64875087144e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00032,9.93220009084,10,9.53008200281e-13,4.7650410014e-13,9.99999953008e-13,10,9.93220009084,9.53008200281e-13,1.04772229582e-12,4.17813676522e-08,4.69917527274e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00034,9.93220009084,10,9.60745490516e-13,4.80372745258e-13,9.99999960746e-13,10,9.93220009084,9.60745490516e-13,1.05622855158e-12,3.40440766485e-08,3.92544702299e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00036,9.93220009084,10,9.67049949096e-13,4.83524974548e-13,9.9999996705e-13,10,9.93220009084,9.67049949096e-13,1.06315957464e-12,2.77396174413e-08,3.29500179537e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00038,9.93220009084,10,9.72186915242e-13,4.86093457621e-13,9.99999972187e-13,10,9.93220009084,9.72186915242e-13,1.0688070748e-12,2.26026507852e-08,2.78130569451e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0004,9.93220009084,10,9.76372591275e-13,4.88186295637e-13,9.99999976373e-13,10,9.93220009084,9.76372591275e-13,1.07340874151e-12,1.84169743364e-08,2.3627385098e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00042,9.93220009084,10,9.79783142046e-13,4.89891571023e-13,9.99999979783e-13,10,9.93220009084,9.79783142046e-13,1.07715824763e-12,1.50064232258e-08,2.02168377369e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00044,9.93220009084,10,9.82562109285e-13,4.91281054642e-13,9.99999982562e-13,10,9.93220009084,9.82562109285e-13,1.08021340071e-12,1.22274557111e-08,1.74378732774e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00046,9.93220009084,10,9.84826452914e-13,4.92413226457e-13,9.99999984826e-13,10,9.93220009084,9.84826452914e-13,1.08270278465e-12,9.96311185673e-09,1.51735319123e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00048,9.93220009084,10,9.86671473611e-13,4.93335736806e-13,9.99999986671e-13,10,9.93220009084,9.86671473611e-13,1.08473117152e-12,8.11809097613e-09,1.33285130601e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0005,9.93220009084,10,9.88174823778e-13,4.94087411889e-13,9.99999988175e-13,10,9.93220009084,9.88174823778e-13,1.08638393115e-12,6.61474065979e-09,1.18251643965e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00052,9.93220009084,10,9.89399775741e-13,4.94699887871e-13,9.999999894e-13,10,9.93220009084,9.89399775741e-13,1.08773062417e-12,5.38978857528e-09,1.06002136587e-08,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00054,9.93220009084,10,9.90397884727e-13,4.95198942364e-13,9.99999990398e-13,10,9.93220009084,9.90397884727e-13,1.08882792956e-12,4.39167948985e-09,9.6021056706e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00056,9.93220009084,10,9.91211158699e-13,4.9560557935e-13,9.99999991211e-13,10,9.93220009084,9.91211158699e-13,1.08972203023e-12,3.5784054369e-09,8.78883251176e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00058,9.93220009084,10,9.91873826367e-13,4.95936913183e-13,9.99999991874e-13,10,9.93220009084,9.91873826367e-13,1.09045055669e-12,2.91573770364e-09,8.12616550702e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0006,9.93220009084,10,9.92413777788e-13,4.96206888894e-13,9.99999992414e-13,10,9.93220009084,9.92413777788e-13,1.09104417083e-12,2.37578622835e-09,7.58621462534e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00062,9.93220009084,10,9.92853738197e-13,4.96426869099e-13,9.99999992854e-13,10,9.93220009084,9.92853738197e-13,1.09152785642e-12,1.93582577601e-09,7.14625465669e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00064,9.93220009084,10,9.93212224449e-13,4.96606112224e-13,9.99999993212e-13,10,9.93220009084,9.93212224449e-13,1.09192197059e-12,1.57733948887e-09,6.78776876366e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00066,9.93220009084,10,9.93504324351e-13,4.96752162176e-13,9.99999993504e-13,10,9.93220009084,9.93504324351e-13,1.09224310065e-12,1.28523955718e-09,6.4956691531e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00068,9.93220009084,10,9.93742331674e-13,4.96871165837e-13,9.99999993742e-13,10,9.93220009084,9.93742331674e-13,1.09250476218e-12,1.04723221031e-09,6.2576620679e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0007,9.93220009084,10,9.93936263563e-13,4.96968131782e-13,9.99999993936e-13,10,9.93220009084,9.93936263563e-13,1.09271796786e-12,8.53300302023e-10,6.06373037282e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00072,9.93220009084,10,9.94094282136e-13,4.97047141068e-13,9.99999994094e-13,10,9.93220009084,9.94094282136e-13,1.092891691e-12,6.95281713324e-10,5.90571195784e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00074,9.93220009084,10,9.94223038008e-13,4.97111519004e-13,9.99999994223e-13,10,9.93220009084,9.94223038008e-13,1.09303324319e-12,5.66525828873e-10,5.77695621494e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00076,9.93220009084,10,9.94327950198e-13,4.97163975099e-13,9.99999994328e-13,10,9.93220009084,9.94327950198e-13,1.09314858201e-12,4.61613628879e-10,5.67204413029e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00078,9.93220009084,10,9.94413434202e-13,4.97206717101e-13,9.99999994413e-13,10,9.93220009084,9.94413434202e-13,1.09324256179e-12,3.76129615823e-10,5.58656021121e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0008,9.93220009084,10,9.94483087834e-13,4.97241543917e-13,9.99999994483e-13,10,9.93220009084,9.94483087834e-13,1.0933191379e-12,3.06475976982e-10,5.51690664895e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00082,9.93220009084,10,9.94539842644e-13,4.97269921322e-13,9.9999999454e-13,10,9.93220009084,9.94539842644e-13,1.09338153325e-12,2.49721161313e-10,5.46015189567e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00084,9.93220009084,10,9.94586087303e-13,4.97293043652e-13,9.99999994586e-13,10,9.93220009084,9.94586087303e-13,1.0934323739e-12,2.03476497638e-10,5.41390728284e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00086,9.93220009084,10,9.94623768136e-13,4.97311884068e-13,9.99999994624e-13,10,9.93220009084,9.94623768136e-13,1.09347379962e-12,1.65795661344e-10,5.37622648797e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00088,9.93220009084,10,9.94654471036e-13,4.97327235518e-13,9.99999994654e-13,10,9.93220009084,9.94654471036e-13,1.09350755391e-12,1.35092758328e-10,5.34552361871e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.0009,9.93220009084,10,9.94679488213e-13,4.97339744107e-13,9.99999994679e-13,10,9.93220009084,9.94679488213e-13,1.0935350574e-12,1.10075578603e-10,5.32050646649e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00092,9.93220009084,10,9.94699872579e-13,4.9734993629e-13,9.999999947e-13,10,9.93220009084,9.94699872579e-13,1.09355746766e-12,8.96912103557e-11,5.30012212065e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00094,9.93220009084,10,9.94716482062e-13,4.97358241031e-13,9.99999994716e-13,10,9.93220009084,9.94716482062e-13,1.09357572786e-12,7.3081725462e-11,5.28351265401e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00096,9.93220009084,10,9.94730015715e-13,4.97365007858e-13,9.9999999473e-13,10,9.93220009084,9.94730015715e-13,1.09359060655e-12,5.95480713757e-11,5.26997901481e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
0.00098,9.93220009084,10,9.94741043136e-13,4.97370521568e-13,9.99999994741e-13,10,9.93220009084,9.94741043136e-13,1.09360272992e-12,4.85206497563e-11,5.25895160531e-09,5.20933735282e-09,0,0,0,0,-0.00067799909162,-0.000345642464256,0.00067799909162
