time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,shunt_field_current_A,inactive_series_field_current_A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0
2e-05,8.2226278444,10,9.54426000988e-14,4.77213000494e-14,9.99999095444e-13,10,8.2226278444,9.54426000988e-14,1.04928100372e-13,9.35337480968e-07,9.04556495345e-07,-3.07810905515e-08,0,0,0,0,-0.00161579286873,-0.00080922625806,-0
4e-05,9.24389313593,10,2.80149677707e-13,1.40074838854e-13,9.9999928015e-13,10,9.24389313593,2.80149677707e-13,3.07992169863e-13,8.74791879594e-07,7.19849602443e-07,-1.54942585143e-07,0,0,0,0,-0.00362517509229,-0.00181531343048,-0
6e-05,9.49253439625,10,4.46284833648e-13,2.23142416824e-13,9.99999446285e-13,10,9.49253439625,4.46284833648e-13,4.9063855942e-13,7.53332648627e-07,5.53714612637e-07,-1.99618526628e-07,0,0,0,0,-0.00411475459171,-0.00206023246578,-0
8e-05,9.5531972629,10,5.86878925456e-13,2.93439462728e-13,9.99999586879e-13,10,9.5531972629,5.86878925456e-13,6.4520550292e-13,6.24489451086e-07,4.13120661424e-07,-2.11369434868e-07,0,0,0,0,-0.00423413406672,-0.00211999209118,-0
0.0001,9.56797438744,10,7.02794987301e-13,3.5139749365e-13,9.99999702795e-13,10,9.56797438744,7.02794987301e-13,7.72641806619e-13,5.11487954997e-07,2.97204715494e-07,-2.14284012145e-07,0,0,0,0,-0.00426322637247,-0.00213454830149,-0
0.00012,9.57157823374,10,7.97581053221e-13,3.98790526611e-13,9.99999797581e-13,10,9.57157823374,7.97581053221e-13,8.76848123594e-13,4.17415491022e-07,2.0241874436e-07,-2.1499762351e-07,0,0,0,0,-0.00427031919459,-0.00213809843314,-0
0.00014,9.57245637141,10,8.74896338226e-13,4.37448169113e-13,9.99999874896e-13,10,9.57245637141,8.74896338226e-13,9.6184733754e-13,3.40274302027e-07,1.2510353667e-07,-2.15171727205e-07,0,0,0,0,-0.00427204788181,-0.0021389634529,-0
0.00016,9.57267048411,10,9.37914028234e-13,4.68957014117e-13,9.99999937914e-13,10,9.57267048411,9.37914028234e-13,1.03112799938e-12,2.77299060051e-07,6.20859096799e-08,-2.15214181499e-07,0,0,0,0,-0.00427246930738,-0.00213917437247,-0
0.00018,9.57272266491,10,9.89266663733e-13,4.94633331867e-13,9.99999989267e-13,10,9.57272266491,9.89266663733e-13,1.08758428291e-12,2.25956767841e-07,1.07333255333e-08,-2.15224529892e-07,0,0,0,0,-0.00427257202511,-0.00213922577411,-0
0.0002,9.57273538637,10,1.03111074283e-12,5.15555371414e-13,1.00000003111e-12,10,9.57273538637,1.03111074283e-12,1.13358700839e-12,1.84115207277e-07,-3.11107117163e-08,-2.1522705258e-07,0,0,0,0,-0.00427259706484,-0.00213923830579,-0
0.00022,9.57273848696,10,1.0652062082e-12,5.32603104102e-13,1.00000006521e-12,10,9.57273848696,1.0652062082e-12,1.17107102925e-12,1.50020353412e-07,-6.52061429973e-08,-2.1522766748e-07,0,0,0,0,-0.0042726031682,-0.0021392413601,-0
0.00024,9.57273924282,10,1.09298776875e-12,5.46493884377e-13,1.00000009299e-12,10,9.57273924282,1.09298776875e-12,1.20161364199e-12,1.22238939991e-07,-9.29876757671e-08,-2.15227817372e-07,0,0,0,0,-0.004272604656,-0.00213924210468,-0
0.00026,9.57273942706,10,1.11562461267e-12,5.57812306334e-13,1.00000011562e-12,10,9.57273942706,1.11562461267e-12,1.2265002338e-12,9.96021303643e-08,-1.15624497044e-07,-2.15227853909e-07,0,0,0,0,-0.00427260501865,-0.00213924228617,-0
0.00028,9.57273947197,10,1.13406945228e-12,5.6703472614e-13,1.00000013407e-12,10,9.57273947197,1.13406945228e-12,1.24677820171e-12,8.11572978261e-08,-1.34069318211e-07,-2.15227862815e-07,0,0,0,0,-0.00427260510705,-0.00213924233041,-0
0.0003,9.57273948292,10,1.14909858157e-12,5.74549290785e-13,1.0000001491e-12,10,9.57273948292,1.14909858157e-12,1.26330099117e-12,6.61281692136e-08,-1.49098432471e-07,-2.15227864986e-07,0,0,0,0,-0.0042726051286,-0.00213924234119,-0
0.00032,9.57273948559,10,1.16134453877e-12,5.80672269384e-13,1.00000016134e-12,10,9.57273948559,1.16134453877e-12,1.2767640048e-12,5.38822113276e-08,-1.61344377423e-07,-2.15227865515e-07,0,0,0,0,-0.00427260513385,-0.00213924234382,-0
0.00034,9.57273948624,10,1.17132272597e-12,5.85661362985e-13,1.00000017132e-12,10,9.57273948624,1.17132272597e-12,1.2877338676e-12,4.39040232619e-08,-1.71322554648e-07,-2.15227865644e-07,0,0,0,0,-0.00427260513513,-0.00213924234446,-0
0.00036,9.57273948639,10,1.17945310058e-12,5.89726550288e-13,1.00000017945e-12,10,9.57273948639,1.17945310058e-12,1.29667227416e-12,3.57736478791e-08,-1.79452921124e-07,-2.15227865675e-07,0,0,0,0,-0.00427260513544,-0.00213924234462,-0
0.00038,9.57273948643,10,1.18607785012e-12,5.93038925062e-13,1.00000018608e-12,10,9.57273948643,1.18607785012e-12,1.3039554201e-12,2.91488976814e-08,-1.86077664046e-07,-2.15227865683e-07,0,0,0,0,-0.00427260513552,-0.00213924234465,-0
0.0004,9.57273948644,10,1.19147579409e-12,5.95737897045e-13,1.00000019148e-12,10,9.57273948644,1.19147579409e-12,1.30988983519e-12,2.37509531812e-08,-1.91475602614e-07,-2.15227865685e-07,0,0,0,0,-0.00427260513554,-0.00213924234466,-0
0.00042,9.57273948645,10,1.19587411871e-12,5.97937059356e-13,1.00000019587e-12,10,9.57273948645,1.19587411871e-12,1.31472528442e-12,1.93526281218e-08,-1.95873922838e-07,-2.15227865685e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00044,9.57273948645,10,1.1994579387e-12,5.99728969351e-13,1.00000019946e-12,10,9.57273948645,1.1994579387e-12,1.31866528002e-12,1.57688077761e-08,-1.99457739244e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00046,9.57273948645,10,1.20237808826e-12,6.01189044132e-13,1.00000020238e-12,10,9.57273948645,1.20237808826e-12,1.32187564673e-12,1.28486579246e-08,-2.02377885885e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00048,9.57273948645,10,1.20475746934e-12,6.02378734669e-13,1.00000020476e-12,10,9.57273948645,1.20475746934e-12,1.32449150103e-12,1.04692766129e-08,-2.04757264581e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.0005,9.57273948645,10,1.20669622425e-12,6.03348112124e-13,1.0000002067e-12,10,9.57273948645,1.20669622425e-12,1.32662293783e-12,8.53052150974e-09,-2.06696017553e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00052,9.57273948645,10,1.20827595044e-12,6.0413797522e-13,1.00000020828e-12,10,9.57273948645,1.20827595044e-12,1.32835966407e-12,6.95079516177e-09,-2.08275742164e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00054,9.57273948645,10,1.20956313472e-12,6.04781567359e-13,1.00000020956e-12,10,9.57273948645,1.20956313472e-12,1.32977477432e-12,5.66361075647e-09,-2.09562925154e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00056,9.57273948645,10,1.21061195151e-12,6.05305975757e-13,1.00000021061e-12,10,9.57273948645,1.21061195151e-12,1.33092782708e-12,4.61479385513e-09,-2.10611740903e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00058,9.57273948645,10,1.21146654296e-12,6.05733271481e-13,1.00000021147e-12,10,9.57273948645,1.21146654296e-12,1.33186735154e-12,3.76020232341e-09,-2.11466331495e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.0006,9.57273948645,10,1.21216287672e-12,6.06081438359e-13,1.00000021216e-12,10,9.57273948645,1.21216287672e-12,1.33263288997e-12,3.06386849702e-09,-2.12162664556e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00062,9.57273948645,10,1.21273025977e-12,6.06365129884e-13,1.00000021273e-12,10,9.57273948645,1.21273025977e-12,1.33325666201e-12,2.49648539084e-09,-2.12730047038e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00064,9.57273948645,10,1.21319257187e-12,6.06596285937e-13,1.00000021319e-12,10,9.57273948645,1.21319257187e-12,1.3337649207e-12,2.03417323974e-09,-2.13192358681e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00066,9.57273948645,10,1.21356927062e-12,6.06784635309e-13,1.00000021357e-12,10,9.57273948645,1.21356927062e-12,1.33417905741e-12,1.65747445767e-09,-2.13569057049e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00068,9.57273948645,10,1.21387621033e-12,6.06938105165e-13,1.00000021388e-12,10,9.57273948645,1.21387621033e-12,1.33451650212e-12,1.3505347156e-09,-2.13875996453e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.0007,9.57273948645,10,1.21412630935e-12,6.07063154674e-13,1.00000021413e-12,10,9.57273948645,1.21412630935e-12,1.33479145707e-12,1.10043567164e-09,-2.14126095222e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00072,9.57273948645,10,1.21433009373e-12,6.07165046865e-13,1.00000021433e-12,10,9.57273948645,1.21433009373e-12,1.33501549443e-12,8.96651269624e-10,-2.143298794e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00074,9.57273948645,10,1.21449614026e-12,6.0724807013e-13,1.0000002145e-12,10,9.57273948645,1.21449614026e-12,1.33519804338e-12,7.30604723239e-10,-2.14495925764e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00076,9.57273948645,10,1.21463143743e-12,6.07315718715e-13,1.00000021463e-12,10,9.57273948645,1.21463143743e-12,1.33534678697e-12,5.95307540066e-10,-2.14631222799e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00078,9.57273948645,10,1.21474167957e-12,6.07370839783e-13,1.00000021474e-12,10,9.57273948645,1.21474167957e-12,1.33546798545e-12,4.85065393075e-10,-2.14741464824e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.0008,9.57273948645,10,1.21483150649e-12,6.07415753245e-13,1.00000021483e-12,10,9.57273948645,1.21483150649e-12,1.33556673976e-12,3.95238460329e-10,-2.14831291658e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00082,9.57273948645,10,1.2149046988e-12,6.07452349398e-13,1.0000002149e-12,10,9.57273948645,1.2149046988e-12,1.33564720624e-12,3.22046146259e-10,-2.14904483892e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00084,9.57273948645,10,1.21496433697e-12,6.07482168486e-13,1.00000021496e-12,10,9.57273948645,1.21496433697e-12,1.33571277152e-12,2.6240796565e-10,-2.14964122007e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
