time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,compound_field_current_A,series_field_current_A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0
2e-05,8.41778628565,10,9.09144140717e-14,4.54572070359e-14,9.99999090915e-13,10,8.41778628565,9.09144140717e-14,9.99498835441e-14,8.90961257903e-07,9.09084676844e-07,1.8123318991e-08,0,0,0,0,-0.00143837610395,-0.000511812051033,0.000926564052919
4e-05,9.0045067577,10,2.58756536168e-13,1.29378268084e-13,9.99999258757e-13,10,9.0045067577,2.58756536168e-13,2.84472884969e-13,7.5389153864e-07,7.41242722589e-07,-1.26491005239e-08,0,0,0,0,-0.00352022313655,-0.00183992375006,0.00168029938649
6e-05,9.57718496091,10,3.97962998581e-13,1.9898149929e-13,9.99999397964e-13,10,9.57718496091,3.97962998581e-13,4.37514290436e-13,6.10331793006e-07,6.02036399383e-07,-8.2958311374e-09,0,0,0,0,-0.00416955373117,-0.0021278557666,0.00204169796458
8e-05,9.29941480883,10,5.13637036069e-13,2.56818518034e-13,9.99999513638e-13,10,9.29941480883,5.13637036069e-13,5.64684516346e-13,5.23273774376e-07,4.86362477569e-07,-3.69118614913e-08,0,0,0,0,-0.00443272598938,-0.00240982098242,0.00202290500696
0.0001,9.78399686302,10,6.07936601083e-13,3.03968300541e-13,9.99999607937e-13,10,9.78399686302,6.07936601083e-13,6.68355981841e-13,4.0086196276e-07,3.92063006854e-07,-8.79962426185e-09,0,0,0,0,-0.00446003792599,-0.00227267089162,0.00218736703437
0.00012,9.23298644499,10,6.85616795472e-13,3.42808397736e-13,9.99999685617e-13,10,9.23298644499,6.85616795472e-13,7.53756371451e-13,3.60403942251e-07,3.14382890146e-07,-4.60218058622e-08,0,0,0,0,-0.00454277347761,-0.00251160995394,0.00203116352367
0.00014,9.92839298894,10,7.48101713027e-13,3.74050856513e-13,9.99999748102e-13,10,9.92839298894,7.48101713027e-13,8.22451311595e-13,2.5194824979e-07,2.51898035075e-07,-5.1037166191e-11,0,0,0,0,-0.00447919699629,-0.00223984013293,0.00223935686336
0.00016,9.07546514026,10,7.99920064211e-13,3.99960032106e-13,9.9999979992e-13,10,9.07546514026,7.99920064211e-13,8.79419595659e-13,2.55871591819e-07,2.00079735709e-07,-5.57927355293e-08,0,0,0,0,-0.00457038106134,-0.00258280182791,0.00198757923343
0.00018,10.1295874676,10,8.40753837173e-13,4.20376918587e-13,9.99999840754e-13,10,10.1295874676,8.40753837173e-13,9.24311606391e-13,1.44299383208e-07,1.59246003581e-07,1.49456960612e-08,0,0,0,0,-0.00446208213391,-0.00216214469833,0.00229993743558
