frequency_hz,maximum_scattering_singular_value,minimum_admittance_loss_eigenvalue_s
1,0.99968626412,3.13785103905e-06
1.1220184543,0.999686264049,3.13785172584e-06
1.25892541179,0.999686263887,3.13785336274e-06
1.41253754462,0.999686264034,3.13785189016e-06
1.58489319246,0.999686264665,3.13784559184e-06
1.77827941004,0.999686265218,3.13784005044e-06
1.99526231497,0.999686265609,3.13783614052e-06
2.23872113857,0.999686265778,3.13783445338e-06
2.51188643151,0.999686265694,3.13783529722e-06
2.81838293126,0.999686265369,3.13783854275e-06
3.16227766017,0.999686264859,3.13784363777e-06
3.54813389234,0.99968626426,3.13784960954e-06
3.98107170553,0.9996862637,3.13785522211e-06
4.46683592151,0.999686263595,3.13785627485e-06
5.01187233627,0.99968626358,3.137856424e-06
5.6234132519,0.999686263634,3.13785588602e-06
6.3095734448,0.999686264108,3.13785115697e-06
7.07945784384,0.999686265017,3.13784204749e-06
7.94328234724,0.999686266037,3.13783184648e-06
8.91250938134,0.999686266937,3.13782284529e-06
10,0.999686267471,3.13781750997e-06
11.220184543,0.999686267442,3.13781780165e-06
12.5892541179,0.999686266768,3.13782454153e-06
14.1253754462,0.999688676142,3.13783677895e-06
15.8489319246,0.999693138607,3.13785164091e-06
17.7827941004,0.999697156539,3.13785894346e-06
19.9526231497,0.999700766388,3.13785990107e-06
22.3872113857,0.99970400615,3.13785975238e-06
25.1188643151,0.999706836522,3.13785359523e-06
28.1838293126,0.999709079115,3.13783141551e-06
31.6227766017,0.999710399655,3.13780785123e-06
35.4813389234,0.999710350142,3.13779103071e-06
39.8107170553,0.999708461053,3.13778789405e-06
44.6683592151,0.999704352969,3.13780123033e-06
50.1187233627,0.999697827432,3.13782791289e-06
56.234132519,0.999688904286,3.13785919024e-06
63.095734448,0.999686262752,3.13786474596e-06
70.7945784384,0.999686262705,3.13786526272e-06
79.4328234724,0.99968626284,3.13786385568e-06
89.1250938134,0.999686265752,3.13783492433e-06
100,0.999686270353,3.13778894953e-06
112.20184543,0.999686274148,3.13775106798e-06
125.892541179,0.999686275533,3.13773729956e-06
141.253754462,0.999686273662,3.13775613242e-06
158.489319246,0.999686268927,3.13780363725e-06
177.827941004,0.999686263002,3.13786308644e-06
199.526231497,0.99968626197,3.13787317739e-06
223.872113857,0.99968626206,3.13787298812e-06
251.188643151,0.999686261949,3.13787294442e-06
281.838293126,0.999686267397,3.13782043511e-06
316.227766017,0.999686275673,3.13773821946e-06
354.813389234,0.999686281953,3.13767611124e-06
398.107170553,0.999686283469,3.13766185208e-06
446.683592151,0.999686279131,3.13770637366e-06
501.187233627,0.999686270123,3.1377979058e-06
562.34132519,0.999686260153,3.1378936348e-06
630.95734448,0.999686261879,3.13789230312e-06
707.945784384,0.999686262482,3.13789200182e-06
794.328234724,0.999686261327,3.13791191713e-06
891.250938134,0.99968626733,3.13784081996e-06
1000,0.999686280965,3.13771010387e-06
1122.0184543,0.999686290879,3.13761806531e-06
1258.92541179,0.999686292016,3.13761568463e-06
1412.53754462,0.999686282029,3.13772690415e-06
1584.89319246,0.999686262751,3.13793399926e-06
1778.27941004,0.999686258879,3.1380659933e-06
1995.26231497,0.999686260245,3.13809595736e-06
2238.72113857,0.999686258698,3.13816382012e-06
2511.88643151,0.999686252863,3.13828549409e-06
2818.38293126,0.999686243657,3.13827484505e-06
3162.27766017,0.999686256298,3.13820514021e-06
3548.13389234,0.999686248367,3.13835595109e-06
3981.07170553,0.999686209555,3.13883424464e-06
4466.83592151,0.999686143349,3.13960998759e-06
5011.87233627,0.99968609405,3.14048882376e-06
5623.4132519,0.999686021637,3.14119533009e-06
6309.5734448,0.999686001309,3.14158050889e-06
7079.45784384,0.999686000403,3.14187514199e-06
7943.28234724,0.999685945777,3.14278175265e-06
8912.50938134,0.999685762115,3.14507393315e-06
10000,0.999685495396,3.14831668579e-06
