time_s,terminal_power_w,cumulative_supplied_energy_j,maximum_kcl_residual_a,fault_closed
0,262824.524452,0,0,0
1e-05,262510.693441,2.62667608947,1.36424205266e-12,0
2e-05,262192.69614,5.25019303737,1.81898940355e-12,0
3e-05,261870.55069,7.87050927151,1.81898940355e-12,0
4e-05,261544.275388,10.4875834019,1.81898940355e-12,0
5e-05,261213.88879,13.1013742228,1.81898940355e-12,0
6e-05,260879.409673,15.7118407151,3.41060513165e-12,0
7e-05,260540.857054,18.3189420487,3.41060513165e-12,0
8e-05,260198.250178,20.9226375849,3.41060513165e-12,0
9e-05,259851.608523,23.5228868784,3.41060513165e-12,0
0.0001,259500.951794,26.11964968,3.41060513165e-12,0
0.00011,259146.299925,28.7128859386,3.41060513165e-12,0
0.00012,258787.673079,31.3025558036,3.41060513165e-12,0
0.00013,258425.091643,33.8886196272,3.41060513165e-12,0
0.00014,258058.576228,36.4710379666,3.41060513165e-12,0
0.00015,257688.147672,39.0497715861,3.41060513165e-12,0
0.00016,257313.827031,41.6247814596,3.41060513165e-12,0
0.00017,256935.635587,44.1960287727,3.41060513165e-12,0
0.00018,256553.594838,46.7634749248,3.41060513165e-12,0
0.00019,256167.726502,49.3270815315,3.41060513165e-12,0
0.0002,255778.052518,51.8868104266,3.41060513165e-12,0
0.00021,255384.595035,54.4426236644,3.41060513165e-12,0
0.00022,254987.376423,56.9944835217,3.41060513165e-12,0
0.00023,254586.419262,59.5423525001,3.41060513165e-12,0
0.00024,254181.746346,62.0861933281,3.41060513165e-12,0
0.00025,253773.380681,64.6259689632,3.41060513165e-12,0
0.00026,253361.345481,67.1616425941,3.41060513165e-12,0
0.00027,252945.66417,69.6931776423,3.41060513165e-12,0
0.00028,252526.36038,72.2205377651,3.41060513165e-12,0
0.00029,252103.457946,74.7436868567,3.41060513165e-12,0
0.0003,251676.980911,77.262589051,3.41060513165e-12,0
0.00031,251246.953518,79.7772087231,3.41060513165e-12,0
0.00032,250813.400215,82.2875104918,3.41060513165e-12,0
0.00033,250376.345648,84.7934592211,3.41060513165e-12,0
0.00034,249935.814663,87.2950200227,3.41060513165e-12,0
0.00035,249491.832305,89.7921582575,3.41060513165e-12,0
0.00036,249044.423812,92.2848395381,3.41060513165e-12,0
0.00037,248593.614619,94.7730297302,3.41060513165e-12,0
0.00038,248139.430355,97.2566949551,3.41060513165e-12,0
0.00039,247681.896838,99.7358015911,3.41060513165e-12,0
0.0004,247221.04008,102.210316276,3.41060513165e-12,0
0.00041,246756.886278,104.680205907,3.41060513165e-12,0
0.00042,246289.461821,107.145437648,3.41060513165e-12,0
0.00043,245818.793279,109.605978923,3.41060513165e-12,0
0.00044,245344.907411,112.061797427,3.41060513165e-12,0
0.00045,244867.831155,114.51286112,3.41060513165e-12,0
0.00046,244387.591633,116.959138234,3.41060513165e-12,0
0.00047,243904.216146,119.400597273,3.41060513165e-12,0
0.00048,243417.732174,121.837207014,3.41060513165e-12,0
0.00049,242928.167371,124.268936512,3.41060513165e-12,0
0.0005,242435.54957,126.695755097,3.41060513165e-12,0
0.00051,241939.906774,129.117632378,3.41060513165e-12,0
0.00052,241441.267161,131.534538248,3.41060513165e-12,0
0.00053,240939.659077,133.946442879,3.41060513165e-12,0
0.00054,240435.111039,136.35331673,3.41060513165e-12,0
0.00055,239927.651729,138.755130544,3.41060513165e-12,0
0.00056,239417.309995,141.151855352,3.41060513165e-12,0
0.00057,238904.11485,143.543462476,3.41060513165e-12,0
0.00058,238388.095468,145.929923528,3.41060513165e-12,0
0.00059,237869.281184,148.311210411,3.41060513165e-12,0
0.0006,237347.701492,150.687295325,3.41060513165e-12,0
0.00061,236823.386043,153.058150762,3.41060513165e-12,0
0.00062,236296.364645,155.423749516,3.41060513165e-12,0
0.00063,235766.667256,157.784064675,3.41060513165e-12,0
0.00064,235234.32399,160.139069631,3.41060513165e-12,0
0.00065,234699.36511,162.488738077,3.41060513165e-12,0
0.00066,234161.821028,164.833044008,3.41060513165e-12,0
0.00067,233621.722302,167.171961724,3.41060513165e-12,0
0.00068,233079.099635,169.505465834,3.41060513165e-12,0
0.00069,232533.983877,171.833531252,3.41060513165e-12,0
0.0007,231986.406015,174.156133201,3.41060513165e-12,0
0.00071,231436.397178,176.473247217,3.41060513165e-12,0
0.00072,230883.988634,178.784849146,3.41060513165e-12,0
0.00073,230329.211787,181.090915148,3.41060513165e-12,0
0.00074,229772.098175,183.391421698,3.41060513165e-12,0
0.00075,232856033.736,1348.82045087,3.41060513165e-12,1
0.00076,328995643.058,4158.07883484,3.41060513165e-12,1
0.00077,365955143.141,7632.83276583,4.54747350886e-12,1
0.00078,465116255.005,11788.1897566,8.18545231596e-12,1
0.00079,527764914.494,16752.5956041,8.18545231596e-12,1
0.0008,629866402.889,22540.752191,8.18545231596e-12,1
0.00081,706746122.874,29223.8148198,8.18545231596e-12,1
0.00082,804331223.267,36779.2015505,1.09139364213e-11,1
0.00083,886948877.125,45235.6020525,1.09139364213e-11,1
0.00084,979945482.602,54570.0738511,1.09139364213e-11,1
0.00085,1064459641.22,64792.0994702,1.27329258248e-11,1
0.00086,1154007427.6,75884.4348143,1.63709046319e-11,1
0.00087,1238714351.86,87848.0437116,1.63709046319e-11,1
0.00088,1325712779.35,100670.179368,1.81898940355e-11,1
0.00089,1409838082.11,114347.933675,1.81898940355e-11,1
0.0009,1494845835.77,128871.353264,1.81898940355e-11,1
0.00091,1578032944.47,144235.747166,1.81898940355e-11,1
0.00092,1661377554.64,160432.799661,1.81898940355e-11,1
0.00093,1743464687.94,177457.010874,1.81898940355e-11,1
0.00094,1825337359.14,195301.021109,2.18278728426e-11,1
0.00095,1906255479.79,213958.985304,2.18278728426e-11,1
0.00096,1986769844.52,233424.111926,2.18278728426e-11,1
0.00097,2066494048.61,253690.431391,2.18278728426e-11,1
0.00098,2145719627.03,274751.49977,2.54658516496e-11,1
0.00099,2224245405.25,296601.324931,2.54658516496e-11,1
0.001,2302226223.28,319233.683074,2.54658516496e-11,1
0.00101,2379557779.18,342642.603086,2.54658516496e-11,1
0.00102,2456322713.5,366822.005549,2.54658516496e-11,1
0.00103,2532467274.24,391765.955488,2.91038304567e-11,1
0.00104,2608035855.44,417468.471137,2.91038304567e-11,1
0.00105,2683000990.23,443923.655365,2.91038304567e-11,1
0.00106,2757386717.65,471125.593904,2.91038304567e-11,1
0.00107,2831179160.54,499068.423295,2.91038304567e-11,1
0.00108,2904391447.5,527746.276335,2.91038304567e-11,1
0.00109,2977016660.5,557153.316875,2.91038304567e-11,1
0.0011,3049062017.33,587283.710265,4.36557456851e-11,1
0.00111,3120524105.95,618131.640881,4.36557456851e-11,1
0.00112,3191406891.4,649691.295868,4.36557456851e-11,1
0.00113,3261708677.92,681956.873714,4.36557456851e-11,1
0.00114,3331431599.98,714922.575104,4.36557456851e-11,1
0.00115,3400574758.13,748582.606894,4.36557456851e-11,1
0.00116,3469139224.58,782931.176808,4.36557456851e-11,1
0.00117,3537124429.92,817962.495081,4.36557456851e-11,1
0.00118,3604530805.12,853670.771256,4.36557456851e-11,1
0.00119,3671357880.38,890050.214683,4.36557456851e-11,1
0.0012,3737605681.06,927095.03249,4.36557456851e-11,1
0.00121,3803273728.3,964799.429537,4.36557456851e-11,1
0.00122,3868361777.72,1003157.60707,4.36557456851e-11,1
0.00123,3932869294.98,1042163.76243,4.36557456851e-11,1
0.00124,3996795847.58,1081812.08814,4.36557456851e-11,1
0.00125,-47711660976.7,863237.762498,4.36557456851e-11,0
0.00126,-17531678590.4,537021.064663,4.36557456851e-11,0
0.00127,-8510267626.71,406811.333577,4.36557456851e-11,0
0.00128,-6581096452.75,331354.51318,4.36557456851e-11,0
0.00129,-3602240469.11,280437.828571,4.36557456851e-11,0
0.0013,-2755783994.43,248647.706253,4.36557456851e-11,0
0.00131,-1633121937.81,226703.176592,4.36557456851e-11,0
0.00132,-1224819071.26,212413.471546,4.36557456851e-11,0
0.00133,-778922714.053,202394.76262,4.36557456851e-11,0
0.00134,-576272867.005,195618.784714,4.36557456851e-11,0
0.00135,-387199201.151,190801.424374,4.36557456851e-11,0
0.00136,-286077433.481,187435.041201,4.36557456851e-11,0
0.00137,-200414961.546,185002.579225,4.36557456851e-11,0
0.00138,-149456549.42,183253.221671,4.36557456851e-11,0
