time_s,maximum_receiving_voltage_difference_v,maximum_terminal_current_difference_a,maximum_terminal_power_difference_w,maximum_cumulative_energy_difference_j,coarse_maximum_kcl_residual_a,refined_maximum_kcl_residual_a
0,0.000177618931048,3.55247175321e-06,0.0917821601033,0,0,0
1e-05,0.00017710449174,3.54209191755e-06,0.0915250107646,1.69306650744e-06,1.5916157281e-12,1.36424205266e-12
2e-05,0.000176575304067,3.53150767296e-06,0.0912485718727,3.37747180801e-06,1.81898940355e-12,1.5916157281e-12
3e-05,0.000176048408321,3.52096787992e-06,0.0909681096673,5.05330692935e-06,1.81898940355e-12,1.5916157281e-12
4e-05,0.000175519358891,3.51039011548e-06,0.0906826481223,6.72043968031e-06,1.93267624127e-12,1.5916157281e-12
5e-05,0.000174987522769,3.49975266545e-06,0.0903957635164,8.37876742743e-06,1.93267624127e-12,2.27373675443e-12
6e-05,0.00017445380945,3.48907678926e-06,0.0901034623384,1.00281766429e-05,3.41060513165e-12,2.27373675443e-12
7e-05,0.000173917280335,3.47834611603e-06,0.0898094549775,1.16685625358e-05,3.41060513165e-12,2.27373675443e-12
8e-05,0.00017337853933,3.46757110492e-06,0.0895105004311,1.32998138298e-05,3.41060513165e-12,2.27373675443e-12
9e-05,0.000172837193531,3.45674447999e-06,0.0892085805535,1.49218239649e-05,3.41060513165e-12,2.27373675443e-12
0.0001,0.000172293453943,3.44587124346e-06,0.0889023095369,1.65344839935e-05,3.41060513165e-12,2.27373675443e-12
0.00011,0.000171747255081,3.43494571098e-06,0.0885934010148,1.81376913595e-05,3.41060513165e-12,2.27373675443e-12
0.00012,0.000171703781234,3.4340757793e-06,0.0882800593972,1.97313381776e-05,3.41060513165e-12,2.27373675443e-12
0.00013,0.000172080995981,3.44161992416e-06,0.0879637151957,2.13153204029e-05,3.41060513165e-12,2.27373675443e-12
0.00014,0.000172455744178,3.44911507e-06,0.0876438766718,2.28895316283e-05,3.41060513165e-12,2.27373675443e-12
