time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0,99922.4591332,99922.4601352,1998.94290211,1998.94401621,-1998.4492027,-1998.44918266,-50177.3201481,-50177.3191162,-1003.03435796,-1003.03383039,1003.54638232,1003.54640296,-49789.6594895,-49789.6584328,-996.857967409,-996.857442434,995.793168655,995.79318979,262824.524452,262988.731547,0,0,0
1e-05,99922.688961,99922.6899569,1998.94452341,1998.94563738,-1998.45379914,-1998.45377922,-49851.0087566,-49851.007731,-996.504278866,-996.503754751,997.02015462,997.020175132,-50116.3026073,-50116.3015568,-1003.3918318,-1003.39130313,1002.32603114,1002.32605215,262510.693441,262674.900441,2.62667608947,2.62831815994,1.5916157281e-12
2e-05,99921.4986662,99921.499656,1998.91773527,1998.91884911,-1998.42999312,-1998.42997332,-49523.9888719,-49523.9878526,-989.960037242,-989.959516583,990.479757052,990.479777438,-50442.2334615,-50442.2324172,-1009.91143577,-1009.91090341,1008.84464834,1008.84466923,262192.69614,262356.903119,5.25019303737,5.25347717774,1.81898940355e-12
3e-05,99918.8882657,99918.8892495,1998.8625381,1998.86365178,-1998.37778499,-1998.37776531,-49196.2651417,-49196.2641287,-983.401726094,-983.401208899,983.925282575,983.925302835,-50767.4474199,-50767.4463818,-1016.41668666,-1016.41615062,1015.34892764,1015.3489484,261870.55069,262034.757629,7.87050927151,7.87543548148,1.81898940355e-12
4e-05,99914.8577967,99914.8587743,1998.77893266,1998.78004616,-1998.29717549,-1998.29715593,-48867.8422237,-48867.8412171,-976.829438632,-976.828924907,977.356824341,977.356844475,-51091.9398605,-51091.9388287,-1022.90749202,-1022.90695231,1021.83877657,1021.83879721,261544.275388,261708.482293,10.4875834019,10.4941516811,1.93267624127e-12
5e-05,99909.4073164,99909.4082878,1998.66692014,1998.66803346,-1998.18816576,-1998.18814633,-48538.7247855,-48538.7237852,-970.24326826,-970.242758014,970.774475704,970.774495711,-51415.7061716,-51415.705146,-1029.3837596,-1029.38321622,1028.31410292,1028.31412343,261213.88879,261378.095657,13.1013742228,13.1095845708,1.93267624127e-12
6e-05,99902.5369022,99902.5378675,1998.52650215,1998.52761527,-1998.05075735,-1998.05073804,-48208.9175046,-48208.9165106,-963.643308585,-963.642801824,964.178330213,964.178350092,-51738.7417517,-51738.7407323,-1035.84539736,-1035.84485033,1034.77481465,1034.77483503,260879.409673,261043.616504,15.7118407151,15.7216931316,3.41060513165e-12
7e-05,99894.2466519,99894.247611,1998.35768067,1998.35879357,-1997.88495222,-1997.88493304,-47878.4250683,-47878.4240806,-957.029653405,-957.029150137,957.568481613,957.568501365,-52061.0420097,-52061.0409966,-1042.29231347,-1042.29176278,1041.22081993,1041.22084019,260540.857054,260705.063849,18.3189420487,18.3304365334,3.41060513165e-12
8e-05,99884.5366832,99884.5376362,1998.16045811,1998.16157077,-1997.69075272,-1997.69073366,-47547.2521735,-47547.2511923,-950.402396715,-950.401896947,950.945023845,950.94504347,-52382.6023651,-52382.6013583,-1048.72441629,-1048.72386196,1047.65202717,1047.6520473,260198.250178,260362.456937,20.9226375849,20.9357741373,3.41060513165e-12
9e-05,99873.4071342,99873.4080809,1997.93483726,1997.93594967,-1997.46816162,-1997.46814268,-47215.403527,-47215.4025522,-943.761632703,-943.761136442,944.308051044,944.308070541,-52703.4182477,-52703.4172472,-1055.14161442,-1055.14105645,1054.06834494,1054.06836495,259851.608523,260015.815245,23.5228868784,23.5376654983,3.41060513165e-12
0.0001,99860.8581629,99860.8591035,1997.68082133,1997.68193348,-1997.21718207,-1997.21716326,-46882.8838452,-46882.8828768,-937.107455749,-937.106963002,937.657657535,937.657676904,-53023.4850981,-53023.484104,-1061.54381665,-1061.54325506,1060.46968208,1060.46970196,259500.951794,259665.158481,26.11964968,26.1360703669,3.41060513165e-12
0.00011,99846.8899478,99846.8908822,1997.39841394,1997.39952581,-1996.93781764,-1996.93779896,-46549.6978538,-46549.6968918,-930.439960425,-930.439471199,930.993937836,930.993957076,-53342.7983675,-53342.7973796,-1067.93093199,-1067.93036678,1066.85594759,1066.85596735,259146.299925,259310.506576,28.7128859386,28.7309486922,3.41060513165e-12
0.00012,99831.5026874,99831.5036156,1997.0876191,1997.08873066,-1996.63007231,-1996.63005375,-46215.8502881,-46215.8493326,-923.759241489,-923.758755791,924.316986651,924.317005763,-53661.3535176,-53661.3525361,-1074.30286967,-1074.30230085,1073.22705072,1073.22707035,258787.673079,258951.879695,31.3025558036,31.3222606235,3.41060513165e-12
0.00013,99814.6966004,99814.6975223,1996.74844122,1996.74955247,-1996.29395045,-1996.29393201,-45881.345893,-45881.3449438,-917.065393889,-917.064911726,917.626898877,917.626917859,-53979.146021,-53979.1450459,-1080.65953913,-1080.65896671,1079.58290092,1079.58292042,258425.091643,258589.298223,33.8886196272,33.9099665131,3.41060513165e-12
0.00014,99796.4719256,99796.4728412,1996.38088513,1996.38199605,-1995.92945682,-1995.92943851,-45546.1894223,-45546.1884796,-910.35851276,-910.358034139,910.923769593,910.923788446,-54296.1713614,-54296.1703926,-1087.00085002,-1087.00027401,1085.92340785,1085.92342723,258058.576228,258222.782773,36.4710379666,36.4940269181,3.41060513165e-12
0.00015,99776.828922,99776.8298314,1995.98495604,1995.98606662,-1995.53659663,-1995.53657844,-45210.3856395,-45210.3847033,-903.638693422,-903.638218349,904.207694066,904.207712789,-54612.4250329,-54612.4240705,-1093.32671223,-1093.32613263,1092.24848141,1092.24850066,257688.147672,257852.354181,39.0497715861,39.0744026029,3.41060513165e-12
0.00016,99755.7678689,99755.7687719,1995.56065959,1995.5617698,-1995.11537544,-1995.11535738,-44873.939317,-44873.9383873,-896.906031377,-896.905559859,897.478767746,897.47878634,-54927.902541,-54927.901585,-1099.63703584,-1099.63645266,1098.5580317,1098.55805082,257313.827031,257478.033506,41.6247814596,41.6510545413,3.41060513165e-12
0.00017,99733.2890654,99733.2899622,1995.10800181,1995.10911164,-1994.66579924,-1994.66578131,-44536.8552365,-44536.8543133,-890.160622313,-890.160154357,890.737086266,890.73710473,-55242.599402,-55242.5984525,-1105.93173118,-1105.93114443,1104.85196905,1104.85198804,256935.635587,257099.842027,44.1960287727,44.223943919,3.41060513165e-12
0.00018,99709.3928312,99709.3937216,1994.62698912,1994.62809857,-1994.18787443,-1994.18785662,-44199.1381887,-44199.137272,-883.402562095,-883.402097708,883.98274544,883.982763774,-55556.5111434,-55556.5102003,-1112.21070878,-1112.21011847,1111.13020401,1111.13022287,256553.594838,256717.801243,46.7634749248,46.7930321353,3.41060513165e-12
0.00019,99684.0795058,99684.0803899,1994.11762837,1994.11873741,-1993.6816078,-1993.68159012,-43860.7929733,-43860.7920632,-876.631946772,-876.63148596,877.215841263,877.215859467,-55869.6333038,-55869.6323672,-1118.4738794,-1118.47328554,1117.39264734,1117.39266608,256167.726502,256331.932873,49.3270815315,49.3582808059,3.41060513165e-12
0.0002,99657.3494489,99657.3503267,1993.5799268,1993.58103541,-1993.14700653,-1993.14698898,-43521.824399,-43521.8234954,-869.848872569,-869.848415339,870.436469908,870.43648798,-56181.9614331,-56181.9605029,-1124.72115404,-1124.72055663,1123.63921006,1123.63922866,255778.052518,255942.258854,51.8868104266,51.9196517645,3.41060513165e-12
