time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0,99922.4591332,1998.94290211,-1998.44918266,-50177.3201481,-1003.03383039,1003.54640296,-49789.6594895,-996.857442434,995.79318979
1e-05,99922.688961,1998.94452341,-1998.45377922,-49851.0087566,-996.503754751,997.020175132,-50116.3026073,-1003.39130313,1002.32605215
2e-05,99921.4986662,1998.91773527,-1998.42997332,-49523.9888719,-989.959516583,990.479777438,-50442.2334615,-1009.91090341,1008.84466923
3e-05,99918.8882657,1998.8625381,-1998.37776531,-49196.2651417,-983.401208899,983.925302835,-50767.4474199,-1016.41615062,1015.3489484
4e-05,99914.8577967,1998.77893266,-1998.29715593,-48867.8422237,-976.828924907,977.356844475,-51091.9398605,-1022.90695231,1021.83879721
5e-05,99909.4073164,1998.66692014,-1998.18814633,-48538.7247855,-970.242758014,970.774495711,-51415.7061716,-1029.38321622,1028.31412343
6e-05,99902.5369022,1998.52650215,-1998.05073804,-48208.9175046,-963.642801824,964.178350092,-51738.7417517,-1035.84485033,1034.77483503
7e-05,99894.2466519,1998.35768067,-1997.88493304,-47878.4250683,-957.029150137,957.568501365,-52061.0420097,-1042.29176278,1041.22084019
8e-05,99884.5366832,1998.16045811,-1997.69073366,-47547.2521735,-950.401896947,950.94504347,-52382.6023651,-1048.72386196,1047.6520473
9e-05,99873.4071342,1997.93483726,-1997.46814268,-47215.403527,-943.761136442,944.308070541,-52703.4182477,-1055.14105645,1054.06836495
0.0001,99860.8581629,1997.68082133,-1997.21716326,-46882.8838452,-937.106963002,937.657676904,-53023.4850981,-1061.54325506,1060.46970196
0.00011,99846.8899478,1997.39841394,-1996.93779896,-46549.6978538,-930.439471199,930.993957076,-53342.7983675,-1067.93036678,1066.85596735
0.00012,99831.5026874,1997.0876191,-1996.63005375,-46215.8502881,-923.758755791,924.317005763,-53661.3535176,-1074.30230085,1073.22707035
0.00013,99814.6966004,1996.74844122,-1996.29393201,-45881.345893,-917.064911726,917.626917859,-53979.146021,-1080.65896671,1079.58292042
0.00014,99796.4719256,1996.38088513,-1995.92943851,-45546.1894223,-910.358034139,910.923788446,-54296.1713614,-1087.00027401,1085.92342723
0.00015,99776.828922,1995.98495604,-1995.53657844,-45210.3856395,-903.638218349,904.207712789,-54612.4250329,-1093.32613263,1092.24850066
0.00016,99755.7678689,1995.56065959,-1995.11535738,-44873.939317,-896.905559859,897.47878634,-54927.902541,-1099.63645266,1098.55805082
0.00017,99733.2890654,1995.10800181,-1994.66578131,-44536.8552365,-890.160154357,890.73710473,-55242.599402,-1105.93114443,1104.85198804
0.00018,99709.3928312,1994.62698912,-1994.18785662,-44199.1381887,-883.402097708,883.982763774,-55556.5111434,-1112.21011847,1111.13022287
0.00019,99684.0795058,1994.11762837,-1993.68159012,-43860.7929733,-876.63148596,877.215859467,-55869.6333038,-1118.47328554,1117.39266608
0.0002,99657.3494489,1993.5799268,-1993.14698898,-43521.824399,-869.848415339,870.43648798,-56181.9614331,-1124.72055663,1123.63922866
0.00021,99629.2030406,1993.01389204,-1992.58406081,-43182.2372832,-863.052982246,863.644745664,-56493.4910923,-1130.95184295,1129.86982185
0.00022,99599.6406807,1992.41953214,-1991.99281361,-42842.0364522,-856.245283259,856.840729045,-56804.217854,-1137.16705594,1136.08435708
0.00023,99568.6627895,1991.79685555,-1991.37325579,-42501.2267411,-849.425415132,850.024534822,-57114.137302,-1143.36610727,1142.28274604
0.00024,99536.2698071,1991.14587112,-1990.72539614,-42159.8129935,-842.593474789,843.196259869,-57423.2450316,-1149.54890884,1148.46490063
0.00025,99502.4621941,1990.4665881,-1990.04924388,-41817.8000615,-835.749559329,836.356001231,-57731.5366499,-1155.71537277,1154.630733
0.00026,99467.2404308,1989.75901614,-1989.34480862,-41475.1928061,-828.893766017,829.503856123,-58039.0077752,-1161.86541143,1160.7801555
0.00027,99430.6050179,1989.0231653,-1988.61210036,-41131.9960964,-822.026192289,822.639921929,-58345.6540378,-1167.99893741,1166.91308076
0.00028,99392.556476,1988.25904604,-1987.85112952,-40788.21481,-815.14693575,815.7642962,-58651.4710795,-1174.11586354,1173.02942159
0.00029,99353.0953458,1987.46666922,-1987.06190692,-40443.8538328,-808.256094169,808.877076656,-58956.4545539,-1180.21610288,1179.12909108
0.0003,99312.2221883,1986.6460461,-1986.24444377,-40098.9180589,-801.35376548,801.978361177,-59260.6001266,-1186.29956875,1185.21200253
0.00031,99269.9375842,1985.79718834,-1985.39875168,-39753.4123906,-794.440047779,795.068247811,-59563.903475,-1192.36617466,1191.2780695
0.00032,99226.2421346,1984.920108,-1984.52484269,-39407.3417383,-787.515039327,788.146834765,-59866.3602886,-1198.41583442,1197.32720577
0.00033,99181.1364604,1984.01481756,-1983.62272921,-39060.7110204,-780.578838544,781.214220408,-60167.9662686,-1204.44846203,1203.35932537
0.00034,99134.6212028,1983.08132988,-1982.69242406,-38713.5251634,-773.631544007,774.270503268,-60468.7171286,-1210.46397177,1209.37434257
0.00035,99086.6970227,1982.11965822,-1981.73394045,-38365.7891015,-766.673254453,767.31578203,-60768.6085943,-1216.46227813,1215.37217189
