time_s,terminal_power_w,cumulative_supplied_energy_j,maximum_kcl_residual_a,fault_closed
0,1111692.08988,0,0,0
1e-05,1111613.49047,11.1165279018,1.36424205266e-12,0
2e-05,1111524.92615,22.2322199849,1.47792889038e-12,0
3e-05,1111426.40196,33.3469766255,1.47792889038e-12,0
4e-05,1111317.92348,44.4606982527,1.47792889038e-12,0
5e-05,1111199.49689,55.5732853546,1.81898940355e-12,0
6e-05,1111071.12891,66.6846384836,1.81898940355e-12,0
7e-05,1110932.82685,77.7946582624,1.81898940355e-12,0
8e-05,1110784.59856,88.9032453894,1.81898940355e-12,0
9e-05,1110626.45248,100.010300645,2.72848410532e-12,0
0.0001,1110458.39759,111.115724895,2.72848410532e-12,0
0.00011,1110280.44344,122.2194191,2.72848410532e-12,0
0.00012,1110092.60016,133.321284318,2.72848410532e-12,0
0.00013,1109894.87843,144.421221711,2.72848410532e-12,0
0.00014,1109687.28947,155.51913255,2.72848410532e-12,0
0.00015,1109469.8451,166.614918223,2.72848410532e-12,0
0.00016,1109242.55768,177.708480237,2.72848410532e-12,0
0.00017,1109005.44012,188.799720226,2.72848410532e-12,0
0.00018,1108758.5059,199.888539956,2.72848410532e-12,0
0.00019,1108501.76908,210.974841331,2.72848410532e-12,0
0.0002,1108235.24423,222.058526398,2.72848410532e-12,0
0.00021,1107958.94651,233.139497351,2.72848410532e-12,0
0.00022,1107672.89162,244.217656542,2.72848410532e-12,0
0.00023,1107377.09584,255.292906479,2.72848410532e-12,0
0.00024,1107071.57598,266.365149838,2.72848410532e-12,0
0.00025,1106756.34939,277.434289465,2.72848410532e-12,0
0.00026,1106431.43401,288.500228382,2.72848410532e-12,0
0.00027,1106096.84831,299.562869794,2.72848410532e-12,0
0.00028,1105752.6113,310.622117092,2.72848410532e-12,0
0.00029,1105398.74256,321.677873861,2.72848410532e-12,0
0.0003,1105035.2622,332.730043885,2.72848410532e-12,0
0.00031,1104662.19088,343.77853115,2.72848410532e-12,0
0.00032,1104279.54982,354.823239854,2.72848410532e-12,0
0.00033,1103887.36076,365.864074407,2.72848410532e-12,0
0.00034,1103485.64601,376.900939441,2.72848410532e-12,0
0.00035,1103074.42839,387.933739813,2.72848410532e-12,0
0.00036,1102653.73129,398.962380611,2.72848410532e-12,0
0.00037,1102223.57862,409.986767161,2.72848410532e-12,0
0.00038,1101783.99484,421.006805028,2.72848410532e-12,0
0.00039,1101335.00494,432.022400027,2.72848410532e-12,0
0.0004,1100876.63443,443.033458224,2.72848410532e-12,0
0.00041,1100408.90938,454.039885943,2.72848410532e-12,0
0.00042,1099931.85638,465.041589772,2.72848410532e-12,0
0.00043,1099445.50255,476.038476566,2.72848410532e-12,0
