time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0,99617.7867343,99617.7879194,1993.0047002,1993.00612071,977.201352993,977.201366883,-50847.1693677,-50847.1689972,-1016.35517528,-1016.35447306,-1992.35575839,-1992.35573469,-48860.0683442,-48860.0676497,-978.460305694,-978.45963125,1016.94337994,1016.94338735,1111692.08988,1111900.36162,0,0,0
1e-05,99621.3865001,99621.3876558,1993.07184195,1993.07326191,983.752182022,983.752195149,-50523.2489317,-50523.2485974,-1009.87195623,-1009.87125784,-1992.42775312,-1992.42773,-49187.6097574,-49187.6091011,-985.010882581,-985.010202788,1010.46497195,1010.46497863,1111613.49047,1111821.74895,11.1165279018,11.1186105528,1.5916157281e-12
2e-05,99623.5704255,99623.5715519,1993.11065775,1993.11207713,990.289029755,990.289042119,-50198.6104484,-50198.6101503,-1003.37438467,-1003.37369011,-1992.47143104,-1992.47140851,-49514.4521059,-49514.4514877,-991.547460284,-991.546775151,1003.97220301,1003.97220897,1111524.92615,1111733.17135,22.2322199849,22.2363851543,1.5916157281e-12
3e-05,99624.3384794,99624.3395764,1993.12114702,1993.12256582,996.811803288,996.811814889,-49873.2585318,-49873.2582699,-996.862552934,-996.861862214,-1992.48679153,-1992.48676959,-49840.5907444,-49840.5901644,-998.069945902,-998.069255439,997.465165397,997.465170636,1111426.40196,1111634.63386,33.3469766255,33.3532241804,1.5916157281e-12
4e-05,99623.690651,99623.6917186,1993.10330964,1993.10472783,1003.32040992,1003.32042076,-49547.1978058,-49547.19758,-990.336553576,-990.335866709,-1992.47383437,-1992.47381302,-50166.0210378,-50166.020496,-1004.57824674,-1004.57755095,990.943951601,990.943956115,1111317.92348,1111526.14214,44.4606982527,44.4690280604,1.5916157281e-12
5e-05,99621.6269494,99621.6279876,1993.05714584,1993.0585634,1009.81475715,1009.81476722,-49220.4329044,-49220.4327149,-983.796479344,-983.795796339,-1992.43255975,-1992.43253899,-50490.738361,-50490.7378574,-1011.07227029,-1011.0715692,984.408654297,984.408658088,1111199.49689,1111407.7023,55.5732853546,55.5836972826,1.81898940355e-12
6e-05,99618.147404,99618.1484127,1992.98265629,1992.9840732,1016.29475267,1016.29476198,-48892.9684717,-48892.9683184,-977.242423186,-977.241744054,-1992.36296825,-1992.36294808,-50814.7380991,-50814.7376336,-1017.55192427,-1017.55121788,977.859366368,977.859369435,1111071.12891,1111279.3211,66.6846384836,66.6971323996,1.81898940355e-12
7e-05,99613.2520642,99613.2530435,1992.87984205,1992.88125829,1022.7603044,1022.76031294,-48564.8091617,-48564.8090446,-970.67447825,-970.673803,-1992.26506087,-1992.26504128,-51138.0156472,-51138.0152199,-1024.01711659,-1024.0164049,971.296180893,971.296183235,1110932.82685,1111141.00584,77.7946582624,77.8092340342,2.50111042988e-12
8e-05,99606.9409996,99606.9419494,1992.74870457,1992.75012012,1029.21132044,1029.21132822,-48235.9596383,-48235.9595574,-964.092737882,-964.092066523,-1992.13883899,-1992.13881999,-51460.566411,-51460.5660219,-1030.46775535,-1030.46703839,964.719191148,964.719192767,1110784.59856,1110992.76437,88.9032453894,88.9199028853,2.50111042988e-12
9e-05,99599.2142999,99599.2152202,1992.58924572,1992.59066056,1035.64770911,1035.64771612,-47906.4245752,-47906.4245305,-957.497295621,-957.496628163,-1991.9843044,-1991.984286,-51782.3858062,-51782.3854553,-1036.90374889,-1036.90302665,958.128490609,958.128491503,1110626.45248,1110834.60513,100.010300645,100.029039733,2.72848410532e-12
0.0001,99590.0720749,99590.0729657,1992.40146777,1992.40288187,1042.06937893,1042.06938518,-47576.2086557,-47576.2086472,-950.888245205,-950.887581658,-1991.80145931,-1991.8014415,-52103.469259,-52103.4689463,-1043.32500573,-1043.32427823,951.524172943,951.524173113,1110458.39759,1110666.5371,111.115724895,111.136545444,2.72848410532e-12
0.00011,99579.5144545,99579.5153158,1992.18537338,1992.18678674,1048.47623864,1048.47624412,-47245.3166006,-47245.3165729,-944.265680562,-944.265020934,-1991.59030632,-1991.59028909,-52423.8122062,-52423.8119318,-1049.73143461,-1049.73070187,944.906331458,944.906332012,1110280.44344,1110488.56985,122.2194191,122.242320979,2.72848410532e-12
0.00012,99567.5415888,99567.5424206,1991.94096563,1991.94237821,1054.86819718,1054.8682019,-46913.7530936,-46913.7530296,-937.629695813,-937.629040115,-1991.35084841,-1991.35083178,-52743.4100951,-52743.4098588,-1056.12294448,-1056.1222065,938.275060593,938.275061871,1110092.60016,1110300.71348,133.321284318,133.346267395,2.72848410532e-12
0.00013,99554.1536479,99554.1544502,1991.66824799,1991.66965978,1061.24516371,1061.24516767,-46581.5228382,-46581.5227381,-930.980385271,-930.979733511,-1991.083089,-1991.08307296,-53062.2583833,-53062.2581853,-1062.49944451,-1062.4987013,931.630454762,931.630456764,1109894.87843,1110102.97867,144.421221711,144.448285856,2.72848410532e-12
0.00014,99539.3508222,99539.3515949,1991.36722434,1991.36863531,1067.60704759,1067.60705079,-46248.6305563,-46248.63042,-924.317843437,-924.317195625,-1990.7870319,-1990.78701644,-53380.3525394,-53380.3523796,-1068.86084407,-1068.86009564,924.9726084,924.972611127,1109687.28947,1109895.37668,155.51913255,155.548277633,2.72848410532e-12
0.00015,99523.1333219,99523.1340651,1991.03789894,1991.03930909,1073.95375842,1073.95376085,-45915.080979,-45915.0808065,-917.642165001,-917.641521146,-1990.4626813,-1990.46266644,-53697.6880425,-53697.6879209,-1075.20705275,-1075.20629912,918.30161613,918.301619581,1109469.8451,1109677.9193,166.614918223,166.646144113,2.72848410532e-12
0.00016,99505.5013776,99505.5020913,1990.6802765,1990.68168579,1080.28520598,1080.28520765,-45580.8788468,-45580.8786381,-910.953444838,-910.952804949,-1990.11004183,-1990.11002755,-54014.2603825,-54014.2602992,-1081.53798036,-1081.53722153,911.617572762,911.617576936,1109242.55768,1109450.61888,177.708480237,177.741786804,2.72848410532e-12
0.00017,99486.4552399,99486.455924,1990.29436208,1990.2957705,1086.60130031,1086.60130121,-45246.0289094,-45246.0286645,-904.25177801,-904.251142096,-1989.72911848,-1989.7291048,-54330.0650604,-54330.0650153,-1087.85353692,-1087.85277291,904.920573289,904.920578188,1109005.44012,1109213.48837,188.799720226,188.83510734,2.72848410532e-12
0.00018,99465.9951795,99465.995834,1989.88016117,1989.8815687,1092.90195162,1092.90195176,-44910.5359258,-44910.5356446,-897.537259763,-897.536627834,-1989.31991668,-1989.31990359,-54645.0975879,-54645.097581,-1094.15363268,-1094.15286349,898.210712893,898.210718515,1108758.5059,1108966.54122,199.888539956,199.926007488,2.72848410532e-12
