time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0,99617.7867343,1993.0047002,977.201366883,-50847.1693677,-1016.35447306,-1992.35573469,-48860.0683442,-978.45963125,1016.94338735
1e-05,99621.3865001,1993.07184195,983.752195149,-50523.2489317,-1009.87125784,-1992.42773,-49187.6097574,-985.010202788,1010.46497863
2e-05,99623.5704255,1993.11065775,990.289042119,-50198.6104484,-1003.37369011,-1992.47140851,-49514.4521059,-991.546775151,1003.97220897
3e-05,99624.3384794,1993.12114702,996.811814889,-49873.2585318,-996.861862214,-1992.48676959,-49840.5907444,-998.069255439,997.465170636
4e-05,99623.690651,1993.10330964,1003.32042076,-49547.1978058,-990.335866709,-1992.47381302,-50166.0210378,-1004.57755095,990.943956115
5e-05,99621.6269494,1993.05714584,1009.81476722,-49220.4329044,-983.795796339,-1992.43253899,-50490.738361,-1011.0715692,984.408658088
6e-05,99618.147404,1992.98265629,1016.29476198,-48892.9684717,-977.241744054,-1992.36294808,-50814.7380991,-1017.55121788,977.859369435
7e-05,99613.2520642,1992.87984205,1022.76031294,-48564.8091617,-970.673803,-1992.26504128,-51138.0156472,-1024.0164049,971.296183235
8e-05,99606.9409996,1992.74870457,1029.21132822,-48235.9596383,-964.092066523,-1992.13881999,-51460.566411,-1030.46703839,964.719192767
9e-05,99599.2142999,1992.58924572,1035.64771612,-47906.4245752,-957.496628163,-1991.984286,-51782.3858062,-1036.90302665,958.128491503
0.0001,99590.0720749,1992.40146777,1042.06938518,-47576.2086557,-950.887581658,-1991.8014415,-52103.469259,-1043.32427823,951.524173113
0.00011,99579.5144545,1992.18537338,1048.47624412,-47245.3165729,-944.265020934,-1991.59028909,-52423.8122062,-1049.73070187,944.906331458
0.00012,99567.5415888,1991.94096563,1054.8682019,-46913.7530296,-937.629040115,-1991.35083178,-52743.4100951,-1056.1222065,938.275060593
0.00013,99554.1536479,1991.66824799,1061.24516767,-46581.5227381,-930.979733511,-1991.08307296,-53062.2583833,-1062.4987013,931.630454762
0.00014,99539.3508222,1991.36722434,1067.60705079,-46248.63042,-924.317195625,-1990.78701644,-53380.3525394,-1068.86009564,924.9726084
0.00015,99523.1333219,1991.03789894,1073.95376085,-45915.0808065,-917.641521146,-1990.46266644,-53697.6880425,-1075.20629912,918.30161613
0.00016,99505.5013776,1990.6802765,1080.28520765,-45580.8786381,-910.952804949,-1990.11002755,-54014.2603825,-1081.53722153,911.617572762
0.00017,99486.4552399,1990.29436208,1086.60130121,-45246.0286645,-904.251142096,-1989.7291048,-54330.0650604,-1087.85277291,904.920573289
0.00018,99465.9951795,1989.88016117,1092.90195176,-44910.5356446,-897.536627834,-1989.31990359,-54645.0975879,-1094.15286349,898.210712893
0.00019,99444.1214871,1989.43767966,1099.18706975,-44574.4043467,-890.809357588,-1988.88242974,-54959.3534875,-1100.43740373,891.488086934
0.0002,99420.8344736,1988.96692383,1105.45656586,-44237.6395478,-884.069426971,-1988.41668947,-55272.828293,-1106.70630433,884.752790956
0.00021,99396.13447,1988.46790039,1111.71035099,-43900.2460341,-877.316931769,-1987.9226894,-55585.5175493,-1112.95947618,878.004920682
0.00022,99370.0218273,1987.94061641,1117.94833625,-43562.2286008,-870.551967953,-1987.40043655,-55897.4168124,-1119.19683041,871.244572015
0.00023,99342.4969166,1987.3850794,1124.17043299,-43223.5920517,-863.774631665,-1986.84993833,-56208.5216495,-1125.41827837,864.471841034
0.00024,99313.5601291,1986.80129724,1130.37655278,-42884.3411997,-856.985019229,-1986.27120258,-56518.827639,-1131.62373165,857.686823995
0.00025,99283.2118762,1986.18927825,1136.56660742,-42544.4808664,-850.183227138,-1985.66423752,-56828.3303709,-1137.81310206,850.889617327
0.00026,99251.452589,1985.5490311,1142.74050893,-42204.0158818,-843.369352062,-1985.02905178,-57137.0254464,-1143.98630162,844.080317635
0.00027,99218.282719,1984.88056491,1148.89816957,-41862.9510846,-836.54349084,-1984.36565438,-57444.9084783,-1150.1432426,837.259021693
0.00028,99183.7027376,1984.18388917,1155.03950182,-41521.2913223,-829.705740484,-1983.67405475,-57751.975091,-1156.2838375,830.425826447
