node_index,voltage_real,voltage_imaginary,voltage_magnitude,voltage_angle_deg
1,281700,-8.09709743106e-11,281700,-1.6468921161e-14
2,288127.452058,-19888.193707,288813.034468,-3.94861704908
3,-140850,-243959.356246,281700,-120
4,-135841.527213,-263670.469203,296605.861111,-117.257266372
5,-140850,243959.356246,281700,120
6,-115809.248369,203085.455985,233785.124507,119.693900772
7,3169.11446036,-145464.744295,145499.261576,-88.751943883
8,4338.99676926,-159616.385793,159675.350341,-88.4428604179
9,-4709.81083678,-165817.639792,165884.513998,-91.6269665268
10,-2845.17400423,-180511.752244,180534.173256,-90.9030047237
11,1653.30286091,-162131.321957,162139.751356,-89.415757598
12,3058.53418028,-175963.670423,175990.24956,-89.0042066365
13,294460.988745,-39714.1308663,297127.053772,-7.681166396
14,-130738.844959,-283229.864115,311948.395584,-114.778037155
15,-90704.0836752,162158.34077,185802.471126,119.220686735
16,5540.87214076,-173668.221308,173756.589389,-88.1726021482
17,-944.734493995,-195080.211683,195082.49925,-90.2774698451
18,4496.64062705,-189671.697731,189724.992283,-88.6419150506
19,300703.660689,-59458.3293399,306525.666919,-11.1848546663
20,-125538.947528,-302618.329703,327624.603501,-112.530751857
21,-65539.3657801,121207.307106,137791.943751,118.401031218
22,6779.0600959,-187605.087117,187727.526931,-87.9305325952
23,995.234167743,-209505.809614,209508.173475,-89.7278247862
24,5971.44370675,-203238.838086,203326.543881,-88.3170533553
25,-43736.9690379,80780.0148192,91860.4009072,118.432578329
26,306859.592865,-79107.5456219,316892.432077,-14.4559337201
27,-120376.811396,-322758.605426,344475.970278,-110.453622185
28,6702.18587611,-217178.089901,217281.481099,-88.2323947606
29,8137.58112354,-202026.286931,202190.110632,-87.6933836247
30,1857.25441188,-222959.214488,222966.949836,-89.5227361276
31,-21878.5957388,40379.7715806,45926.0155511,118.449751227
32,312924.742548,-98643.7327002,328104.374399,-17.496492635
33,-115108.591617,-342700.637819,361515.857225,-108.566516026
34,7473.63724367,-230974.091465,231094.972212,-88.1467249362
35,9534.64297637,-216286.170567,216496.228594,-87.4758380002
36,2760.77462208,-236242.566394,236258.697307,-89.3304613293
37,33.8577189535,35.518239033,49.0702602066,46.3711180788
38,318902.127691,-118047.508147,340049.674644,-20.3129628251
39,-109730.98119,-362425.030884,378672.406236,-106.844673367
40,8290.83284402,-244612.062973,244752.526567,-88.0587713173
41,10974.8074993,-230367.986512,230629.260089,-87.2724722265
42,3710.43608297,-249339.820858,249367.426905,-89.1474420871
43,-110038.574249,-363009.065218,379320.536292,-106.863577844
44,-105.368368784,-188.512042248,215.961300266,-119.202906341
45,319100.23882,-118429.881109,340368.32866,-20.3617494914
46,3566.93519376,-249767.000611,249792.469104,-89.1818116888
47,8154.76589048,-245105.437595,245241.056402,-88.094447066
48,10846.1526423,-230845.045424,231099.705806,-87.3099613705
49,-110223.27333,-363359.625846,379709.609673,-106.874904103
50,-189.009011932,-323.018194906,374.252803372,-120.333364895
51,319219.057777,-118659.424818,340559.636402,-20.3909993665
52,3480.73628141,-250023.416442,250047.644049,-89.202400244
53,8073.02094409,-245401.601464,245534.355373,-88.1158098703
54,10768.8580301,-231131.417065,231382.151987,-87.3324084036
55,-110284.863572,-363476.502729,379839.333363,-106.878676791
56,-216.906731251,-367.868245437,427.054535233,-120.524943648
57,319258.656137,-118735.95938,340623.424868,-20.4007456411
58,3451.98690836,-250108.906384,250132.7273,-89.2092575742
59,8045.75515968,-245500.345941,245632.151872,-88.1229237174
60,10743.0762032,-231226.896999,231476.3305,-87.3398830278
61,319258.656137,-118735.95938,340623.424868,-20.4007456411
62,-110284.863572,-363476.502729,379839.333363,-106.878676791
63,-216.906731251,-367.868245437,427.054535233,-120.524943648
64,10743.0762032,-231226.896999,231476.3305,-87.3398830278
65,3451.98690836,-250108.906384,250132.7273,-89.2092575742
66,8045.75515968,-245500.345941,245632.151872,-88.1229237174
67,281700,-8.09709743106e-11,281700,-1.6468921161e-14
68,-140850,-243959.356246,281700,-120
69,-140850,243959.356246,281700,120
70,319258.656137,-118735.95938,340623.424868,-20.4007456411
71,-110284.863572,-363476.502729,379839.333363,-106.878676791
72,-216.906731251,-367.868245437,427.054535233,-120.524943648
