time_s,B26  A_v_pu,EQUL A_v_pu,B26  B_v_pu,EQUL B_v_pu,B26  C_v_pu,EQUL C_v_pu,FAULTA_v_pu,LINE A_v_pu,EQUR A_v_pu,LINE B_v_pu,EQUR B_v_pu,LINE C_v_pu,EQUR C_v_pu,B500 A_v_pu,B500 B_v_pu,B500 C_v_pu,SEND A_v_pu,REC  A_v_pu,SEND B_v_pu,REC  B_v_pu,SEND C_v_pu,REC  C_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_current_switch_fixed_4_pu
0,17592.3293444,18863,-7466.46496836,-9431.5,-10125.864376,-9431.49999999,13.3223984991,283764.665676,329333.006577,31015.1341828,-1.86402890971e-10,-332278.197956,-329333.006577,237949.52312,22524.7026347,-347952.267863,237949.52312,13.3223984991,22524.7026347,-92300.1914326,-347952.267863,-473674.867735,265056.615575,26746.832045,-335536.239175,237949.52312,22524.7026347,-347952.267863,237949.52312,22524.7026347,-347952.267863,13.3223984991,-92300.1914326,-473674.867735,1332.23984991
6.66e-05,17637.7928764,18857.0547701,-7074.2844621,-9018.41667214,-10563.5084143,-9838.638098,13.7528508862,280005.135991,324455.735914,40973.1824265,9546.94333665,-337992.443209,-334002.679251,234962.170301,32771.8094909,-353725.55083,234962.170301,13.7528508862,32771.8094909,-81002.0184706,-353725.55083,-478918.815773,261542.086803,36707.5307322,-341239.327323,234962.170301,32771.8094909,-353725.55083,234962.170301,32771.8094909,-353725.55083,13.7528508862,-81002.0184706,-478918.815773,1375.28508862
0.0001332,17672.2430211,18839.2228282,-6677.68368098,-8599.64850517,-10994.5593402,-10239.574323,14.1747962983,276070.55232,319373.941695,50904.3223327,19087.8686727,-343497.844263,-338461.810368,231827.203046,42996.5050773,-359281.395636,231827.203046,14.1747962983,42996.5050773,-69653.5248403,-359281.395636,-483865.969015,257863.786945,46644.3637825,-346731.101176,231827.203046,42996.5050773,-359281.395636,231827.203046,42996.5050773,-359281.395636,14.1747962983,-69653.5248403,-483865.969015,1417.47962983
0.0001998,17695.553276,18809.5154147,-6276.87347862,-8175.45947332,-11418.6797974,-10634.0559414,14.5878065015,271962.005034,314090.827273,60803.4502614,28616.7618011,-348786.64495,-342707.589074,228546.134036,53194.1348406,-364610.729813,228546.134036,14.5878065015,53194.1348406,-58261.1244915,-364610.729813,-488508.113043,254022.955929,56551.8136301,-352004.292819,228546.134036,53194.1348406,-364610.729813,228546.134036,53194.1348406,-364610.729813,14.5878065015,-58261.1244915,-488508.113043,1458.78065015
0.0002664,17707.708948,18767.951256,-5872.10651148,-7746.11696793,-11835.6024365,-11021.834288,14.9916211512,267682.066247,308609.722906,70664.3075767,38127.6160994,-353855.529919,-346737.339005,225121.027,63358.2659695,-369710.198536,225121.027,14.9916211512,63358.2659695,-46831.998725,-369710.198536,-492842.32164,250022.012616,66423.6326835,-357055.580534,225121.027,63358.2659695,-369710.198536,225121.027,63358.2659695,-369710.198536,14.9916211512,-46831.998725,-492842.32164,1499.16211512
0.000333,17708.7023757,18714.5565523,-5463.63793014,-7311.89162886,-12245.0644456,-11402.6649235,15.3859856993,263233.420876,302934.083657,80480.6645786,47614.4363159,-358701.317638,-350548.519973,221554.037065,73482.4873728,-374576.591275,221554.037065,15.3859856993,73482.4873728,-35373.3519919,-374576.591275,-496865.862699,245863.477094,76253.5961138,-361881.782181,221554.037065,73482.4873728,-374576.591275,221554.037065,73482.4873728,-374576.591275,15.3859856993,-35373.3519919,-496865.862699,1538.59856993
0.0003996,17698.5329338,18649.3649616,-5051.72521845,-6873.05717391,-12646.8077154,-11776.3077877,15.7706515545,258618.863692,297067.487215,90246.323173,57071.2423492,-363320.963664,-354138.729565,217847.409316,83560.4136412,-379206.8439,217847.409316,15.7706515545,83560.4136412,-23892.407352,-379206.8439,-500576.199945,241549.969054,86035.5057392,-366479.857243,217847.409316,83560.4136412,-379206.8439,217847.409316,83560.4136412,-379206.8439,15.7706515545,-23892.407352,-500576.199945,1577.06515545
0.0004662,17677.2070335,18572.417578,-4636.62803127,-6429.89022627,-13040.5790022,-12142.5273517,16.1453762394,253841.296632,291013.631643,99955.1198507,66492.0730178,-367711.563481,-357505.704661,214003.477312,93585.6890042,-383598.040678,214003.477312,16.1453762394,93585.6890042,-12396.4019206,-383598.040678,-503970.994533,237084.206099,95763.1938972,-370846.908777,214003.477312,93585.6890042,-383598.040678,214003.477312,93585.6890042,-383598.040678,16.1453762394,-12396.4019206,-503970.994533,1614.53762394
0.0005328,17644.692094,18483.7629058,-4218.5881508,-5982.67014019,-13426.1039432,-12501.0927656,16.5099235428,248903.351475,284776.333042,109599.919341,75870.989817,-371868.970659,-360647.322859,210023.373124,103551.868774,-387746.005238,210023.373124,16.5099235428,103551.868774,-892.582307199,-387746.005238,-507048.106526,232467.977909,105430.429955,-374979.063833,210023.373124,103551.868774,-387746.005238,210023.373124,103551.868774,-387746.005238,16.5099235428,-892.582307199,-507048.106526,1650.99235428
0.0005994,17601.106547,18383.4568294,-3797.91256651,-5531.6788248,-13803.1939805,-12851.7780046,16.8640636692,243809.113363,278359.523147,119176.619867,85202.0806634,-375793.526917,-363561.603811,205912.367074,113452.883521,-391651.103929,205912.367074,16.8640636692,113452.883521,10611.7999534,-391651.103929,-509805.596238,227706.390607,115031.289682,-378876.086899,205912.367074,113452.883521,-391651.103929,205912.367074,113452.883521,-391651.103929,16.8640636692,10611.7999534,-509805.596238,1686.40636692
0.000666,17546.4249995,18271.5625776,-3374.84841282,-5077.20056649,-14171.5765867,-13194.3620111,17.207551593,238561.172806,271767.246853,128678.216009,94479.463621,-379481.177889,-366246.710474,201671.663794,123282.160426,-395309.162621,201671.663794,17.207551593,123282.160426,22109.7321886,-395309.162621,-512240.582062,222801.342851,124559.459312,-382534.159774,201671.663794,123282.160426,-395309.162621,201671.663794,123282.160426,-395309.162621,17.207551593,22109.7321886,-512240.582062,1720.7551593
0.0007326,17480.6811415,18148.1506839,-2949.68032746,-4619.52184968,-14531.0008141,-13528.6288342,17.5401129369,233166.653898,265003.65966,138102.532194,103697.290609,-382925.785087,-368700.950269,197304.686714,133033.233967,-398717.082756,197304.686714,17.5401129369,133033.233967,33594.5784022,-398717.082756,-514348.469803,217756.407169,134008.576237,-385950.459657,197304.686714,133033.233967,-398717.082756,197304.686714,133033.233967,-398717.082756,17.5401129369,33594.5784022,-514348.469803,1754.01129369
0.0007992,17403.9211314,18013.2989421,-2522.62467478,-4158.93117621,-14881.2964566,-13854.3677659,17.8617214342,227619.904192,258073.025054,147434.572743,112849.751088,-386134.232052,-370922.776142,192812.111159,142700.847804,-401875.063449,192812.111159,17.8617214342,142700.847804,45057.0969991,-401875.063449,-516137.56361,212573.442371,143373.770307,-389124.374214,192812.111159,142700.847804,-401875.063449,192812.111159,142700.847804,-401875.063449,17.8617214342,45057.0969991,-516137.56361,1786.17214342
0.0008658,17316.1900221,17867.0923572,-2093.97844382,-3695.71888351,-15222.2115782,-14171.3734737,18.1720705276,221930.089048,250979.711822,156674.122113,121931.075723,-389098.829234,-372910.787546,188198.097668,152278.636231,-404779.593504,188198.097668,18.1720705276,152278.636231,56491.2198884,-404779.593504,-517601.305033,207256.526807,152648.653791,-392052.936121,188198.097668,152278.636231,-404779.593504,188198.097668,152278.636231,-404779.593504,18.1720705276,56491.2198884,-517601.305033,1817.20705276
0.0009324,17217.5431364,17709.6230919,-1664.01185935,-3230.17696156,-15553.531277,-14479.4461303,18.4709515971,216100.673554,243728.191299,165815.232722,130935.540021,-391817.831146,-374663.73132,183467.233307,161762.239,-407427.164652,183467.233307,18.4709515971,161762.239,67889.3648963,-407427.164652,-518739.145811,201809.845232,161828.212262,-394733.467117,183467.233307,161762.239,-407427.164652,183467.233307,161762.239,-407427.164652,18.4709515971,67889.3648963,-518739.145811,1847.09515971
