time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,THEV A_v_pu,THEV B_v_pu,THEV C_v_pu,saturated_transformer_internal_node_10_v_pu,saturated_transformer_internal_node_11_v_pu,saturated_transformer_internal_node_12_v_pu,saturated_transformer_internal_node_13_v_pu,saturated_transformer_internal_node_14_v_pu,saturated_transformer_internal_node_15_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu
0,281691.083178,281691.083178,-140845.541589,-140845.541589,-140845.541589,-140845.541589,281691,-140845.5,-140845.5,156.495046208,281691.083175,-140845.541587,-78.2475231041,-140845.541587,-78.2475231041,281691.083175,-140845.541587,-140845.541587,281691.083178,-140845.541589,-140845.541589,0,0,0,0,0,0
0.0001,281491.058732,281491.058732,-131548.552023,-131548.552023,-149941.332594,-149941.332594,281490.850838,-131550.846484,-149940.004354,156.383921516,281491.058729,-131548.551779,-73.0825287661,-149941.332696,-83.3007403866,281491.058729,-131548.551779,-149941.332696,281491.058732,-131548.552023,-149941.332594,0,0,0,-0.000466136570809,0.00317834155937,-0.00412557134764
0.0002,280890.740618,280890.740618,-122068.1738,-122068.1738,-158822.53475,-158822.53475,280890.687773,-122069.252016,-158821.435757,156.050411452,280890.740614,-122068.173621,-67.8156520115,-158822.534851,-88.2347415837,280890.740614,-122068.173621,-158822.534851,280890.740618,-122068.1738,-158822.53475,0,0,0,-0.000949239029346,0.000690258773743,-0.00482408570332
0.0003,279891.689641,279891.689641,-112413.865234,-112413.865234,-167476.472934,-167476.472934,279891.363672,-112414.190462,-167477.173209,155.495383132,279891.689638,-112413.865006,-62.4521472255,-167476.473034,-93.0424850188,279891.689638,-112413.865006,-167476.473034,279891.689641,-112413.865234,-167476.472934,0,0,0,-0.00142366655023,-0.00169807502394,-0.00544648790697
0.0004,278494.710781,278494.710781,-102599.895492,-102599.895492,-175892.955361,-175892.955361,278494.298627,-102599.382192,-175894.916434,154.719283765,278494.710777,-102599.895271,-56.9999418172,-175892.955463,-97.7183085905,278494.710777,-102599.895271,-175892.955463,278494.710781,-102599.895492,-175892.955361,0,0,0,-0.0018746421708,-0.00438056172768,-0.00604569016357
0.0005,276701.647766,276701.647766,-92639.2015014,-92639.2015014,-184061.259181,-184061.259181,276701.477945,-92638.7745864,-184062.703359,153.723137646,276701.647763,-92639.201287,-51.4662229372,-184061.259282,-102.256255156,276701.647763,-92639.201287,-184061.259282,276701.647766,-92639.2015014,-184061.259181,0,0,0,-0.00233014834114,-0.00685697450194,-0.00662117694218
0.0006,274515.373611,274515.373611,-82545.9751015,-82545.9751015,-191969.200981,-191969.200981,274515.449322,-82546.5222126,-191968.927109,152.508540893,274515.373608,-82545.9748941,-45.8588749412,-191969.20108,-106.649556156,274515.373608,-82545.9748941,-191969.20108,274515.373611,-82545.9751015,-191969.200981,0,0,0,-0.00280871742565,-0.00903051461279,-0.00734799064104
0.0007,271939.425346,271939.425346,-72335.3459968,-72335.3459968,-199603.663953,-199603.663953,271939.319225,-72336.9667139,-199602.352511,151.077458524,271939.425343,-72335.3458354,-40.1863032419,-199603.664033,-110.890924463,271939.425343,-72335.3458354,-199603.664033,271939.425346,-72335.3459968,-199603.663953,0,0,0,-0.00329276499171,-0.0131474936442,-0.00734746387774
0.0008,268977.293144,268977.293144,-62022.380329,-62022.380329,-206953.04275,-206953.04275,268976.748474,-62024.6164273,-206952.132047,149.431829523,268977.293141,-62022.3801823,-34.456877879,-206953.042829,-114.973912683,268977.293141,-62022.3801823,-206953.042829,268977.293144,-62022.380329,-206953.04275,0,0,0,-0.00373470319229,-0.0164773330098,-0.00747063283185
0.0009,265632.619036,265632.619036,-51621.9475173,-51621.9475173,-214007.297983,-214007.297983,265631.947046,-51624.1257668,-214007.821279,147.573677241,265632.619033,-51621.9472595,-28.6788595886,-214007.298062,-118.892943368,265632.619033,-51621.9472595,-214007.298062,265632.619036,-51621.9475173,-214007.297983,0,0,0,-0.00414392705133,-0.0198639423973,-0.00749958404538
0.001,261909.630156,261909.630156,-41150.5029699,-41150.5029699,-220758.206184,-220758.206184,261909.668086,-41150.2743988,-220759.393688,145.505350085,261909.630153,-41150.502737,-22.8613904095,-220758.206262,-122.643447923,261909.630153,-41150.502737,-220758.206262,261909.630156,-41150.5029699,-220758.206184,0,0,0,-0.00457572784052,-0.0239106136688,-0.00741614277803
0.0011,257814.73866,257814.73866,-30619.5660245,-30619.5660245,-227196.3933,-227196.3933,257815.201157,-30617.9462391,-227197.254918,143.230410365,257814.738657,-30619.5658167,-17.0108698981,-227196.393378,-126.220218544,257814.738657,-30619.5658167,-227196.393378,257814.73866,-30619.5660245,-227196.3933,0,0,0,-0.00506133145134,-0.027221476657,-0.00731560619218
0.0012,253354.429379,253354.429379,-20042.6492836,-20042.6492836,-233312.312788,-233312.312788,253354.364719,-20042.1083025,-233312.256416,140.752460764,253354.429376,-20042.6491009,-11.1348050561,-233312.312897,-129.617951609,253354.429376,-20042.6491009,-233312.312897,253354.429379,-20042.6492836,-233312.312788,0,0,0,-0.00553167103984,-0.0296055073338,-0.00694030636012
0.0013,248534.367189,248534.367189,-9436.15320124,-9436.15320124,-239096.229937,-239096.229937,248533.497866,-9437.78943336,-239095.708432,138.074648436,248534.367186,-9436.15304374,-5.24230724652,-239096.230046,-132.831238914,248534.367186,-9436.15304374,-239096.230046,248534.367189,-9436.15320124,-239096.229937,0,0,0,-0.00591525541906,-0.0308658231792,-0.00657135255338
0.0014,243360.088834,243360.088834,1182.03837789,1182.03837789,-244540.195829,-244540.195829,243359.451312,1179.94105104,-244539.392364,135.200049351,243360.088831,1182.03851014,0.656688061197,-244540.195938,-135.85566441,243360.088831,1182.03851014,-244540.195938,243360.088834,1182.03837789,-244540.195829,0,0,0,-0.00625357352082,-0.0310352388277,-0.00622537746338
0.0015,237839.104718,237839.104718,11796.1589055,11796.1589055,-249636.267913,-249636.267913,237839.577663,11795.9947746,-249635.572437,132.132835953,237839.104715,11796.1590125,6.55342167362,-249636.268022,-138.686815568,237839.104715,11796.1590125,-249636.268022,237839.104718,11796.1589055,-249636.267913,0,0,0,-0.00665235322053,-0.030334802363,-0.00587866049395
0.0016,231980.748964,231980.748964,22393.2588988,22393.2588988,-254376.905709,-254376.905709,231981.720959,22395.2857442,-254377.006703,128.878193867,231980.748961,22393.2589806,12.4406994337,-254376.905818,-141.320503232,231980.748961,22393.2589806,-254376.905818,231980.748964,22393.2588988,-254376.905709,0,0,0,-0.00712699724714,-0.0289065214239,-0.00547714032169
0.0017,225793.863006,225793.863006,32960.4611067,32960.4611067,-258755.950052,-258755.950052,225794.205535,32962.7517873,-258756.957323,125.441034988,225793.862978,32960.4611634,18.311367313,-258755.95016,-143.753305645,225793.862978,32960.4611634,-258755.95016,225793.863006,32960.4611067,-258755.950052,0,0,0,-0.00744920937258,-0.026658842766,-0.00497343807771
