time_s,N1_v_pu,N2_v_pu,output_fixed_1_pu,output_fixed_2_pu,branch_voltage_branch_fixed_1_pu,branch_current_branch_fixed_1_pu
0,100,15.9867891065,100,15.9867891065,84.0132108935,1.59867891065
0.0001,99.9289472641,43.0930371756,99.9289472641,43.0930371756,56.8359100884,4.30930371756
0.0002,99.7158900261,61.9203696268,99.7158900261,61.9203696268,37.7955203993,6.19203696268
0.0003,99.361131052,74.9381432242,99.361131052,74.9381432242,24.4229878277,7.49381432242
0.0004,98.8651744738,83.8657790988,98.8651744738,83.8657790988,14.9993953749,8.38657790988
0.0005,98.2287250729,89.9006192107,98.2287250729,89.9006192107,8.32810586213,8.99006192107
0.0006,97.4526872786,93.8765713665,97.4526872786,93.8765713665,3.57611591212,9.38765713665
0.0007,96.5381638833,96.3745656066,96.5381638833,96.3745656066,0.163598276703,9.63745656066
0.0008,95.4864544747,97.79945912,95.4864544747,97.79945912,-2.31300464532,9.779945912
0.0009,94.2990535893,98.4335808229,94.2990535893,98.4335808229,-4.13452723364,9.84335808229
0.001,92.9776485888,98.4740111911,92.9776485888,98.4740111911,-5.49636260227,9.84740111911
