time_s,tick,midpoint_voltage_v,load_current_a,upper_gate_applied,lower_gate_applied,upper_forward_conducting,lower_forward_conducting,upper_freewheel_diode,lower_freewheel_diode,terminal_kcl_residual_a,semiconductor_loss_w,snubber_resistor_loss_w,dissipated_energy_j,stored_energy_j
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1e-06,1,398.865432675,0.198638163683,1,0,1,0,0,0,0,15.4266626809,3535.44268057,0.00177543467163,0.000441930335071
2e-06,2,398.949803707,0.594373734282,1,0,1,0,0,0,0,5.43075698145,393.32442109,0.00375024693229,0.00240650019484
3e-06,3,398.975359343,0.987010777759,1,0,1,0,0,0,0,2.68396318589,43.7530002692,0.00397284300305,0.00341132174681
4e-06,4,398.981304511,1.37653492687,1,0,1,0,0,0,-5.55111512313e-17,2.06368709772,4.86534780832,0.00399952600223,0.00378532404814
5e-06,5,398.980724767,1.76295796992,1,0,1,0,0,0,0,2.12386237287,0.5404672867,0.00400432268451,0.00391434892647
6e-06,6,398.977987611,2.14630029306,1,0,1,0,0,0,9.71445146547e-17,2.40887687022,0.0598525430945,0.00400688921405,0.00395781577979
7e-06,7,398.974550653,2.52658502093,1,0,1,0,0,0,1.80411241502e-16,2.76888236459,0.0065674962577,0.00400951130369,0.00397231715303
8e-06,8,398.970900247,2.90383606205,1,0,1,0,0,0,-1.47451495458e-17,3.15383259457,0.000701190713749,0.00401247629551,0.0039771098443
9e-06,9,398.967198569,3.27807745738,1,0,1,0,0,0,-1.08853898118e-16,3.5469112636,6.90753178591e-05,0.00401582705257,0.00397865929326
1e-05,10,344.620478215,3.62226990632,0,0,0,0,0,0,-2.22044604925e-16,0.121830165439,131.229352344,0.004083276134,0.00363512956768
1.1e-05,11,303.983894282,3.91641734357,0,0,0,0,0,0,2.22044604925e-16,0.10162530054,153.399538805,0.00422570230731,0.00302455307498
1.2e-05,12,1.17456047344,4.03718217288,0,1,0,1,0,0,0,20.6622449634,4619.41771117,0.00662249286743,0.00201295006352
1.3e-05,13,1.03168089054,4.0061121164,0,1,0,1,0,0,4.4408920985e-16,3.42763265666,514.634380416,0.00920156385203,0.00280937240701
1.4e-05,14,0.984196372239,3.97519482726,0,1,0,0,0,0,0,0.159213611545,57.3330956106,0.00948934101318,0.00353249936511
1.5e-05,15,-45.8538804526,3.92117450788,0,1,0,0,0,1,2.22044604925e-16,0.200888261067,153.717536192,0.00959504638002,0.00413514965681
1.6e-05,16,-0.855592591348,3.86666839973,0,1,0,0,0,1,0,4.91714613527,28.6622052621,0.00968879526794,0.00437152619975
1.7e-05,17,-0.843997145997,3.83501188373,0,1,0,0,0,1,0,3.87402247536,3.19342033442,0.00970911866504,0.00413200986548
1.8e-05,18,-0.839918543369,3.80361541668,0,1,0,0,0,1,0,3.5135051203,0.355849591097,0.0097145870638,0.00405489794223
1.9e-05,19,-0.83835055547,3.77247193273,0,1,0,0,0,1,0,3.37579233133,0.0396704126641,0.00971822947253,0.00402947167458
2e-05,20,-0.837622202844,3.74157774763,0,0,0,0,0,1,0,3.31199004156,0.00442823604764,0.00972159541304,0.0040210160377
2.1e-05,21,-0.837175737017,3.71093031641,0,0,0,0,0,1,0,3.27293294512,0.000496210707826,0.00972489033676,0.004018193547
2.2e-05,22,398.694822892,3.879497429,1,0,1,0,0,0,0,39.9899750435,7095.73169299,0.0132943878854,0.00222905161444
2.3e-05,23,398.868629644,4.24577805334,1,0,1,0,0,0,0,15.0219488128,790.473678296,0.0172649965329,0.0026045605525
2.4e-05,24,398.924230205,4.60925435364,1,0,1,0,0,0,2.22044604925e-16,8.31022626799,88.0502513074,0.0177159245853,0.0034322945018
2.5e-05,25,398.940395445,4.96987016837,1,0,1,0,0,0,1.66533453694e-16,6.47487928673,9.80469177745,0.0177722446096,0.00378677831175
2.6e-05,26,398.943417154,5.32762210558,1,0,1,0,0,0,2.77555756156e-16,6.13760234248,1.09074040566,0.0177839985665,0.00391376576397
2.7e-05,27,398.942070787,5.68252426407,1,0,1,0,0,0,4.02455846427e-16,6.28765546172,0.120995834124,0.0177908170635,0.00395707462329
2.8e-05,28,398.939285243,6.03459645919,1,0,1,0,0,0,3.46944695195e-16,6.59925645982,0.0133081466093,0.0177973276715,0.00397159124344
2.9e-05,29,398.936037971,6.38386029379,1,0,1,0,0,0,-1.87350135405e-16,6.96446692804,0.00142650204197,0.0178041169005,0.00397640205579
3e-05,30,298.667286394,6.68040489521,0,0,0,0,0,0,0,0.0994704668088,446.304461526,0.0180308018132,0.00336907079447
3.1e-05,31,228.722155056,6.88981872147,0,0,0,0,0,0,4.4408920985e-16,0.0816499243822,474.703935798,0.0184913965721,0.00247649216901
3.2e-05,32,1.10522110914,6.94937563214,0,1,0,1,0,0,0,11.78837614,3052.38903735,0.0202608780717,0.0020292430567
3.3e-05,33,0.9893677321,6.89504524306,0,1,0,0,0,0,-4.4408920985e-16,0.159209484663,340.05452713,0.0219630736467,0.0029897743811
3.4e-05,34,-71.9171084945,6.80478206345,0,1,0,0,0,1,4.4408920985e-16,0.227877827784,462.976578802,0.0223647827433,0.0040782451992
3.5e-05,35,-0.891808409758,6.71430127166,0,1,0,0,0,1,0,8.34826543288,60.8579590372,0.0226309880839,0.00454389307138
3.6e-05,36,-0.874829656373,6.65992106329,0,1,0,0,0,1,0,6.7070208862,6.78062407249,0.0226723350186,0.00418633463578
3.7e-05,37,-0.868804682318,6.60598561939,0,1,0,0,0,1,0,6.1384788149,0.755609282497,0.0226825258851,0.00407300715567
3.8e-05,38,-0.866438688123,6.55248411875,0,1,0,0,0,1,0,5.91719887949,0.0842458902835,0.0226889736516,0.00403584507107
3.9e-05,39,-0.865296811183,6.49941067184,0,1,0,0,0,1,0,5.81080523593,0.00940729367715,0.0226948844802,0.00402350887895
4e-05,40,-0.864566326584,6.44676105337,0,0,0,0,0,1,0,5.74287958009,0.00105523631155,0.0227006665539,0.00401939260304
4.1e-05,41,-0.863975942631,6.39453161157,0,0,0,0,0,1,0,5.6880594612,0.000119959393069,0.022706382611,0.00401801259704
4.2e-05,42,398.668212787,6.54168884816,1,0,1,0,0,0,0,44.3459330653,7095.10257735,0.0262789509559,0.00222915180474
4.3e-05,43,398.842223921,6.88673038956,1,0,1,0,0,0,0,18.4260121195,790.406108073,0.0302530912712,0.00260431200622
4.4e-05,44,398.898032506,7.22913704802,1,0,1,0,0,0,-2.22044604925e-16,11.3956060297,88.0435571159,0.0307072269129,0.00343187022626
4.5e-05,45,398.914405871,7.56885131376,1,0,1,0,0,0,1.11022302463e-16,9.45118114062,9.80422193586,0.030766574196,0.0037862915268
4.6e-05,46,398.917634631,7.90586845494,1,0,1,0,0,0,-3.33066907388e-16,9.07407753389,1.09077934444,0.030781284326,0.00391326023277
4.7e-05,47,398.916493861,8.2402012404,1,0,1,0,0,0,2.70616862252e-16,9.20707583466,0.1210303131,0.0307910308075,0.00395656553669
4.8e-05,48,398.913912338,8.57186816588,1,0,1,0,0,0,7.4593109467e-16,9.50900710831,0.0133218851557,0.0308004560251,0.00397108369675
4.9e-05,49,398.910867482,8.90088952502,1,0,1,0,0,0,-1.2490009027e-16,9.8668422937,0.00143122832289,0.0308101513263,0.00397589772635
5e-05,50,261.466616235,9.15883935138,0,0,0,0,0,0,8.881784197e-16,0.0875562898228,838.865901309,0.0312345621919,0.00317131061608
5.1e-05,51,167.768052065,9.29962283677,0,0,0,0,0,0,0,0.0820777969354,864.817859306,0.0320864888892,0.00218461097174
5.2e-05,52,1.04905257188,9.30959451967,0,1,0,1,0,0,0,5.30503452774,2020.50667185,0.033531844711,0.00216134846685
5.3e-05,53,0.955084019745,9.23641255965,0,1,0,0,0,0,0,0.15923684497,225.094783341,0.0346573775743,0.00314913953813
5.4e-05,54,-111.926743872,9.10755087598,0,1,0,0,0,1,8.881784197e-16,0.274596587085,829.361197929,0.0351848224816,0.00443890118328
5.5e-05,55,-0.933422869464,8.97877548715,0,1,0,0,0,1,-1.7763568394e-15,12.6147433763,190.437313707,0.0357011664074,0.00499078653231
5.6e-05,56,-0.903625396535,8.90631659469,0,1,0,0,0,1,0,9.52457772034,21.2175336787,0.0358180634916,0.0043213631366
5.7e-05,57,-0.893202903543,8.83445509379,0,1,0,0,0,1,0,8.48562576642,2.36425597136,0.0358388594882,0.00411676761491
5.8e-05,58,-0.889251146321,8.76317335298,0,1,0,0,0,1,0,8.09738060932,0.263549796315,0.0358484648943,0.00405056913284
5.9e-05,59,-0.887462948346,8.69246245271,0,1,0,0,0,1,0,7.92272335893,0.0294124750137,0.0358566214274,0.00402869812861
6e-05,60,-0.88640064096,8.62231640548,0,0,0,0,0,1,0,7.81926825886,0.00329370844696,0.0358645087763,0.00402141474728
6.1e-05,61,-0.885584332871,8.55273022647,0,0,0,0,0,1,0,7.73992368467,0.00037258159013,0.0358722902054,0.00401897728072
6.2e-05,62,398.646794056,8.68266923349,1,0,1,0,0,0,0,47.9549575909,7095.57820239,0.0394479269335,0.00222935729162
6.3e-05,63,398.820981832,9.0106299248,1,0,1,0,0,0,0,21.265625393,790.461118335,0.0434255568854,0.00260404449418
6.4e-05,64,398.876961811,9.33609200888,1,0,1,0,0,0,-6.66133814775e-16,13.9767613199,88.050355149,0.0438824338155,0.00343149429534
6.5e-05,65,398.893503921,9.65899688617,1,0,1,0,0,0,-4.4408920985e-16,11.9428654401,9.8052008964,0.0439443214069,0.00378588713265
6.6e-05,66,398.896899653,9.97933874543,1,0,1,0,0,0,-6.10622663544e-16,11.5321216388,1.09096172094,0.0439615069817,0.00391284924693
6.7e-05,67,398.895924378,10.2971292853,1,0,1,0,0,0,7.56339435526e-16,11.6498536621,0.12107484222,0.0439737039877,0.00395615465722
6.8e-05,68,398.893506983,10.6123859401,1,0,1,0,0,0,-4.68375338514e-16,11.9424939709,0.013334799679,0.0439855673663,0.00397067506004
6.9e-05,69,398.89062493,10.9251279505,1,0,1,0,0,0,6.73072708679e-16,12.2929113072,0.00143523869219,0.043997692454,0.00397549201339
7e-05,70,231.54918989,11.1520391893,0,0,0,0,0,0,8.881784197e-16,0.0819907027655,1243.69385436,0.0446257275498,0.00302345428907
7.1e-05,71,118.747704439,11.2376289639,0,0,0,0,0,0,-8.881784197e-16,0.0932038710678,1262.80652424,0.0458790653364,0.00204843009271
7.2e-05,72,1.00388086041,11.2077233473,0,1,0,1,0,0,0,0.548790051347,1344.53542152,0.0471830573062,0.00234479881461
7.3e-05,73,0.92751246468,11.1193806281,0,1,0,0,0,0,0,0.159258850308,149.786649548,0.0479305723662,0.00328593016946
7.4e-05,74,-144.103184721,10.95947736,0,1,0,0,0,1,0,0.316814003471,1200.95059713,0.048606179026,0.00474987113689
7.5e-05,75,-0.966889937615,10.799904794,0,1,0,0,0,1,0,16.2971945838,346.860916872,0.0493883917873,0.00537640747643
7.6e-05,76,-0.926783428633,10.7129067113,0,1,0,0,0,1,-1.7763568394e-15,11.9108203539,38.645154201,0.0495952488303,0.00443289051302
7.7e-05,77,-0.912824374825,10.6266287655,0,1,0,0,0,1,0,10.4596150342,4.30611078281,0.0496279096804,0.00415229213542
7.8e-05,78,-0.907597319543,10.5410478482,0,1,0,0,0,1,0,9.92623078227,0.479982431967,0.04964049565,0.00406244896795
7.9e-05,79,-0.90528933901,10.4561526031,0,1,0,0,0,1,0,9.69245666278,0.053556348718,0.0496505717631,0.00403287623411
8e-05,80,-0.903960174002,10.3719356254,0,0,0,0,0,1,0,9.5583096833,0.00599401558722,0.0496602269214,0.0040230417248
8.1e-05,81,-0.902962173816,10.2883908583,0,0,0,0,0,1,0,9.45781801406,0.000676905428972,0.0496697383207,0.00401975326327
8.2e-05,82,398.629568742,10.4044826675,1,0,1,0,0,0,0,50.9239630818,7095.96071984,0.0532479099097,0.00222952261453
8.3e-05,83,398.803898577,10.7187066439,1,0,1,0,0,0,8.881784197e-16,23.6147636352,790.505359928,0.0572284123129,0.00260382939934
8.4e-05,84,398.860016394,11.0305416084,1,0,1,0,0,0,6.66133814775e-16,16.1169909089,88.0558224352,0.0576875587814,0.00343119200101
8.5e-05,85,398.876694211,11.3399280849,1,0,1,0,0,0,-2.77555756156e-16,14.0101132278,9.80598822885,0.0577515532388,0.00378556194509
8.6e-05,86,398.880224224,11.6468593942,1,0,1,0,0,0,4.99600361081e-16,13.5713066538,1.09110840233,0.057770792497,0.00391251875704
8.7e-05,87,398.879382045,11.9513463743,1,0,1,0,0,0,4.99600361081e-16,13.6757694202,0.121110659249,0.0577850221446,0.00395582425215
