time_s,S1_v_pu,R1_v_pu,S2_v_pu,R2_v_pu,S3_v_pu,R3_v_pu,S4_v_pu,R4_v_pu,S5_v_pu,R5_v_pu,S6_v_pu,R6_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,output_fixed_11_pu,output_fixed_12_pu
0,104.999211311,100,-50,-50,-50,-50,100,100,-50,-50,-50,-50,104.999211311,-50,-50,100,-50,-50,100,-50,-50,100,-50,-50
5e-05,104.988229189,99.9822352381,-48.3587948575,-48.3587948575,-51.6234403806,-51.6234403806,99.9822352381,99.9822352381,-48.3587948575,-48.3587948575,-51.6234403806,-51.6234403806,104.988229189,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806
0.0001,104.939945248,99.9289472641,-46.7004080655,-46.7004080655,-53.2285391986,-53.2285391986,99.9289472641,99.9289472641,-46.7004080655,-46.7004080655,-53.2285391986,-53.2285391986,104.939945248,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986
0.00015,104.854376645,99.8401550109,-45.0254288408,-45.0254288408,-54.8147261701,-54.8147261701,99.8401550109,99.8401550109,-45.0254288408,-45.0254288408,-54.8147261701,-54.8147261701,104.854376645,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701
0.0002,104.731553781,99.7158900261,-43.3344522957,-43.3344522957,-56.3814377303,-56.3814377303,99.7158900261,99.7158900261,-43.3344522957,-43.3344522957,-56.3814377303,-56.3814377303,104.731553781,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303
0.00025,104.571520295,99.5561964603,-41.628079226,-41.628079226,-57.9281172343,-57.9281172343,99.5561964603,99.5561964603,-41.628079226,-41.628079226,-57.9281172343,-57.9281172343,104.571520295,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343
0.0003,104.374333045,99.361131052,-39.906915898,-39.906915898,-59.454215154,-59.454215154,99.361131052,99.361131052,-39.906915898,-39.906915898,-59.454215154,-59.454215154,104.374333045,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154
0.00035,104.140062092,99.130763107,-38.1715738328,-38.1715738328,-60.9591892741,-60.9591892741,99.130763107,99.130763107,-38.1715738328,-38.1715738328,-60.9591892741,-60.9591892741,104.140062092,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741
0.0004,103.868790671,98.8651744738,-36.4226695892,-36.4226695892,-62.4425048846,-62.4425048846,98.8651744738,98.8651744738,-36.4226695892,-36.4226695892,-62.4425048846,-62.4425048846,103.868790671,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846
0.00045,103.560615163,98.5644595149,-34.6608245445,-34.6608245445,-63.9036349704,-63.9036349704,98.5644595149,98.5644595149,-34.6608245445,-34.6608245445,-63.9036349704,-63.9036349704,103.560615163,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704
0.0005,103.215645061,98.2287250729,-32.8866646739,-32.8866646739,-65.342060399,-65.342060399,98.2287250729,98.2287250729,-32.8866646739,-32.8866646739,-65.342060399,-65.342060399,103.215645061,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399
0.00055,102.834002932,97.8580904325,-31.1008203279,-31.1008203279,-66.7572701047,-66.7572701047,97.8580904325,97.8580904325,-31.1008203279,-31.1008203279,-66.7572701047,-66.7572701047,102.834002932,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047
0.0006,102.415824372,97.4526872787,-29.3039260085,-29.3039260085,-68.1487612701,-68.1487612701,97.4526872787,97.4526872787,-29.3039260085,-29.3039260085,-68.1487612701,-68.1487612701,102.415824372,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701
0.00065,101.961257957,97.012659649,-27.4966201438,-27.4966201438,-69.5160395052,-69.5160395052,97.012659649,97.012659649,-27.4966201438,-27.4966201438,-69.5160395052,-69.5160395052,101.961257957,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052
0.0007,101.470465193,96.5381638833,-25.6795448608,-25.6795448608,-70.8586190225,-70.8586190225,96.5381638833,96.5381638833,-25.6795448608,-25.6795448608,-70.8586190225,-70.8586190225,101.470465193,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225
0.00075,100.943620455,96.0293685677,-23.8533457579,-23.8533457579,-72.1760228098,-72.1760228098,96.0293685677,96.0293685677,-23.8533457579,-23.8533457579,-72.1760228098,-72.1760228098,100.943620455,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098
0.0008,100.38091093,95.4864544747,-22.0186716747,-22.0186716747,-73.4677827999,-73.4677827999,95.4864544747,95.4864544747,-22.0186716747,-22.0186716747,-73.4677827999,-73.4677827999,100.38091093,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999
0.00085,99.7825365446,94.909614499,-20.1761744624,-20.1761744624,-74.7334400366,-74.7334400366,94.909614499,94.909614499,-20.1761744624,-20.1761744624,-74.7334400366,-74.7334400366,99.7825365446,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366
0.0009,99.1487098996,94.2990535893,-18.3265087514,-18.3265087514,-75.9725448379,-75.9725448379,94.2990535893,94.2990535893,-18.3265087514,-18.3265087514,-75.9725448379,-75.9725448379,99.1487098996,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379
0.00095,98.47965619,93.6549886748,-16.470331719,-16.470331719,-77.1846569558,-77.1846569558,93.6549886748,93.6549886748,-16.470331719,-16.470331719,-77.1846569558,-77.1846569558,98.47965619,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558
0.001,97.7756131274,92.9776485888,-14.6083028563,-14.6083028563,-78.3693457326,-78.3693457326,92.9776485888,92.9776485888,-14.6083028563,-14.6083028563,-78.3693457326,-78.3693457326,97.7756131274,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326
0.00105,97.0368308551,92.267273987,-12.741083733,-12.741083733,-79.526190254,-79.526190254,92.267273987,92.267273987,-12.741083733,-12.741083733,-79.526190254,-79.526190254,97.0368308551,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254
0.0011,96.2635718589,91.5241172621,-10.8693377634,-10.8693377634,-80.6547794987,-80.6547794987,91.5241172621,91.5241172621,-10.8693377634,-10.8693377634,-80.6547794987,-80.6547794987,96.2635718589,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987
0.00115,95.4561108739,90.7484424541,-8.99372996987,-8.99372996987,-81.7547124842,-81.7547124842,90.7484424541,90.7484424541,-8.99372996987,-8.99372996987,-81.7547124842,-81.7547124842,95.4561108739,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842
0.0012,94.6147347873,89.9405251566,-7.11492674688,-7.11492674688,-82.8255984098,-82.8255984098,89.9405251566,89.9405251566,-7.11492674688,-7.11492674688,-82.8255984098,-82.8255984098,94.6147347873,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098
0.00125,93.7397425359,89.1006524188,-5.2335956243,-5.2335956243,-83.8670567945,-83.8670567945,89.1006524188,89.1006524188,-5.2335956243,-5.2335956243,-83.8670567945,-83.8670567945,93.7397425359,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945
0.0013,92.8314450003,88.2291226435,-3.35040503011,-3.35040503011,-84.8787176134,-84.8787176134,88.2291226435,88.2291226435,-3.35040503011,-3.35040503011,-84.8787176134,-84.8787176134,92.8314450003,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134
0.00135,91.8901648944,87.326245481,-1.46602405297,-1.46602405297,-85.860221428,-85.860221428,87.326245481,87.326245481,-1.46602405297,-1.46602405297,-85.860221428,-85.860221428,91.8901648944,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428
0.0014,90.9162366504,86.3923417193,0.418877795539,0.418877795539,-86.8112195148,-86.8112195148,86.3923417193,86.3923417193,0.418877795539,0.418877795539,-86.8112195148,-86.8112195148,90.9162366504,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148
0.00145,89.9100063005,85.4277431699,2.30363081875,2.30363081875,-87.7313739887,-87.7313739887,85.4277431699,85.4277431699,2.30363081875,2.30363081875,-87.7313739887,-87.7313739887,89.9100063005,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887
0.0015,88.8718313534,84.4327925502,4.18756537291,4.18756537291,-88.6203579231,-88.6203579231,84.4327925502,84.4327925502,4.18756537291,4.18756537291,-88.6203579231,-88.6203579231,88.8718313534,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231
0.00155,87.8020806679,83.4078433613,6.07001210503,6.07001210503,-89.4778554664,-89.4778554664,83.4078433613,83.4078433613,6.07001210503,6.07001210503,-89.4778554664,-89.4778554664,87.8020806679,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664
