time_s,SA_v_pu,RA_v_pu,SB_v_pu,RB_v_pu,SC_v_pu,RC_v_pu,SD_v_pu,RD_v_pu,SE_v_pu,RE_v_pu,SF_v_pu,RF_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,output_fixed_11_pu,output_fixed_12_pu
0,103.978149033,100,-50,-50,-50,-50,100,100,-50,-50,-50,-50,103.978149033,-50,-50,100,-50,-50,100,-50,-50,100,-50,-50
5e-05,103.684242246,99.9822352381,-48.3587948575,-48.3587948575,-51.6234403806,-51.6234403806,99.9822352381,99.9822352381,-48.3587948575,-48.3587948575,-51.6234403806,-51.6234403806,103.684242246,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806,99.9822352381,-48.3587948575,-51.6234403806
0.0001,103.353496942,99.9289472641,-46.7004080655,-46.7004080655,-53.2285391986,-53.2285391986,99.9289472641,99.9289472641,-46.7004080655,-46.7004080655,-53.2285391986,-53.2285391986,103.353496942,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986,99.9289472641,-46.7004080655,-53.2285391986
0.00015,102.986030632,99.8401550109,-45.0254288408,-45.0254288408,-54.8147261701,-54.8147261701,99.8401550109,99.8401550109,-45.0254288408,-45.0254288408,-54.8147261701,-54.8147261701,102.986030632,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701,99.8401550109,-45.0254288408,-54.8147261701
0.0002,102.581973876,99.7158900261,-43.3344522957,-43.3344522957,-56.3814377303,-56.3814377303,99.7158900261,99.7158900261,-43.3344522957,-43.3344522957,-56.3814377303,-56.3814377303,102.581973876,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303,99.7158900261,-43.3344522957,-56.3814377303
0.00025,102.141470234,99.5561964603,-41.628079226,-41.628079226,-57.9281172343,-57.9281172343,99.5561964603,99.5561964603,-41.628079226,-41.628079226,-57.9281172343,-57.9281172343,102.141470234,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343,99.5561964603,-41.628079226,-57.9281172343
0.0003,101.664676213,99.361131052,-39.906915898,-39.906915898,-59.454215154,-59.454215154,99.361131052,99.361131052,-39.906915898,-39.906915898,-59.454215154,-59.454215154,101.664676213,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154,99.361131052,-39.906915898,-59.454215154
0.00035,101.151761217,99.130763107,-38.1715738328,-38.1715738328,-60.9591892741,-60.9591892741,99.130763107,99.130763107,-38.1715738328,-38.1715738328,-60.9591892741,-60.9591892741,101.151761217,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741,99.130763107,-38.1715738328,-60.9591892741
0.0004,100.602907482,98.8651744738,-36.4226695892,-36.4226695892,-62.4425048846,-62.4425048846,98.8651744738,98.8651744738,-36.4226695892,-36.4226695892,-62.4425048846,-62.4425048846,100.602907482,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846,98.8651744738,-36.4226695892,-62.4425048846
0.00045,100.018310013,98.5644595149,-34.6608245445,-34.6608245445,-63.9036349704,-63.9036349704,98.5644595149,98.5644595149,-34.6608245445,-34.6608245445,-63.9036349704,-63.9036349704,100.018310013,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704,98.5644595149,-34.6608245445,-63.9036349704
0.0005,99.3981765142,98.2287250729,-32.8866646739,-32.8866646739,-65.342060399,-65.342060399,98.2287250729,98.2287250729,-32.8866646739,-32.8866646739,-65.342060399,-65.342060399,99.3981765142,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399,98.2287250729,-32.8866646739,-65.342060399
0.00055,98.7427273169,97.8580904325,-31.1008203279,-31.1008203279,-66.7572701047,-66.7572701047,97.8580904325,97.8580904325,-31.1008203279,-31.1008203279,-66.7572701047,-66.7572701047,98.7427273169,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047,97.8580904325,-31.1008203279,-66.7572701047
0.0006,98.0521952988,97.4526872787,-29.3039260085,-29.3039260085,-68.1487612701,-68.1487612701,97.4526872787,97.4526872787,-29.3039260085,-29.3039260085,-68.1487612701,-68.1487612701,98.0521952988,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701,97.4526872787,-29.3039260085,-68.1487612701
0.00065,97.3268258026,97.012659649,-27.4966201438,-27.4966201438,-69.5160395052,-69.5160395052,97.012659649,97.012659649,-27.4966201438,-27.4966201438,-69.5160395052,-69.5160395052,97.3268258026,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052,97.012659649,-27.4966201438,-69.5160395052
0.0007,96.5668765486,96.5381638833,-25.6795448608,-25.6795448608,-70.8586190225,-70.8586190225,96.5381638833,96.5381638833,-25.6795448608,-25.6795448608,-70.8586190225,-70.8586190225,96.5668765486,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225,96.5381638833,-25.6795448608,-70.8586190225
0.00075,95.7726175431,96.0293685677,-23.8533457579,-23.8533457579,-72.1760228098,-72.1760228098,96.0293685677,96.0293685677,-23.8533457579,-23.8533457579,-72.1760228098,-72.1760228098,95.7726175431,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098,96.0293685677,-23.8533457579,-72.1760228098
0.0008,94.9443309827,95.4864544747,-22.0186716747,-22.0186716747,-73.4677827999,-73.4677827999,95.4864544747,95.4864544747,-22.0186716747,-22.0186716747,-73.4677827999,-73.4677827999,94.9443309827,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999,95.4864544747,-22.0186716747,-73.4677827999
0.00085,94.0823111536,94.909614499,-20.1761744624,-20.1761744624,-74.7334400366,-74.7334400366,94.909614499,94.909614499,-20.1761744624,-20.1761744624,-74.7334400366,-74.7334400366,94.0823111536,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366,94.909614499,-20.1761744624,-74.7334400366
0.0009,93.1868643273,94.2990535893,-18.3265087514,-18.3265087514,-75.9725448379,-75.9725448379,94.2990535893,94.2990535893,-18.3265087514,-18.3265087514,-75.9725448379,-75.9725448379,93.1868643273,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379,94.2990535893,-18.3265087514,-75.9725448379
0.00095,92.2583086519,93.6549886748,-16.470331719,-16.470331719,-77.1846569558,-77.1846569558,93.6549886748,93.6549886748,-16.470331719,-16.470331719,-77.1846569558,-77.1846569558,92.2583086519,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558,93.6549886748,-16.470331719,-77.1846569558
0.001,91.2969740386,92.9776485888,-14.6083028563,-14.6083028563,-78.3693457326,-78.3693457326,92.9776485888,92.9776485888,-14.6083028563,-14.6083028563,-78.3693457326,-78.3693457326,91.2969740386,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326,92.9776485888,-14.6083028563,-78.3693457326
0.00105,90.3032020453,92.267273987,-12.741083733,-12.741083733,-79.526190254,-79.526190254,92.267273987,92.267273987,-12.741083733,-12.741083733,-79.526190254,-79.526190254,90.3032020453,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254,92.267273987,-12.741083733,-79.526190254
0.0011,89.2773457542,91.5241172621,-10.8693377634,-10.8693377634,-80.6547794987,-80.6547794987,91.5241172621,91.5241172621,-10.8693377634,-10.8693377634,-80.6547794987,-80.6547794987,89.2773457542,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987,91.5241172621,-10.8693377634,-80.6547794987
0.00115,88.2197696473,90.7484424541,-8.99372996987,-8.99372996987,-81.7547124842,-81.7547124842,90.7484424541,90.7484424541,-8.99372996987,-8.99372996987,-81.7547124842,-81.7547124842,88.2197696473,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842,90.7484424541,-8.99372996987,-81.7547124842
0.0012,87.1308494762,89.9405251566,-7.11492674688,-7.11492674688,-82.8255984098,-82.8255984098,89.9405251566,89.9405251566,-7.11492674688,-7.11492674688,-82.8255984098,-82.8255984098,87.1308494762,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098,89.9405251566,-7.11492674688,-82.8255984098
0.00125,86.0109721293,89.1006524188,-5.2335956243,-5.2335956243,-83.8670567945,-83.8670567945,89.1006524188,89.1006524188,-5.2335956243,-5.2335956243,-83.8670567945,-83.8670567945,86.0109721293,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945
0.0013,84.8605354935,88.2291226435,-3.35040503011,-3.35040503011,-84.8787176134,-84.8787176134,88.2291226435,88.2291226435,-3.35040503011,-3.35040503011,-84.8787176134,-84.8787176134,84.8605354935,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134
0.00135,83.6799483135,87.326245481,-1.46602405297,-1.46602405297,-85.860221428,-85.860221428,87.326245481,87.326245481,-1.46602405297,-1.46602405297,-85.860221428,-85.860221428,83.6799483135,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428
0.0014,82.4696300464,86.3923417193,0.418877795539,0.418877795539,-86.8112195148,-86.8112195148,86.3923417193,86.3923417193,0.418877795539,0.418877795539,-86.8112195148,-86.8112195148,82.4696300464,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148
