case,input,converged,iterations,network_topologies,maximum_voltage_peak,maximum_p_mismatch,maximum_q_mismatch
angle_q,fix_source_angle_q.deck,true,115,scalar_branch,105.000000834,0,2.69340712806e-07
automatic_separately_excited_dc_machine,fix_source_automatic_separately_excited_dc_machine.deck,true,0,scalar_branch+separately_excited_dc_machine_voltage_boundary,21,2.11027893733e-15,0
cage_induction_machine,fix_source_cage_induction_machine.deck,true,28,scalar_branch+induction_machine_steady_state_equivalent,3099.99987579,0,8.01353557673e-08
controlled_switch,fix_source_controlled_switch.deck,true,59,scalar_branch+controlled_switch_initial_topology,105,9.53005133622e-07,0
coupled_phase_pi,fix_source_coupled_phase_pi.deck,true,59,coupled_lumped_phase_pi_section,105,9.53002048082e-07,0
coupled_sequence,fix_source_coupled_sequence.deck,true,59,coupled_lumped_sequence_impedance,105,9.53005135241e-07,0
distributed_line,fix_source_distributed_line.deck,true,44,distributed_transposed_line,105,8.44128381125e-07,0
induction_machine,fix_source_induction_machine.deck,true,28,scalar_branch+induction_machine_steady_state_equivalent,3099.99987579,0,8.01353557673e-08
initial_switch,fix_source_initial_switch.deck,true,59,scalar_branch+initial_switch_topology,105,9.53005133622e-07,0
scalar_load_flow,fix_source_load_flow.deck,true,57,scalar_branch,104.999999013,9.41216457665e-07,1.4151835791e-08
single_phase_induction_machine,fix_source_single_phase_induction_machine.deck,true,35,scalar_branch+induction_machine_steady_state_equivalent,1.09999996174,0,6.98013483626e-08
three_phase_pv,fix_source_three_phase_pv.deck,true,59,scalar_branch,105,9.53005137575e-07,0
two_phase_induction_machine,fix_source_two_phase_induction_machine.deck,true,1,scalar_branch+induction_machine_steady_state_equivalent,3100,9.3490554462e-10,0
two_phase_rotor_induction_machine,fix_source_two_phase_rotor_induction_machine.deck,true,35,scalar_branch+induction_machine_steady_state_equivalent,1.09999996166,0,6.98013475881e-08
two_phase_synchronous_machine,fix_source_two_phase_synchronous_machine.deck,true,26,scalar_branch+two_phase_synchronous_machine_voltage_boundary,3100,9.40221228789e-08,0
wound_field_synchronous_machine,fix_source_wound_field_synchronous_machine.deck,true,26,scalar_branch+wound_field_synchronous_machine_voltage_boundary,3100,9.39894726315e-08,0
saturated_wound_field_synchronous_machine,fix_source_wound_field_synchronous_machine_saturated.deck,true,26,scalar_branch+wound_field_synchronous_machine_voltage_boundary,3100,9.39894726315e-08,0
