time_s,P1_v_pu,S1_v_pu,S2_v_pu,PREV_v_pu,AUX_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu
0,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
5e-05,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0001,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00015,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0002,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00025,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0003,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00035,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0004,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00045,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0005,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00055,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0006,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00065,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0007,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00075,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0008,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00085,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0009,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00095,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.001,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00105,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0011,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00115,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0012,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00125,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0013,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00135,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0014,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00145,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0015,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00155,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0016,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00165,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0017,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00175,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0018,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00185,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.0019,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.00195,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
0.002,-82.3529411765,-70.5882352941,-35.2941176471,-3.5527136788e-14,-1.17647058824,-3.5527136788e-14,-82.3529411765,-70.5882352941,-35.2941176471,-1.17647058824
