current_a,flux_wb
-3,-1.56235294118
-1.5,-1.54352941176
-0.5,-1.49647058824
-0.1,-1.44941176471
0.175,-1.33647058824
0.33,-1.12941176471
0.6,0.809411764706
0.95,1.15764705882
1.35,1.29882352941
2,1.41176470588
2.95,1.48705882353
4.6,1.54352941176
8,1.6
11,1.60941176471
3,1.56235294118
1.5,1.54352941176
0.5,1.49647058824
0.1,1.44941176471
-0.175,1.33647058824
-0.33,1.12941176471
-0.6,-0.809411764706
-0.95,-1.15764705882
-1.35,-1.29882352941
-2,-1.41176470588
-2.95,-1.48705882353
-4.6,-1.54352941176
-8,-1.6
-11,-1.60941176471
-3,-1.56235294118
