time_s,uninterrupted_voltage_v,restored_voltage_v,difference_v
0,0,0,0
1e-05,37.0480536687,37.0480536687,0
2e-05,71.3305813796,71.3305813796,0
3e-05,102.159522185,102.159522185,0
4e-05,129.864657187,129.864657187,0
5e-05,154.744463684,154.744463684,0
6e-05,177.06895748,177.06895748,0
7e-05,197.082435198,197.082435198,0
8e-05,215.005922696,215.005922696,0
9e-05,231.039390723,231.039390723,0
0.0001,245.363759864,245.363759864,0
0.00011,258.142714709,258.142714709,0
0.00012,269.524345378,269.524345378,0
0.00013,279.642632773,279.642632773,0
0.00014,288.618792418,288.618792418,0
0.00015,296.562490332,296.562490332,0
0.00016,303.572943112,303.572943112,0
0.00017,309.739913239,309.739913239,0
0.00018,315.144609587,315.144609587,0
0.00019,319.860502162,319.860502162,0
0.0002,323.954059225,323.954059225,0
0.00021,327.485414217,327.485414217,0
0.00022,330.508969141,330.508969141,0
0.00023,333.073940484,333.073940484,0
0.00024,335.224853129,335.224853129,0
0.00025,337.001987221,337.001987221,0
0.00026,338.441782476,338.441782476,0
0.00027,339.577203966,339.577203966,0
0.00028,340.438073151,340.438073151,0
0.00029,341.05136697,341.05136697,0
0.0003,341.441489331,341.441489331,0
0.00031,341.630515757,341.630515757,0
0.00032,341.63841529,341.63841529,0
0.00033,341.483251124,341.483251124,0
0.00034,341.181362139,341.181362139,0
0.00035,340.747527137,340.747527137,0
0.00036,340.19511344,340.19511344,0
0.00037,339.536211337,339.536211337,0
0.00038,338.781755722,338.781755722,0
0.00039,337.941636148,337.941636148,0
0.0004,337.024796403,337.024796403,0
0.00041,336.039324598,336.039324598,0
0.00042,334.992534574,334.992534574,0
0.00043,333.891040068,333.891040068,0
0.00044,332.740820808,332.740820808,0
0.00045,331.5472833,331.5472833,0
0.00046,330.315315343,330.315315343,0
0.00047,329.049335449,329.049335449,0
0.00048,327.753337552,327.753337552,0
0.00049,326.43093146,326.43093146,0
0.0005,325.085379462,325.085379462,0
0.00051,323.719629433,323.719629433,0
0.00052,322.336344806,322.336344806,0
0.00053,320.937931669,320.937931669,0
0.00054,319.5265633,319.5265633,0
0.00055,318.10420235,318.10420235,0
0.00056,316.672620924,316.672620924,0
0.00057,315.233418746,315.233418746,0
0.00058,313.78803959,313.78803959,0
0.00059,312.337786152,312.337786152,0
0.0006,310.883833506,310.883833506,0
0.00061,309.427241269,309.427241269,0
0.00062,307.968964621,307.968964621,0
0.00063,306.509864263,306.509864263,0
0.00064,305.050715437,305.050715437,0
0.00065,303.592216078,303.592216078,0
0.00066,302.134994197,302.134994197,0
0.00067,300.679614554,300.679614554,0
0.00068,299.226584701,299.226584701,0
0.00069,297.776360447,297.776360447,0
0.0007,296.329350803,296.329350803,0
0.00071,294.885922454,294.885922454,0
0.00072,293.446403808,293.446403808,0
0.00073,292.011088659,292.011088659,0
0.00074,290.580239498,290.580239498,0
0.00075,289.154090512,289.154090512,0
0.00076,287.732850295,287.732850295,0
0.00077,286.316704303,286.316704303,0
0.00078,284.905817073,284.905817073,0
0.00079,283.500334232,283.500334232,0
0.0008,305.913699985,305.913699985,0
0.00081,302.263545331,302.263545331,0
0.00082,298.845785814,298.845785814,0
0.00083,295.638864294,295.638864294,0
0.00084,292.623273691,292.623273691,0
0.00085,289.781361777,289.781361777,0
0.00086,287.097154553,287.097154553,0
0.00087,284.556196445,284.556196445,0
0.00088,282.145405721,282.145405721,0
0.00089,279.852943668,279.852943668,0
0.0009,277.668096236,277.668096236,0
0.00091,275.581166945,275.581166945,0
0.00092,273.583379995,273.583379995,0
0.00093,271.666792601,271.666792601,0
0.00094,269.824215677,269.824215677,0
0.00095,268.049142071,268.049142071,0
0.00096,266.335681636,266.335681636,0
0.00097,264.678502487,264.678502487,0
0.00098,263.072777843,263.072777843,0
0.00099,261.514137945,261.514137945,0
0.001,259.998626537,259.998626537,0
0.00101,258.522661508,258.522661508,0
0.00102,257.082999266,257.082999266,0
0.00103,255.676702518,255.676702518,0
