time_s,phase_a_duty,phase_b_duty,phase_c_duty,phase_a_upper_gate,phase_a_lower_gate,phase_b_upper_gate,phase_b_lower_gate,phase_c_upper_gate,phase_c_lower_gate,upper_antiparallel_diode_count,lower_antiparallel_diode_count
0,0.806186217848,0.193813782152,0.193813782152,0,0,0,0,0,0,0,0
2e-05,0.911362066798,0.0886379332024,0.0886379332024,1,0,0,0,0,0,1,2
4e-05,0.911362066798,0.0886379332024,0.0886379332024,1,0,0,1,0,1,1,2
6e-05,0.911362066798,0.0886379332024,0.0886379332024,1,0,0,1,0,1,0,0
8e-05,0.911362066798,0.0886379332024,0.0886379332024,1,0,0,1,0,1,0,0
0.0001,0.911362066798,0.0886379332024,0.0886379332024,0,0,0,0,0,0,1,1
0.00012,0.919148906475,0.112937236869,0.0808510935249,1,0,0,1,0,1,1,2
0.00014,0.919148906475,0.112937236869,0.0808510935249,1,0,0,1,0,1,0,0
0.00016,0.919148906475,0.112937236869,0.0808510935249,1,0,0,1,0,1,0,0
0.00018,0.919148906475,0.112937236869,0.0808510935249,1,0,0,1,0,1,0,0
0.0002,0.919148906475,0.112937236869,0.0808510935249,0,0,0,0,0,0,2,1
0.00022,0.92847163054,0.144878632766,0.0715283694597,1,0,0,1,0,1,0,0
0.00024,0.92847163054,0.144878632766,0.0715283694597,1,0,0,1,0,1,0,0
0.00026,0.92847163054,0.144878632766,0.0715283694597,1,0,0,1,0,1,0,0
0.00028,0.92847163054,0.144878632766,0.0715283694597,1,0,0,1,0,1,0,0
0.0003,0.92847163054,0.144878632766,0.0715283694597,0,0,0,0,0,0,2,1
0.00032,0.937515102006,0.179661731056,0.0624848979941,1,0,0,1,0,1,0,0
0.00034,0.937515102006,0.179661731056,0.0624848979941,1,0,0,1,0,1,0,0
0.00036,0.937515102006,0.179661731056,0.0624848979941,1,0,0,1,0,1,0,0
0.00038,0.937515102006,0.179661731056,0.0624848979941,1,0,0,1,0,1,0,0
0.0004,0.937515102006,0.179661731056,0.0624848979941,0,0,0,0,0,0,2,1
0.00042,0.945602980246,0.215063249143,0.0543970197544,1,0,0,1,0,1,0,0
0.00044,0.945602980246,0.215063249143,0.0543970197544,1,0,0,1,0,1,0,0
0.00046,0.945602980246,0.215063249143,0.0543970197544,1,0,0,1,0,1,0,0
