time_s,dc_link_voltage_v,active_power_w,reactive_power_var,phase_a_current_a,phase_b_current_a,phase_c_current_a,line_ab_voltage_v,line_bc_voltage_v,line_ca_voltage_v,blocked
0,799.99999994,0,0,0,0,0,485.431753129,2.55795384874e-13,-485.431753129,0
2e-05,800.000344495,-1109.92025034,-2.63141085524,-2.26686295746,1.12574822521,1.14111473146,801.817299541,7.68325308513e-05,-801.817376374,0
4e-05,800.003055107,-223.477518098,14.6306580137,-0.455811473161,0.197079335945,0.258732136876,801.806311552,0.000308264003138,-801.806619816,0
6e-05,800.002157367,652.803701393,51.2867917208,1.33382921173,-0.735817544681,-0.598011668401,797.591801146,0.000689029377952,-797.592490175,0
8e-05,799.997703694,1524.36172754,107.774022575,3.11375704141,-1.67967102385,-1.43408601829,797.573728566,0.00122792502162,-797.574956491,0
0.0001,799.997565898,139.566690132,86.5609769314,0.290271252031,-0.290330797915,5.95446823483e-05,-801.800460899,430.672571772,371.127889126,0
0.00012,799.998264049,-35.0356090088,3.83399944912,-0.0711716224912,0.0264786342021,0.0446929878833,801.798744291,9.10717679403e-05,-801.798835363,0
0.00014,799.996622422,836.616070499,98.4970754097,1.7142010227,-0.966053248636,-0.748147774392,797.583213163,0.00108952736576,-797.58430269,0
0.00016,799.991426113,1705.50770024,212.867869628,3.49578175886,-1.97236373616,-1.52341802386,797.564077397,0.00224472855029,-797.566322126,0
0.00018,799.982692661,2571.87912963,346.640604177,5.2745809134,-2.99246578723,-2.28211512655,797.541349439,0.00355175328565,-797.544901193,0
0.0002,799.97696981,2299.47386128,428.481261004,4.73387776505,-2.86796287075,-1.86591489363,-801.814971004,0.00501023986044,801.809960764,0
0.00022,799.974898885,1764.90389736,201.981322113,3.61925935606,-1.9505623496,-1.66869700608,797.547041789,0.00140932671053,-797.548451116,0
0.00024,799.965970936,2628.41994203,378.704585051,5.4010680749,-3.01856075125,-2.38250732432,797.523864805,0.00318026711875,-797.527045072,0
0.00026,799.953517383,3488.67672512,574.637081213,7.18052028754,-4.10041319593,-3.08010709213,797.497104729,0.00510153049345,-797.502206259,0
0.00028,799.937554567,4345.46311413,789.705406588,8.95771209206,-5.19612943606,-3.76158265646,797.466777373,0.00717273386215,-797.473950107,0
0.0003,799.927328208,4176.76329017,927.703517662,8.64763116848,-5.26316448544,-3.38446668408,-801.796874177,0.00939348895986,801.787480688,0
