time_s,slot_1_tabulated,slot_2_analytic
0,0,0
0.00025,0.04755,0.05
0.0005,0.0951,0.1
0.00075,0.14265,0.15
0.001,0.1902,0.2
0.00125,0.23775,0.25
0.0015,0.2853,0.3
0.00175,0.33285,0.35
0.002,0.3804,0.4
0.00225,0.42795,0.45
0.0025,0.4755,0.5
0.00275,0.52305,0.55
0.003,0.5706,0.6
0.00325,0.61815,0.65
0.0035,0.6657,0.7
0.00375,0.71325,0.75
0.004,0.7608,0.8
0.00425,0.80835,0.85
0.0045,0.8559,0.9
0.00475,0.90345,0.95
0.005,0.951,1
0.00525,0.87405,0.9875
0.0055,0.7971,0.975
0.00575,0.72015,0.9625
0.006,0.6432,0.95
0.00625,0.56625,0.9375
0.0065,0.4893,0.925
0.00675,0.41235,0.9125
0.007,0.3354,0.9
0.00725,0.25845,0.8875
0.0075,0.1815,0.875
0.00775,0.10455,0.8625
0.008,0.0276,0.85
0.00825,-0.04935,0.8375
0.0085,-0.1263,0.825
0.00875,-0.20325,0.8125
0.009,-0.2802,0.8
0.00925,-0.35715,0.7875
0.0095,-0.4341,0.775
0.00975,-0.51105,0.7625
0.01,-0.588,0.75
0.01025,-0.588,0.7375
0.0105,-0.588,0.725
0.01075,-0.588,0.7125
0.011,-0.588,0.7
0.01125,-0.588,0.6875
0.0115,-0.588,0.675
0.01175,-0.588,0.6625
0.012,-0.588,0.65
0.01225,-0.588,0.6375
0.0125,-0.588,0.625
0.01275,-0.588,0.6125
0.013,-0.588,0.6
0.01325,-0.588,0.5875
0.0135,-0.588,0.575
0.01375,-0.588,0.5625
0.014,-0.588,0.55
0.01425,-0.588,0.5375
0.0145,-0.588,0.525
0.01475,-0.588,0.5125
0.015,-0.588,0.5
0.01525,-0.51105,0.4875
0.0155,-0.4341,0.475
0.01575,-0.35715,0.4625
0.016,-0.2802,0.45
0.01625,-0.20325,0.4375
0.0165,-0.1263,0.425
0.01675,-0.04935,0.4125
0.017,0.0276,0.4
0.01725,0.10455,0.3875
0.0175,0.1815,0.375
0.01775,0.25845,0.3625
0.018,0.3354,0.35
0.01825,0.41235,0.3375
0.0185,0.4893,0.325
0.01875,0.56625,0.3125
0.019,0.6432,0.3
0.01925,0.72015,0.2875
0.0195,0.7971,0.275
0.01975,0.87405,0.2625
0.02,0.951,0.25
