time_s,B26  A_v_pu,EQUL A_v_pu,B26  B_v_pu,EQUL B_v_pu,B26  C_v_pu,EQUL C_v_pu,FAULTA_v_pu,LINE A_v_pu,EQUR A_v_pu,LINE B_v_pu,EQUR B_v_pu,LINE C_v_pu,EQUR C_v_pu,B500 A_v_pu,B500 B_v_pu,B500 C_v_pu,SEND A_v_pu,REC  A_v_pu,SEND B_v_pu,REC  B_v_pu,SEND C_v_pu,REC  C_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_current_switch_fixed_4_pu
0,7575.04133019,18863,-3787.5206651,-9431.5,-3787.5206651,-9431.5,0,2.72848410532e-12,329333.006577,0,-1.43469252358e-08,-9.09494701773e-13,-329333.006577,2103.78966299,-1.48361323227e-10,-2103.78966299,2103.78966299,0,-1.48361323227e-10,0,-2103.78966299,0,66808.3463305,-4.68935468234e-09,-66808.3463305,2103.78966299,-1.48361323227e-10,-2103.78966299,2103.78966299,-1.48361323227e-10,-2103.78966299,0,0,0,0
3.33e-05,7784.26417494,18861.513634,-3809.77905736,-9225.6853013,-3974.48511758,-9635.82833267,0,9185.51803094,326920.131887,66.819132467,4773.84783779,-9252.33716341,-331693.979725,6317.46329822,30.4954909868,-6347.9587892,6317.46329822,0,30.4954909868,0,-6347.9587892,0,71209.457705,968.420635973,-72177.878341,6317.46329822,30.4954909868,-6347.9587892,6317.46329822,30.4954909868,-6347.9587892,0,0,0,0
6.66e-05,7862.66203503,18857.0547701,-3764.35685365,-9018.41667214,-4098.30518138,-9838.638098,0,18045.6315372,324455.735914,265.395476289,9546.94333665,-18311.0270135,-334002.679251,10446.349239,122.288924801,-10568.6381638,10446.349239,0,122.288924801,0,-10568.6381638,0,72543.1593838,2007.58016138,-74550.7395452,10446.349239,122.288924801,-10568.6381638,10446.349239,122.288924801,-10568.6381638,0,0,0,0
9.99e-05,8062.76162993,18849.6241112,-3778.93987295,-8809.7267772,-4283.82175698,-10039.897334,0,26588.0129946,321940.207038,592.009053429,14318.5342761,-27180.022048,-336258.741314,14488.6447605,274.590703226,-14763.2354637,14488.6447605,0,274.590703226,0,-14763.2354637,0,76717.4476914,3073.52205126,-79790.9697427,14488.6447605,274.590703226,-14763.2354637,14488.6447605,274.590703226,-14763.2354637,0,0,0,0
0.0001332,8137.88181392,18839.2228282,-3728.86451309,-8599.64850517,-4409.01730083,-10239.574323,0,34820.1310821,319373.941695,1043.02296806,19087.8686727,-35863.1540502,-338461.810368,18446.9916432,486.579436045,-18933.5710792,18446.9916432,0,486.579436045,0,-18933.5710792,0,77961.8614233,4207.61404131,-82169.4754646,18446.9916432,486.579436045,-18933.5710792,18446.9916432,486.579436045,-18933.5710792,0,0,0,0
0.0001665,8329.00101758,18825.8525603,-3735.97888987,-8388.21496352,-4593.02212771,-10437.6375968,0,42749.2566115,316757.344318,1614.88108906,23854.1948989,-44364.1377006,-340611.539217,22319.6887395,757.466138475,-23077.1548779,22319.6887395,0,757.466138475,0,-23077.1548779,0,81914.2304802,5367.87468851,-87282.1051687,22319.6887395,757.466138475,-23077.1548779,22319.6887395,757.466138475,-23077.1548779,0,0,0,0
0.0001998,8400.71993467,18809.5154147,-3681.32231582,-8175.45947332,-4719.39761885,-10634.0559414,0,50382.4682893,314090.827273,2304.10580074,28616.7618011,-52686.57409,-342707.589074,26109.2763396,1086.43151055,-27195.7078502,26109.2763396,0,1086.43151055,0,-27195.7078502,0,83068.014584,6593.7447714,-89661.7593554,26109.2763396,1086.43151055,-27195.7078502,26109.2763396,1086.43151055,-27195.7078502,0,0,0,0
0.0002331,8582.99687178,18790.213966,-3681.17218289,-7961.41556398,-4901.82468889,-10828.798402,0,57726.6583158,311374.810791,3107.2958198,33374.8188181,-60833.9541356,-344749.629609,29814.1506115,1472.68720155,-31286.837813,29814.1506115,0,1472.68720155,0,-31286.837813,0,86803.2330492,7845.12774223,-94648.3607915,29814.1506115,1472.68720155,-31286.837813,29814.1506115,1472.68720155,-31286.837813,0,0,0,0
0.0002664,8651.19844413,18767.951256,-3622.00991391,-7746.11696793,-5029.18853023,-11021.834288,0,64788.5378252,308609.722906,4021.12407673,38127.6160994,-68809.6619019,-346737.339005,33436.7553815,1915.41596077,-35352.1713423,33436.7553815,0,1915.41596077,0,-35352.1713423,0,87865.1971151,9159.62569327,-97024.8228084,33436.7553815,1915.41596077,-35352.1713423,33436.7553815,1915.41596077,-35352.1713423,0,0,0,0
0.0002997,8824.76684486,18742.7307932,-3614.79694594,-7529.59761537,-5209.96989892,-11213.1331778,0,71574.6421721,305795.999384,5042.33565987,42874.4046235,-76616.977832,-348670.404007,36975.5800688,2413.83010315,-39389.4101719,36975.5800688,0,2413.83010315,0,-39389.4101719,0,91387.9062788,10498.9409236,-101886.847202,36975.5800688,2413.83010315,-39389.4101719,36975.5800688,2413.83010315,-39389.4101719,0,0,0,0
