time_s,node_BUS2 A_voltage,node_BUS1 A_voltage,node_BUS2 B_voltage,node_BUS1 B_voltage,node_BUS2 C_voltage,node_BUS1 C_voltage,node_BUSC A_voltage,node_BUSC B_voltage,node_BUSC C_voltage,node_BUS0 A_voltage,node_BUS0 B_voltage,node_BUS0 C_voltage,node_GEN1 A_voltage,node_GEN1 B_voltage,node_GEN1 C_voltage,node_WNDG1_saturated_transformer_internal_top_voltage,node_WNDG2_saturated_transformer_internal_top_voltage,node_WNDG3_saturated_transformer_internal_top_voltage,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase1_history_i_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase2_history_i_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase3_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase1_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase2_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase3_history_i_pu,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_voltage_branch_fixed_1,branch_voltage_branch_fixed_2,branch_voltage_branch_fixed_3,FCTRL1,MACHV,TCTRL1,ICURR,synchronous_machine_1_d_axis_current,synchronous_machine_1_q_axis_current,synchronous_machine_1_zero_sequence_current,synchronous_machine_1_field_current,synchronous_machine_1_d_axis_damper_current,synchronous_machine_1_generator_field_current,synchronous_machine_1_q_axis_damper_current,synchronous_machine_1_phase_a_current,synchronous_machine_1_phase_b_current,synchronous_machine_1_phase_c_current,synchronous_machine_1_electromagnetic_torque,synchronous_machine_1_mechanical_angle_2,synchronous_machine_1_mechanical_speed_2,synchronous_machine_1_shaft_torque_1,synchronous_machine_1_shaft_torque_2,synchronous_machine_1_shaft_torque_3
0,0,0,0,0,0,0,0,0,0,408248.29,-204124.145,-204124.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,1.02,0,0,0,-0,0,0,0,0,0,0,0,0,1.05924397973e-11,1.84871851161e-09,-1.09961060808e-12,-1.37277535615e-07,-3.66857938839e-07
0.0002,-0.291512701652,-8.39580676065e-05,-0.0265589969626,4.64167582367e-05,0.318071698615,3.75413093697e-05,-8.45602303834e-05,4.63617849708e-05,3.81984454126e-05,8.39580674924e-08,-4.64167582471e-08,-3.75413092453e-08,-0.0235218602842,0.0102226706835,0.0132991896007,-0.0177579848282,0.010748872352,0.0070091124762,0.000118125959313,1.0784077027e-05,-0.00012891003634,0.000109103569323,9.9603956856e-06,-0.000119063965008,-0.0235218602842,0.0102226706835,0.0132991896007,-0.291512701652,-0.0265589969626,0.318071698615,-6.02162776961e-07,-5.49732658877e-08,6.57136042849e-07,1.05,1.05,1.02,0.00279857338558,-0.00673148137216,1.8586771824e-07,6.74526121451e-19,0.00279857338558,-0.00189769578036,-2.97458621689e-09,-1.64553778741e-08,-0.00548060475137,0.0023816250575,0.00309897969387,1.07904189348e-18,9.53315606062e-11,1.29410295813e-08,-9.89215735087e-12,-6.86382546103e-07,-1.83376781028e-06
0.0004,-0.503698101527,-3.76363755167e-05,-0.117622889941,2.08075122562e-05,0.621320991468,1.68288632605e-05,-4.10815217789e-05,2.03449211787e-05,2.07366006003e-05,3.76363750924e-08,-2.0807512323e-08,-1.68288627694e-08,-0.0433638791748,0.0148762612531,0.0284876179216,-0.0334376687839,0.0171998054889,0.0162378632951,0.000321471898525,5.83955927535e-05,-0.000379867491279,0.000296902160101,5.39339201314e-05,-0.000350836080232,-0.0433638791748,0.0148762612531,0.0284876179216,-0.503698101527,-0.117622889941,0.621320991468,-3.44514626226e-06,-4.62591077533e-07,3.90773733979e-06,1.05,1.05,1.02,0.00806889472275,-0.0144548977984,0.000216770501259,3.35764092888e-18,0.00806889472275,-0.00596673471708,-3.46917184845e-06,-1.91912533131e-05,-0.0116418494865,0.00413390509129,0.00750794439519,3.77889712185e-15,4.34284068148e-10,4.62172806692e-08,-4.503532402e-11,-1.78457183819e-06,-4.76550086941e-06
0.0006,-0.160509685958,-1.68714791752e-05,-0.184562821736,9.32750534194e-06,0.345072507694,7.54397383322e-06,-2.61549719271e-05,7.53762789171e-06,1.86173440354e-05,1.6871478494e-08,-9.32750552647e-09,-7.54397296753e-09,-0.0193701921698,-0.000980895825259,0.0203510879951,-0.0162917335183,0.00265217642644,0.0136395570918,0.000384335039502,0.000132811125409,-0.000517146164912,0.000354919769942,0.000122657702928,-0.00047757747287,-0.0193701921698,-0.000980895825259,0.0203510879951,-0.160509685958,-0.184562821736,0.345072507694,-9.28349275197e-06,-1.78987745022e-06,1.10733702022e-05,1.05,1.05,1.02,0.0133618362578,-0.0229566865275,6.63180321463e-06,-4.78487073129e-18,0.0133618362578,-0.00997552545811,-1.34459341722e-07,-5.49158094656e-07,-0.0182653719432,0.00548756718305,0.0127778047602,1.99287494919e-16,1.36638537448e-09,1.16465116662e-07,-1.41572004696e-10,-3.43180315564e-06,-9.15788717177e-06
0.0008,-0.184993732364,-7.56307737982e-06,-0.245248724464,4.18129523049e-06,0.430242456828,3.38178214934e-06,-2.47304090933e-05,-4.39203875562e-07,2.51696129688e-05,7.56307656821e-09,-4.1812955819e-09,-3.38178098631e-09,-0.023561943644,-0.00237544277214,0.0259373864161,-0.0200178339926,0.00243559916247,0.0175822348301,0.00045669791014,0.000231315668414,-0.000688013578554,0.000421700913163,0.000213620180181,-0.000635321093344,-0.023561943644,-0.00237544277214,0.0259373864161,-0.184993732364,-0.245248724464,0.430242456828,-1.71673317134e-05,-4.62049910605e-06,2.17878308195e-05,1.05,1.05,1.02,0.0188974415561,-0.0362133675308,-0.000524069188199,-2.00870352033e-17,0.0188974415561,-0.0137276788053,8.35800258004e-06,4.64362920307e-05,-0.0283606258351,0.00692789987797,0.0214327259572,-2.13764037767e-14,3.40001295448e-09,2.38469397118e-07,-3.51884649247e-10,-5.62801111052e-06,-1.50046800423e-05
0.001,-0.323582126535,-3.39034567435e-06,-0.329945476852,1.87437330801e-06,0.653527603387,1.51597236634e-06,-3.01512438317e-05,-7.63366332503e-06,3.77849071567e-05,3.39034466937e-09,-1.87437388202e-09,-1.51597078735e-09,-0.0374779883347,-0.000290541562193,0.0377685298969,-0.0312144142243,0.00616622520675,0.0250481890176,0.000584744075647,0.000363478677237,-0.000948222752884,0.000539899996987,0.000335656158584,-0.00087555615557,-0.0374779883347,-0.000290541562193,0.0377685298969,-0.323582126535,-0.329945476852,0.653527603387,-2.67608981574e-05,-9.50803663303e-06,3.62689347904e-05,1.05,1.05,1.02,0.0240765519349,-0.0433637011358,0.000245416660501,-2.26296623551e-17,0.0240765519349,-0.0177616172044,-3.8881502497e-06,-2.17802493144e-05,-0.0328461924574,0.00497402929926,0.0278721631581,1.28805161751e-14,7.21293823994e-09,4.27011457305e-07,-7.4547674593e-10,-8.37310478046e-06,-2.22975654362e-05
0.0012,0.0274303963204,-1.51981079367e-06,-0.353693174657,8.40235730519e-07,0.326262778336,6.79575063147e-07,-3.94701085676e-05,-1.61223644938e-05,5.55924730614e-05,1.51980967976e-09,-8.40236568015e-10,-6.79573111745e-10,-0.0112263659026,-0.014751460813,0.0259778267156,-0.0119432927362,-0.00786443560118,0.0198077283374,0.000569641391586,0.00050436664773,-0.00107400803932,0.000525863592053,0.000465731354141,-0.000991594946193,-0.0112263659026,-0.014751460813,0.0259778267156,0.0274303963204,-0.353693174657,0.326262778336,-3.79502977739e-05,-1.69626002243e-05,5.49128979983e-05,1.05,1.05,1.02,0.0293595065928,-0.0527586311128,0.000249602921254,-1.25104220732e-17,0.0293595065928,-0.0216629864945,-3.98733424333e-06,-2.21077454132e-05,-0.0386548134364,0.00286163075999,0.0357931826764,1.605449125e-14,1.3652289248e-08,6.96867516581e-07,-1.40868551378e-09,-1.16669644428e-05,-3.10261743103e-05
0.0014,-0.0372674394796,-6.81295104623e-07,-0.434971319062,3.76656631711e-07,0.472238758542,3.04638472912e-07,-5.03751442083e-05,-2.70307022146e-05,7.74058464229e-05,6.81293994549e-10,-3.76657771965e-10,-3.04636222584e-10,-0.0193339500897,-0.0153602548503,0.03469420494,-0.0187668683971,-0.00690774436088,0.025674612758,0.000580866163525,0.000677239414216,-0.00125810557774,0.0005361419465,0.00062532697995,-0.00116146892645,-0.0193339500897,-0.0153602548503,0.03469420494,-0.0372674394796,-0.434971319062,0.472238758542,-4.96938491037e-05,-2.74073588463e-05,7.710120795e-05,1.05,1.05,1.02,0.0348076920904,-0.0654983524003,-0.00065201885483,-1.59996970366e-17,0.0348076920904,-0.025378002101,1.04094082265e-05,5.77590174987e-05,-0.0464700310783,0.000308354060417,0.0461616770178,-4.96400707827e-14,2.37344885605e-08,1.06280765522e-06,-2.44432163192e-09,-1.550943761e-05,-4.11780981512e-05
0.0016,-0.100100423258,-3.05408808962e-07,-0.50104591022,1.68845088908e-07,0.601146333478,1.36563720055e-07,-6.19649344504e-05,-4.11740701139e-05,0.000103139004564,3.05407652807e-10,-1.68846587476e-10,-1.36561065331e-10,-0.026694051386,-0.0154531829122,0.0421472342982,-0.0248876914408,-0.00574542805974,0.0306331195005,0.000617482959059,0.000875716666324,-0.00149319962538,0.000569867658984,0.000808544816432,-0.00137841247542,-0.026694051386,-0.0154531829122,0.0421472342982,-0.100100423258,-0.50104591022,0.601146333478,-6.16595256414e-05,-4.13429152028e-05,0.000103002440844,1.05,1.05,1.02,0.0399119750842,-0.0723559890106,0.000626167359862,-5.48697727377e-17,0.0399119750842,-0.0293639198352,-9.96118271589e-06,-5.55165385562e-05,-0.0483629788049,-0.00520655793779,0.0535695367427,5.50697378505e-14,3.8645145185e-08,1.53959433646e-06,-3.97124137677e-09,-1.99003341906e-05,-5.2738907579e-05
0.0018,0.240894443825,-1.36907971978e-07,-0.489268860554,7.56879739248e-08,0.248374416729,6.12199980532e-08,-7.36713558363e-05,-5.90858613872e-05,0.000132757217224,1.36906878879e-10,-7.56898495773e-11,-6.12170293019e-11,0.000132219044045,-0.0281252625244,0.0279930434804,-0.0048166150468,-0.0187096654785,0.0235262805253,0.000515633578008,0.00106806810682,-0.00158370168483,0.000475694452547,0.000986073525588,-0.00146176797814,0.000132219044045,-0.0281252625244,0.0279930434804,0.240894443825,-0.489268860554,0.248374416729,-7.35344478643e-05,-5.91615493612e-05,0.000132695997225,1.05,1.05,1.02,0.0451845979894,-0.0826207722531,0.000506135277621,-4.67561782483e-17,0.0451845979894,-0.0331600275115,-8.12218986203e-06,-4.47799141844e-05,-0.0522553400514,-0.0108217368355,0.0630770768869,5.05863267852e-14,5.97390163879e-08,2.14198092863e-06,-6.12385348093e-09,-2.48394209723e-05,-6.56921739242e-05
