time_s,type_1_current_rms_A,type_2_current_rms_A,type_3_current_rms_A,type_4_current_rms_A,type_5_current_rms_A,type_6_current_rms_A,type_7_current_rms_A,type_8_current_rms_A,type_9_current_rms_A,type_10_current_rms_A,type_11_current_rms_A,type_12_current_rms_A
0,0,0,0,0,0,0,0,0,0,0,0,0
1e-05,3.88593165194e-05,3.17284990753e-05,3.88595930849e-05,3.54737928468e-05,3.17287248901e-05,0,0,0,0,0,0,0
2e-05,7.76587751171e-05,6.34081243621e-05,7.76593269705e-05,7.08929419707e-05,6.34085749485e-05,0,0,0,0,0,0,0
3e-05,0.000116398329787,9.50388382965e-05,0.000116399154908,0.000106257404696,9.50395120056e-05,0,0,0,0,0,0,0
4e-05,0.000155077935299,0.000126620603949,0.000155079030436,0.00014156713861,0.000126621498124,0,0,0,0,0,0,0
5e-05,0.000193697547202,0.000158153385024,0.000193698907376,0.000176822101556,0.000158154495602,0,0,0,0,0,0,0
6e-05,0.000232257121814,0.000189637145857,0.000232258739836,0.000212022251643,0.000189638466967,0,0,0,0,0,0,0
7e-05,0.000270756616228,0.000221071851414,0.000270758482212,0.000247167547239,0.000221073374983,0,0,0,0,0,0,0
8e-05,0.000309195988306,0.000252457467288,0.000309198089182,0.000282257946971,0.000252459182646,0,0,0,0,0,0,0
9e-05,0.000347575196676,0.000283793959701,0.000347577515711,0.000317293409727,0.000283795853185,0,0,0,0,0,0,0
0.0001,0.000385894200733,0.000315081295498,0.000385896717049,0.000352273894658,0.000315083350062,0,0,0,0,0,0,0
0.00011,0.000424152960636,0.00034631944215,0.000424155648733,0.000387199361173,0.000346321636971,0,0,0,0,0,0,0
0.00012,0.000462351437306,0.000377508367747,0.000462354266582,0.000422069768942,0.000377510677841,0,0,0,0,0,0,0
0.00013,0.00050048959242,0.000408648041001,0.000500492526702,0.000456885077896,0.000408650436832,0,0,0,0,0,0,0
0.00014,0.000538567388417,0.000439738431242,0.000538570385486,0.000491645248225,0.000439740878338,0,0,0,0,0,0,0
0.00015,0.000576584788489,0.000470779508416,0.000576587799608,0.000526350240379,0.000470781966985,0,0,0,0,0,0,0
0.00016,0.000614541756581,0.000501771243086,0.000614544726031,0.000561000015071,0.000501773667631,0,0,0,0,0,0,0
0.00017,0.000652438257391,0.000532713606426,0.000652441121999,0.000595594533272,0.000532715945369,0,0,0,0,0,0,0
0.00018,0.000690274256363,0.000563606570223,0.000690276945045,0.000630133756211,0.000563608765522,0,0,0,0,0,0,0
0.00019,0.000728049719691,0.000594450106873,0.000728052152983,0.000664617645382,0.000594452093648,0,0,0,0,0,0,0
0.0002,0.000765764614312,0.000625244189381,0.000765766703915,0.000699046162535,0.000625245895535,0,0,0,0,0,0,0
0.00021,0.000803418907906,0.000655988791358,0.000803420556225,0.00073341926968,0.000655990137205,0,0,0,0,0,0,0
0.00022,0.000841012568893,0.000686683887018,0.000841013668584,0.000767736929089,0.000686684784912,0,0,0,0,0,0,0
0.00023,0.000878545566432,0.000717329451181,0.000878545999944,0.000801999103292,0.000717329805142,0,0,0,0,0,0,0
0.00024,0.000916017870416,0.000747925459263,0.000916017509546,0.00083620575508,0.000747925164614,0,0,0,0,0,0,0
0.00025,0.000953429451474,0.000778471887285,0.000953428156911,0.000870356847501,0.000778470830278,0,0,0,0,0,0,0
0.00026,0.000990780280966,0.000808968711859,0.000990777901847,0.000904452343865,0.000808966769317,0,0,0,0,0,0,0
0.00027,0.00102807033098,0.000839415910197,0.00102806670445,0.000938492207742,0.000839412949146,0,0,0,0,0,0,0
0.00028,0.00106529957433,0.000869813460103,0.00106529452508,0.000972476402957,0.000869809337411,0,0,0,0,0,0,0
0.00029,0.00110246798456,0.000900161339972,0.00110246132442,0.0010064048936,0.000900155901991,0,0,0,0,0,0,0
0.0003,0.00113957553592,0.000930459528789,0.00113956706339,0.00104027764402,0.000930452610997,0,0,0,0,0,0,0
0.00031,0.00117662220341,0.000960708006128,0.00117661170323,0.00107409461881,0.000960699432771,0,0,0,0,0,0,0
0.00032,0.00121360796272,0.000990906752147,0.00121359520546,0.00110785578285,0.000990896335886,0,0,0,0,0,0,0
