time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSD2_voltage,node_BUSDS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSHG_voltage,node_BUSHR_voltage,node_BUSMS_voltage,node_BUSHS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_current_branch_fixed_6,branch_current_branch_fixed_8,branch_current_branch_fixed_9,branch_current_branch_fixed_11,branch_current_branch_fixed_12,branch_current_branch_fixed_13,branch_current_branch_fixed_14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e-05,10.0000022,10,11.99999736,12,9.50022992322e-14,4.75011496161e-14,1.2102814038e-13,6.05140701902e-14,9.99999095003e-13,1.19999892103e-12,10,10.0000022,9.50022992322e-14,12,11.99999736,1.2102814038e-13,1.04444040493e-13,9.31022532475e-07,1.1819154334e-13,1.05294482131e-06,-2.60258411482e-08,9.04996795771e-07,1.07897078065e-06
4e-05,9.99999820001,10,12.00000216,12,2.7087465797e-13,1.35437328985e-13,3.34276926021e-13,1.6713846301e-13,9.99999270875e-13,1.19999913428e-12,10,9.99999820001,2.7087465797e-13,12,12.00000216,3.34276926021e-13,2.97795358367e-13,7.9252658316e-07,3.26442310567e-13,8.02319613764e-07,-6.34022680505e-08,7.29124612905e-07,8.65722208257e-07
6e-05,10.0000022,10,11.99999736,12,4.1908404607e-13,2.09542023035e-13,4.98094554009e-13,2.49047277004e-13,9.99999419085e-13,1.1999992981e-12,10,10.0000022,4.1908404607e-13,12,11.99999736,4.98094554009e-13,4.60734439391e-13,6.59925420218e-07,4.86420462899e-13,6.22893749728e-07,-7.90105079383e-08,5.80915373014e-07,7.01904744087e-07
8e-05,9.99999820003,10,12.00000216,12,5.41774381091e-13,2.70887190545e-13,6.25989679006e-13,3.12994839503e-13,9.99999541775e-13,1.19999942599e-12,10,9.99999820003,5.41774381091e-13,12,12.00000216,6.25989679006e-13,5.95618272967e-13,5.42439862981e-07,6.11318045904e-13,4.89793837751e-07,-8.42152979154e-08,4.58225160684e-07,5.74009746984e-07
0.0001,10.0000022,10,11.99999736,12,6.42267759973e-13,3.21133879986e-13,7.26931833842e-13,3.63465916921e-13,9.99999642268e-13,1.19999952693e-12,10,10.0000022,6.42267759973e-13,12,11.99999736,7.26931833842e-13,7.06099120463e-13,4.42395250066e-07,7.09894368987e-13,3.88402909326e-07,-8.46640738695e-08,3.57731882295e-07,4.7306769309e-07
0.00012,9.99999820005,10,12.0000021599,12,7.2405016525e-13,3.62025082625e-13,8.07173724105e-13,4.03586862053e-13,9.9999972405e-13,1.19999960717e-12,10,9.99999820005,7.2405016525e-13,12,12.0000021599,8.07173724105e-13,7.96009416501e-13,3.59072321647e-07,7.88255589946e-13,3.09701535958e-07,-8.31235588553e-08,2.75949558801e-07,3.92825883069e-07
0.00014,10.0000021999,10,11.9999973601,12,7.90340686455e-13,3.95170343227e-13,8.71257237621e-13,4.35628618811e-13,9.99999790341e-13,1.19999967126e-12,10,10.0000021999,7.90340686455e-13,12,11.9999973601,8.71257237621e-13,8.68888177721e-13,2.90574786164e-07,8.50837146114e-13,2.47825031633e-07,-8.09165511663e-08,2.09659103886e-07,3.28742433636e-07
0.00016,9.99999820007,10,12.0000021599,12,8.43940801666e-13,4.21970400833e-13,9.22589030115e-13,4.61294515057e-13,9.99999843941e-13,1.19999972259e-12,10,9.99999820007,8.43940801666e-13,12,12.0000021599,9.22589030115e-13,9.27815305262e-13,2.34706342908e-07,9.00965849721e-13,1.9876156306e-07,-7.86482284484e-08,1.56059042275e-07,2.77410692475e-07
0.00018,10.0000021999,10,11.9999973601,12,8.87212706658e-13,4.43606353329e-13,9.63784827505e-13,4.81892413753e-13,9.99999887213e-13,1.19999976379e-12,10,10.0000021999,8.87212706658e-13,12,11.9999973601,9.63784827505e-13,9.75387760178e-13,1.89358326014e-07,9.41196120611e-13,1.59641874237e-07,-7.65721208469e-08,1.12787180555e-07,2.3621493628e-07
0.0002,9.99999820008,10,12.0000021599,12,9.22112530136e-13,4.61056265068e-13,9.96886095984e-13,4.98443047992e-13,9.99999922113e-13,1.19999979689e-12,10,9.99999820008,9.22112530136e-13,12,12.0000021599,9.96886095984e-13,1.01375607975e-12,1.52659944069e-07,9.7352157811e-13,1.28339161532e-07,-7.47735658483e-08,7.78873919765e-08,2.03113700902e-07
