time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,field_current_A,q_axis_damper_current_A
0,3000,3000,3000,3000,1.83646500784e-13,1.83697019872e-13,37.1226542408,188.495559215,94.2477796077,188.495766444,3000,3000,1.83644766061e-13,188.495559215,3000,3000,37.1226542408,188.495559215,1.46587931827e-18,207.229066859,0,207.229066518,0,188.495559215,0,0,0,0,-337.478674919,-0
0.0002,2991.47670078,2991.47670078,2991.46784254,2991.47670078,-226.060934138,-225.980416584,37.0171850775,188.495559216,94.2477796079,188.495766445,2991.47670078,2991.46677955,-226.070596235,188.495559216,2991.47670078,2991.47670078,37.0171850775,188.495559216,4.54893483778e-15,207.22906686,0.00044047832489,207.229066518,-0.000440531492307,188.495559215,0,0,-8.85823570705e-05,-0.000805174737497,-337.477479472,-2.63273490831e-05
0.0004,2965.95523421,2965.95523421,2965.88922863,2965.95523421,-450.993069591,-450.676767362,36.7013768844,188.495559218,94.247779609,188.495766447,2965.95523421,2965.88130797,-451.031025801,188.495559218,2965.95523421,2965.95523421,36.7013768844,188.495559218,4.54892573992e-15,207.229066862,0.00176075100899,207.229066575,-0.00176082672716,188.495559215,0,0,-0.000837219692677,-0.00477336698669,-337.471517497,-0.000105209049166
0.0006,2923.58061836,2923.58061836,2923.3630633,2923.58061836,-673.503259551,-672.812282848,36.1770241468,188.495559224,94.247779612,188.495766453,2923.58061836,2923.33695674,-673.586176577,188.495559224,2923.58061836,2923.58061836,36.1770241468,188.495559224,-4.54602128071e-15,207.229066869,0.0039741396904,207.22906649,-0.00397414673284,188.495559215,0,0,-0.0036728215927,-0.0148461366825,-337.456073732,-0.00023739436548
0.0008,2864.59363424,2864.59363424,2864.08799081,2864.59363424,-892.303598854,-891.124744731,35.4471063414,188.495559235,94.2477796176,188.495766464,2864.59363424,2864.02731373,-892.445060946,188.495559235,2864.59363424,2864.59363424,35.4471063414,188.495559235,4.54892573411e-15,207.229066881,0.00713795423508,207.229066547,-0.00713800071434,188.495559215,0,0,-0.0109047919327,-0.033544396554,-337.426518706,-0.000426281780246
0.001,2789.32945766,2789.32945766,2788.36263589,2789.32945766,-1106.11939847,-1104.37365805,34.5157710068,188.495559254,94.2477796271,188.495766483,2789.32945766,2788.24661758,-1106.32888656,188.495559254,2789.32945766,2789.32945766,34.5157710068,188.495559254,1.44767487465e-18,207.229066902,0.0113780796528,207.229066547,-0.0113781984067,188.495559215,-2.22044604925e-16,0,-0.0256294074907,-0.0627902455987,-337.378334505,-0.000679357605157
0.0012,2698.2157547,2698.2157547,2696.58514894,2698.2157547,-1313.69732266,-1311.34729995,33.3883101762,188.495559283,94.2477796415,188.495766512,2698.2157547,2696.38947687,-1313.97932414,188.495559283,2698.2157547,2698.2157547,33.3883101762,188.495559283,9.09638559477e-15,207.229066934,0.0169117152691,207.22906649,-0.0169118099713,188.495559215,0,0,-0.0516036056017,-0.103747710325,-337.3071398,-0.00100956962547
0.0014,2591.77025158,2591.77025158,2589.2520424,2591.77025158,-1513.81356027,-1510.86960491,32.0711303069,188.495559325,94.2477796624,188.495766554,2591.77025158,2588.94985841,-1514.16683303,188.495559325,2591.77025158,2591.77025158,32.0711303069,188.495559325,4.54889844062e-15,207.22906698,0.024068236351,207.229066518,-0.0240684145084,188.495559215,0,0,-0.0930916102896,-0.156687230616,-337.208713996,-0.0014366000599
0.0016,2470.59779289,2470.59779289,2466.95627893,2470.59779289,-1705.28201835,-1701.80684738,30.5717158777,188.495559383,94.2477796917,188.495766612,2470.59779289,2466.51929912,-1705.69903621,188.495559383,2470.59779289,2470.59779289,30.5717158777,188.495559383,1.42038143852e-18,207.229067044,0.0333095192909,207.229066518,-0.0333097209784,188.495559215,4.4408920985e-16,0,-0.154688593834,-0.220878116318,-337.079020377,-0.00198804438907
0.0018,2335.3869047,2335.3869047,2330.38462293,2335.3869047,-1886.96240387,-1883.07408387,28.8985868605,188.495559464,94.2477797318,188.495766693,2335.3869047,2329.78435202,-1887.42899873,188.495559464,2335.3869047,2335.3869047,28.8985868605,188.495559464,4.54888933999e-15,207.229067132,0.0452466607094,207.229066518,-0.0452469694664,188.495559215,4.4408920985e-16,0,-0.241126155206,-0.294512510557,-336.914228118,-0.00270046235286
