time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0,3000,0,-1500,0,-1500,0,0,0,0,0,3000,0,0,0,0,0,0,188.495559215,0,0,0,0,-0,-0
0.0002,-1841.35208207,2991.47670078,879.452114382,-1300.03356887,961.899967689,-1691.44313191,1.00810453084e-12,5.04052265421e-13,2.00810452887e-12,2991.47670078,-1841.35208207,1.00810453084e-12,-48.3282395003,1.1082943391e-12,9.87942440226e-07,9.99999998025e-07,1.20564495054e-08,1.00956689764e-12,0.0188495559215,-48.3282395003,21.7948350377,26.5334044626,-56.3785568858,1.06283664125
0.0004,3031.59867252,2965.95523421,-1359.4652011,-1092.68008768,-1672.13347143,-1873.27514654,8.06733060502e-09,4.03366530251e-09,8.06833060502e-09,2965.95523421,3031.59867252,8.06733060502e-09,-95.9999486175,8.86909697122e-09,0.00790400810804,9.99999998024e-07,-0.00790301697714,2.14610658923e-08,0.0188495559236,-95.9999486175,40.9217780194,55.0781705981,-112.061436669,5.29842547028
0.0006,-1815.1187885,2923.58061836,944.943880327,-879.117780255,870.174908174,-2044.4628381,7.22392149949e-08,3.61196074974e-08,7.22402149949e-08,2923.58061836,-1815.1187885,7.22392149949e-08,-142.730269573,7.94186620436e-08,0.054984438594,9.99999998029e-07,-0.0549835180127,4.29211222177e-08,0.0188495559301,-142.730269573,56.4944460748,86.235823498,-166.755373683,13.7164628059
0.0008,3050.5860641,2864.59363424,-1288.87336311,-660.560150242,-1761.71270099,-2204.033484,3.24649477907e-07,1.62324738953e-07,3.24650477907e-07,2864.59363424,3050.5860641,3.24649477907e-07,-188.257008356,3.56914553548e-07,0.19237761906,9.99999998016e-07,-0.192376975974,6.4381178543e-08,0.0188495559408,-188.257008356,68.4518056057,119.80520275,-220.15247592,26.2305714122
0.001,-1803.48237205,2789.32945766,1020.21153595,-438.249085687,783.270836102,-2351.08037198,1.0209888651e-06,5.10494432548e-07,1.0209898651e-06,2789.32945766,-1803.48237205,1.0209888651e-06,-232.324781772,1.12245917447e-06,0.490034980385,9.99999998122e-07,-0.490035102844,8.58412348684e-08,0.0188495559558,-232.324781772,76.7531344884,155.571647284,-271.952195899,42.7314269461
0.0012,3054.80817819,2698.2157547,-1209.38051723,-213.447802406,-1845.42766096,-2484.76795229,2.57763290707e-06,1.28881645353e-06,2.57763390707e-06,2698.2157547,3054.80817819,2.57763290707e-06,-274.686468823,2.83380926459e-06,1.03547618075,9.99999998122e-07,-1.03547801456,1.07301291194e-07,0.0188495559752,-274.686468823,81.3782554251,193.308213398,-321.863038644,63.0873763844
0.0014,-1806.69578157,2591.77025158,1103.45512922,12.5663338662,703.240652348,-2604.33658544,5.60602896439e-06,2.8030144822e-06,5.60602996439e-06,2591.77025158,-1806.69578157,5.60602896439e-06,-315.104615129,6.16318047977e-06,1.93235195543,9.99999997698e-07,-1.93235711861,1.28761347519e-07,0.0188495559988,-315.104615129,82.3276525246,232.776962604,-369.604218219,87.1451833693
0.0016,3044.18025049,2470.59779288,-1122.88173876,238.509065723,-1921.29851174,-2709.10685861,1.09439726494e-05,5.47198632468e-06,1.09439736494e-05,2470.59779288,3044.18025049,1.09439726494e-05,-353.352782427,1.20316322003e-05,3.29883285583,9.99999996004e-07,-3.29884388747,1.50221403845e-07,0.0188495560267,-353.352782427,79.6224704833,273.730311944,-414.907253413,114.730896192
0.0018,-1824.67511435,2335.3869047,1192.69522322,463.096541491,631.979891131,-2798.48344619,1.96834351482e-05,9.84171757411e-06,1.96834361482e-05,2335.3869047,-1824.67511435,1.96834351482e-05,-389.216835472,2.16396604532e-05,5.26584039304,9.99999996004e-07,-5.2658610327,1.7168146017e-07,0.0188495560588,-389.216835472,73.3043963289,315.912439143,-457.517493504,145.65083354
