time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0,361.168262939,3000,-402.385360654,-1500,41.2170977143,-1500,0.49,0.245,0.489950541106,44.5092699512,-270.679285964,226.170016013,0.49,3000,361.168262939,0.49,-67.9549154433,0.538698328936,0,-49.4588938371,-0.397868196789,184.725648031,0.785398163397,-67.9549154433,640.169307824,-572.214392381,-0.340252393562,-3.67694645906
0.0002,379.422740143,2991.47670078,-387.323103292,-1300.03356887,7.90036314893,-1691.44313191,0.489999655369,0.244999827685,0.489950196475,65.977710429,-277.805770677,211.828060248,0.489999655369,2991.47670078,379.422740143,0.489999655369,-120.463584002,0.538697950054,-0.337738223374,-49.458893837,-0.395180558388,184.725648031,0.822343293004,-120.463584002,660.271258433,-539.807674431,-0.344286462984,-3.65151752279
0.0004,395.523336992,2965.95523421,-370.061550003,-1092.68008768,-25.4617869894,-1873.27514654,0.489998725046,0.244999362523,0.489949266152,87.0735767832,-283.355444961,196.281868177,0.489998725046,2965.95523421,395.523336992,0.489998725046,-172.288149829,0.538696927271,-0.573978362314,-49.4588938369,-0.393300610954,184.725648031,0.85928842261,-172.288149829,676.623211571,-504.335061743,-0.350557202446,-3.633396777
0.0006,409.375746138,2923.58061836,-350.697787611,-879.117780255,-58.6779585264,-2044.4628381,0.489997388157,0.244998694078,0.489947929263,107.673839081,-287.295658081,179.621819,0.489997388157,2923.58061836,409.375746138,0.489997388157,-223.134122101,0.538695457516,-0.736173377256,-49.4588938369,-0.392009892341,184.725648031,0.896233552216,-223.134122101,689.132231119,-465.998109018,-0.358392776973,-3.62060737144
0.0008,420.903733017,2864.59363424,-329.342390244,-660.560150241,-91.561342773,-2204.033484,0.489995775801,0.2449978879,0.489946316907,127.664217422,-289.604631771,161.94041435,0.489995775801,2864.59363424,420.903733017,0.489995775801,-272.712573989,0.538693684917,-0.843935423356,-49.4588938369,-0.391152335118,184.725648031,0.933178681822,-272.712573989,697.727221786,-425.014647797,-0.367303571228,-3.6117386931
0.001,430.039162311,2789.32945766,-306.116177549,-438.249085687,-123.922984762,-2351.08037198,0.489993984743,0.244996992371,0.489944525849,146.92817577,-290.268656885,143.340481115,0.489993984743,2789.32945766,430.039162311,0.489993984743,-320.7417825,0.538691715856,-0.911301116692,-49.4588938367,-0.390616240294,184.725648031,0.970123811429,-320.7417825,702.359328381,-381.617545881,-0.37693403304,-3.60578222929
0.0012,436.732521762,2698.2157547,-281.15133316,-213.447802406,-155.581188602,-2484.76795229,0.489992087145,0.244996043573,0.489942628252,165.358937196,-289.284192877,123.925255681,0.489992087145,2698.2157547,436.732521762,0.489992087145,-366.948830092,0.538689629667,-0.94834444765,-49.4588938368,-0.390321442231,184.725648031,1.00706894103,-366.948830092,703.002216793,-336.053386701,-0.3870204534,-3.60201551295
0.0014,440.943356783,2591.77025158,-254.589622608,12.5663338669,-186.353734175,-2604.33658545,0.489990137483,0.244995068741,0.489940678589,182.849062262,-286.656733212,103.80767095,0.489990137483,2591.77025158,440.943356783,0.489990137483,-411.07115335,0.538687486239,-0.962324758992,-49.4588938368,-0.39021017339,184.725648031,1.04401407064,-411.07115335,699.652219266,-288.581065917,-0.397368927479,-3.59991876042
0.0016,442.649976659,2470.59779288,-226.581808484,238.509065724,-216.068168175,-2709.10685861,0.489988177454,0.244994088727,0.48993871856,199.301673009,-282.40102133,83.099348321,0.489988177454,2470.59779288,442.649976659,0.489988177454,-452.858036531,0.538685331413,-0.958504141774,-49.4588938367,-0.390240559749,184.725648031,1.08095920025,-452.858036531,692.328358979,-239.470322448,-0.407831723477,-3.59911632977
0.0018,441.840503498,2335.3869047,-197.287363481,463.096541491,-244.553140016,-2798.48344619,0.489986239461,0.244993119731,0.489936780567,214.620840218,-276.541604945,61.9207647271,0.489986239461,2335.3869047,441.840503498,0.489986239461,-492.072033775,0.538683200815,-0.940728426096,-49.4588938366,-0.390381997444,184.725648031,1.11790432985,-492.072033775,681.072237786,-189.000204012,-0.418298472156,-3.59933431043
