time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0,1784.37467538,3000,-1525.70274703,-1500,-258.671928347,-1500,184.725648031,92.3628240155,184.72168296,1638.50196503,-1528.79159197,-109.710373058,184.725648031,3000,1784.37467538,184.725648031,-194.05041483,203.084485522,0,-3965.07077073,-4168.15525597,184.725648031,0.785398163397,-194.05041483,376.274652795,-182.224237965,180.188543074,-332.23902815
0.0002,1834.4040759,2991.47670078,-1432.51635072,-1300.03356887,-401.887725184,-1691.44313191,184.725647936,92.3628239682,184.721682866,1695.55797424,-1448.41878085,-247.139193396,184.725647936,2991.47670078,1834.4040759,184.725647936,-217.776982497,203.084485418,-0.0926979482174,-3965.07077076,-4168.06255789,184.725648031,0.822343293004,-217.776982497,374.692046539,-156.915064042,179.694888568,-332.496719952
0.0004,1873.96212783,2965.95523421,-1331.20971149,-1092.68008768,-542.752416341,-1873.27514654,184.725647647,92.3628238233,184.721682576,1742.92583827,-1359.83771812,-383.088120149,184.725647647,2965.95523421,1873.96212783,184.725647647,-240.267181766,203.0844851,-0.191360384226,-3965.07077079,-4167.96389514,184.725648031,0.85928842261,-240.267181766,370.981176809,-130.713995044,179.199269856,-332.753902764
0.0006,1902.92526299,2923.58061836,-1222.32357318,-879.117780255,-680.601689809,-2044.4628381,184.725647151,92.3628235756,184.72168208,1780.44975707,-1263.51265029,-516.937106775,184.725647151,2923.58061836,1902.92526299,184.725647151,-261.393164723,203.084484555,-0.294151484966,-3965.07077073,-4167.86110352,184.725648031,0.896233552216,-261.393164723,365.163086498,-103.769921775,178.701791797,-333.010704125
0.0008,1921.07569769,2864.59363424,-1106.49227668,-660.560150242,-814.583421005,-2204.033484,184.725646439,92.3628232193,184.721681368,1807.85691771,-1160.00841911,-647.848498606,184.725646439,2864.59363424,1921.07569769,184.725646439,-281.034355215,203.084483772,-0.404171437025,-3965.07077079,-4167.75108274,184.725648031,0.933178681822,-281.034355215,357.27098487,-76.2366296554,178.202959582,-333.2665296
0.001,1928.30844731,2789.32945766,-984.375726303,-438.249085687,-943.932721011,-2351.08037198,184.725645495,92.3628227475,184.721680424,1824.98951502,-1049.91509137,-775.074423649,184.725645495,2789.32945766,1928.30844731,184.725645495,-299.07916457,203.084482734,-0.520607888699,-3965.07077076,-4167.63464528,184.725648031,0.970123811429,-299.07916457,347.349692579,-48.2705280086,177.702736269,-333.521479901
0.0012,1924.58455796,2698.2157547,-856.666102419,-213.447802406,-1067.91845554,-2484.76795229,184.725644308,92.3628221541,184.721679237,1831.75259945,-933.856323887,-897.896275565,184.725644308,2698.2157547,1924.58455796,184.725644308,-315.425072137,203.084481429,-0.642524421215,-3965.07077076,-4167.51272749,184.725648031,1.00706894103,-315.425072137,335.455560367,-20.0304882304,177.201099994,-333.775660029
0.0014,1909.92518102,2591.77025158,-724.089067714,12.5663338665,-1185.83611331,-2604.33658544,184.725642868,92.3628214338,184.721677797,1828.1077323,-812.491575777,-1015.61615653,184.725642868,2591.77025158,1909.92518102,184.725642868,-329.979189405,203.084479846,-0.769133269787,-3965.07077076,-4167.38611698,184.725648031,1.04401407064,-329.979189405,321.65616624,8.32302316594,176.698064485,-334.029140508
0.0016,1884.4135467,2470.59779288,-587.39806558,238.509065723,-1297.01548112,-2709.10685861,184.725641165,92.3628205824,184.721676094,1814.07554906,-686.510593695,-1127.56495537,184.725641165,2470.59779288,1884.4135467,184.725641165,-342.658809935,203.084477974,-0.899632722139,-3965.07077076,-4167.25561566,184.725648031,1.08095920025,-342.658809935,306.029913225,36.6288967103,176.193646556,-334.281991587
0.0018,1848.19462018,2335.3869047,-447.369783539,463.096541491,-1400.82483664,-2798.48344619,184.725639193,92.3628195963,184.721674122,1789.73578674,-556.629206529,-1233.10658021,184.725639193,2335.3869047,1848.19462018,184.725639193,-353.391879191,203.084475805,-1.03320378065,-3965.07077073,-4167.12204243,184.725648031,1.11790432985,-353.391879191,288.665583966,64.7262952254,175.687866616,-334.534283266
0.002,1801.47420645,2186.90588226,-304.799872215,685.052610332,-1496.67433423,-2871.9584926,184.725636945,92.3628184727,184.721671875,1755.22675076,-423.585406063,-1331.6413447,184.725636945,2186.90588226,1801.47420645,184.725636945,-362.117403285,203.084473335,-1.1690223515,-3965.07077076,-4166.98622138,184.725648031,1.15484945946,-362.117403285,269.661837563,92.4555657227,175.18075024,-334.786083292
0.0022,1744.51777995,2025.99842436,-160.498432155,903.116073588,-1584.0193478,-2929.11449795,184.72563442,92.3628172098,184.721669349,1710.74452805,-288.135162363,-1422.60936569,184.72563442,2025.99842436,1744.51777995,184.72563442,-368.785795584,203.084470558,-1.30626419187,-3965.07077076,-4166.84897677,184.725648031,1.19179458907,-368.785795584,249.126648891,119.659146693,174.672327831,-335.037456855
0.0024,1677.6489774,1853.57883927,-15.2854018948,1116.04785116,-1662.36357551,-2969.62669043,184.725631613,92.3628158065,184.721666542,1656.54187429,-151.048118382,-1505.49375591,184.725631613,1853.57883927,1677.6489774,184.725631613,-373.359158502,203.084467473,-1.44410926104,-3965.07077073,-4166.71112861,184.725648031,1.22873971867,-373.359158502,227.176695,146.182463502,174.162634296,-335.288466346
0.0026,1601.24775879,1670.62684946,130.014100984,1322.63802222,-1731.26185977,-2993.26487168,184.725628525,92.3628142627,184.721663455,1592.92677764,-13.103216804,-1579.82356084,184.725628525,1670.62684946,1601.24775879,184.725628525,-375.811498857,203.084464078,-1.5817464292,-3965.07077073,-4166.57348804,184.725648031,1.26568484828,-375.811498857,203.936692144,171.874806713,173.651708812,-335.539171051
0.0028,1515.74824845,1478.18202464,274.57446778,1521.71270019,-1790.32271623,-2999.89472484,184.725625158,92.362812579,184.721660087,1520.26070885,124.915725426,-1645.17643428,184.725625158,1478.18202464,1515.74824845,184.725625158,-376.128875585,203.084460376,-1.7183778882,-3965.0707707,-4166.43685292,184.725648031,1.30262997788,-376.128875585,179.538687132,196.590188453,173.139594556,-335.78962686
0.003,1421.63626829,1277.3378747,417.574289918,1712.14070305,-1839.21055821,-2989.47857775,184.725621513,92.3628107567,184.721656443,1438.95656724,262.224470886,-1701.18103813,184.725621513,1277.3378747,1421.63626829,184.725621513,-374.309478973,203.084456369,-1.85322338343,-3965.07077068,-4166.3020034,184.725648031,1.33957510749,-374.309478973,154.121307016,220.188171957,172.626338413,-336.039886015
0.0032,1319.44657727,1069.23563614,558.201026331,1892.83998091,-1877.6476036,-2962.07561705,184.725617596,92.3628087982,184.721652526,1349.47633457,398.042817834,-1747.5191524,184.725617596,1069.23563614,1319.44657727,184.725617596,-370.363640953,203.084452063,-1.98552468419,-3965.07077073,-4166.1696978,184.725648031,1.3765202371,-370.363640953,127.828971389,242.534669564,172.111990676,-336.289996874
0.0034,1209.75983276,855.05778741,695.655620418,2062.7837644,-1905.41545318,-2917.84155181,184.725613413,92.3628067063,184.721648342,1252.32844996,531.599033407,-1783.92748337,184.725613413,855.05778741,1209.75983276,184.725613413,-364.31377641,203.084447463,-2.11454921961,-3965.0707707,-4166.04066861,184.725648031,1.4134653667,-364.31377641,100.811071763,263.502704647,171.596604723,-336.540003701
0.0036,1093.19929122,636.021329766,829.157040392,2221.00639907,-1922.35633161,-2857.02772884,184.72560897,92.3628044848,184.721643899,1148.06492092,662.134238696,-1810.19915962,184.72560897,636.021329766,1093.19929122,184.72560897,-356.194255834,203.084442579,-2.23959428072,-3965.0707707,-4165.91561868,184.725648031,1.45041049631,-356.194255834,73.2211227045,282.97313313,171.080236684,-336.789946481
0.0038,970.427266725,413.370872054,957.946717193,2366.60883234,-1928.37398392,-2779.97970439,184.725604276,92.3628021381,184.721639205,1037.2781867,788.906720784,-1826.18490748,184.725604276,413.370872054,970.427266725,184.725604276,-346.051210028,203.084437419,-2.35999009013,-3965.07077065,-4165.79521772,184.725648031,1.48735562592,-346.051210028,45.2158895292,300.835320498,170.562945106,-337.039860763
