time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0,3000,3000,1784.37467538,3000,731.520584237,-3.22265787902e-10,184.725648031,92.3628240155,184.723072345,3000,1638.50196503,819.30692374,184.725648031,3000,3000,184.725648031,1.46587931827e-18,203.084485522,0,-2575.6856854,-2778.77017056,184.725648031,0.785398163397,0,-194.05041483,-322.449484922,147.123329342,-271.272030535
0.0002,2991.47670078,2991.47670078,1834.30220223,2991.47670078,595.10536219,-225.980416584,184.725647974,92.3628239868,184.723072288,2991.47670078,1695.44387574,693.639338717,184.725647974,2991.47670078,2991.47670078,184.725647974,4.54893483778e-15,203.084485459,-0.0563551485538,-2575.6856854,-2778.71381533,184.725648031,0.822343293004,0,-217.778001233,-306.92279192,146.719654039,-271.483451648
0.0004,2965.95523421,2965.95523421,1874.01081745,2965.95523421,455.167082112,-450.676767362,184.725647796,92.3628238979,184.72307211,2965.95523421,1742.98037066,563.871819884,184.725647796,2965.95523421,2965.95523421,184.725647796,4.54892573992e-15,203.084485264,-0.117850571871,-2575.68568537,-2778.65231973,184.725648031,0.85928842261,0,-240.26873234,-289.652899062,146.31492125,-271.694013883
0.0006,2923.58061836,2923.58061836,1902.87749524,2923.58061836,312.798034761,-672.812282848,184.725647487,92.3628237433,184.723071801,2923.58061836,1780.39625721,431.074521728,184.725647487,2923.58061836,2923.58061836,184.725647487,-4.54602128071e-15,203.084484924,-0.185270160437,-2575.68568537,-2778.58489978,184.725648031,0.896233552216,0,-261.394706075,-270.737797,145.908981721,-271.903696826
0.0008,2864.59363424,2864.59363424,1921.11481164,2864.59363424,168.484077376,-891.124744731,184.725647035,92.3628235176,184.72307135,2864.59363424,1807.90072537,295.64013945,184.725647035,2864.59363424,2864.59363424,184.725647035,4.54892573411e-15,203.084484428,-0.256933540106,-2575.6856854,-2778.51323591,184.725648031,0.933178681822,0,-281.035983101,-250.28508458,145.50196522,-272.112640468
0.001,2789.32945766,2789.32945766,1928.2650404,2789.32945766,23.3928271347,-1104.37365805,184.725646433,92.3628232164,184.723070747,2789.32945766,1824.9408993,158.727546288,184.725646433,2789.32945766,2789.32945766,184.725646433,1.44767487465e-18,203.084483765,-0.333566606045,-2575.68568534,-2778.43660216,184.725648031,0.970123811429,0,-299.080835383,-228.410852811,145.093730506,-272.320826742
0.0012,2698.2157547,2698.2157547,1924.61757294,2698.2157547,-122.021840822,-1311.34729995,184.72564567,92.3628228352,184.723069985,2698.2157547,1831.78957625,20.6996771477,184.72564567,2698.2157547,2698.2157547,184.72564567,9.09638559477e-15,203.084482927,-0.413462221622,-2575.68568534,-2778.35670574,184.725648031,1.00706894103,0,-315.426846866,-205.239499718,144.684417467,-272.528393548
0.0014,2591.77025158,2591.77025158,1909.88869015,2591.77025158,-266.541833618,-1510.86960491,184.725644741,92.3628223706,184.723069055,2591.77025158,1828.06686255,-117.220330232,184.725644741,2591.77025158,2591.77025158,184.725644741,4.54889844062e-15,203.084481905,-0.497299939394,-2575.68568534,-2778.27286697,184.725648031,1.04401407064,0,-329.98099889,-180.902581271,144.27389275,-272.735323852
0.0016,2470.59779289,2470.59779289,1884.43959737,2470.59779288,-409.757318211,-1701.80684738,184.725643638,92.3628218192,184.723067953,2470.59779289,1814.10472583,-254.709508248,184.725643638,2470.59779289,2470.59779289,184.725643638,1.42038143852e-18,203.084480693,-0.583358556032,-2575.68568534,-2778.18680717,184.725648031,1.08095920025,0,-342.660723817,-155.538471826,143.862306095,-272.941752142
0.0018,2335.3869047,2335.3869047,1848.16557656,2335.3869047,-550.425512411,-1883.07408387,184.725642357,92.3628211786,184.723066671,2335.3869047,1789.70325791,-390.506132342,184.725642357,2335.3869047,2335.3869047,184.725642357,4.54888933999e-15,203.084479284,-0.672283560038,-2575.68568534,-2778.09788074,184.725648031,1.11790432985,0,-353.393822999,-129.29120599,143.449531722,-273.147661156
