time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,single_phase_stator_current_A,field_current_A
0,-0.130996524838,-1.76688896901e-15,-9.78147923277e-10,184.725648031,92.3628240155,184.725851116,-0.124778652111,-9.78147923277e-10,184.725648031,-1.76688896901e-15,-0.130996524838,-9.78147923277e-10,184.725648031,203.084485522,0,203.084485122,-1.39039113003e-08,184.725648031,0.785398163397,0,0,-0.000914060654486,-0.000322543412805
2e-05,-0.059502290771,-0.00753975093028,31.5322022844,184.725648031,92.3628240155,184.725851116,-0.0457930510855,-9.78116205736e-10,184.725648031,-0.00753975093028,-0.059502290771,31.5322022844,184.725648031,203.084485522,0,203.084485122,2.47158374791e-09,184.725648031,0.789092676358,0,0,-0.00166206203887,3.15322022844e-05
4e-05,-1.93715484937,-0.015079073236,-63.7057686995,184.725648031,92.3628240155,184.725851116,-2.12995055177,-9.78084915267e-10,184.725648031,-0.015079073236,-1.93715484937,-63.7057686995,184.725648031,203.084485522,0,203.084485122,-9.47711386448e-09,184.725648031,0.792787189319,0,0,-0.00315444922814,-6.37057686995e-05
6e-05,-1.84977683135,-0.0226175383167,95.7202770828,184.725648031,92.3628240155,184.725851116,-1.99716424425,-9.78053347892e-10,184.725648031,-0.0226175383167,-1.84977683135,95.7202770828,184.725648031,203.084485522,0,203.084485122,2.70367464739e-08,184.725648031,0.796481702279,0,0,-0.00598930852228,9.57202770828e-05
8e-05,-5.32960212192,-0.0301547176209,-127.576513777,184.725648031,92.3628240155,184.725851116,-5.82898689006,-9.78022140999e-10,184.725648031,-0.0301547176209,-5.32960212192,-127.576513777,184.725648031,203.084485522,0,203.084485122,-6.84623104187e-08,184.725648031,0.80017621524,0,0,-0.0113790766976,-0.000127576513777
0.0001,-8.29281458015,-0.0376901826699,159.275261238,184.725648031,92.3628240155,184.725851116,-9.02383960789,-9.77990401718e-10,184.725648031,-0.0376901826699,-8.29281458015,159.275261238,184.725648031,203.084485522,-2.38418579102e-07,203.084485122,1.62490759084e-07,184.725648031,0.803870728201,0,0,-0.0216324916633,0.000159275261238
0.00012,-17.5784627191,-0.0452235050829,-190.817298053,184.725648031,92.3628240155,184.725851116,-19.1887320854,-9.77959277143e-10,184.725648031,-0.0452235050829,-17.5784627191,-190.817298053,184.725648031,203.084485522,2.38418579102e-07,203.08448515,-3.70246048014e-07,184.725648031,0.807565241161,0,0,-0.0411432782805,-0.000190817298053
0.00014,-31.5937890403,-0.0527542566007,222.20339896,184.725648031,92.3628240155,184.725851116,-34.4394053112,-9.77927367216e-10,184.725648031,-0.0527542566007,-31.5937890403,222.20339896,184.725648031,203.084485522,-7.15255737305e-07,203.084485122,8.20259416336e-07,184.725648031,0.811259754122,0,0,-0.078275658591,0.00022220339896
0.00016,-61.9159467453,-0.06028200911,-253.434334866,184.725648031,92.3628240155,184.725851116,-67.5512287799,-9.77896323709e-10,184.725648031,-0.06028200911,-61.9159467453,-253.434334866,184.725648031,203.084485522,1.90734863281e-06,203.084485122,-1.78024266618e-06,184.725648031,0.814954267082,0,0,-0.148949811138,-0.000253434334866
0.00018,-115.974566499,-0.0678063346685,284.510872869,184.725648031,92.3628240155,184.725851116,-126.481734938,-9.77864244383e-10,184.725648031,-0.0678063346685,-115.974566499,284.510872869,184.725648031,203.084485522,-4.05311584473e-06,203.08448515,3.80347112227e-06,184.725648031,0.818648780043,0,0,-0.28347023175,0.000284510872869
